Month , Day , Year , High , Low , Open , Close
9 , 11 , 2012 , 35.17 , 32.84 , 34.58 , 33.01 
9 , 12 , 2012 , 35.44 , 33.26 , 33.54 , 35.05 
9 , 13 , 2012 , 38.32 , 34.71 , 35.16 , 37.51 
9 , 14 , 2012 , 39.33 , 37.72 , 37.75 , 39.06 
9 , 17 , 2012 , 39.77 , 38.03 , 38.85 , 38.19 
9 , 18 , 2012 , 38.65 , 36.38 , 38.25 , 36.80 
9 , 19 , 2012 , 38.73 , 36.84 , 36.84 , 38.65 
9 , 20 , 2012 , 38.63 , 37.18 , 38.26 , 38.00 
9 , 21 , 2012 , 39.83 , 38.10 , 38.10 , 39.63 
9 , 24 , 2012 , 40.70 , 38.58 , 39.70 , 40.37 
9 , 25 , 2012 , 41.77 , 39.61 , 40.60 , 39.99 
9 , 26 , 2012 , 39.85 , 36.77 , 39.85 , 38.08 
9 , 27 , 2012 , 40.33 , 38.40 , 38.67 , 40.04 
9 , 28 , 2012 , 39.99 , 36.16 , 39.92 , 38.68 
10 , 1 , 2012 , 38.14 , 34.62 , 37.92 , 36.48 
10 , 2 , 2012 , 36.75 , 35.59 , 35.79 , 36.50 
10 , 3 , 2012 , 37.68 , 36.52 , 36.71 , 37.03 
10 , 4 , 2012 , 37.20 , 36.70 , 36.72 , 37.15 
10 , 5 , 2012 , 37.45 , 36.50 , 37.42 , 37.00 
10 , 8 , 2012 , 36.66 , 35.97 , 36.54 , 36.53 
10 , 9 , 2012 , 36.80 , 35.78 , 36.68 , 36.00 
10 , 10 , 2012 , 36.06 , 34.62 , 36.06 , 34.78 
10 , 11 , 2012 , 35.29 , 34.36 , 35.29 , 34.50 
10 , 12 , 2012 , 34.83 , 32.89 , 34.75 , 33.32 
10 , 15 , 2012 , 34.91 , 32.80 , 32.89 , 34.51 
10 , 16 , 2012 , 34.64 , 33.70 , 34.47 , 34.31 
10 , 17 , 2012 , 35.46 , 34.02 , 34.31 , 34.77 
10 , 18 , 2012 , 34.88 , 34.50 , 34.61 , 34.79 
10 , 19 , 2012 , 35.48 , 33.90 , 35.13 , 34.35 
10 , 22 , 2012 , 34.50 , 32.54 , 34.35 , 33.44 
10 , 23 , 2012 , 34.86 , 32.61 , 33.32 , 34.56 
10 , 24 , 2012 , 35.77 , 34.04 , 34.56 , 35.65 
10 , 25 , 2012 , 37.59 , 30.71 , 35.65 , 31.39 
10 , 26 , 2012 , 32.98 , 31.39 , 31.68 , 31.89 
10 , 31 , 2012 , 32.74 , 30.12 , 32.02 , 30.65 
11 , 1 , 2012 , 31.64 , 29.55 , 31.33 , 31.04 
11 , 2 , 2012 , 32.73 , 30.61 , 31.03 , 32.14 
11 , 5 , 2012 , 32.58 , 31.16 , 32.00 , 32.28 
11 , 6 , 2012 , 33.53 , 32.18 , 32.41 , 32.95 
11 , 7 , 2012 , 32.73 , 31.00 , 32.56 , 31.25 
11 , 8 , 2012 , 31.59 , 30.68 , 30.73 , 30.90 
11 , 9 , 2012 , 31.55 , 29.71 , 31.45 , 30.07 
11 , 12 , 2012 , 30.99 , 29.52 , 29.93 , 29.66 
11 , 13 , 2012 , 30.49 , 28.38 , 30.49 , 29.48 
11 , 14 , 2012 , 30.60 , 28.15 , 30.39 , 28.71 
11 , 15 , 2012 , 31.98 , 28.28 , 28.34 , 31.79 
11 , 16 , 2012 , 34.50 , 29.45 , 33.43 , 30.35 
11 , 19 , 2012 , 31.44 , 28.82 , 30.58 , 31.06 
11 , 20 , 2012 , 33.75 , 30.71 , 30.98 , 31.67 
11 , 21 , 2012 , 32.17 , 29.88 , 31.49 , 31.18 
11 , 23 , 2012 , 31.20 , 30.51 , 30.87 , 30.77 
11 , 26 , 2012 , 30.86 , 28.61 , 28.61 , 30.50 
11 , 27 , 2012 , 30.80 , 29.20 , 30.80 , 30.30 
11 , 28 , 2012 , 31.38 , 29.98 , 30.22 , 31.21 
11 , 29 , 2012 , 32.82 , 31.11 , 31.58 , 32.30 
11 , 30 , 2012 , 33.02 , 31.08 , 31.95 , 32.63 
12 , 3 , 2012 , 32.65 , 31.16 , 31.38 , 32.04 
12 , 4 , 2012 , 32.39 , 29.75 , 31.88 , 30.19 
12 , 5 , 2012 , 30.49 , 28.52 , 30.48 , 29.41 
12 , 6 , 2012 , 29.65 , 29.09 , 29.40 , 29.47 
12 , 7 , 2012 , 29.62 , 28.87 , 29.22 , 29.30 
12 , 10 , 2012 , 29.75 , 29.25 , 29.31 , 29.45 
12 , 11 , 2012 , 30.24 , 29.38 , 29.73 , 29.83 
12 , 12 , 2012 , 31.28 , 29.41 , 29.99 , 30.63 
12 , 13 , 2012 , 30.96 , 29.82 , 30.38 , 30.33 
12 , 14 , 2012 , 30.94 , 30.02 , 30.35 , 30.54 
12 , 17 , 2012 , 31.13 , 30.00 , 30.42 , 31.10 
12 , 18 , 2012 , 33.00 , 31.01 , 31.25 , 32.63 
12 , 19 , 2012 , 32.85 , 31.96 , 32.70 , 32.43 
12 , 20 , 2012 , 32.85 , 32.25 , 32.25 , 32.83 
12 , 21 , 2012 , 32.74 , 32.23 , 32.48 , 32.49 
12 , 24 , 2012 , 32.57 , 30.90 , 32.24 , 31.66 
12 , 26 , 2012 , 30.94 , 29.39 , 30.70 , 29.95 
12 , 27 , 2012 , 29.99 , 29.25 , 29.45 , 29.52 
12 , 28 , 2012 , 29.48 , 28.90 , 29.20 , 29.05 
12 , 31 , 2012 , 30.25 , 28.90 , 29.24 , 30.03 
1 , 2 , 2013 , 30.75 , 29.18 , 30.75 , 30.20 
1 , 3 , 2013 , 30.40 , 29.41 , 29.91 , 29.69 
1 , 4 , 2013 , 29.84 , 28.96 , 29.84 , 29.02 
1 , 7 , 2013 , 29.10 , 27.02 , 28.54 , 27.36 
1 , 8 , 2013 , 27.61 , 25.61 , 27.53 , 26.20 
1 , 9 , 2013 , 26.67 , 25.54 , 26.30 , 26.37 
1 , 10 , 2013 , 26.62 , 26.15 , 26.61 , 26.46 
1 , 11 , 2013 , 27.50 , 26.46 , 26.60 , 27.46 
1 , 14 , 2013 , 27.28 , 25.94 , 27.16 , 26.07 
1 , 15 , 2013 , 27.48 , 25.59 , 26.01 , 27.22 
1 , 16 , 2013 , 27.48 , 26.85 , 27.23 , 27.34 
1 , 17 , 2013 , 27.78 , 27.25 , 27.46 , 27.60 
1 , 18 , 2013 , 27.75 , 27.16 , 27.74 , 27.40 
1 , 22 , 2013 , 27.72 , 26.83 , 27.35 , 27.62 
1 , 23 , 2013 , 28.01 , 27.45 , 27.66 , 27.93 
1 , 24 , 2013 , 29.59 , 27.00 , 27.00 , 29.52 
1 , 25 , 2013 , 31.50 , 29.39 , 29.44 , 31.10 
1 , 28 , 2013 , 31.47 , 30.72 , 30.99 , 31.25 
1 , 29 , 2013 , 31.23 , 29.90 , 31.22 , 30.20 
1 , 30 , 2013 , 30.50 , 28.57 , 30.12 , 28.97 
1 , 31 , 2013 , 30.50 , 27.65 , 28.26 , 27.72 
2 , 1 , 2013 , 28.84 , 25.71 , 26.33 , 28.07 
2 , 4 , 2013 , 29.15 , 27.70 , 27.99 , 28.96 
2 , 5 , 2013 , 29.92 , 28.61 , 28.90 , 29.78 
2 , 6 , 2013 , 29.79 , 29.36 , 29.51 , 29.72 
2 , 7 , 2013 , 29.45 , 28.58 , 29.28 , 29.42 
2 , 8 , 2013 , 29.83 , 29.24 , 29.35 , 29.83 
2 , 11 , 2013 , 29.75 , 29.15 , 29.70 , 29.55 
2 , 12 , 2013 , 29.75 , 29.04 , 29.49 , 29.25 
2 , 13 , 2013 , 29.89 , 28.70 , 29.05 , 29.78 
2 , 14 , 2013 , 33.21 , 30.40 , 30.63 , 32.88 
2 , 15 , 2013 , 34.12 , 32.34 , 32.86 , 33.86 
2 , 19 , 2013 , 34.33 , 32.86 , 33.46 , 33.46 
2 , 20 , 2013 , 33.92 , 32.84 , 33.65 , 32.96 
2 , 21 , 2013 , 32.90 , 31.14 , 32.13 , 31.54 
2 , 22 , 2013 , 33.86 , 31.11 , 31.45 , 33.48 
2 , 25 , 2013 , 33.75 , 32.00 , 33.48 , 32.17 
2 , 26 , 2013 , 32.11 , 30.89 , 31.88 , 31.25 
2 , 27 , 2013 , 33.63 , 31.26 , 31.28 , 32.20 
2 , 28 , 2013 , 32.55 , 31.78 , 32.14 , 32.47 
3 , 1 , 2013 , 33.01 , 31.69 , 32.13 , 32.79 
3 , 4 , 2013 , 33.78 , 32.48 , 32.48 , 33.68 
3 , 5 , 2013 , 36.82 , 33.33 , 33.65 , 36.57 
3 , 6 , 2013 , 37.47 , 35.72 , 36.41 , 36.95 
3 , 7 , 2013 , 37.00 , 36.45 , 36.82 , 36.77 
3 , 8 , 2013 , 36.95 , 36.33 , 36.79 , 36.66 
3 , 11 , 2013 , 37.14 , 35.72 , 36.91 , 37.00 
3 , 12 , 2013 , 38.22 , 37.00 , 37.06 , 37.83 
3 , 13 , 2013 , 38.18 , 37.01 , 38.18 , 37.61 
3 , 14 , 2013 , 37.87 , 36.57 , 37.65 , 37.45 
3 , 15 , 2013 , 37.75 , 37.09 , 37.71 , 37.10 
3 , 18 , 2013 , 36.64 , 35.40 , 36.64 , 35.63 
3 , 19 , 2013 , 36.03 , 34.39 , 35.75 , 34.46 
3 , 20 , 2013 , 35.44 , 34.44 , 35.00 , 34.76 
3 , 21 , 2013 , 36.17 , 34.44 , 34.50 , 36.00 
3 , 22 , 2013 , 36.49 , 35.83 , 36.20 , 36.27 
3 , 25 , 2013 , 36.51 , 35.74 , 36.31 , 36.05 
3 , 26 , 2013 , 36.39 , 35.68 , 36.16 , 36.14 
3 , 27 , 2013 , 36.69 , 35.93 , 36.69 , 36.21 
3 , 28 , 2013 , 37.24 , 35.92 , 36.74 , 36.20 
4 , 1 , 2013 , 36.50 , 34.78 , 36.21 , 35.23 
4 , 2 , 2013 , 36.06 , 35.32 , 36.04 , 35.71 
4 , 3 , 2013 , 35.81 , 33.95 , 35.61 , 34.53 
4 , 4 , 2013 , 35.14 , 34.15 , 34.37 , 35.05 
4 , 5 , 2013 , 35.20 , 34.28 , 34.28 , 35.17 
4 , 8 , 2013 , 35.59 , 35.07 , 35.08 , 35.55 
4 , 9 , 2013 , 36.13 , 35.29 , 35.43 , 35.76 
4 , 10 , 2013 , 35.97 , 35.25 , 35.67 , 35.85 
4 , 11 , 2013 , 35.80 , 34.86 , 35.80 , 34.99 
4 , 12 , 2013 , 35.57 , 34.76 , 35.12 , 35.19 
4 , 15 , 2013 , 35.54 , 34.64 , 34.77 , 34.94 
4 , 16 , 2013 , 36.94 , 34.95 , 35.01 , 36.35 
4 , 17 , 2013 , 36.09 , 34.98 , 35.80 , 35.63 
4 , 18 , 2013 , 36.51 , 35.46 , 35.80 , 36.07 
4 , 19 , 2013 , 37.85 , 36.11 , 36.31 , 36.29 
4 , 22 , 2013 , 36.87 , 35.99 , 36.29 , 36.67 
4 , 23 , 2013 , 38.38 , 36.85 , 37.00 , 37.33 
4 , 24 , 2013 , 38.21 , 37.42 , 37.44 , 37.62 
4 , 25 , 2013 , 43.99 , 39.76 , 40.07 , 43.39 
4 , 26 , 2013 , 43.30 , 41.85 , 43.10 , 42.51 
4 , 29 , 2013 , 43.01 , 42.07 , 42.32 , 42.09 
4 , 30 , 2013 , 41.97 , 40.27 , 41.77 , 40.96 
5 , 1 , 2013 , 40.77 , 38.65 , 40.70 , 38.80 
5 , 2 , 2013 , 40.17 , 38.70 , 39.63 , 39.14 
5 , 3 , 2013 , 41.00 , 38.69 , 39.73 , 40.95 
5 , 6 , 2013 , 41.00 , 39.95 , 40.95 , 40.40 
5 , 7 , 2013 , 40.58 , 39.01 , 40.46 , 39.52 
5 , 8 , 2013 , 40.25 , 39.29 , 39.52 , 39.58 
5 , 9 , 2013 , 39.60 , 38.52 , 39.37 , 38.85 
5 , 10 , 2013 , 40.22 , 38.31 , 38.54 , 38.99 
5 , 13 , 2013 , 40.14 , 39.05 , 39.22 , 39.47 
5 , 14 , 2013 , 40.34 , 39.43 , 39.55 , 40.24 
5 , 15 , 2013 , 40.98 , 40.03 , 40.08 , 40.53 
5 , 16 , 2013 , 41.08 , 39.65 , 40.50 , 39.90 
5 , 17 , 2013 , 40.48 , 39.44 , 39.74 , 40.39 
5 , 20 , 2013 , 41.00 , 39.96 , 40.44 , 40.31 
5 , 21 , 2013 , 40.39 , 39.26 , 40.09 , 40.04 
5 , 22 , 2013 , 40.98 , 38.10 , 40.14 , 38.42 
5 , 23 , 2013 , 38.24 , 36.50 , 37.71 , 37.65 
5 , 24 , 2013 , 37.86 , 37.05 , 37.51 , 37.81 
5 , 28 , 2013 , 38.88 , 37.25 , 38.50 , 37.31 
5 , 29 , 2013 , 37.07 , 35.21 , 36.79 , 36.72 
5 , 30 , 2013 , 37.67 , 36.61 , 36.86 , 36.77 
5 , 31 , 2013 , 37.17 , 36.15 , 36.50 , 36.76 
6 , 3 , 2013 , 36.77 , 35.91 , 36.52 , 36.75 
6 , 4 , 2013 , 37.31 , 35.89 , 36.71 , 36.09 
6 , 5 , 2013 , 36.11 , 35.62 , 36.06 , 35.91 
6 , 6 , 2013 , 36.75 , 35.58 , 36.04 , 36.74 
6 , 7 , 2013 , 39.23 , 36.61 , 36.61 , 39.16 
6 , 10 , 2013 , 39.76 , 38.95 , 39.34 , 39.65 
6 , 11 , 2013 , 40.24 , 38.90 , 39.36 , 39.95 
6 , 12 , 2013 , 40.49 , 38.23 , 40.37 , 38.37 
6 , 13 , 2013 , 38.33 , 35.90 , 38.23 , 37.93 
6 , 14 , 2013 , 38.30 , 37.24 , 37.85 , 37.25 
6 , 17 , 2013 , 38.18 , 37.46 , 37.83 , 38.04 
6 , 18 , 2013 , 38.44 , 37.23 , 38.06 , 37.67 
6 , 19 , 2013 , 39.61 , 37.78 , 37.83 , 38.69 
6 , 20 , 2013 , 38.52 , 37.78 , 38.31 , 38.33 
