Month , Day , Year , High , Low , Open , Close
3 , 17 , 2010 , 55.55 , 54.99 , 55.21 , 55.28 
3 , 18 , 2010 , 56.02 , 54.98 , 55.03 , 55.68 
3 , 19 , 2010 , 56.17 , 55.01 , 55.71 , 55.33 
3 , 22 , 2010 , 55.71 , 54.55 , 55.03 , 55.40 
3 , 23 , 2010 , 55.82 , 54.46 , 55.57 , 55.24 
3 , 24 , 2010 , 55.04 , 54.14 , 55.04 , 54.66 
3 , 25 , 2010 , 55.80 , 54.60 , 55.06 , 54.70 
3 , 26 , 2010 , 55.06 , 54.15 , 55.02 , 54.83 
3 , 29 , 2010 , 55.93 , 54.96 , 55.17 , 55.81 
3 , 30 , 2010 , 56.50 , 55.70 , 55.76 , 56.20 
3 , 31 , 2010 , 56.09 , 55.41 , 55.78 , 55.89 
4 , 1 , 2010 , 57.00 , 56.25 , 56.25 , 56.99 
4 , 5 , 2010 , 57.81 , 56.58 , 57.16 , 57.56 
4 , 6 , 2010 , 57.77 , 57.11 , 57.31 , 57.59 
4 , 7 , 2010 , 57.91 , 56.90 , 57.45 , 57.68 
4 , 8 , 2010 , 58.56 , 57.38 , 57.41 , 58.46 
4 , 9 , 2010 , 58.62 , 57.30 , 58.46 , 57.91 
4 , 12 , 2010 , 58.41 , 57.53 , 57.88 , 58.39 
4 , 13 , 2010 , 59.28 , 57.87 , 58.37 , 59.17 
4 , 14 , 2010 , 60.61 , 59.41 , 59.65 , 60.13 
4 , 15 , 2010 , 60.77 , 59.77 , 60.01 , 60.61 
4 , 16 , 2010 , 60.59 , 58.57 , 60.39 , 59.47 
4 , 19 , 2010 , 59.53 , 58.64 , 59.31 , 59.39 
4 , 20 , 2010 , 60.55 , 59.64 , 59.90 , 60.19 
4 , 21 , 2010 , 60.33 , 59.68 , 60.20 , 60.19 
4 , 22 , 2010 , 60.59 , 58.96 , 59.70 , 60.54 
4 , 23 , 2010 , 60.90 , 59.92 , 60.23 , 60.88 
4 , 26 , 2010 , 61.27 , 60.68 , 60.92 , 61.09 
4 , 27 , 2010 , 61.09 , 59.52 , 60.84 , 59.65 
4 , 28 , 2010 , 59.73 , 58.12 , 58.60 , 59.17 
4 , 29 , 2010 , 60.88 , 59.41 , 59.59 , 60.51 
4 , 30 , 2010 , 61.15 , 59.25 , 60.51 , 59.33 
5 , 3 , 2010 , 61.59 , 59.75 , 59.78 , 61.15 
5 , 4 , 2010 , 60.33 , 59.07 , 60.17 , 59.65 
5 , 5 , 2010 , 59.20 , 57.92 , 58.45 , 58.34 
5 , 6 , 2010 , 58.75 , 52.53 , 58.05 , 56.38 
5 , 7 , 2010 , 56.83 , 54.49 , 56.27 , 55.22 
5 , 10 , 2010 , 58.82 , 57.23 , 57.84 , 58.79 
5 , 11 , 2010 , 59.69 , 58.02 , 58.02 , 59.15 
5 , 12 , 2010 , 60.92 , 59.23 , 59.57 , 60.73 
5 , 13 , 2010 , 60.76 , 59.60 , 60.44 , 59.79 
5 , 14 , 2010 , 59.53 , 57.84 , 59.18 , 58.29 
5 , 17 , 2010 , 58.88 , 56.55 , 58.31 , 58.13 
5 , 18 , 2010 , 58.67 , 56.60 , 58.60 , 57.11 
5 , 19 , 2010 , 57.66 , 54.95 , 56.90 , 55.98 
5 , 20 , 2010 , 55.20 , 53.14 , 54.66 , 53.41 
5 , 21 , 2010 , 55.33 , 52.07 , 52.42 , 54.81 
5 , 24 , 2010 , 55.60 , 54.33 , 54.58 , 54.37 
5 , 25 , 2010 , 54.36 , 52.50 , 52.87 , 54.31 
5 , 26 , 2010 , 55.96 , 54.58 , 54.92 , 54.99 
5 , 27 , 2010 , 56.79 , 55.05 , 55.64 , 56.72 
5 , 28 , 2010 , 57.05 , 55.76 , 56.86 , 56.46 
6 , 1 , 2010 , 57.30 , 54.97 , 55.96 , 55.03 
6 , 2 , 2010 , 56.73 , 54.90 , 55.46 , 56.69 
6 , 3 , 2010 , 57.41 , 56.08 , 57.01 , 56.80 
6 , 4 , 2010 , 55.84 , 53.09 , 55.48 , 53.40 
6 , 7 , 2010 , 53.87 , 52.16 , 53.51 , 52.19 
6 , 8 , 2010 , 53.53 , 52.00 , 52.42 , 53.34 
6 , 9 , 2010 , 55.48 , 53.34 , 53.82 , 53.60 
6 , 10 , 2010 , 56.22 , 54.69 , 54.69 , 56.16 
6 , 11 , 2010 , 56.91 , 55.36 , 55.46 , 56.80 
6 , 14 , 2010 , 57.60 , 56.11 , 57.40 , 56.18 
6 , 15 , 2010 , 58.52 , 56.75 , 56.75 , 58.46 
