Month , Day , Year , High , Low , Open , Close
10 , 18 , 2010 , 12.29 , 11.65 , 11.96 , 12.24 
10 , 19 , 2010 , 12.25 , 12.01 , 12.06 , 12.11 
10 , 20 , 2010 , 12.45 , 11.52 , 12.17 , 12.20 
10 , 21 , 2010 , 12.40 , 12.11 , 12.11 , 12.25 
10 , 22 , 2010 , 12.61 , 12.18 , 12.20 , 12.33 
10 , 25 , 2010 , 12.59 , 12.20 , 12.20 , 12.37 
10 , 26 , 2010 , 12.49 , 11.91 , 12.25 , 12.28 
10 , 27 , 2010 , 12.80 , 12.28 , 12.28 , 12.77 
10 , 28 , 2010 , 13.35 , 12.60 , 12.82 , 13.19 
10 , 29 , 2010 , 13.47 , 12.88 , 13.16 , 13.19 
11 , 1 , 2010 , 13.50 , 12.56 , 13.27 , 12.69 
11 , 2 , 2010 , 13.43 , 12.47 , 12.90 , 13.27 
11 , 3 , 2010 , 13.80 , 13.11 , 13.21 , 13.64 
11 , 4 , 2010 , 14.00 , 13.53 , 13.74 , 13.97 
11 , 5 , 2010 , 14.00 , 13.64 , 13.90 , 13.97 
11 , 8 , 2010 , 14.00 , 13.61 , 14.00 , 13.77 
11 , 9 , 2010 , 13.95 , 13.20 , 13.72 , 13.63 
11 , 10 , 2010 , 13.73 , 13.05 , 13.60 , 13.32 
11 , 11 , 2010 , 13.20 , 12.58 , 13.20 , 12.86 
11 , 12 , 2010 , 13.08 , 12.64 , 12.69 , 12.82 
11 , 15 , 2010 , 13.14 , 12.78 , 12.90 , 12.98 
11 , 16 , 2010 , 13.27 , 12.63 , 12.73 , 12.84 
11 , 17 , 2010 , 12.90 , 12.76 , 12.80 , 12.80 
11 , 18 , 2010 , 13.00 , 12.61 , 13.00 , 12.90 
11 , 19 , 2010 , 12.90 , 12.70 , 12.89 , 12.90 
11 , 22 , 2010 , 13.32 , 12.84 , 12.85 , 12.99 
11 , 23 , 2010 , 12.90 , 12.70 , 12.80 , 12.80 
11 , 24 , 2010 , 12.93 , 12.50 , 12.88 , 12.66 
11 , 26 , 2010 , 12.93 , 12.56 , 12.56 , 12.83 
11 , 29 , 2010 , 13.11 , 12.60 , 12.81 , 12.73 
11 , 30 , 2010 , 12.84 , 12.31 , 12.60 , 12.58 
12 , 1 , 2010 , 13.46 , 12.60 , 12.74 , 13.26 
12 , 2 , 2010 , 14.00 , 13.16 , 13.35 , 13.98 
12 , 3 , 2010 , 17.28 , 13.78 , 13.98 , 16.14 
12 , 6 , 2010 , 16.39 , 15.41 , 16.00 , 15.94 
12 , 7 , 2010 , 16.43 , 15.73 , 16.00 , 16.37 
12 , 8 , 2010 , 18.80 , 16.80 , 16.80 , 18.44 
12 , 9 , 2010 , 20.43 , 18.78 , 18.78 , 19.13 
12 , 10 , 2010 , 20.20 , 18.41 , 19.20 , 19.95 
12 , 13 , 2010 , 20.00 , 18.55 , 20.00 , 18.86 
12 , 14 , 2010 , 19.38 , 18.28 , 18.90 , 18.73 
12 , 15 , 2010 , 19.00 , 18.09 , 18.70 , 18.33 
12 , 16 , 2010 , 18.67 , 18.19 , 18.42 , 18.44 
12 , 17 , 2010 , 18.68 , 18.00 , 18.51 , 18.11 
12 , 20 , 2010 , 19.30 , 18.05 , 18.16 , 18.60 
12 , 21 , 2010 , 20.00 , 18.60 , 18.86 , 19.25 
12 , 22 , 2010 , 21.57 , 19.71 , 19.71 , 20.25 
12 , 23 , 2010 , 20.20 , 19.58 , 20.20 , 20.09 
12 , 27 , 2010 , 20.28 , 19.70 , 20.00 , 20.20 
12 , 28 , 2010 , 20.81 , 20.00 , 20.46 , 20.29 
12 , 29 , 2010 , 20.71 , 20.41 , 20.62 , 20.71 
12 , 30 , 2010 , 20.88 , 20.62 , 20.73 , 20.70 
12 , 31 , 2010 , 21.10 , 20.42 , 20.60 , 20.93 
1 , 3 , 2011 , 21.52 , 20.64 , 21.20 , 21.43 
1 , 4 , 2011 , 22.75 , 21.17 , 21.90 , 22.01 
1 , 5 , 2011 , 23.60 , 21.68 , 21.87 , 23.38 
1 , 6 , 2011 , 23.80 , 22.76 , 23.73 , 23.24 
1 , 7 , 2011 , 23.33 , 22.68 , 23.33 , 22.92 
1 , 10 , 2011 , 23.61 , 22.70 , 22.75 , 23.42 
1 , 11 , 2011 , 24.07 , 23.63 , 23.82 , 24.00 
1 , 12 , 2011 , 24.58 , 23.28 , 24.50 , 23.60 
1 , 13 , 2011 , 23.86 , 22.99 , 23.86 , 23.33 
1 , 14 , 2011 , 23.43 , 22.85 , 23.33 , 23.39 
1 , 18 , 2011 , 23.69 , 23.28 , 23.32 , 23.58 
1 , 19 , 2011 , 23.79 , 22.52 , 23.60 , 22.96 
1 , 20 , 2011 , 22.75 , 21.49 , 22.75 , 21.67 
1 , 21 , 2011 , 22.93 , 21.64 , 22.15 , 21.97 
1 , 24 , 2011 , 22.76 , 22.00 , 22.06 , 22.65 
1 , 25 , 2011 , 26.18 , 22.65 , 22.65 , 24.28 
1 , 26 , 2011 , 26.46 , 24.00 , 24.71 , 25.99 
1 , 27 , 2011 , 26.84 , 25.50 , 26.36 , 26.08 
1 , 28 , 2011 , 26.05 , 24.25 , 26.00 , 24.57 
1 , 31 , 2011 , 25.84 , 24.61 , 24.81 , 25.74 
2 , 1 , 2011 , 27.37 , 25.82 , 26.48 , 27.23 
2 , 2 , 2011 , 27.63 , 26.03 , 27.48 , 27.19 
2 , 3 , 2011 , 28.25 , 26.99 , 27.75 , 27.20 
2 , 4 , 2011 , 27.58 , 27.10 , 27.54 , 27.35 
2 , 7 , 2011 , 27.10 , 26.15 , 26.93 , 26.31 
2 , 8 , 2011 , 26.65 , 26.12 , 26.42 , 26.38 
2 , 9 , 2011 , 26.97 , 25.81 , 26.30 , 26.54 
2 , 10 , 2011 , 27.20 , 25.90 , 27.06 , 26.17 
2 , 11 , 2011 , 26.62 , 25.20 , 26.11 , 25.27 
2 , 14 , 2011 , 25.95 , 25.00 , 25.95 , 25.44 
2 , 15 , 2011 , 26.19 , 24.20 , 24.72 , 25.01 
2 , 16 , 2011 , 27.80 , 25.41 , 25.47 , 26.93 
2 , 17 , 2011 , 27.65 , 26.70 , 27.30 , 27.31 
2 , 18 , 2011 , 30.74 , 27.41 , 27.62 , 29.30 
2 , 22 , 2011 , 31.78 , 28.30 , 28.88 , 29.45 
2 , 23 , 2011 , 30.09 , 27.81 , 29.90 , 28.41 
2 , 24 , 2011 , 29.29 , 28.10 , 28.37 , 29.12 
2 , 25 , 2011 , 30.81 , 29.35 , 29.54 , 30.55 
2 , 28 , 2011 , 32.36 , 30.50 , 31.45 , 31.95 
3 , 1 , 2011 , 33.87 , 29.83 , 32.11 , 29.98 
3 , 2 , 2011 , 30.71 , 29.01 , 30.00 , 29.25 
3 , 3 , 2011 , 31.69 , 29.47 , 30.37 , 31.17 
3 , 4 , 2011 , 31.77 , 30.39 , 31.50 , 30.75 
3 , 7 , 2011 , 31.71 , 28.16 , 31.71 , 29.16 
3 , 8 , 2011 , 29.79 , 28.41 , 29.01 , 28.71 
3 , 9 , 2011 , 29.65 , 27.58 , 29.30 , 27.78 
3 , 10 , 2011 , 27.44 , 25.32 , 26.42 , 26.51 
3 , 11 , 2011 , 27.63 , 26.13 , 26.28 , 27.46 
3 , 14 , 2011 , 26.75 , 24.87 , 26.26 , 25.83 
3 , 15 , 2011 , 26.45 , 24.32 , 25.00 , 26.28 
3 , 16 , 2011 , 27.12 , 25.39 , 26.27 , 25.94 
3 , 17 , 2011 , 27.95 , 26.12 , 26.59 , 26.94 
3 , 18 , 2011 , 27.80 , 27.28 , 27.74 , 27.55 
3 , 21 , 2011 , 28.33 , 27.61 , 27.98 , 27.85 
3 , 22 , 2011 , 27.93 , 27.02 , 27.61 , 27.22 
3 , 23 , 2011 , 27.46 , 26.42 , 27.15 , 27.07 
3 , 24 , 2011 , 28.40 , 27.38 , 28.20 , 28.30 
3 , 25 , 2011 , 28.69 , 27.80 , 28.63 , 27.88 
3 , 28 , 2011 , 29.23 , 27.46 , 28.25 , 28.69 
3 , 29 , 2011 , 31.68 , 28.46 , 28.46 , 31.29 
3 , 30 , 2011 , 32.55 , 30.62 , 31.76 , 31.38 
3 , 31 , 2011 , 31.11 , 29.82 , 30.67 , 29.97 
4 , 1 , 2011 , 30.74 , 29.97 , 30.35 , 30.59 
4 , 4 , 2011 , 31.26 , 30.07 , 30.88 , 31.13 
4 , 5 , 2011 , 32.41 , 30.60 , 31.37 , 31.99 
4 , 6 , 2011 , 33.75 , 32.05 , 32.68 , 33.26 
4 , 7 , 2011 , 33.81 , 32.25 , 33.65 , 32.94 
4 , 8 , 2011 , 34.80 , 32.18 , 34.25 , 32.62 
4 , 11 , 2011 , 33.84 , 31.90 , 33.50 , 32.21 
4 , 12 , 2011 , 32.12 , 30.80 , 31.80 , 31.02 
4 , 13 , 2011 , 31.90 , 31.05 , 31.71 , 31.54 
