Month , Day , Year , High , Low , Open , Close
3 , 17 , 2010 , 29.44 , 29.01 , 29.01 , 29.25 
3 , 18 , 2010 , 29.87 , 29.13 , 29.15 , 29.52 
3 , 19 , 2010 , 29.54 , 28.72 , 29.54 , 29.01 
3 , 22 , 2010 , 29.52 , 28.84 , 28.84 , 29.47 
3 , 23 , 2010 , 29.38 , 29.05 , 29.06 , 29.26 
3 , 24 , 2010 , 30.12 , 29.04 , 29.04 , 29.67 
3 , 25 , 2010 , 29.90 , 29.52 , 29.78 , 29.55 
3 , 26 , 2010 , 29.87 , 29.54 , 29.65 , 29.80 
3 , 29 , 2010 , 29.90 , 29.63 , 29.90 , 29.86 
3 , 30 , 2010 , 29.87 , 29.44 , 29.70 , 29.76 
3 , 31 , 2010 , 30.20 , 29.65 , 29.69 , 29.72 
4 , 1 , 2010 , 29.92 , 29.23 , 29.92 , 29.48 
4 , 5 , 2010 , 30.08 , 29.49 , 29.70 , 30.07 
4 , 6 , 2010 , 30.81 , 29.86 , 29.86 , 30.53 
4 , 7 , 2010 , 30.91 , 30.47 , 30.63 , 30.72 
4 , 8 , 2010 , 30.78 , 30.52 , 30.60 , 30.66 
4 , 9 , 2010 , 30.91 , 30.50 , 30.70 , 30.75 
4 , 12 , 2010 , 30.97 , 30.36 , 30.97 , 30.41 
4 , 13 , 2010 , 31.08 , 30.27 , 30.33 , 30.97 
4 , 14 , 2010 , 31.55 , 30.89 , 31.19 , 31.51 
4 , 15 , 2010 , 31.51 , 30.85 , 31.47 , 30.87 
4 , 16 , 2010 , 31.20 , 30.39 , 30.78 , 30.44 
4 , 19 , 2010 , 30.84 , 30.11 , 30.25 , 30.51 
4 , 20 , 2010 , 31.02 , 30.17 , 30.57 , 30.96 
4 , 21 , 2010 , 31.81 , 30.89 , 30.89 , 31.62 
4 , 22 , 2010 , 32.18 , 31.27 , 31.37 , 32.09 
4 , 23 , 2010 , 32.44 , 31.83 , 32.09 , 32.24 
4 , 26 , 2010 , 32.89 , 32.15 , 32.27 , 32.51 
4 , 27 , 2010 , 32.79 , 31.83 , 32.50 , 31.85 
4 , 28 , 2010 , 32.36 , 31.96 , 32.10 , 32.12 
4 , 29 , 2010 , 33.44 , 31.95 , 32.47 , 33.29 
4 , 30 , 2010 , 33.19 , 31.74 , 32.62 , 31.75 
5 , 3 , 2010 , 32.09 , 31.09 , 31.41 , 31.87 
5 , 4 , 2010 , 31.78 , 30.62 , 31.43 , 30.83 
5 , 5 , 2010 , 30.79 , 29.67 , 30.46 , 30.54 
5 , 6 , 2010 , 30.57 , 27.52 , 30.24 , 29.07 
5 , 7 , 2010 , 30.07 , 28.64 , 29.07 , 29.28 
5 , 10 , 2010 , 30.88 , 30.02 , 30.11 , 30.87 
5 , 11 , 2010 , 31.59 , 30.57 , 30.63 , 31.35 
5 , 12 , 2010 , 31.91 , 31.23 , 31.38 , 31.68 
5 , 13 , 2010 , 31.87 , 31.37 , 31.69 , 31.42 
5 , 14 , 2010 , 31.36 , 30.60 , 31.31 , 30.73 
5 , 17 , 2010 , 31.16 , 29.89 , 30.88 , 30.53 
5 , 18 , 2010 , 31.23 , 30.22 , 30.93 , 30.25 
5 , 19 , 2010 , 30.44 , 29.20 , 30.02 , 29.71 
5 , 20 , 2010 , 29.54 , 28.56 , 29.06 , 28.71 
5 , 21 , 2010 , 29.91 , 27.98 , 28.37 , 29.80 
5 , 24 , 2010 , 30.26 , 29.34 , 30.26 , 29.37 
5 , 25 , 2010 , 30.03 , 28.25 , 28.64 , 29.96 
5 , 26 , 2010 , 30.89 , 29.60 , 30.17 , 29.70 
5 , 27 , 2010 , 30.99 , 29.92 , 30.20 , 30.94 
5 , 28 , 2010 , 30.93 , 30.14 , 30.83 , 30.16 
6 , 1 , 2010 , 30.28 , 29.50 , 30.03 , 29.57 
6 , 2 , 2010 , 30.39 , 29.41 , 29.82 , 30.39 
6 , 3 , 2010 , 30.67 , 29.95 , 30.67 , 30.17 
6 , 4 , 2010 , 29.95 , 28.57 , 29.80 , 28.66 
6 , 7 , 2010 , 29.41 , 28.57 , 28.68 , 28.75 
6 , 8 , 2010 , 29.41 , 28.28 , 28.75 , 29.31 
6 , 9 , 2010 , 30.07 , 29.19 , 29.54 , 29.37 
6 , 10 , 2010 , 30.50 , 29.69 , 29.89 , 30.47 
6 , 11 , 2010 , 30.82 , 30.10 , 30.22 , 30.82 
6 , 14 , 2010 , 31.37 , 30.73 , 31.04 , 31.23 
6 , 15 , 2010 , 31.99 , 31.16 , 31.39 , 31.99 
6 , 16 , 2010 , 32.10 , 31.19 , 31.26 , 31.48 
6 , 17 , 2010 , 31.71 , 31.12 , 31.36 , 31.66 
6 , 18 , 2010 , 31.71 , 31.03 , 31.69 , 31.08 
6 , 21 , 2010 , 31.64 , 30.63 , 31.35 , 30.74 
6 , 22 , 2010 , 31.06 , 29.88 , 30.86 , 29.90 
6 , 23 , 2010 , 30.47 , 29.69 , 29.99 , 30.03 
6 , 24 , 2010 , 30.67 , 29.66 , 29.92 , 29.68 
6 , 25 , 2010 , 30.94 , 29.78 , 30.09 , 30.85 
6 , 28 , 2010 , 31.06 , 30.13 , 30.74 , 30.35 
6 , 29 , 2010 , 30.20 , 29.58 , 30.05 , 29.68 
6 , 30 , 2010 , 30.32 , 29.30 , 29.70 , 29.37 
7 , 1 , 2010 , 29.45 , 28.57 , 29.34 , 29.26 
7 , 2 , 2010 , 29.74 , 28.97 , 29.37 , 29.34 
7 , 6 , 2010 , 29.83 , 28.20 , 29.72 , 28.40 
7 , 7 , 2010 , 30.08 , 28.53 , 28.53 , 30.08 
7 , 8 , 2010 , 30.73 , 29.79 , 30.47 , 30.40 
7 , 9 , 2010 , 30.67 , 30.21 , 30.27 , 30.60 
7 , 12 , 2010 , 30.67 , 30.20 , 30.52 , 30.38 
7 , 13 , 2010 , 30.99 , 30.40 , 30.60 , 30.90 
7 , 14 , 2010 , 31.11 , 30.50 , 30.90 , 30.93 
7 , 15 , 2010 , 30.98 , 30.38 , 30.87 , 30.83 
7 , 16 , 2010 , 30.76 , 29.61 , 30.72 , 29.76 
7 , 19 , 2010 , 30.22 , 29.54 , 29.92 , 30.01 
7 , 20 , 2010 , 30.45 , 29.46 , 29.68 , 30.26 
7 , 21 , 2010 , 30.53 , 29.69 , 30.53 , 29.71 
7 , 22 , 2010 , 30.94 , 30.01 , 30.04 , 30.85 
7 , 23 , 2010 , 31.16 , 30.22 , 30.82 , 31.09 
7 , 26 , 2010 , 31.85 , 30.99 , 31.00 , 31.80 
7 , 27 , 2010 , 32.12 , 31.36 , 31.95 , 31.76 
7 , 28 , 2010 , 32.00 , 31.31 , 31.78 , 31.57 
7 , 29 , 2010 , 31.95 , 30.71 , 31.73 , 30.80 
7 , 30 , 2010 , 31.28 , 30.36 , 30.57 , 31.08 
8 , 2 , 2010 , 32.12 , 31.46 , 31.59 , 32.10 
8 , 3 , 2010 , 32.05 , 31.34 , 32.04 , 31.60 
8 , 4 , 2010 , 31.87 , 31.54 , 31.81 , 31.68 
8 , 5 , 2010 , 31.69 , 31.24 , 31.55 , 31.26 
8 , 6 , 2010 , 31.47 , 30.81 , 30.81 , 31.37 
8 , 9 , 2010 , 31.85 , 31.32 , 31.55 , 31.75 
8 , 10 , 2010 , 32.03 , 31.44 , 31.44 , 31.70 
8 , 11 , 2010 , 31.83 , 31.20 , 31.21 , 31.39 
8 , 12 , 2010 , 31.40 , 30.89 , 31.14 , 30.95 
8 , 13 , 2010 , 31.79 , 30.92 , 30.94 , 31.45 
8 , 16 , 2010 , 31.79 , 31.29 , 31.31 , 31.62 
8 , 17 , 2010 , 32.18 , 31.63 , 31.89 , 31.99 
8 , 18 , 2010 , 32.12 , 31.62 , 31.85 , 31.79 
8 , 19 , 2010 , 32.15 , 30.99 , 31.96 , 31.17 
8 , 20 , 2010 , 31.35 , 30.93 , 31.09 , 31.06 
8 , 23 , 2010 , 31.31 , 30.93 , 31.14 , 30.98 
8 , 24 , 2010 , 31.44 , 30.55 , 30.68 , 31.08 
8 , 25 , 2010 , 31.61 , 30.74 , 30.76 , 31.49 
8 , 26 , 2010 , 31.77 , 31.32 , 31.65 , 31.36 
8 , 27 , 2010 , 31.70 , 30.93 , 31.68 , 31.66 
8 , 30 , 2010 , 31.68 , 31.18 , 31.51 , 31.21 
8 , 31 , 2010 , 31.67 , 31.04 , 31.15 , 31.56 
9 , 1 , 2010 , 32.41 , 31.66 , 31.86 , 32.40 
9 , 2 , 2010 , 32.72 , 32.19 , 32.48 , 32.71 
9 , 3 , 2010 , 32.97 , 32.44 , 32.84 , 32.71 
9 , 7 , 2010 , 32.63 , 31.96 , 32.50 , 31.99 
9 , 8 , 2010 , 32.27 , 32.03 , 32.13 , 32.12 
9 , 9 , 2010 , 32.70 , 31.89 , 32.70 , 31.89 
9 , 10 , 2010 , 32.10 , 31.84 , 31.87 , 32.02 
9 , 13 , 2010 , 32.66 , 32.14 , 32.25 , 32.64 
9 , 14 , 2010 , 33.02 , 32.45 , 32.53 , 32.88 
9 , 15 , 2010 , 33.32 , 32.57 , 32.74 , 33.01 
9 , 16 , 2010 , 33.09 , 32.57 , 32.92 , 32.71 
9 , 17 , 2010 , 32.91 , 32.42 , 32.83 , 32.86 
9 , 20 , 2010 , 33.69 , 32.78 , 32.89 , 33.61 
9 , 21 , 2010 , 33.61 , 33.01 , 33.49 , 33.04 
9 , 22 , 2010 , 33.29 , 32.74 , 32.98 , 32.76 
9 , 23 , 2010 , 32.45 , 31.71 , 31.84 , 32.43 
9 , 24 , 2010 , 32.76 , 32.15 , 32.76 , 32.74 
9 , 27 , 2010 , 32.73 , 32.23 , 32.73 , 32.44 
9 , 28 , 2010 , 32.78 , 32.28 , 32.45 , 32.75 
9 , 29 , 2010 , 32.83 , 32.48 , 32.54 , 32.71 
9 , 30 , 2010 , 32.87 , 32.33 , 32.82 , 32.65 
10 , 1 , 2010 , 32.90 , 32.54 , 32.83 , 32.90 
10 , 4 , 2010 , 33.12 , 32.66 , 32.83 , 33.12 
10 , 5 , 2010 , 33.31 , 32.93 , 33.27 , 33.23 
10 , 6 , 2010 , 33.24 , 33.03 , 33.23 , 33.24 
10 , 7 , 2010 , 33.31 , 33.05 , 33.31 , 33.13 
10 , 8 , 2010 , 33.36 , 33.02 , 33.13 , 33.14 
10 , 11 , 2010 , 33.31 , 32.99 , 33.02 , 33.15 
10 , 12 , 2010 , 33.41 , 33.01 , 33.19 , 33.37 
10 , 13 , 2010 , 33.87 , 33.27 , 33.43 , 33.56 
10 , 14 , 2010 , 33.65 , 33.12 , 33.34 , 33.20 
10 , 15 , 2010 , 33.61 , 33.24 , 33.45 , 33.52 
10 , 18 , 2010 , 33.97 , 33.31 , 33.31 , 33.97 
10 , 19 , 2010 , 33.97 , 33.49 , 33.57 , 33.77 
10 , 20 , 2010 , 34.83 , 33.77 , 33.79 , 34.52 
10 , 21 , 2010 , 34.76 , 34.21 , 34.55 , 34.44 
10 , 22 , 2010 , 34.61 , 34.18 , 34.52 , 34.37 
10 , 25 , 2010 , 34.55 , 34.21 , 34.50 , 34.37 
10 , 26 , 2010 , 34.40 , 34.03 , 34.33 , 34.05 
10 , 27 , 2010 , 34.27 , 33.80 , 33.82 , 34.03 
10 , 28 , 2010 , 33.89 , 33.05 , 33.51 , 33.33 
10 , 29 , 2010 , 33.61 , 33.20 , 33.23 , 33.20 
11 , 1 , 2010 , 33.54 , 33.13 , 33.36 , 33.36 
11 , 2 , 2010 , 33.85 , 33.13 , 33.57 , 33.16 
11 , 3 , 2010 , 33.38 , 33.12 , 33.17 , 33.23 
11 , 4 , 2010 , 34.05 , 33.46 , 33.50 , 34.02 
11 , 5 , 2010 , 34.35 , 33.86 , 33.98 , 34.11 
11 , 8 , 2010 , 34.16 , 33.60 , 34.01 , 33.95 
11 , 9 , 2010 , 34.11 , 32.95 , 34.11 , 33.11 
11 , 10 , 2010 , 33.48 , 32.84 , 33.11 , 33.03 
11 , 11 , 2010 , 33.23 , 32.84 , 32.90 , 32.96 
11 , 12 , 2010 , 33.06 , 32.57 , 32.75 , 32.79 
11 , 15 , 2010 , 33.13 , 32.70 , 32.99 , 32.75 
11 , 16 , 2010 , 32.69 , 31.87 , 32.55 , 32.08 
11 , 17 , 2010 , 32.72 , 32.12 , 32.13 , 32.59 
11 , 18 , 2010 , 33.04 , 32.17 , 32.92 , 32.29 
11 , 19 , 2010 , 32.69 , 31.96 , 32.29 , 32.62 
11 , 22 , 2010 , 32.85 , 32.45 , 32.50 , 32.78 
11 , 23 , 2010 , 32.89 , 32.49 , 32.51 , 32.75 
11 , 24 , 2010 , 33.38 , 32.87 , 33.01 , 33.30 
11 , 26 , 2010 , 33.48 , 33.11 , 33.11 , 33.31 
11 , 29 , 2010 , 33.41 , 32.85 , 33.11 , 33.23 
11 , 30 , 2010 , 33.18 , 32.67 , 33.01 , 32.97 
12 , 1 , 2010 , 33.26 , 32.59 , 33.26 , 32.92 
12 , 2 , 2010 , 33.09 , 32.83 , 32.92 , 33.02 
12 , 3 , 2010 , 32.94 , 32.05 , 32.28 , 32.94 
12 , 6 , 2010 , 32.91 , 32.65 , 32.85 , 32.77 
12 , 7 , 2010 , 33.16 , 32.69 , 32.79 , 32.98 
12 , 8 , 2010 , 33.06 , 32.16 , 33.02 , 32.35 
12 , 9 , 2010 , 32.61 , 32.13 , 32.47 , 32.17 
12 , 10 , 2010 , 32.61 , 32.11 , 32.24 , 32.53 
12 , 13 , 2010 , 32.85 , 32.48 , 32.68 , 32.78 
12 , 14 , 2010 , 33.14 , 32.68 , 32.73 , 32.74 
12 , 15 , 2010 , 32.92 , 32.09 , 32.81 , 32.11 
12 , 16 , 2010 , 32.46 , 32.10 , 32.12 , 32.26 
12 , 17 , 2010 , 32.82 , 32.28 , 32.36 , 32.82 
12 , 20 , 2010 , 33.17 , 32.70 , 32.82 , 33.05 
12 , 21 , 2010 , 33.27 , 33.06 , 33.13 , 33.27 
12 , 22 , 2010 , 33.67 , 33.23 , 33.23 , 33.52 
12 , 23 , 2010 , 33.52 , 33.10 , 33.51 , 33.14 
12 , 27 , 2010 , 33.51 , 32.99 , 32.99 , 33.51 
12 , 28 , 2010 , 33.62 , 33.30 , 33.62 , 33.55 
12 , 29 , 2010 , 33.65 , 33.34 , 33.63 , 33.53 
12 , 30 , 2010 , 33.47 , 33.26 , 33.39 , 33.32 
12 , 31 , 2010 , 33.38 , 33.12 , 33.26 , 33.12 
1 , 3 , 2011 , 33.51 , 33.12 , 33.32 , 33.49 
1 , 4 , 2011 , 33.60 , 32.60 , 33.57 , 32.82 
1 , 5 , 2011 , 32.95 , 32.65 , 32.78 , 32.79 
1 , 6 , 2011 , 32.91 , 32.54 , 32.73 , 32.57 
1 , 7 , 2011 , 32.91 , 32.52 , 32.62 , 32.74 
1 , 10 , 2011 , 32.82 , 32.42 , 32.61 , 32.64 
1 , 11 , 2011 , 32.86 , 32.34 , 32.73 , 32.49 
1 , 12 , 2011 , 32.75 , 32.34 , 32.75 , 32.54 
1 , 13 , 2011 , 32.71 , 32.43 , 32.57 , 32.62 
1 , 14 , 2011 , 32.72 , 32.50 , 32.62 , 32.64 
1 , 18 , 2011 , 33.35 , 32.58 , 32.79 , 33.33 
1 , 19 , 2011 , 33.40 , 32.80 , 33.40 , 32.89 
1 , 20 , 2011 , 33.03 , 32.59 , 32.78 , 32.63 
1 , 21 , 2011 , 32.92 , 32.52 , 32.74 , 32.76 
1 , 24 , 2011 , 33.29 , 32.86 , 32.91 , 33.11 
1 , 25 , 2011 , 33.62 , 33.00 , 33.10 , 33.62 
1 , 26 , 2011 , 33.87 , 33.41 , 33.77 , 33.71 
1 , 27 , 2011 , 34.09 , 33.69 , 33.97 , 34.01 
1 , 28 , 2011 , 33.96 , 33.41 , 33.96 , 33.45 
1 , 31 , 2011 , 34.00 , 33.55 , 33.65 , 33.85 
2 , 1 , 2011 , 34.11 , 33.58 , 34.11 , 33.97 
2 , 2 , 2011 , 33.97 , 33.71 , 33.89 , 33.72 
2 , 3 , 2011 , 34.06 , 33.60 , 33.75 , 33.89 
2 , 4 , 2011 , 34.05 , 33.35 , 34.04 , 33.46 
2 , 7 , 2011 , 33.83 , 33.54 , 33.60 , 33.73 
2 , 8 , 2011 , 33.92 , 33.68 , 33.83 , 33.87 
2 , 9 , 2011 , 34.03 , 33.73 , 33.84 , 33.76 
2 , 10 , 2011 , 34.03 , 33.65 , 33.88 , 33.93 
2 , 11 , 2011 , 33.98 , 33.52 , 33.73 , 33.70 
2 , 14 , 2011 , 34.04 , 33.61 , 33.88 , 33.99 
2 , 15 , 2011 , 34.01 , 33.60 , 33.95 , 33.68 
2 , 16 , 2011 , 34.03 , 33.72 , 33.87 , 33.92 
2 , 17 , 2011 , 34.25 , 33.84 , 34.05 , 34.19 
2 , 18 , 2011 , 34.36 , 34.16 , 34.27 , 34.36 
2 , 22 , 2011 , 34.65 , 34.14 , 34.17 , 34.35 
2 , 23 , 2011 , 34.52 , 34.14 , 34.34 , 34.14 
2 , 24 , 2011 , 34.25 , 33.73 , 34.09 , 33.91 
2 , 25 , 2011 , 34.52 , 33.93 , 33.93 , 34.51 
2 , 28 , 2011 , 34.98 , 34.53 , 34.85 , 34.83 
3 , 1 , 2011 , 34.86 , 34.02 , 34.86 , 34.05 
3 , 2 , 2011 , 34.37 , 33.78 , 34.09 , 33.78 
3 , 3 , 2011 , 34.26 , 33.90 , 34.12 , 34.04 
3 , 4 , 2011 , 34.16 , 33.71 , 34.13 , 33.78 
3 , 7 , 2011 , 34.11 , 33.71 , 33.98 , 33.83 
3 , 8 , 2011 , 34.47 , 33.86 , 33.92 , 34.14 
