Month , Day , Year , High , Low , Open , Close
3 , 17 , 2010 , 23.46 , 23.18 , 23.43 , 23.38 
3 , 18 , 2010 , 23.49 , 23.28 , 23.39 , 23.40 
3 , 19 , 2010 , 23.44 , 22.79 , 23.42 , 22.98 
3 , 22 , 2010 , 22.95 , 22.60 , 22.74 , 22.93 
3 , 23 , 2010 , 23.29 , 22.91 , 22.93 , 23.21 
3 , 24 , 2010 , 23.23 , 22.98 , 23.11 , 23.07 
3 , 25 , 2010 , 23.26 , 22.80 , 23.17 , 22.83 
3 , 26 , 2010 , 22.94 , 22.59 , 22.92 , 22.65 
3 , 29 , 2010 , 23.03 , 22.70 , 22.76 , 23.03 
3 , 30 , 2010 , 23.10 , 22.92 , 23.03 , 23.04 
3 , 31 , 2010 , 23.00 , 22.77 , 22.98 , 22.83 
4 , 1 , 2010 , 23.39 , 22.93 , 22.93 , 23.39 
4 , 5 , 2010 , 23.75 , 23.42 , 23.42 , 23.73 
4 , 6 , 2010 , 24.02 , 23.63 , 23.68 , 24.00 
4 , 7 , 2010 , 23.98 , 23.64 , 23.96 , 23.80 
4 , 8 , 2010 , 23.72 , 23.40 , 23.72 , 23.56 
4 , 9 , 2010 , 23.80 , 23.42 , 23.57 , 23.79 
4 , 12 , 2010 , 23.99 , 23.75 , 23.76 , 23.87 
4 , 13 , 2010 , 23.88 , 23.49 , 23.87 , 23.77 
4 , 14 , 2010 , 23.95 , 23.71 , 23.82 , 23.94 
4 , 15 , 2010 , 24.00 , 23.82 , 23.86 , 23.93 
4 , 16 , 2010 , 24.05 , 23.62 , 23.80 , 23.73 
4 , 19 , 2010 , 23.81 , 23.56 , 23.60 , 23.70 
4 , 20 , 2010 , 24.27 , 23.74 , 23.84 , 24.25 
4 , 21 , 2010 , 24.34 , 24.15 , 24.19 , 24.28 
4 , 22 , 2010 , 24.61 , 24.15 , 24.18 , 24.60 
4 , 23 , 2010 , 25.03 , 24.45 , 24.54 , 25.02 
4 , 26 , 2010 , 25.28 , 25.00 , 25.03 , 25.10 
4 , 27 , 2010 , 25.22 , 24.23 , 25.01 , 24.27 
4 , 28 , 2010 , 24.65 , 24.12 , 24.28 , 24.43 
4 , 29 , 2010 , 24.99 , 24.53 , 24.56 , 24.60 
4 , 30 , 2010 , 24.92 , 24.49 , 24.74 , 24.57 
5 , 3 , 2010 , 25.43 , 24.66 , 24.66 , 25.36 
5 , 4 , 2010 , 25.14 , 24.79 , 25.12 , 24.88 
5 , 5 , 2010 , 24.76 , 24.13 , 24.66 , 24.24 
5 , 6 , 2010 , 24.52 , 14.78 , 24.19 , 23.20 
5 , 7 , 2010 , 23.60 , 22.65 , 23.25 , 23.00 
5 , 10 , 2010 , 24.36 , 23.73 , 23.97 , 24.23 
5 , 11 , 2010 , 24.85 , 23.90 , 23.90 , 24.41 
5 , 12 , 2010 , 24.88 , 24.36 , 24.37 , 24.79 
5 , 13 , 2010 , 24.79 , 24.32 , 24.79 , 24.35 
5 , 14 , 2010 , 24.27 , 23.43 , 24.15 , 23.62 
5 , 17 , 2010 , 24.00 , 23.03 , 23.63 , 23.49 
5 , 18 , 2010 , 23.90 , 22.96 , 23.64 , 22.99 
5 , 19 , 2010 , 22.93 , 22.17 , 22.82 , 22.64 
5 , 20 , 2010 , 22.12 , 21.40 , 22.05 , 21.45 
5 , 21 , 2010 , 21.66 , 20.76 , 20.83 , 21.61 
5 , 24 , 2010 , 21.72 , 21.29 , 21.56 , 21.40 
5 , 25 , 2010 , 21.02 , 20.38 , 20.84 , 21.00 
5 , 26 , 2010 , 22.03 , 21.11 , 21.22 , 21.48 
5 , 27 , 2010 , 22.33 , 21.81 , 21.89 , 22.31 
5 , 28 , 2010 , 22.57 , 22.18 , 22.29 , 22.24 
6 , 1 , 2010 , 22.24 , 21.42 , 21.97 , 21.42 
6 , 2 , 2010 , 22.38 , 21.47 , 21.50 , 22.38 
6 , 3 , 2010 , 22.71 , 22.35 , 22.39 , 22.65 
6 , 4 , 2010 , 22.38 , 21.51 , 22.19 , 21.69 
