Month , Day , Year , High , Low , Open , Close
3 , 17 , 2010 , 25.70 , 25.14 , 25.23 , 25.47 
3 , 18 , 2010 , 25.60 , 25.27 , 25.43 , 25.38 
3 , 19 , 2010 , 25.73 , 24.95 , 25.55 , 25.19 
3 , 22 , 2010 , 25.70 , 25.16 , 25.19 , 25.56 
3 , 23 , 2010 , 26.00 , 25.54 , 25.67 , 25.99 
3 , 24 , 2010 , 26.00 , 25.70 , 25.98 , 25.76 
3 , 25 , 2010 , 26.25 , 25.72 , 25.95 , 26.04 
3 , 26 , 2010 , 26.00 , 25.37 , 25.70 , 25.69 
3 , 29 , 2010 , 25.85 , 25.41 , 25.65 , 25.57 
3 , 30 , 2010 , 25.58 , 25.22 , 25.48 , 25.54 
3 , 31 , 2010 , 25.79 , 25.30 , 25.33 , 25.71 
4 , 1 , 2010 , 25.95 , 25.20 , 25.78 , 25.46 
4 , 5 , 2010 , 25.74 , 25.35 , 25.51 , 25.58 
4 , 6 , 2010 , 25.94 , 25.30 , 25.37 , 25.83 
4 , 7 , 2010 , 25.99 , 25.75 , 25.76 , 25.91 
4 , 8 , 2010 , 26.09 , 25.72 , 25.88 , 25.83 
4 , 9 , 2010 , 26.14 , 25.65 , 25.80 , 26.13 
4 , 12 , 2010 , 26.28 , 25.85 , 26.06 , 26.20 
4 , 13 , 2010 , 26.63 , 26.00 , 26.01 , 26.35 
4 , 14 , 2010 , 26.50 , 26.20 , 26.34 , 26.38 
4 , 15 , 2010 , 26.40 , 26.14 , 26.29 , 26.20 
4 , 16 , 2010 , 26.37 , 25.91 , 26.09 , 25.95 
4 , 19 , 2010 , 26.30 , 25.87 , 25.98 , 26.19 
4 , 20 , 2010 , 26.41 , 26.02 , 26.38 , 26.15 
4 , 21 , 2010 , 26.33 , 25.98 , 26.12 , 26.29 
4 , 22 , 2010 , 26.31 , 25.86 , 26.14 , 26.24 
4 , 23 , 2010 , 26.52 , 26.16 , 26.17 , 26.48 
4 , 26 , 2010 , 26.61 , 26.25 , 26.50 , 26.47 
4 , 27 , 2010 , 26.52 , 25.90 , 26.34 , 25.98 
4 , 28 , 2010 , 26.11 , 25.78 , 26.02 , 25.86 
4 , 29 , 2010 , 26.14 , 25.71 , 25.99 , 25.97 
4 , 30 , 2010 , 26.10 , 25.69 , 26.07 , 25.87 
5 , 3 , 2010 , 26.15 , 25.71 , 26.05 , 26.01 
5 , 4 , 2010 , 25.67 , 24.71 , 25.58 , 24.97 
5 , 5 , 2010 , 25.12 , 24.63 , 24.92 , 24.94 
5 , 6 , 2010 , 24.97 , 22.20 , 24.86 , 23.91 
5 , 7 , 2010 , 24.26 , 23.11 , 23.93 , 23.41 
5 , 10 , 2010 , 25.13 , 23.99 , 24.03 , 24.39 
5 , 11 , 2010 , 24.61 , 24.11 , 24.25 , 24.19 
5 , 12 , 2010 , 24.70 , 24.19 , 24.21 , 24.60 
5 , 13 , 2010 , 24.55 , 24.20 , 24.42 , 24.24 
5 , 14 , 2010 , 24.12 , 23.54 , 24.10 , 23.78 
5 , 17 , 2010 , 23.89 , 23.33 , 23.89 , 23.74 
5 , 18 , 2010 , 23.95 , 23.31 , 23.80 , 23.43 
5 , 19 , 2010 , 23.50 , 23.02 , 23.22 , 23.19 
5 , 20 , 2010 , 23.03 , 22.34 , 22.95 , 22.35 
5 , 21 , 2010 , 22.36 , 21.55 , 21.62 , 22.16 
5 , 24 , 2010 , 22.67 , 21.85 , 22.04 , 22.28 
5 , 25 , 2010 , 22.20 , 21.63 , 21.77 , 22.20 
5 , 26 , 2010 , 22.62 , 21.75 , 22.32 , 21.91 
5 , 27 , 2010 , 22.61 , 22.27 , 22.35 , 22.58 
5 , 28 , 2010 , 22.85 , 22.29 , 22.48 , 22.57 
6 , 1 , 2010 , 22.84 , 22.15 , 22.42 , 22.20 
6 , 2 , 2010 , 22.67 , 21.90 , 22.30 , 22.64 
6 , 3 , 2010 , 22.95 , 22.54 , 22.71 , 22.84 
6 , 4 , 2010 , 22.96 , 22.04 , 22.54 , 22.13 
6 , 7 , 2010 , 22.29 , 21.69 , 22.13 , 21.70 
6 , 8 , 2010 , 21.78 , 21.30 , 21.65 , 21.76 
6 , 9 , 2010 , 22.09 , 21.48 , 21.77 , 21.54 
6 , 10 , 2010 , 22.24 , 21.73 , 21.92 , 22.21 
6 , 11 , 2010 , 22.75 , 21.99 , 22.03 , 22.69 
