Month , Day , Year , High , Low , Open , Close
10 , 1 , 2012 , 10.53 , 10.04 , 10.32 , 10.10 
10 , 2 , 2012 , 10.40 , 10.00 , 10.31 , 10.33 
10 , 3 , 2012 , 11.04 , 10.36 , 10.47 , 10.98 
10 , 4 , 2012 , 11.00 , 10.76 , 10.98 , 10.96 
10 , 5 , 2012 , 10.94 , 10.15 , 10.88 , 10.33 
10 , 8 , 2012 , 10.47 , 10.24 , 10.39 , 10.35 
10 , 9 , 2012 , 10.48 , 10.16 , 10.19 , 10.33 
10 , 10 , 2012 , 10.58 , 10.23 , 10.25 , 10.24 
10 , 11 , 2012 , 10.41 , 10.13 , 10.31 , 10.16 
10 , 12 , 2012 , 10.53 , 10.18 , 10.38 , 10.49 
10 , 15 , 2012 , 10.97 , 10.49 , 10.52 , 10.93 
10 , 16 , 2012 , 10.99 , 10.72 , 10.95 , 10.93 
10 , 17 , 2012 , 11.17 , 10.75 , 10.90 , 10.92 
10 , 18 , 2012 , 10.68 , 10.28 , 10.68 , 10.32 
10 , 19 , 2012 , 10.47 , 9.83 , 10.31 , 10.00 
10 , 22 , 2012 , 10.18 , 10.00 , 10.05 , 10.00 
10 , 23 , 2012 , 10.03 , 9.59 , 9.97 , 9.96 
10 , 24 , 2012 , 10.09 , 9.82 , 10.08 , 9.96 
10 , 25 , 2012 , 10.02 , 9.62 , 10.00 , 9.68 
10 , 26 , 2012 , 9.78 , 9.37 , 9.74 , 9.38 
10 , 31 , 2012 , 9.53 , 9.00 , 9.40 , 9.16 
11 , 1 , 2012 , 9.51 , 9.08 , 9.27 , 9.37 
11 , 2 , 2012 , 9.46 , 9.05 , 9.41 , 9.10 
11 , 5 , 2012 , 9.45 , 9.06 , 9.17 , 9.30 
11 , 6 , 2012 , 9.44 , 9.08 , 9.44 , 9.24 
11 , 7 , 2012 , 9.22 , 8.97 , 9.16 , 8.98 
11 , 8 , 2012 , 9.14 , 8.61 , 9.00 , 8.66 
11 , 9 , 2012 , 8.89 , 8.59 , 8.65 , 8.67 
11 , 12 , 2012 , 8.81 , 8.63 , 8.70 , 8.72 
11 , 13 , 2012 , 8.95 , 8.76 , 8.76 , 8.87 
11 , 14 , 2012 , 9.03 , 8.58 , 9.03 , 8.73 
11 , 15 , 2012 , 9.00 , 8.43 , 9.00 , 8.57 
11 , 16 , 2012 , 8.95 , 8.34 , 8.48 , 8.88 
11 , 19 , 2012 , 9.34 , 8.96 , 8.98 , 9.34 
11 , 20 , 2012 , 9.34 , 9.00 , 9.34 , 9.07 
11 , 21 , 2012 , 9.26 , 8.99 , 8.99 , 9.24 
11 , 23 , 2012 , 9.38 , 9.20 , 9.29 , 9.24 
11 , 26 , 2012 , 9.33 , 8.99 , 9.22 , 9.31 
11 , 27 , 2012 , 9.56 , 9.18 , 9.21 , 9.34 
11 , 28 , 2012 , 9.26 , 8.82 , 9.26 , 9.10 
11 , 29 , 2012 , 9.37 , 9.02 , 9.15 , 9.31 
11 , 30 , 2012 , 9.34 , 8.86 , 9.30 , 9.07 
12 , 3 , 2012 , 9.07 , 8.56 , 9.04 , 8.61 
12 , 4 , 2012 , 8.95 , 8.60 , 8.75 , 8.94 
12 , 5 , 2012 , 9.01 , 8.61 , 8.88 , 8.68 
12 , 6 , 2012 , 9.09 , 8.43 , 8.71 , 8.55 
12 , 7 , 2012 , 8.69 , 7.94 , 8.31 , 8.55 
12 , 10 , 2012 , 8.58 , 8.08 , 8.51 , 8.14 
12 , 11 , 2012 , 8.30 , 7.99 , 8.22 , 8.15 
12 , 12 , 2012 , 8.39 , 8.06 , 8.21 , 8.21 
12 , 13 , 2012 , 8.20 , 8.01 , 8.16 , 8.16 
12 , 14 , 2012 , 8.32 , 8.09 , 8.16 , 8.30 
12 , 17 , 2012 , 8.49 , 8.26 , 8.31 , 8.34 
12 , 18 , 2012 , 9.00 , 8.35 , 8.42 , 8.66 
12 , 19 , 2012 , 8.76 , 8.55 , 8.67 , 8.68 
12 , 20 , 2012 , 8.82 , 8.53 , 8.74 , 8.63 
12 , 21 , 2012 , 9.12 , 8.36 , 8.55 , 9.11 
12 , 24 , 2012 , 9.17 , 8.98 , 9.03 , 9.13 
12 , 26 , 2012 , 9.15 , 8.86 , 9.11 , 8.88 
12 , 27 , 2012 , 8.93 , 8.45 , 8.83 , 8.81 
12 , 28 , 2012 , 8.99 , 8.67 , 8.72 , 8.77 
12 , 31 , 2012 , 8.95 , 8.66 , 8.81 , 8.92 
1 , 2 , 2013 , 9.32 , 8.42 , 9.09 , 8.54 
1 , 3 , 2013 , 8.64 , 8.14 , 8.62 , 8.22 
1 , 4 , 2013 , 8.36 , 8.00 , 8.31 , 8.04 
1 , 7 , 2013 , 8.17 , 7.83 , 8.02 , 7.87 
1 , 8 , 2013 , 8.14 , 7.83 , 7.91 , 7.94 
1 , 9 , 2013 , 8.38 , 8.05 , 8.05 , 8.33 
1 , 10 , 2013 , 8.61 , 8.22 , 8.36 , 8.43 
1 , 11 , 2013 , 8.85 , 8.44 , 8.48 , 8.80 
1 , 14 , 2013 , 8.92 , 8.67 , 8.76 , 8.72 
1 , 15 , 2013 , 9.04 , 8.64 , 8.66 , 9.01 
1 , 16 , 2013 , 9.30 , 8.86 , 9.07 , 9.13 
1 , 17 , 2013 , 9.16 , 8.92 , 9.16 , 9.08 
1 , 18 , 2013 , 9.45 , 9.17 , 9.35 , 9.23 
1 , 22 , 2013 , 9.30 , 9.06 , 9.23 , 9.21 
1 , 23 , 2013 , 9.37 , 9.05 , 9.07 , 9.32 
1 , 24 , 2013 , 9.38 , 9.22 , 9.29 , 9.34 
1 , 25 , 2013 , 9.48 , 9.25 , 9.40 , 9.45 
1 , 28 , 2013 , 9.61 , 9.15 , 9.43 , 9.57 
1 , 29 , 2013 , 9.57 , 9.30 , 9.57 , 9.47 
1 , 30 , 2013 , 9.46 , 8.92 , 9.46 , 8.99 
1 , 31 , 2013 , 9.30 , 8.93 , 9.21 , 9.23 
2 , 1 , 2013 , 9.35 , 8.99 , 9.29 , 9.07 
2 , 4 , 2013 , 9.20 , 8.84 , 9.20 , 8.89 
2 , 5 , 2013 , 9.04 , 8.81 , 8.88 , 8.97 
2 , 6 , 2013 , 9.07 , 8.84 , 8.94 , 9.02 
2 , 7 , 2013 , 9.06 , 8.90 , 9.02 , 9.03 
2 , 8 , 2013 , 9.18 , 8.98 , 9.01 , 9.18 
2 , 11 , 2013 , 9.24 , 9.12 , 9.20 , 9.16 
2 , 12 , 2013 , 9.49 , 9.12 , 9.17 , 9.45 
2 , 13 , 2013 , 9.44 , 9.14 , 9.42 , 9.19 
2 , 14 , 2013 , 9.33 , 9.13 , 9.20 , 9.29 
2 , 15 , 2013 , 9.40 , 9.17 , 9.31 , 9.20 
2 , 19 , 2013 , 9.41 , 9.22 , 9.27 , 9.25 
2 , 20 , 2013 , 9.32 , 9.10 , 9.28 , 9.13 
2 , 21 , 2013 , 9.19 , 8.96 , 9.15 , 9.10 
2 , 22 , 2013 , 9.58 , 9.16 , 9.26 , 9.55 
2 , 25 , 2013 , 9.69 , 9.34 , 9.65 , 9.54 
2 , 26 , 2013 , 9.57 , 9.34 , 9.50 , 9.50 
2 , 27 , 2013 , 9.97 , 9.31 , 9.55 , 9.65 
2 , 28 , 2013 , 10.19 , 9.50 , 9.66 , 10.19 
3 , 1 , 2013 , 10.37 , 9.57 , 9.76 , 9.76 
3 , 4 , 2013 , 9.58 , 9.14 , 9.38 , 9.33 
3 , 5 , 2013 , 9.51 , 9.27 , 9.35 , 9.47 
