Month , Day , Year , High , Low , Open , Close
3 , 17 , 2010 , 32.55 , 32.25 , 32.28 , 32.43 
3 , 18 , 2010 , 32.62 , 32.35 , 32.49 , 32.47 
3 , 19 , 2010 , 32.75 , 32.01 , 32.68 , 32.17 
3 , 22 , 2010 , 32.58 , 32.02 , 32.06 , 32.49 
3 , 23 , 2010 , 32.82 , 32.47 , 32.82 , 32.76 
3 , 24 , 2010 , 32.75 , 32.28 , 32.68 , 32.34 
3 , 25 , 2010 , 31.85 , 30.99 , 31.57 , 31.07 
3 , 26 , 2010 , 31.43 , 31.04 , 31.07 , 31.21 
3 , 29 , 2010 , 31.47 , 31.00 , 31.27 , 31.19 
3 , 30 , 2010 , 31.35 , 30.93 , 31.15 , 31.06 
3 , 31 , 2010 , 31.03 , 30.68 , 30.93 , 30.72 
4 , 1 , 2010 , 30.90 , 30.47 , 30.72 , 30.72 
4 , 5 , 2010 , 31.20 , 30.71 , 30.78 , 31.08 
4 , 6 , 2010 , 31.09 , 30.88 , 31.01 , 30.98 
4 , 7 , 2010 , 31.15 , 30.55 , 31.00 , 30.65 
4 , 8 , 2010 , 30.96 , 30.40 , 30.45 , 30.90 
4 , 9 , 2010 , 31.24 , 30.79 , 30.90 , 31.22 
4 , 12 , 2010 , 31.22 , 30.94 , 31.20 , 31.11 
4 , 13 , 2010 , 31.21 , 30.92 , 31.16 , 31.14 
4 , 14 , 2010 , 31.40 , 31.05 , 31.08 , 31.39 
4 , 15 , 2010 , 31.39 , 31.10 , 31.39 , 31.22 
4 , 16 , 2010 , 31.22 , 30.78 , 31.16 , 30.82 
4 , 19 , 2010 , 31.11 , 30.71 , 30.79 , 31.08 
4 , 20 , 2010 , 31.43 , 31.09 , 31.25 , 31.38 
4 , 21 , 2010 , 31.42 , 31.13 , 31.29 , 31.40 
4 , 22 , 2010 , 31.55 , 31.02 , 31.25 , 31.53 
4 , 23 , 2010 , 31.76 , 31.28 , 31.52 , 31.72 
4 , 26 , 2010 , 31.84 , 31.55 , 31.69 , 31.76 
4 , 27 , 2010 , 31.91 , 31.18 , 31.70 , 31.25 
4 , 28 , 2010 , 31.56 , 31.02 , 31.36 , 31.12 
4 , 29 , 2010 , 30.92 , 30.56 , 30.81 , 30.89 
4 , 30 , 2010 , 31.05 , 30.56 , 31.05 , 30.57 
5 , 3 , 2010 , 30.98 , 30.46 , 30.60 , 30.95 
5 , 4 , 2010 , 30.85 , 30.18 , 30.81 , 30.44 
5 , 5 , 2010 , 30.79 , 30.00 , 30.45 , 30.16 
5 , 6 , 2010 , 30.48 , 28.11 , 30.06 , 29.25 
5 , 7 , 2010 , 29.45 , 28.65 , 29.17 , 28.95 
5 , 10 , 2010 , 30.38 , 29.41 , 29.41 , 30.38 
5 , 11 , 2010 , 30.64 , 30.07 , 30.16 , 30.25 
5 , 12 , 2010 , 30.66 , 30.09 , 30.35 , 30.59 
5 , 13 , 2010 , 30.68 , 30.08 , 30.48 , 30.10 
5 , 14 , 2010 , 30.26 , 29.30 , 30.01 , 29.46 
5 , 17 , 2010 , 30.07 , 29.52 , 29.64 , 29.99 
5 , 18 , 2010 , 30.39 , 29.63 , 30.23 , 29.75 
5 , 19 , 2010 , 30.03 , 29.47 , 29.75 , 29.60 
5 , 20 , 2010 , 29.33 , 28.86 , 29.05 , 28.92 
5 , 21 , 2010 , 29.48 , 28.50 , 28.67 , 29.45 
5 , 24 , 2010 , 29.55 , 28.99 , 29.35 , 28.99 
5 , 25 , 2010 , 28.80 , 28.33 , 28.56 , 28.80 
5 , 26 , 2010 , 29.29 , 28.19 , 28.91 , 28.35 
5 , 27 , 2010 , 28.92 , 28.57 , 28.71 , 28.80 
5 , 28 , 2010 , 28.92 , 28.41 , 28.80 , 28.54 
6 , 1 , 2010 , 28.80 , 28.16 , 28.39 , 28.22 
6 , 2 , 2010 , 28.86 , 28.02 , 28.26 , 28.86 
6 , 3 , 2010 , 29.14 , 28.75 , 29.02 , 29.07 
6 , 4 , 2010 , 28.67 , 27.89 , 28.44 , 27.97 
6 , 7 , 2010 , 28.17 , 27.59 , 27.98 , 27.62 
6 , 8 , 2010 , 27.98 , 27.53 , 27.64 , 27.91 
6 , 9 , 2010 , 28.44 , 27.90 , 27.92 , 27.95 
6 , 10 , 2010 , 28.71 , 28.12 , 28.32 , 28.59 
6 , 11 , 2010 , 28.44 , 27.93 , 28.20 , 28.36 
6 , 14 , 2010 , 28.74 , 28.18 , 28.63 , 28.23 
6 , 15 , 2010 , 28.98 , 28.26 , 28.34 , 28.97 
6 , 16 , 2010 , 28.97 , 28.60 , 28.76 , 28.88 
6 , 17 , 2010 , 28.97 , 28.40 , 28.97 , 28.67 
6 , 18 , 2010 , 28.73 , 28.28 , 28.67 , 28.33 
6 , 21 , 2010 , 28.87 , 28.00 , 28.51 , 28.15 
6 , 22 , 2010 , 28.38 , 27.69 , 28.23 , 27.73 
6 , 23 , 2010 , 27.94 , 27.33 , 27.75 , 27.42 
6 , 24 , 2010 , 27.30 , 26.50 , 26.94 , 26.78 
6 , 25 , 2010 , 26.89 , 26.35 , 26.72 , 26.51 
6 , 28 , 2010 , 26.76 , 26.41 , 26.51 , 26.60 
6 , 29 , 2010 , 26.41 , 25.83 , 26.39 , 26.00 
