Month , Day , Year , High , Low , Open , Close
3 , 17 , 2010 , 11.81 , 11.01 , 11.25 , 11.75 
3 , 18 , 2010 , 11.75 , 11.35 , 11.61 , 11.49 
3 , 19 , 2010 , 11.79 , 11.26 , 11.73 , 11.63 
3 , 22 , 2010 , 12.38 , 11.34 , 11.49 , 12.29 
3 , 23 , 2010 , 12.30 , 11.90 , 12.29 , 12.29 
3 , 24 , 2010 , 12.53 , 12.11 , 12.29 , 12.17 
3 , 25 , 2010 , 13.16 , 12.17 , 12.41 , 12.43 
3 , 26 , 2010 , 12.81 , 12.32 , 12.51 , 12.58 
3 , 29 , 2010 , 12.87 , 12.49 , 12.65 , 12.71 
3 , 30 , 2010 , 12.85 , 12.45 , 12.71 , 12.69 
3 , 31 , 2010 , 12.68 , 12.23 , 12.54 , 12.36 
4 , 1 , 2010 , 12.97 , 12.37 , 12.47 , 12.69 
4 , 5 , 2010 , 13.45 , 12.69 , 12.81 , 13.31 
4 , 6 , 2010 , 13.46 , 13.12 , 13.26 , 13.26 
4 , 7 , 2010 , 13.31 , 12.86 , 13.23 , 13.09 
4 , 8 , 2010 , 13.25 , 12.64 , 13.05 , 13.17 
4 , 9 , 2010 , 13.80 , 13.12 , 13.12 , 13.76 
4 , 12 , 2010 , 13.87 , 13.55 , 13.80 , 13.73 
4 , 13 , 2010 , 13.99 , 13.57 , 13.75 , 13.98 
4 , 14 , 2010 , 14.43 , 13.76 , 13.83 , 14.41 
4 , 15 , 2010 , 14.71 , 14.27 , 14.34 , 14.61 
4 , 16 , 2010 , 14.78 , 13.91 , 14.56 , 14.06 
4 , 19 , 2010 , 14.70 , 13.91 , 14.01 , 14.56 
4 , 20 , 2010 , 14.94 , 13.34 , 14.86 , 13.67 
4 , 21 , 2010 , 14.15 , 13.47 , 13.54 , 13.97 
4 , 22 , 2010 , 14.52 , 13.47 , 13.67 , 14.42 
4 , 23 , 2010 , 15.55 , 14.45 , 14.45 , 15.49 
4 , 26 , 2010 , 15.89 , 15.31 , 15.47 , 15.49 
4 , 27 , 2010 , 15.86 , 14.36 , 15.45 , 14.45 
4 , 28 , 2010 , 14.93 , 14.29 , 14.66 , 14.43 
4 , 29 , 2010 , 15.43 , 14.39 , 14.61 , 15.31 
4 , 30 , 2010 , 15.67 , 14.47 , 15.43 , 14.48 
5 , 3 , 2010 , 15.57 , 14.56 , 14.65 , 15.51 
5 , 4 , 2010 , 15.05 , 13.47 , 14.93 , 14.20 
5 , 5 , 2010 , 14.44 , 13.43 , 14.03 , 13.57 
5 , 6 , 2010 , 13.70 , 9.97 , 13.21 , 12.03 
5 , 7 , 2010 , 12.71 , 11.10 , 11.55 , 11.19 
5 , 10 , 2010 , 13.63 , 12.81 , 13.27 , 13.31 
5 , 11 , 2010 , 13.65 , 12.77 , 13.16 , 13.16 
5 , 12 , 2010 , 13.70 , 12.83 , 13.29 , 13.68 
5 , 13 , 2010 , 14.66 , 13.49 , 13.61 , 13.56 
5 , 14 , 2010 , 13.37 , 12.23 , 13.35 , 12.87 
5 , 17 , 2010 , 13.12 , 11.76 , 12.95 , 12.47 
5 , 18 , 2010 , 13.19 , 11.97 , 12.66 , 12.08 
5 , 19 , 2010 , 12.37 , 11.00 , 11.90 , 11.47 
5 , 20 , 2010 , 10.79 , 9.55 , 10.78 , 9.58 
5 , 21 , 2010 , 10.21 , 8.99 , 9.15 , 10.20 
5 , 24 , 2010 , 10.27 , 9.47 , 9.83 , 9.79 
5 , 25 , 2010 , 9.65 , 8.64 , 9.17 , 9.61 
5 , 26 , 2010 , 11.03 , 9.65 , 9.75 , 10.07 
5 , 27 , 2010 , 11.29 , 10.65 , 10.75 , 11.23 
5 , 28 , 2010 , 11.37 , 10.51 , 11.30 , 10.80 
6 , 1 , 2010 , 11.32 , 10.21 , 10.63 , 10.27 
6 , 2 , 2010 , 11.09 , 10.02 , 10.37 , 11.08 
6 , 3 , 2010 , 11.97 , 11.15 , 11.27 , 11.83 
6 , 4 , 2010 , 11.19 , 9.93 , 10.89 , 10.04 
