Month , Day , Year , High , Low , Open , Close
3 , 17 , 2010 , 66.58 , 66.02 , 66.15 , 66.57 
3 , 18 , 2010 , 66.73 , 66.16 , 66.57 , 66.52 
3 , 19 , 2010 , 66.98 , 66.26 , 66.96 , 66.56 
3 , 22 , 2010 , 66.56 , 66.15 , 66.43 , 66.31 
3 , 23 , 2010 , 67.00 , 66.24 , 66.39 , 66.86 
3 , 24 , 2010 , 67.00 , 66.25 , 66.62 , 66.26 
3 , 25 , 2010 , 67.00 , 66.35 , 66.37 , 66.55 
3 , 26 , 2010 , 66.81 , 66.34 , 66.64 , 66.59 
3 , 29 , 2010 , 66.87 , 66.30 , 66.61 , 66.55 
3 , 30 , 2010 , 67.00 , 66.36 , 66.52 , 66.77 
3 , 31 , 2010 , 66.71 , 66.06 , 66.68 , 66.16 
4 , 1 , 2010 , 66.68 , 66.25 , 66.32 , 66.68 
4 , 5 , 2010 , 66.68 , 65.83 , 66.68 , 65.98 
4 , 6 , 2010 , 66.63 , 65.79 , 65.79 , 66.39 
4 , 7 , 2010 , 66.52 , 65.75 , 66.39 , 65.99 
4 , 8 , 2010 , 66.19 , 65.62 , 65.84 , 65.97 
4 , 9 , 2010 , 66.43 , 65.86 , 65.93 , 66.36 
4 , 12 , 2010 , 66.67 , 66.26 , 66.35 , 66.32 
4 , 13 , 2010 , 66.50 , 66.02 , 66.16 , 66.39 
4 , 14 , 2010 , 66.30 , 65.83 , 66.20 , 66.29 
4 , 15 , 2010 , 66.50 , 65.80 , 65.97 , 66.27 
4 , 16 , 2010 , 66.65 , 65.96 , 66.01 , 66.14 
4 , 19 , 2010 , 66.39 , 65.70 , 66.08 , 66.12 
4 , 20 , 2010 , 66.40 , 65.72 , 66.17 , 65.90 
4 , 21 , 2010 , 66.31 , 65.61 , 65.82 , 65.98 
4 , 22 , 2010 , 65.79 , 64.50 , 65.75 , 64.76 
4 , 23 , 2010 , 64.85 , 64.17 , 64.85 , 64.71 
4 , 26 , 2010 , 65.44 , 64.61 , 64.84 , 65.02 
4 , 27 , 2010 , 65.20 , 64.07 , 64.93 , 64.23 
4 , 28 , 2010 , 64.82 , 63.60 , 64.28 , 64.75 
4 , 29 , 2010 , 65.50 , 64.83 , 64.95 , 65.20 
4 , 30 , 2010 , 65.98 , 65.18 , 65.33 , 65.22 
5 , 3 , 2010 , 66.00 , 64.89 , 65.28 , 65.69 
5 , 4 , 2010 , 65.98 , 65.05 , 65.30 , 65.43 
5 , 5 , 2010 , 65.95 , 65.02 , 65.10 , 65.20 
5 , 6 , 2010 , 66.20 , 61.91 , 65.15 , 64.70 
5 , 7 , 2010 , 65.04 , 63.66 , 64.46 , 64.57 
5 , 10 , 2010 , 66.49 , 65.66 , 65.80 , 66.41 
5 , 11 , 2010 , 67.00 , 66.02 , 66.16 , 66.55 
5 , 12 , 2010 , 67.61 , 66.81 , 67.24 , 66.94 
5 , 13 , 2010 , 67.08 , 66.46 , 67.02 , 66.48 
5 , 14 , 2010 , 66.60 , 65.77 , 66.41 , 66.07 
5 , 17 , 2010 , 66.96 , 66.07 , 66.11 , 66.75 
5 , 18 , 2010 , 67.30 , 66.40 , 66.92 , 66.53 
5 , 19 , 2010 , 66.38 , 65.50 , 66.30 , 66.04 
5 , 20 , 2010 , 65.23 , 63.86 , 65.23 , 63.86 
5 , 21 , 2010 , 63.64 , 62.14 , 63.21 , 63.58 
5 , 24 , 2010 , 64.01 , 62.60 , 63.09 , 63.32 
5 , 25 , 2010 , 62.92 , 61.65 , 61.93 , 62.89 
5 , 26 , 2010 , 63.06 , 61.04 , 63.06 , 61.23 
5 , 27 , 2010 , 62.93 , 61.52 , 61.97 , 62.90 
5 , 28 , 2010 , 63.46 , 62.73 , 62.92 , 62.89 
6 , 1 , 2010 , 63.59 , 61.90 , 62.66 , 62.76 
6 , 2 , 2010 , 63.46 , 61.83 , 62.60 , 63.46 
6 , 3 , 2010 , 63.65 , 63.00 , 63.50 , 63.37 
6 , 4 , 2010 , 62.46 , 61.29 , 62.46 , 61.44 
6 , 7 , 2010 , 62.56 , 61.29 , 61.37 , 61.73 
6 , 8 , 2010 , 62.80 , 61.40 , 61.44 , 62.65 
6 , 9 , 2010 , 63.07 , 62.33 , 62.86 , 62.49 
6 , 10 , 2010 , 63.90 , 63.03 , 63.03 , 63.84 
6 , 11 , 2010 , 63.56 , 62.94 , 63.50 , 63.56 
6 , 14 , 2010 , 64.23 , 63.24 , 63.90 , 63.85 
6 , 15 , 2010 , 64.29 , 63.84 , 63.88 , 64.24 
6 , 16 , 2010 , 64.05 , 63.56 , 63.79 , 63.91 
6 , 17 , 2010 , 64.56 , 63.75 , 63.96 , 64.49 
6 , 18 , 2010 , 64.67 , 64.03 , 64.61 , 64.08 
6 , 21 , 2010 , 64.79 , 63.74 , 64.54 , 64.02 
6 , 22 , 2010 , 64.25 , 63.18 , 64.03 , 63.30 
6 , 23 , 2010 , 63.22 , 62.31 , 63.22 , 62.73 
6 , 24 , 2010 , 62.99 , 62.25 , 62.37 , 62.40 
6 , 25 , 2010 , 62.49 , 60.77 , 62.49 , 60.77 
