Month , Day , Year , High , Low , Open , Close
3 , 17 , 2010 , 16.41 , 16.27 , 16.36 , 16.31 
3 , 18 , 2010 , 16.45 , 16.23 , 16.44 , 16.33 
3 , 19 , 2010 , 16.40 , 15.93 , 16.40 , 16.03 
3 , 22 , 2010 , 16.35 , 16.10 , 16.12 , 16.26 
3 , 23 , 2010 , 16.66 , 16.30 , 16.38 , 16.63 
3 , 24 , 2010 , 16.79 , 16.63 , 16.69 , 16.69 
3 , 25 , 2010 , 16.85 , 16.45 , 16.82 , 16.48 
3 , 26 , 2010 , 16.48 , 16.21 , 16.46 , 16.25 
3 , 29 , 2010 , 16.44 , 16.25 , 16.30 , 16.38 
3 , 30 , 2010 , 16.48 , 16.24 , 16.42 , 16.36 
3 , 31 , 2010 , 16.37 , 16.20 , 16.29 , 16.26 
4 , 1 , 2010 , 16.38 , 16.11 , 16.31 , 16.19 
4 , 5 , 2010 , 16.25 , 15.97 , 16.25 , 16.02 
4 , 6 , 2010 , 16.16 , 15.98 , 16.06 , 16.08 
4 , 7 , 2010 , 16.23 , 16.11 , 16.13 , 16.18 
4 , 8 , 2010 , 16.27 , 16.13 , 16.18 , 16.25 
4 , 9 , 2010 , 16.41 , 16.28 , 16.30 , 16.35 
4 , 12 , 2010 , 16.43 , 16.30 , 16.42 , 16.39 
4 , 13 , 2010 , 16.35 , 16.21 , 16.31 , 16.29 
4 , 14 , 2010 , 16.29 , 16.06 , 16.29 , 16.18 
4 , 15 , 2010 , 16.27 , 16.08 , 16.16 , 16.11 
4 , 16 , 2010 , 16.12 , 15.93 , 16.10 , 15.93 
4 , 19 , 2010 , 15.94 , 15.74 , 15.87 , 15.92 
4 , 20 , 2010 , 15.99 , 15.86 , 15.95 , 15.89 
4 , 21 , 2010 , 15.94 , 15.58 , 15.88 , 15.74 
4 , 22 , 2010 , 15.70 , 15.48 , 15.64 , 15.62 
4 , 23 , 2010 , 16.12 , 15.55 , 15.57 , 16.03 
4 , 26 , 2010 , 16.09 , 15.83 , 15.98 , 15.94 
4 , 27 , 2010 , 15.97 , 15.55 , 15.84 , 15.60 
4 , 28 , 2010 , 15.77 , 15.54 , 15.61 , 15.67 
4 , 29 , 2010 , 16.12 , 15.76 , 15.76 , 15.98 
4 , 30 , 2010 , 16.12 , 15.81 , 16.11 , 15.85 
5 , 3 , 2010 , 16.12 , 15.75 , 15.93 , 16.03 
5 , 4 , 2010 , 16.48 , 16.17 , 16.26 , 16.36 
5 , 5 , 2010 , 16.44 , 16.08 , 16.09 , 16.29 
5 , 6 , 2010 , 16.32 , 15.02 , 16.27 , 15.87 
5 , 7 , 2010 , 15.94 , 15.53 , 15.83 , 15.60 
5 , 10 , 2010 , 16.35 , 15.96 , 16.02 , 16.12 
5 , 11 , 2010 , 16.30 , 15.93 , 15.97 , 16.12 
5 , 12 , 2010 , 16.20 , 15.85 , 16.10 , 16.02 
5 , 13 , 2010 , 16.06 , 15.68 , 15.96 , 15.70 
5 , 14 , 2010 , 15.68 , 15.22 , 15.67 , 15.36 
5 , 17 , 2010 , 15.42 , 14.96 , 15.36 , 15.27 
5 , 18 , 2010 , 15.40 , 14.96 , 15.30 , 14.99 
5 , 19 , 2010 , 15.11 , 14.79 , 14.93 , 15.00 
5 , 20 , 2010 , 14.85 , 14.43 , 14.73 , 14.44 
5 , 21 , 2010 , 14.62 , 14.18 , 14.21 , 14.60 
5 , 24 , 2010 , 14.58 , 14.36 , 14.48 , 14.43 
5 , 25 , 2010 , 14.31 , 13.98 , 14.17 , 14.28 
5 , 26 , 2010 , 14.61 , 14.22 , 14.32 , 14.32 
5 , 27 , 2010 , 14.65 , 14.38 , 14.54 , 14.57 
5 , 28 , 2010 , 14.78 , 14.43 , 14.53 , 14.44 
6 , 1 , 2010 , 14.62 , 14.18 , 14.37 , 14.21 
6 , 2 , 2010 , 14.43 , 14.14 , 14.33 , 14.41 
6 , 3 , 2010 , 14.54 , 14.33 , 14.45 , 14.44 
6 , 4 , 2010 , 14.26 , 13.91 , 14.23 , 13.99 
6 , 7 , 2010 , 14.11 , 13.75 , 14.07 , 13.76 
6 , 8 , 2010 , 13.81 , 13.60 , 13.77 , 13.79 
6 , 9 , 2010 , 13.98 , 13.64 , 13.88 , 13.76 
6 , 10 , 2010 , 14.32 , 13.89 , 13.89 , 14.13 
6 , 11 , 2010 , 14.71 , 14.41 , 14.44 , 14.66 
6 , 14 , 2010 , 14.79 , 14.50 , 14.75 , 14.53 
6 , 15 , 2010 , 14.72 , 14.50 , 14.60 , 14.71 
6 , 16 , 2010 , 14.76 , 14.56 , 14.62 , 14.67 
6 , 17 , 2010 , 14.66 , 14.34 , 14.63 , 14.66 
6 , 18 , 2010 , 14.74 , 14.30 , 14.68 , 14.42 
6 , 21 , 2010 , 14.58 , 14.23 , 14.56 , 14.31 
6 , 22 , 2010 , 14.45 , 14.19 , 14.36 , 14.19 
6 , 23 , 2010 , 14.20 , 14.04 , 14.20 , 14.11 
6 , 24 , 2010 , 13.96 , 13.62 , 13.86 , 13.71 
6 , 25 , 2010 , 13.94 , 13.65 , 13.74 , 13.88 
6 , 28 , 2010 , 14.01 , 13.75 , 13.93 , 13.78 
6 , 29 , 2010 , 13.73 , 13.44 , 13.68 , 13.54 
6 , 30 , 2010 , 13.73 , 13.43 , 13.48 , 13.52 
7 , 1 , 2010 , 13.58 , 13.27 , 13.55 , 13.49 
7 , 2 , 2010 , 13.61 , 13.37 , 13.55 , 13.40 
7 , 6 , 2010 , 13.66 , 13.41 , 13.58 , 13.55 
7 , 7 , 2010 , 13.87 , 13.46 , 13.57 , 13.86 
7 , 8 , 2010 , 14.20 , 13.86 , 14.01 , 14.05 
7 , 9 , 2010 , 14.09 , 13.87 , 14.08 , 14.00 
7 , 12 , 2010 , 14.16 , 13.93 , 13.96 , 14.15 
7 , 13 , 2010 , 14.31 , 13.99 , 14.22 , 14.02 
7 , 14 , 2010 , 14.18 , 13.89 , 13.96 , 14.07 
7 , 15 , 2010 , 14.15 , 13.89 , 14.08 , 14.10 
7 , 16 , 2010 , 14.16 , 13.79 , 14.06 , 13.80 
7 , 19 , 2010 , 14.07 , 13.82 , 13.86 , 13.96 
7 , 20 , 2010 , 13.89 , 13.69 , 13.89 , 13.79 
7 , 21 , 2010 , 13.95 , 13.67 , 13.79 , 13.75 
7 , 22 , 2010 , 14.10 , 13.83 , 13.85 , 14.04 
7 , 23 , 2010 , 14.03 , 13.64 , 13.98 , 13.82 
7 , 26 , 2010 , 14.30 , 13.85 , 13.87 , 14.24 
7 , 27 , 2010 , 14.56 , 14.21 , 14.31 , 14.48 
7 , 28 , 2010 , 14.64 , 14.17 , 14.48 , 14.22 
7 , 29 , 2010 , 14.62 , 14.24 , 14.39 , 14.30 
7 , 30 , 2010 , 14.34 , 14.11 , 14.24 , 14.22 
8 , 2 , 2010 , 14.67 , 14.31 , 14.37 , 14.67 
8 , 3 , 2010 , 15.62 , 15.12 , 15.17 , 15.49 
8 , 4 , 2010 , 15.66 , 15.28 , 15.41 , 15.58 
8 , 5 , 2010 , 15.62 , 15.23 , 15.54 , 15.35 
8 , 6 , 2010 , 15.43 , 15.17 , 15.22 , 15.39 
8 , 9 , 2010 , 15.62 , 15.27 , 15.44 , 15.57 
8 , 10 , 2010 , 15.74 , 15.41 , 15.44 , 15.71 
8 , 11 , 2010 , 15.49 , 15.16 , 15.45 , 15.17 
8 , 12 , 2010 , 15.39 , 15.03 , 15.07 , 15.36 
8 , 13 , 2010 , 15.40 , 15.20 , 15.32 , 15.24 
8 , 16 , 2010 , 15.33 , 15.02 , 15.15 , 15.20 
8 , 17 , 2010 , 15.55 , 15.29 , 15.39 , 15.42 
8 , 18 , 2010 , 15.49 , 15.18 , 15.37 , 15.26 
8 , 19 , 2010 , 15.29 , 15.00 , 15.23 , 15.20 
8 , 20 , 2010 , 15.18 , 15.02 , 15.08 , 15.09 
8 , 23 , 2010 , 15.39 , 15.15 , 15.36 , 15.26 
8 , 24 , 2010 , 15.14 , 14.95 , 15.11 , 15.00 
8 , 25 , 2010 , 15.22 , 14.84 , 14.95 , 15.16 
8 , 26 , 2010 , 15.25 , 14.99 , 15.24 , 15.07 
8 , 27 , 2010 , 15.28 , 14.95 , 15.15 , 15.25 
8 , 30 , 2010 , 15.37 , 15.02 , 15.21 , 15.03 
8 , 31 , 2010 , 15.26 , 14.97 , 15.06 , 15.08 
9 , 1 , 2010 , 15.52 , 15.23 , 15.29 , 15.43 
9 , 2 , 2010 , 15.57 , 15.40 , 15.48 , 15.55 
9 , 3 , 2010 , 15.73 , 15.53 , 15.61 , 15.60 
9 , 7 , 2010 , 15.59 , 15.37 , 15.58 , 15.48 
9 , 8 , 2010 , 15.78 , 15.45 , 15.50 , 15.70 
9 , 9 , 2010 , 16.02 , 15.79 , 15.86 , 15.90 
9 , 10 , 2010 , 16.12 , 15.94 , 15.96 , 16.11 
9 , 13 , 2010 , 16.26 , 15.97 , 16.12 , 16.09 
9 , 14 , 2010 , 16.32 , 16.04 , 16.05 , 16.19 
9 , 15 , 2010 , 16.46 , 16.14 , 16.18 , 16.37 
9 , 16 , 2010 , 16.36 , 16.19 , 16.36 , 16.27 
9 , 17 , 2010 , 16.36 , 16.14 , 16.31 , 16.17 
9 , 20 , 2010 , 16.43 , 16.15 , 16.19 , 16.38 
9 , 21 , 2010 , 16.38 , 16.20 , 16.34 , 16.25 
9 , 22 , 2010 , 16.37 , 16.19 , 16.23 , 16.32 
9 , 23 , 2010 , 16.34 , 16.13 , 16.23 , 16.15 
9 , 24 , 2010 , 16.50 , 16.26 , 16.32 , 16.49 
9 , 27 , 2010 , 16.52 , 16.24 , 16.51 , 16.28 
9 , 28 , 2010 , 16.57 , 16.18 , 16.30 , 16.52 
9 , 29 , 2010 , 16.59 , 16.39 , 16.49 , 16.49 
9 , 30 , 2010 , 16.59 , 16.27 , 16.57 , 16.28 
10 , 1 , 2010 , 16.39 , 16.22 , 16.35 , 16.29 
10 , 4 , 2010 , 16.30 , 15.98 , 16.21 , 16.02 
10 , 5 , 2010 , 16.35 , 16.17 , 16.21 , 16.33 
10 , 6 , 2010 , 16.48 , 16.28 , 16.32 , 16.36 
10 , 7 , 2010 , 16.60 , 16.42 , 16.48 , 16.48 
10 , 8 , 2010 , 16.59 , 16.48 , 16.52 , 16.55 
10 , 11 , 2010 , 16.59 , 16.39 , 16.55 , 16.48 
10 , 12 , 2010 , 16.63 , 16.37 , 16.58 , 16.57 
10 , 13 , 2010 , 16.92 , 16.63 , 16.67 , 16.81 
10 , 14 , 2010 , 16.90 , 16.66 , 16.82 , 16.74 
10 , 15 , 2010 , 16.92 , 16.70 , 16.86 , 16.83 
10 , 18 , 2010 , 16.94 , 16.70 , 16.81 , 16.87 
10 , 19 , 2010 , 16.81 , 16.35 , 16.73 , 16.48 
10 , 20 , 2010 , 16.83 , 16.40 , 16.55 , 16.74 
10 , 21 , 2010 , 16.97 , 16.62 , 16.71 , 16.71 
10 , 22 , 2010 , 16.73 , 16.54 , 16.69 , 16.59 
10 , 25 , 2010 , 16.80 , 16.65 , 16.66 , 16.70 
10 , 26 , 2010 , 16.68 , 16.48 , 16.66 , 16.58 
10 , 27 , 2010 , 16.58 , 16.28 , 16.49 , 16.38 
10 , 28 , 2010 , 16.68 , 16.46 , 16.50 , 16.66 
10 , 29 , 2010 , 16.66 , 16.39 , 16.66 , 16.51 
11 , 1 , 2010 , 16.91 , 16.59 , 16.71 , 16.70 
11 , 2 , 2010 , 16.88 , 16.35 , 16.72 , 16.54 
11 , 3 , 2010 , 16.74 , 16.54 , 16.60 , 16.67 
11 , 4 , 2010 , 16.66 , 16.39 , 16.66 , 16.48 
11 , 5 , 2010 , 16.57 , 16.16 , 16.49 , 16.29 
11 , 8 , 2010 , 16.23 , 16.04 , 16.17 , 16.16 
11 , 9 , 2010 , 16.26 , 16.07 , 16.18 , 16.11 
11 , 10 , 2010 , 16.07 , 15.78 , 16.07 , 15.95 
11 , 11 , 2010 , 16.12 , 15.75 , 15.75 , 16.10 
11 , 12 , 2010 , 16.09 , 15.89 , 15.96 , 15.97 
11 , 15 , 2010 , 16.13 , 15.85 , 16.09 , 15.88 
11 , 16 , 2010 , 15.88 , 15.65 , 15.75 , 15.74 
11 , 17 , 2010 , 15.79 , 15.61 , 15.64 , 15.62 
11 , 18 , 2010 , 16.01 , 15.69 , 15.69 , 15.95 
11 , 19 , 2010 , 15.95 , 15.80 , 15.84 , 15.92 
11 , 22 , 2010 , 15.86 , 15.64 , 15.79 , 15.76 
11 , 23 , 2010 , 15.86 , 15.57 , 15.66 , 15.71 
11 , 24 , 2010 , 15.83 , 15.71 , 15.72 , 15.82 
11 , 26 , 2010 , 15.75 , 15.60 , 15.71 , 15.63 
11 , 29 , 2010 , 15.75 , 15.40 , 15.56 , 15.70 
11 , 30 , 2010 , 15.61 , 15.42 , 15.58 , 15.45 
12 , 1 , 2010 , 15.88 , 15.57 , 15.63 , 15.83 
12 , 2 , 2010 , 15.94 , 15.75 , 15.92 , 15.82 
12 , 3 , 2010 , 15.86 , 15.74 , 15.85 , 15.85 
12 , 6 , 2010 , 16.22 , 15.81 , 15.83 , 15.94 
12 , 7 , 2010 , 16.09 , 15.87 , 16.03 , 15.90 
12 , 8 , 2010 , 16.00 , 15.78 , 15.88 , 15.85 
12 , 9 , 2010 , 15.93 , 15.73 , 15.91 , 15.89 
12 , 10 , 2010 , 16.17 , 15.78 , 15.89 , 16.13 
12 , 13 , 2010 , 16.45 , 16.17 , 16.27 , 16.30 
12 , 14 , 2010 , 16.40 , 16.17 , 16.37 , 16.22 
12 , 15 , 2010 , 16.39 , 16.16 , 16.16 , 16.19 
12 , 16 , 2010 , 16.32 , 16.13 , 16.18 , 16.32 
12 , 17 , 2010 , 16.24 , 16.11 , 16.21 , 16.14 
12 , 20 , 2010 , 16.36 , 16.10 , 16.12 , 16.28 
12 , 21 , 2010 , 16.53 , 16.26 , 16.32 , 16.48 
12 , 22 , 2010 , 16.65 , 16.40 , 16.47 , 16.65 
12 , 23 , 2010 , 16.73 , 16.63 , 16.64 , 16.69 
12 , 27 , 2010 , 16.64 , 16.52 , 16.60 , 16.58 
12 , 28 , 2010 , 16.78 , 16.54 , 16.57 , 16.67 
12 , 29 , 2010 , 16.78 , 16.64 , 16.77 , 16.68 
12 , 30 , 2010 , 16.65 , 16.54 , 16.59 , 16.58 
12 , 31 , 2010 , 16.67 , 16.52 , 16.53 , 16.60 
1 , 3 , 2011 , 16.91 , 16.70 , 16.78 , 16.76 
