Month , Day , Year , High , Low , Open , Close
3 , 17 , 2010 , 64.03 , 63.37 , 63.78 , 64.01 
3 , 18 , 2010 , 64.13 , 63.65 , 63.90 , 63.73 
3 , 19 , 2010 , 64.00 , 63.52 , 63.83 , 63.84 
3 , 22 , 2010 , 64.10 , 63.52 , 63.52 , 63.88 
3 , 23 , 2010 , 64.58 , 63.66 , 63.93 , 64.53 
3 , 24 , 2010 , 64.40 , 63.48 , 64.33 , 63.61 
3 , 25 , 2010 , 64.12 , 63.58 , 63.94 , 63.62 
3 , 26 , 2010 , 63.93 , 63.40 , 63.68 , 63.69 
3 , 29 , 2010 , 64.04 , 63.59 , 63.73 , 63.73 
3 , 30 , 2010 , 63.97 , 63.51 , 63.73 , 63.66 
3 , 31 , 2010 , 63.67 , 63.18 , 63.53 , 63.27 
4 , 1 , 2010 , 63.70 , 63.20 , 63.47 , 63.36 
4 , 5 , 2010 , 63.89 , 63.30 , 63.39 , 63.76 
4 , 6 , 2010 , 63.59 , 63.01 , 63.52 , 63.11 
4 , 7 , 2010 , 63.00 , 62.21 , 62.91 , 62.50 
4 , 8 , 2010 , 62.85 , 62.12 , 62.45 , 62.56 
4 , 9 , 2010 , 63.00 , 62.51 , 62.57 , 62.73 
4 , 12 , 2010 , 62.98 , 62.41 , 62.45 , 62.70 
4 , 13 , 2010 , 63.34 , 62.58 , 62.60 , 63.00 
4 , 14 , 2010 , 63.23 , 62.71 , 62.92 , 63.19 
4 , 15 , 2010 , 63.14 , 62.72 , 63.03 , 63.00 
4 , 16 , 2010 , 63.49 , 62.63 , 62.80 , 62.85 
4 , 19 , 2010 , 63.25 , 62.70 , 62.82 , 63.22 
4 , 20 , 2010 , 63.49 , 63.03 , 63.47 , 63.19 
4 , 21 , 2010 , 63.66 , 63.12 , 63.21 , 63.63 
4 , 22 , 2010 , 63.74 , 63.23 , 63.51 , 63.59 
4 , 23 , 2010 , 63.64 , 63.20 , 63.48 , 63.54 
4 , 26 , 2010 , 64.00 , 63.40 , 63.45 , 63.94 
4 , 27 , 2010 , 63.90 , 63.04 , 63.24 , 63.11 
4 , 28 , 2010 , 63.46 , 62.41 , 62.65 , 63.17 
4 , 29 , 2010 , 62.97 , 60.83 , 62.28 , 62.20 
4 , 30 , 2010 , 63.00 , 62.11 , 62.30 , 62.16 
5 , 3 , 2010 , 62.84 , 61.84 , 62.42 , 62.68 
5 , 4 , 2010 , 62.53 , 61.56 , 62.30 , 61.71 
5 , 5 , 2010 , 62.57 , 61.50 , 61.62 , 62.16 
5 , 6 , 2010 , 62.67 , 57.00 , 61.91 , 60.75 
5 , 7 , 2010 , 61.20 , 60.00 , 60.61 , 60.31 
5 , 10 , 2010 , 62.70 , 61.16 , 61.57 , 62.42 
5 , 11 , 2010 , 62.97 , 61.98 , 62.04 , 62.37 
5 , 12 , 2010 , 63.13 , 62.10 , 62.12 , 63.02 
5 , 13 , 2010 , 63.42 , 62.73 , 62.91 , 62.75 
5 , 14 , 2010 , 63.20 , 62.15 , 62.76 , 62.54 
5 , 17 , 2010 , 63.48 , 62.66 , 63.01 , 63.38 
5 , 18 , 2010 , 63.95 , 63.13 , 63.40 , 63.21 
5 , 19 , 2010 , 63.60 , 62.81 , 63.10 , 63.22 
5 , 20 , 2010 , 62.54 , 61.58 , 62.47 , 61.61 
5 , 21 , 2010 , 61.88 , 60.37 , 60.40 , 61.85 
5 , 24 , 2010 , 61.98 , 61.00 , 61.43 , 61.40 
5 , 25 , 2010 , 61.12 , 60.05 , 60.15 , 61.05 
5 , 26 , 2010 , 61.21 , 60.33 , 60.87 , 60.44 
5 , 27 , 2010 , 61.17 , 60.61 , 60.88 , 60.95 
5 , 28 , 2010 , 61.68 , 60.85 , 60.95 , 61.09 
6 , 1 , 2010 , 61.74 , 60.52 , 60.89 , 61.16 
6 , 2 , 2010 , 61.83 , 61.04 , 61.16 , 61.74 
6 , 3 , 2010 , 62.14 , 61.70 , 61.97 , 61.80 
6 , 4 , 2010 , 61.12 , 60.57 , 61.12 , 60.80 
6 , 7 , 2010 , 61.07 , 60.59 , 60.72 , 60.62 
6 , 8 , 2010 , 62.24 , 60.49 , 60.62 , 62.14 
6 , 9 , 2010 , 62.60 , 61.27 , 62.45 , 61.47 
6 , 10 , 2010 , 62.29 , 61.67 , 61.97 , 61.91 
6 , 11 , 2010 , 61.40 , 60.38 , 61.35 , 61.01 
6 , 14 , 2010 , 61.73 , 61.21 , 61.39 , 61.25 
6 , 15 , 2010 , 61.93 , 61.34 , 61.61 , 61.91 
6 , 16 , 2010 , 61.74 , 60.83 , 61.52 , 61.19 
6 , 17 , 2010 , 61.82 , 60.83 , 61.18 , 61.76 
6 , 18 , 2010 , 61.94 , 61.20 , 61.80 , 61.30 
6 , 21 , 2010 , 61.79 , 60.78 , 61.72 , 61.10 
6 , 22 , 2010 , 61.65 , 60.69 , 61.06 , 60.72 
6 , 23 , 2010 , 61.57 , 60.71 , 60.89 , 61.38 
6 , 24 , 2010 , 61.38 , 60.75 , 61.07 , 60.87 
6 , 25 , 2010 , 60.99 , 59.79 , 60.89 , 59.79 
6 , 28 , 2010 , 60.94 , 59.57 , 60.00 , 60.62 
6 , 29 , 2010 , 60.54 , 59.75 , 60.33 , 60.32 
6 , 30 , 2010 , 60.54 , 59.71 , 60.13 , 59.98 
7 , 1 , 2010 , 60.29 , 59.36 , 59.84 , 59.54 
7 , 2 , 2010 , 59.89 , 59.21 , 59.63 , 59.38 
7 , 6 , 2010 , 59.93 , 58.92 , 59.88 , 59.34 
7 , 7 , 2010 , 60.91 , 59.13 , 59.50 , 60.82 
7 , 8 , 2010 , 61.97 , 60.78 , 60.84 , 61.95 
7 , 9 , 2010 , 61.94 , 61.36 , 61.94 , 61.75 
7 , 12 , 2010 , 62.16 , 61.34 , 61.54 , 62.09 
7 , 13 , 2010 , 62.85 , 62.17 , 62.30 , 62.39 
7 , 14 , 2010 , 62.79 , 62.00 , 62.21 , 62.66 
7 , 15 , 2010 , 62.89 , 62.35 , 62.62 , 62.73 
7 , 16 , 2010 , 62.67 , 61.63 , 62.45 , 61.99 
7 , 19 , 2010 , 62.29 , 61.71 , 61.99 , 61.86 
7 , 20 , 2010 , 62.12 , 61.21 , 61.63 , 62.07 
7 , 21 , 2010 , 61.82 , 60.86 , 61.72 , 61.11 
7 , 22 , 2010 , 61.92 , 61.01 , 61.06 , 61.37 
7 , 23 , 2010 , 61.96 , 61.21 , 61.40 , 61.91 
7 , 26 , 2010 , 62.58 , 61.66 , 61.66 , 62.52 
7 , 27 , 2010 , 63.36 , 62.35 , 62.72 , 63.08 
7 , 28 , 2010 , 63.13 , 62.56 , 62.88 , 62.70 
7 , 29 , 2010 , 62.38 , 61.22 , 62.20 , 61.67 
7 , 30 , 2010 , 61.53 , 60.82 , 61.16 , 61.16 
8 , 2 , 2010 , 62.09 , 61.51 , 61.95 , 62.06 
8 , 3 , 2010 , 60.20 , 59.55 , 59.86 , 59.94 
8 , 4 , 2010 , 60.57 , 59.55 , 60.07 , 59.55 
8 , 5 , 2010 , 60.20 , 59.40 , 59.55 , 59.86 
8 , 6 , 2010 , 60.04 , 59.17 , 59.50 , 60.02 
8 , 9 , 2010 , 60.83 , 59.86 , 60.39 , 60.38 
8 , 10 , 2010 , 61.34 , 60.08 , 60.10 , 60.78 
8 , 11 , 2010 , 60.64 , 60.00 , 60.18 , 60.27 
8 , 12 , 2010 , 60.48 , 59.38 , 59.99 , 59.99 
8 , 13 , 2010 , 60.60 , 59.69 , 59.74 , 59.82 
8 , 16 , 2010 , 60.20 , 59.32 , 59.63 , 59.77 
8 , 17 , 2010 , 60.92 , 59.93 , 60.31 , 60.29 
8 , 18 , 2010 , 61.06 , 60.04 , 60.16 , 60.75 
8 , 19 , 2010 , 60.63 , 59.85 , 60.42 , 60.19 
8 , 20 , 2010 , 60.17 , 59.67 , 59.94 , 59.98 
8 , 23 , 2010 , 60.39 , 59.86 , 60.01 , 60.03 
8 , 24 , 2010 , 60.02 , 59.58 , 59.70 , 59.66 
8 , 25 , 2010 , 59.90 , 59.40 , 59.79 , 59.67 
8 , 26 , 2010 , 59.91 , 59.40 , 59.91 , 59.54 
8 , 27 , 2010 , 59.92 , 59.25 , 59.71 , 59.80 
8 , 30 , 2010 , 59.91 , 59.34 , 59.71 , 59.37 
8 , 31 , 2010 , 59.75 , 59.25 , 59.31 , 59.67 
9 , 1 , 2010 , 60.05 , 59.53 , 59.90 , 59.80 
9 , 2 , 2010 , 60.30 , 59.71 , 59.74 , 60.07 
9 , 3 , 2010 , 60.50 , 59.83 , 60.26 , 60.29 
9 , 7 , 2010 , 60.45 , 59.92 , 60.01 , 60.14 
9 , 8 , 2010 , 60.50 , 60.15 , 60.15 , 60.37 
9 , 9 , 2010 , 60.69 , 60.21 , 60.67 , 60.29 
9 , 10 , 2010 , 60.63 , 60.28 , 60.51 , 60.40 
9 , 13 , 2010 , 60.74 , 60.22 , 60.65 , 60.48 
9 , 14 , 2010 , 60.94 , 60.32 , 60.39 , 60.64 
9 , 15 , 2010 , 61.41 , 60.53 , 60.56 , 61.11 
9 , 16 , 2010 , 61.11 , 60.66 , 60.87 , 61.11 
9 , 17 , 2010 , 61.47 , 60.81 , 61.31 , 60.97 
9 , 20 , 2010 , 61.59 , 60.91 , 61.01 , 61.43 
9 , 21 , 2010 , 61.86 , 61.23 , 61.45 , 61.52 
9 , 22 , 2010 , 62.00 , 61.42 , 61.53 , 61.79 
9 , 23 , 2010 , 61.58 , 61.15 , 61.42 , 61.22 
9 , 24 , 2010 , 61.81 , 61.36 , 61.50 , 61.64 
9 , 27 , 2010 , 61.70 , 61.02 , 61.45 , 61.04 
9 , 28 , 2010 , 61.13 , 60.35 , 61.01 , 60.62 
9 , 29 , 2010 , 60.62 , 60.03 , 60.46 , 60.25 
9 , 30 , 2010 , 60.65 , 59.84 , 60.32 , 59.97 
10 , 1 , 2010 , 60.37 , 59.95 , 60.09 , 60.16 
10 , 4 , 2010 , 60.35 , 59.68 , 60.01 , 59.96 
10 , 5 , 2010 , 60.91 , 59.99 , 60.26 , 60.82 
10 , 6 , 2010 , 60.99 , 60.30 , 60.75 , 60.87 
10 , 7 , 2010 , 61.14 , 60.75 , 60.99 , 60.80 
10 , 8 , 2010 , 62.00 , 60.90 , 61.00 , 61.86 
10 , 11 , 2010 , 62.21 , 61.86 , 61.92 , 62.14 
10 , 12 , 2010 , 62.18 , 61.56 , 62.01 , 62.02 
10 , 13 , 2010 , 62.93 , 62.08 , 62.23 , 62.63 
10 , 14 , 2010 , 62.84 , 62.52 , 62.67 , 62.80 
10 , 15 , 2010 , 63.00 , 62.55 , 62.97 , 62.76 
