Month , Day , Year , High , Low , Open , Close
3 , 17 , 2010 , 1.55 , 0.84 , 0.96 , 1.39 
3 , 18 , 2010 , 1.48 , 1.19 , 1.45 , 1.37 
3 , 19 , 2010 , 1.75 , 1.05 , 1.64 , 1.60 
3 , 22 , 2010 , 1.78 , 1.54 , 1.54 , 1.75 
3 , 23 , 2010 , 2.01 , 1.74 , 1.75 , 2.01 
3 , 24 , 2010 , 2.04 , 1.87 , 1.94 , 1.99 
3 , 25 , 2010 , 2.68 , 2.07 , 2.45 , 2.09 
3 , 26 , 2010 , 2.90 , 2.40 , 2.61 , 2.77 
3 , 29 , 2010 , 3.19 , 2.66 , 3.11 , 2.76 
3 , 30 , 2010 , 2.79 , 2.52 , 2.72 , 2.60 
3 , 31 , 2010 , 2.71 , 2.46 , 2.55 , 2.59 
4 , 1 , 2010 , 2.75 , 2.60 , 2.69 , 2.72 
4 , 5 , 2010 , 2.83 , 2.65 , 2.83 , 2.82 
4 , 6 , 2010 , 2.83 , 2.70 , 2.81 , 2.83 
4 , 7 , 2010 , 3.03 , 2.68 , 2.74 , 2.95 
4 , 8 , 2010 , 2.95 , 2.76 , 2.94 , 2.86 
4 , 9 , 2010 , 2.95 , 2.83 , 2.86 , 2.90 
4 , 12 , 2010 , 2.96 , 2.75 , 2.93 , 2.86 
4 , 13 , 2010 , 2.98 , 2.79 , 2.86 , 2.97 
4 , 14 , 2010 , 4.22 , 3.41 , 3.41 , 4.12 
4 , 15 , 2010 , 4.40 , 4.06 , 4.13 , 4.23 
4 , 16 , 2010 , 4.36 , 3.83 , 4.13 , 3.86 
4 , 19 , 2010 , 4.23 , 3.57 , 3.57 , 4.23 
4 , 20 , 2010 , 4.39 , 4.01 , 4.36 , 4.28 
4 , 21 , 2010 , 4.29 , 3.70 , 4.26 , 3.84 
4 , 22 , 2010 , 4.22 , 3.56 , 3.69 , 4.21 
4 , 23 , 2010 , 4.37 , 4.07 , 4.20 , 4.36 
4 , 26 , 2010 , 4.44 , 4.08 , 4.31 , 4.11 
4 , 27 , 2010 , 4.01 , 3.42 , 3.97 , 3.44 
4 , 28 , 2010 , 3.93 , 3.50 , 3.57 , 3.64 
4 , 29 , 2010 , 3.97 , 3.55 , 3.77 , 3.89 
4 , 30 , 2010 , 3.99 , 3.59 , 3.82 , 3.59 
5 , 3 , 2010 , 3.91 , 3.70 , 3.74 , 3.89 
5 , 4 , 2010 , 3.72 , 3.29 , 3.68 , 3.49 
5 , 5 , 2010 , 3.97 , 3.32 , 3.36 , 3.75 
5 , 6 , 2010 , 3.96 , 2.68 , 3.73 , 3.30 
5 , 7 , 2010 , 3.58 , 2.88 , 3.22 , 3.05 
5 , 10 , 2010 , 3.96 , 3.58 , 3.71 , 3.94 
5 , 11 , 2010 , 4.13 , 3.58 , 3.71 , 3.84 
5 , 12 , 2010 , 4.26 , 3.78 , 3.94 , 4.25 
5 , 13 , 2010 , 4.38 , 4.06 , 4.18 , 4.10 
5 , 14 , 2010 , 4.05 , 3.68 , 3.92 , 3.80 
5 , 17 , 2010 , 4.09 , 3.70 , 3.80 , 4.08 
5 , 18 , 2010 , 4.31 , 3.78 , 4.20 , 3.85 
5 , 19 , 2010 , 4.10 , 3.46 , 3.76 , 3.78 
5 , 20 , 2010 , 3.61 , 2.86 , 3.47 , 2.86 
5 , 21 , 2010 , 3.32 , 2.40 , 2.67 , 3.31 
5 , 24 , 2010 , 3.35 , 2.95 , 3.33 , 2.95 
5 , 25 , 2010 , 3.06 , 2.49 , 2.56 , 3.06 
5 , 26 , 2010 , 3.16 , 2.69 , 3.16 , 2.73 
5 , 27 , 2010 , 3.38 , 2.92 , 3.02 , 3.36 
5 , 28 , 2010 , 3.40 , 2.97 , 3.40 , 3.09 
6 , 1 , 2010 , 3.07 , 2.54 , 2.93 , 2.55 
6 , 2 , 2010 , 3.12 , 2.54 , 2.69 , 3.12 
6 , 3 , 2010 , 3.24 , 2.94 , 3.15 , 3.13 
6 , 4 , 2010 , 2.92 , 2.38 , 2.77 , 2.46 
6 , 7 , 2010 , 2.67 , 2.31 , 2.50 , 2.31 
6 , 8 , 2010 , 2.73 , 2.17 , 2.41 , 2.68 
6 , 9 , 2010 , 2.86 , 2.38 , 2.83 , 2.42 
6 , 10 , 2010 , 3.04 , 2.59 , 2.64 , 3.02 
6 , 11 , 2010 , 3.12 , 2.73 , 2.82 , 3.10 
6 , 14 , 2010 , 3.25 , 2.94 , 3.22 , 2.94 
6 , 15 , 2010 , 3.47 , 2.99 , 3.17 , 3.45 
6 , 16 , 2010 , 3.39 , 3.21 , 3.36 , 3.33 
6 , 17 , 2010 , 3.59 , 3.27 , 3.27 , 3.57 
6 , 18 , 2010 , 3.76 , 3.56 , 3.61 , 3.65 
6 , 21 , 2010 , 4.00 , 3.16 , 3.85 , 3.27 
6 , 22 , 2010 , 3.45 , 2.95 , 3.25 , 3.00 
6 , 23 , 2010 , 3.02 , 2.76 , 2.99 , 2.90 
6 , 24 , 2010 , 2.99 , 2.63 , 2.77 , 2.68 
6 , 25 , 2010 , 3.00 , 2.62 , 2.78 , 2.99 
6 , 28 , 2010 , 3.15 , 2.82 , 2.94 , 3.01 
6 , 29 , 2010 , 2.80 , 2.30 , 2.79 , 2.41 
6 , 30 , 2010 , 2.54 , 2.19 , 2.41 , 2.22 
7 , 1 , 2010 , 2.31 , 1.91 , 2.26 , 2.15 
7 , 2 , 2010 , 2.33 , 1.96 , 2.24 , 2.12 
7 , 6 , 2010 , 2.69 , 2.06 , 2.68 , 2.23 
7 , 7 , 2010 , 2.90 , 2.24 , 2.33 , 2.87 
7 , 8 , 2010 , 3.23 , 2.81 , 2.99 , 3.18 
7 , 9 , 2010 , 3.59 , 3.15 , 3.21 , 3.46 
7 , 12 , 2010 , 3.44 , 3.19 , 3.43 , 3.31 
7 , 13 , 2010 , 3.50 , 3.26 , 3.49 , 3.34 
7 , 14 , 2010 , 3.85 , 3.02 , 3.02 , 3.61 
7 , 15 , 2010 , 3.65 , 3.27 , 3.61 , 3.60 
7 , 16 , 2010 , 3.52 , 3.06 , 3.47 , 3.09 
7 , 19 , 2010 , 3.26 , 3.00 , 3.16 , 3.15 
7 , 20 , 2010 , 3.31 , 2.80 , 2.83 , 3.28 
7 , 21 , 2010 , 3.51 , 2.71 , 3.51 , 2.74 
7 , 22 , 2010 , 3.17 , 2.88 , 2.90 , 3.15 
7 , 23 , 2010 , 3.39 , 2.98 , 3.08 , 3.37 
7 , 26 , 2010 , 3.69 , 3.35 , 3.35 , 3.68 
7 , 27 , 2010 , 3.80 , 3.57 , 3.80 , 3.66 
7 , 28 , 2010 , 3.66 , 3.28 , 3.56 , 3.31 
7 , 29 , 2010 , 3.54 , 3.12 , 3.46 , 3.21 
7 , 30 , 2010 , 3.28 , 2.92 , 3.00 , 3.14 
8 , 2 , 2010 , 3.53 , 3.25 , 3.49 , 3.48 
8 , 3 , 2010 , 3.43 , 3.08 , 3.43 , 3.11 
8 , 4 , 2010 , 3.38 , 3.01 , 3.20 , 3.18 
8 , 5 , 2010 , 3.26 , 3.01 , 3.07 , 3.25 
8 , 6 , 2010 , 3.19 , 2.83 , 3.07 , 3.15 
8 , 9 , 2010 , 3.33 , 3.15 , 3.28 , 3.31 
8 , 10 , 2010 , 3.39 , 3.08 , 3.13 , 3.25 
8 , 11 , 2010 , 3.04 , 2.67 , 3.04 , 2.70 
8 , 12 , 2010 , 2.74 , 2.44 , 2.45 , 2.69 
8 , 13 , 2010 , 2.88 , 2.59 , 2.66 , 2.68 
8 , 16 , 2010 , 2.69 , 2.47 , 2.59 , 2.58 
8 , 17 , 2010 , 2.91 , 2.66 , 2.77 , 2.75 
8 , 18 , 2010 , 3.24 , 2.69 , 2.73 , 3.21 
8 , 19 , 2010 , 3.22 , 2.99 , 3.17 , 3.01 
8 , 20 , 2010 , 3.06 , 2.80 , 2.92 , 2.95 
8 , 23 , 2010 , 3.11 , 2.88 , 3.07 , 2.88 
8 , 24 , 2010 , 2.96 , 2.65 , 2.65 , 2.78 
8 , 25 , 2010 , 3.09 , 2.56 , 2.63 , 3.02 
8 , 26 , 2010 , 3.12 , 2.84 , 3.06 , 2.90 
8 , 27 , 2010 , 3.40 , 2.82 , 3.04 , 3.40 
8 , 30 , 2010 , 3.43 , 3.22 , 3.31 , 3.27 
8 , 31 , 2010 , 3.42 , 2.97 , 3.26 , 3.30 
9 , 1 , 2010 , 3.86 , 3.33 , 3.48 , 3.84 
