Month , Day , Year , High , Low , Open , Close
3 , 17 , 2010 , 65.74 , 64.46 , 64.74 , 65.37 
3 , 18 , 2010 , 65.91 , 65.11 , 65.26 , 65.60 
3 , 19 , 2010 , 66.41 , 64.89 , 65.75 , 65.11 
3 , 22 , 2010 , 65.62 , 64.21 , 64.53 , 65.55 
3 , 23 , 2010 , 66.71 , 65.16 , 65.78 , 66.57 
3 , 24 , 2010 , 66.55 , 65.26 , 66.49 , 65.34 
3 , 25 , 2010 , 66.42 , 64.70 , 66.16 , 64.79 
3 , 26 , 2010 , 65.93 , 64.44 , 65.01 , 64.61 
3 , 29 , 2010 , 65.31 , 64.77 , 64.92 , 65.24 
3 , 30 , 2010 , 66.23 , 65.34 , 65.57 , 65.52 
3 , 31 , 2010 , 65.55 , 64.69 , 65.33 , 64.74 
4 , 1 , 2010 , 65.69 , 64.80 , 65.12 , 65.27 
4 , 5 , 2010 , 66.56 , 65.40 , 65.40 , 66.42 
4 , 6 , 2010 , 66.32 , 65.70 , 66.16 , 66.32 
4 , 7 , 2010 , 67.06 , 65.90 , 66.05 , 66.50 
4 , 8 , 2010 , 67.75 , 65.84 , 66.37 , 67.59 
4 , 9 , 2010 , 68.67 , 67.51 , 67.77 , 68.48 
4 , 12 , 2010 , 69.66 , 68.50 , 69.54 , 69.48 
4 , 13 , 2010 , 69.85 , 69.03 , 69.27 , 69.76 
4 , 14 , 2010 , 70.81 , 70.17 , 70.22 , 70.54 
4 , 15 , 2010 , 70.72 , 70.01 , 70.30 , 70.21 
4 , 16 , 2010 , 70.02 , 68.87 , 69.78 , 69.07 
4 , 19 , 2010 , 69.74 , 67.99 , 69.04 , 69.39 
4 , 20 , 2010 , 72.50 , 67.12 , 71.75 , 67.80 
4 , 21 , 2010 , 71.17 , 68.37 , 68.37 , 71.00 
4 , 22 , 2010 , 70.80 , 69.70 , 70.52 , 70.44 
4 , 23 , 2010 , 70.99 , 69.75 , 70.13 , 70.99 
4 , 26 , 2010 , 71.73 , 70.89 , 71.00 , 71.16 
4 , 27 , 2010 , 71.36 , 68.50 , 70.64 , 68.75 
4 , 28 , 2010 , 69.43 , 68.09 , 69.26 , 69.06 
4 , 29 , 2010 , 71.29 , 69.65 , 69.65 , 71.23 
