Month , Day , Year , High , Low , Open , Close
3 , 17 , 2010 , 28.84 , 27.86 , 28.12 , 28.58 
3 , 18 , 2010 , 28.69 , 28.28 , 28.49 , 28.60 
3 , 19 , 2010 , 28.80 , 27.98 , 28.67 , 28.06 
3 , 22 , 2010 , 28.30 , 27.52 , 27.76 , 28.09 
3 , 23 , 2010 , 28.59 , 27.92 , 28.15 , 28.47 
3 , 24 , 2010 , 28.91 , 28.23 , 28.24 , 28.78 
3 , 25 , 2010 , 29.60 , 28.86 , 28.88 , 28.89 
3 , 26 , 2010 , 29.22 , 28.73 , 29.07 , 28.86 
3 , 29 , 2010 , 29.12 , 28.44 , 29.07 , 28.50 
3 , 30 , 2010 , 28.71 , 27.66 , 28.47 , 27.77 
3 , 31 , 2010 , 27.94 , 27.20 , 27.46 , 27.24 
4 , 1 , 2010 , 27.55 , 27.05 , 27.52 , 27.24 
4 , 5 , 2010 , 27.94 , 27.31 , 27.38 , 27.75 
4 , 6 , 2010 , 28.94 , 27.48 , 27.53 , 28.64 
4 , 7 , 2010 , 28.26 , 27.28 , 28.26 , 27.53 
4 , 8 , 2010 , 27.65 , 27.28 , 27.50 , 27.53 
4 , 9 , 2010 , 27.91 , 27.29 , 27.64 , 27.90 
4 , 12 , 2010 , 27.99 , 27.75 , 27.93 , 27.78 
4 , 13 , 2010 , 28.45 , 27.63 , 27.76 , 28.28 
4 , 14 , 2010 , 28.59 , 27.92 , 28.59 , 28.36 
4 , 15 , 2010 , 28.32 , 27.29 , 28.19 , 27.42 
4 , 16 , 2010 , 27.64 , 26.83 , 27.33 , 26.86 
4 , 19 , 2010 , 27.20 , 26.51 , 26.64 , 27.17 
4 , 20 , 2010 , 27.86 , 26.93 , 27.40 , 27.73 
4 , 21 , 2010 , 28.24 , 27.37 , 27.63 , 27.70 
4 , 22 , 2010 , 27.94 , 27.11 , 27.32 , 27.88 
4 , 23 , 2010 , 28.36 , 27.53 , 28.01 , 28.31 
4 , 26 , 2010 , 28.77 , 28.05 , 28.30 , 28.36 
4 , 27 , 2010 , 28.38 , 27.50 , 28.10 , 27.54 
4 , 28 , 2010 , 28.09 , 27.52 , 27.85 , 27.85 
4 , 29 , 2010 , 29.03 , 28.08 , 28.19 , 28.89 
4 , 30 , 2010 , 29.17 , 27.80 , 28.89 , 27.86 
5 , 3 , 2010 , 29.00 , 28.13 , 28.15 , 28.88 
5 , 4 , 2010 , 28.44 , 27.63 , 28.27 , 28.03 
5 , 5 , 2010 , 28.62 , 27.30 , 27.70 , 27.94 
5 , 6 , 2010 , 28.00 , 23.89 , 27.82 , 26.58 
5 , 7 , 2010 , 27.82 , 25.33 , 26.52 , 25.47 
5 , 10 , 2010 , 28.08 , 26.88 , 26.93 , 27.57 
5 , 11 , 2010 , 28.11 , 26.97 , 27.01 , 27.63 
5 , 12 , 2010 , 28.99 , 27.67 , 27.83 , 28.88 
5 , 13 , 2010 , 28.85 , 28.13 , 28.84 , 28.31 
5 , 14 , 2010 , 28.12 , 26.36 , 27.94 , 26.61 
5 , 17 , 2010 , 27.40 , 25.79 , 26.79 , 26.54 
5 , 18 , 2010 , 27.28 , 26.00 , 27.04 , 26.20 
5 , 19 , 2010 , 27.08 , 25.19 , 26.13 , 26.22 
5 , 20 , 2010 , 25.61 , 24.82 , 25.26 , 24.86 
5 , 21 , 2010 , 25.90 , 24.04 , 24.32 , 25.57 
5 , 24 , 2010 , 25.08 , 24.33 , 24.80 , 24.53 
5 , 25 , 2010 , 24.52 , 23.14 , 23.86 , 24.49 
5 , 26 , 2010 , 25.78 , 24.39 , 24.84 , 24.66 
5 , 27 , 2010 , 26.19 , 25.02 , 25.40 , 26.14 
5 , 28 , 2010 , 26.50 , 25.83 , 26.15 , 25.93 
6 , 1 , 2010 , 25.87 , 25.04 , 25.74 , 25.11 
6 , 2 , 2010 , 25.67 , 24.69 , 25.37 , 25.65 
6 , 3 , 2010 , 25.91 , 25.26 , 25.84 , 25.58 
6 , 4 , 2010 , 25.44 , 24.05 , 24.90 , 24.15 
6 , 7 , 2010 , 24.83 , 24.00 , 24.46 , 24.06 
6 , 8 , 2010 , 24.80 , 23.49 , 24.21 , 24.72 
6 , 9 , 2010 , 26.01 , 25.00 , 25.03 , 25.17 
6 , 10 , 2010 , 26.60 , 25.51 , 25.59 , 26.45 
6 , 11 , 2010 , 26.83 , 25.98 , 26.04 , 26.82 
6 , 14 , 2010 , 27.59 , 26.79 , 27.17 , 27.11 
6 , 15 , 2010 , 27.78 , 27.07 , 27.24 , 27.69 
6 , 16 , 2010 , 27.75 , 26.96 , 27.43 , 27.11 
6 , 17 , 2010 , 27.33 , 26.74 , 27.22 , 26.94 
6 , 18 , 2010 , 26.95 , 26.45 , 26.80 , 26.70 
6 , 21 , 2010 , 27.25 , 26.43 , 27.14 , 26.53 
6 , 22 , 2010 , 26.84 , 25.22 , 26.63 , 25.30 
6 , 23 , 2010 , 25.63 , 24.90 , 25.24 , 25.40 
6 , 24 , 2010 , 25.45 , 24.69 , 25.22 , 24.74 
6 , 25 , 2010 , 25.72 , 24.67 , 24.88 , 25.43 
6 , 28 , 2010 , 25.55 , 24.92 , 25.45 , 25.08 
6 , 29 , 2010 , 24.78 , 24.00 , 24.52 , 24.20 
6 , 30 , 2010 , 24.60 , 23.70 , 24.19 , 23.71 
7 , 1 , 2010 , 23.68 , 22.60 , 23.60 , 23.41 
7 , 2 , 2010 , 23.67 , 22.65 , 23.65 , 22.75 
7 , 6 , 2010 , 23.54 , 22.09 , 23.19 , 22.24 
7 , 7 , 2010 , 23.82 , 22.28 , 22.35 , 23.72 
7 , 8 , 2010 , 24.47 , 23.80 , 24.06 , 24.37 
