Month , Day , Year , High , Low , Open , Close
12 , 10 , 2020 , 28.04 , 25.15 , 25.54 , 27.04 
12 , 11 , 2020 , 28.27 , 26.06 , 27.15 , 27.20 
12 , 14 , 2020 , 28.26 , 26.73 , 28.26 , 27.24 
12 , 15 , 2020 , 27.10 , 25.52 , 26.82 , 26.43 
12 , 16 , 2020 , 26.16 , 25.11 , 25.71 , 25.92 
12 , 17 , 2020 , 27.45 , 26.05 , 26.52 , 27.23 
12 , 18 , 2020 , 26.85 , 25.80 , 26.27 , 25.97 
12 , 21 , 2020 , 28.70 , 25.40 , 26.19 , 28.51 
12 , 22 , 2020 , 29.42 , 26.82 , 29.03 , 28.04 
12 , 23 , 2020 , 29.39 , 28.05 , 28.95 , 28.69 
12 , 24 , 2020 , 29.16 , 27.52 , 28.80 , 27.75 
12 , 28 , 2020 , 28.59 , 25.40 , 28.39 , 25.63 
12 , 29 , 2020 , 26.18 , 24.34 , 25.75 , 24.66 
12 , 30 , 2020 , 25.91 , 24.63 , 24.97 , 25.10 
12 , 31 , 2020 , 24.72 , 23.52 , 24.63 , 23.55 
1 , 4 , 2021 , 24.50 , 22.50 , 23.91 , 23.37 
1 , 5 , 2021 , 24.67 , 22.89 , 23.18 , 24.60 
1 , 6 , 2021 , 24.46 , 23.25 , 24.12 , 23.54 
1 , 7 , 2021 , 25.19 , 23.67 , 24.02 , 25.00 
1 , 8 , 2021 , 26.44 , 24.70 , 25.70 , 25.20 
1 , 11 , 2021 , 26.60 , 24.31 , 24.61 , 25.93 
1 , 12 , 2021 , 26.42 , 25.51 , 26.34 , 26.18 
1 , 13 , 2021 , 27.43 , 25.13 , 25.71 , 25.50 
1 , 14 , 2021 , 25.62 , 24.37 , 25.45 , 24.92 
1 , 15 , 2021 , 28.00 , 25.46 , 26.26 , 25.64 
1 , 19 , 2021 , 27.54 , 26.00 , 26.81 , 26.62 
1 , 20 , 2021 , 27.30 , 25.70 , 27.29 , 26.34 
1 , 21 , 2021 , 26.68 , 25.30 , 26.42 , 25.98 
1 , 22 , 2021 , 32.65 , 25.82 , 25.85 , 32.58 
1 , 25 , 2021 , 39.58 , 29.56 , 34.46 , 36.23 
1 , 26 , 2021 , 36.87 , 34.32 , 35.14 , 35.37 
1 , 27 , 2021 , 45.00 , 32.25 , 32.97 , 39.00 
1 , 28 , 2021 , 42.00 , 33.10 , 39.54 , 35.66 
1 , 29 , 2021 , 38.01 , 34.66 , 36.61 , 35.18 
2 , 1 , 2021 , 35.62 , 32.58 , 35.33 , 33.96 
2 , 2 , 2021 , 34.20 , 30.50 , 34.10 , 31.02 
2 , 3 , 2021 , 32.95 , 31.38 , 32.39 , 31.76 
2 , 4 , 2021 , 33.18 , 31.05 , 32.58 , 32.05 
2 , 5 , 2021 , 35.20 , 31.75 , 32.61 , 34.05 
2 , 8 , 2021 , 39.22 , 35.89 , 37.22 , 36.05 
2 , 9 , 2021 , 38.26 , 36.13 , 36.90 , 38.17 
2 , 10 , 2021 , 38.24 , 35.00 , 38.15 , 35.70 
2 , 11 , 2021 , 35.98 , 32.61 , 35.79 , 33.11 
2 , 12 , 2021 , 33.65 , 31.34 , 33.36 , 31.91 
2 , 16 , 2021 , 30.44 , 27.30 , 30.02 , 27.84 
2 , 17 , 2021 , 29.73 , 27.00 , 27.99 , 27.08 
2 , 18 , 2021 , 26.31 , 24.50 , 24.99 , 25.17 
2 , 19 , 2021 , 29.96 , 26.90 , 27.02 , 29.00 
2 , 22 , 2021 , 30.19 , 27.54 , 29.96 , 28.00 
2 , 23 , 2021 , 27.46 , 23.90 , 25.96 , 26.75 
2 , 24 , 2021 , 27.23 , 25.75 , 26.71 , 26.39 
2 , 25 , 2021 , 26.44 , 23.15 , 25.82 , 23.96 
2 , 26 , 2021 , 24.50 , 22.70 , 24.20 , 23.90 
3 , 1 , 2021 , 25.90 , 24.62 , 25.19 , 24.81 
3 , 2 , 2021 , 25.59 , 24.26 , 25.00 , 24.48 
3 , 3 , 2021 , 25.17 , 23.43 , 24.99 , 23.59 
3 , 4 , 2021 , 25.56 , 23.05 , 24.85 , 24.73 
3 , 5 , 2021 , 24.68 , 20.18 , 24.36 , 23.95 
3 , 8 , 2021 , 24.58 , 22.40 , 23.77 , 22.52 
3 , 9 , 2021 , 24.74 , 23.10 , 23.38 , 24.26 
3 , 10 , 2021 , 26.24 , 24.27 , 25.03 , 24.75 
3 , 11 , 2021 , 26.84 , 25.58 , 25.95 , 26.73 
3 , 12 , 2021 , 26.92 , 25.18 , 25.74 , 26.92 
3 , 15 , 2021 , 27.47 , 26.31 , 27.35 , 26.79 
3 , 16 , 2021 , 27.10 , 25.23 , 26.75 , 25.61 
3 , 17 , 2021 , 25.73 , 24.30 , 24.52 , 25.21 
3 , 18 , 2021 , 25.18 , 23.78 , 24.73 , 23.98 
3 , 19 , 2021 , 24.57 , 23.39 , 24.01 , 24.32 
3 , 22 , 2021 , 24.92 , 23.86 , 24.89 , 24.22 
3 , 23 , 2021 , 24.11 , 23.10 , 24.05 , 23.26 
3 , 24 , 2021 , 23.49 , 21.75 , 23.30 , 21.88 
3 , 25 , 2021 , 22.80 , 21.05 , 21.20 , 22.58 
3 , 26 , 2021 , 23.05 , 21.76 , 22.63 , 22.58 
3 , 29 , 2021 , 22.50 , 21.39 , 22.48 , 21.73 
3 , 30 , 2021 , 22.09 , 20.86 , 21.36 , 22.04 
3 , 31 , 2021 , 23.85 , 22.38 , 22.50 , 23.29 
4 , 1 , 2021 , 23.95 , 22.73 , 23.95 , 23.07 
4 , 5 , 2021 , 24.45 , 23.34 , 23.78 , 23.44 
4 , 6 , 2021 , 23.61 , 22.83 , 23.50 , 23.27 
4 , 7 , 2021 , 23.55 , 22.81 , 23.00 , 22.90 
4 , 8 , 2021 , 23.60 , 22.74 , 23.20 , 23.41 
4 , 9 , 2021 , 24.35 , 23.37 , 23.46 , 24.04 
4 , 12 , 2021 , 24.55 , 22.73 , 24.52 , 23.34 
4 , 13 , 2021 , 25.66 , 23.12 , 23.19 , 25.42 
4 , 14 , 2021 , 26.20 , 23.65 , 25.35 , 23.70 
4 , 15 , 2021 , 24.06 , 22.69 , 24.01 , 23.15 
4 , 16 , 2021 , 23.26 , 22.30 , 22.86 , 22.47 
4 , 19 , 2021 , 22.33 , 21.53 , 22.15 , 21.94 
4 , 20 , 2021 , 22.55 , 21.24 , 21.96 , 21.78 
4 , 21 , 2021 , 22.64 , 21.43 , 21.65 , 22.63 
4 , 22 , 2021 , 23.51 , 22.51 , 22.94 , 22.86 
4 , 23 , 2021 , 23.55 , 22.74 , 22.89 , 23.41 
4 , 26 , 2021 , 24.26 , 23.46 , 23.69 , 24.11 
4 , 27 , 2021 , 24.26 , 23.57 , 24.17 , 23.88 
