Month , Day , Year , High , Low , Open , Close
3 , 17 , 2010 , 51.92 , 51.27 , 51.45 , 51.83 
3 , 18 , 2010 , 51.99 , 51.65 , 51.94 , 51.82 
3 , 19 , 2010 , 52.85 , 51.83 , 51.92 , 52.68 
3 , 22 , 2010 , 53.07 , 52.23 , 52.39 , 52.89 
3 , 23 , 2010 , 52.44 , 51.69 , 52.20 , 52.44 
3 , 24 , 2010 , 52.70 , 51.84 , 52.43 , 51.89 
3 , 25 , 2010 , 52.53 , 51.66 , 52.12 , 51.72 
3 , 26 , 2010 , 52.45 , 51.68 , 51.78 , 52.12 
3 , 29 , 2010 , 52.74 , 52.25 , 52.27 , 52.53 
3 , 30 , 2010 , 52.92 , 52.16 , 52.62 , 52.49 
3 , 31 , 2010 , 52.50 , 51.95 , 52.50 , 52.16 
4 , 1 , 2010 , 52.68 , 52.16 , 52.24 , 52.47 
4 , 5 , 2010 , 52.99 , 52.36 , 52.60 , 52.85 
4 , 6 , 2010 , 52.95 , 52.55 , 52.64 , 52.65 
4 , 7 , 2010 , 52.80 , 52.29 , 52.57 , 52.52 
4 , 8 , 2010 , 52.72 , 52.21 , 52.40 , 52.37 
4 , 9 , 2010 , 52.81 , 52.03 , 52.76 , 52.75 
4 , 12 , 2010 , 53.20 , 52.74 , 52.86 , 52.95 
4 , 13 , 2010 , 52.82 , 52.08 , 52.78 , 52.46 
4 , 14 , 2010 , 52.09 , 50.80 , 52.09 , 51.30 
4 , 15 , 2010 , 51.62 , 50.65 , 50.65 , 51.59 
4 , 16 , 2010 , 51.68 , 50.56 , 51.45 , 50.74 
4 , 19 , 2010 , 51.44 , 50.55 , 50.55 , 51.35 
4 , 20 , 2010 , 53.91 , 51.16 , 51.48 , 51.92 
4 , 21 , 2010 , 52.87 , 51.80 , 51.97 , 51.99 
4 , 22 , 2010 , 51.32 , 50.08 , 50.38 , 51.24 
4 , 23 , 2010 , 51.23 , 50.60 , 51.18 , 51.14 
4 , 26 , 2010 , 51.14 , 50.06 , 51.04 , 50.13 
4 , 27 , 2010 , 50.07 , 48.22 , 50.01 , 48.44 
4 , 28 , 2010 , 49.34 , 48.53 , 48.67 , 49.09 
4 , 29 , 2010 , 50.30 , 49.33 , 49.45 , 49.58 
4 , 30 , 2010 , 49.81 , 49.02 , 49.47 , 49.08 
5 , 3 , 2010 , 49.68 , 49.15 , 49.32 , 49.42 
5 , 4 , 2010 , 49.75 , 48.86 , 49.01 , 49.00 
5 , 5 , 2010 , 49.55 , 48.50 , 48.89 , 48.71 
5 , 6 , 2010 , 48.92 , 37.00 , 48.58 , 47.00 
5 , 7 , 2010 , 47.00 , 45.92 , 46.13 , 46.42 
5 , 10 , 2010 , 49.04 , 47.70 , 47.91 , 48.35 
5 , 11 , 2010 , 48.63 , 47.74 , 47.74 , 48.35 
5 , 12 , 2010 , 48.31 , 47.52 , 47.93 , 47.99 
5 , 13 , 2010 , 48.19 , 47.31 , 47.86 , 47.36 
5 , 14 , 2010 , 47.47 , 46.29 , 47.27 , 46.56 
5 , 17 , 2010 , 46.83 , 45.89 , 46.60 , 46.25 
5 , 18 , 2010 , 46.76 , 45.37 , 46.44 , 45.56 
5 , 19 , 2010 , 46.52 , 45.10 , 45.37 , 46.26 
5 , 20 , 2010 , 45.92 , 44.49 , 45.47 , 44.55 
5 , 21 , 2010 , 44.71 , 43.38 , 43.90 , 44.26 
5 , 24 , 2010 , 44.72 , 43.57 , 44.04 , 44.30 
5 , 25 , 2010 , 43.92 , 42.97 , 43.60 , 43.72 
5 , 26 , 2010 , 44.56 , 43.55 , 43.85 , 43.70 
5 , 27 , 2010 , 44.80 , 44.09 , 44.23 , 44.70 
5 , 28 , 2010 , 44.80 , 44.02 , 44.76 , 44.12 
6 , 1 , 2010 , 44.59 , 43.51 , 43.77 , 43.97 
6 , 2 , 2010 , 45.06 , 44.04 , 44.04 , 45.05 
6 , 3 , 2010 , 45.36 , 44.69 , 45.06 , 45.02 
6 , 4 , 2010 , 44.75 , 43.51 , 44.57 , 43.74 
6 , 7 , 2010 , 44.25 , 43.07 , 43.72 , 43.17 
6 , 8 , 2010 , 43.77 , 42.94 , 43.13 , 43.73 
6 , 9 , 2010 , 45.14 , 43.78 , 43.98 , 44.15 
6 , 10 , 2010 , 45.58 , 44.59 , 44.59 , 45.11 
6 , 11 , 2010 , 44.94 , 43.09 , 44.84 , 44.35 
6 , 14 , 2010 , 45.95 , 44.61 , 44.61 , 45.57 
6 , 15 , 2010 , 46.22 , 45.47 , 46.22 , 45.56 
6 , 16 , 2010 , 45.78 , 45.13 , 45.39 , 45.55 
6 , 17 , 2010 , 45.96 , 45.34 , 45.78 , 45.60 
6 , 18 , 2010 , 46.28 , 45.60 , 45.67 , 45.91 
6 , 21 , 2010 , 46.64 , 45.93 , 46.28 , 46.29 
6 , 22 , 2010 , 46.01 , 44.95 , 45.81 , 44.99 
6 , 23 , 2010 , 47.08 , 45.90 , 46.00 , 46.49 
6 , 24 , 2010 , 46.72 , 46.04 , 46.28 , 46.43 
6 , 25 , 2010 , 47.00 , 45.90 , 46.56 , 45.90 
6 , 28 , 2010 , 46.68 , 45.90 , 46.00 , 46.29 
6 , 29 , 2010 , 46.80 , 45.54 , 45.90 , 45.72 
6 , 30 , 2010 , 46.36 , 45.75 , 46.30 , 45.84 
7 , 1 , 2010 , 46.68 , 45.55 , 45.77 , 46.55 
7 , 2 , 2010 , 46.88 , 46.23 , 46.63 , 46.45 
7 , 6 , 2010 , 47.19 , 46.34 , 46.75 , 46.77 
7 , 7 , 2010 , 47.56 , 46.39 , 46.59 , 47.54 
7 , 8 , 2010 , 48.68 , 47.67 , 47.95 , 48.54 
7 , 9 , 2010 , 48.90 , 48.22 , 48.80 , 48.59 
7 , 12 , 2010 , 48.99 , 48.26 , 48.57 , 48.84 
7 , 13 , 2010 , 49.45 , 49.00 , 49.12 , 49.30 
7 , 14 , 2010 , 49.73 , 48.96 , 49.18 , 49.52 
