Month , Day , Year , High , Low , Open , Close
3 , 17 , 2010 , 60.10 , 58.59 , 58.85 , 59.96 
3 , 18 , 2010 , 59.98 , 58.43 , 59.91 , 59.20 
3 , 19 , 2010 , 60.14 , 58.84 , 59.48 , 59.61 
3 , 22 , 2010 , 60.09 , 58.84 , 58.96 , 59.85 
3 , 23 , 2010 , 59.98 , 58.80 , 59.81 , 59.81 
3 , 24 , 2010 , 60.56 , 59.36 , 59.62 , 59.87 
3 , 25 , 2010 , 61.80 , 59.84 , 60.21 , 59.93 
3 , 26 , 2010 , 60.96 , 59.18 , 59.98 , 59.57 
3 , 29 , 2010 , 60.16 , 58.96 , 60.00 , 59.47 
3 , 30 , 2010 , 59.58 , 58.12 , 59.47 , 58.69 
3 , 31 , 2010 , 60.00 , 58.28 , 58.43 , 59.70 
4 , 1 , 2010 , 60.73 , 59.89 , 60.17 , 60.24 
4 , 5 , 2010 , 61.70 , 60.34 , 60.50 , 61.66 
4 , 6 , 2010 , 62.65 , 61.37 , 61.38 , 62.58 
4 , 7 , 2010 , 63.35 , 62.12 , 62.69 , 62.50 
4 , 8 , 2010 , 64.77 , 62.19 , 62.36 , 64.10 
4 , 9 , 2010 , 64.80 , 63.49 , 64.36 , 64.80 
4 , 12 , 2010 , 65.75 , 64.83 , 64.83 , 65.27 
4 , 13 , 2010 , 65.00 , 63.36 , 64.78 , 63.62 
4 , 14 , 2010 , 65.67 , 63.86 , 63.86 , 65.16 
4 , 15 , 2010 , 65.35 , 64.01 , 64.97 , 64.16 
4 , 16 , 2010 , 64.02 , 60.79 , 64.02 , 63.02 
4 , 19 , 2010 , 63.88 , 62.17 , 62.59 , 63.50 
4 , 20 , 2010 , 64.94 , 63.25 , 64.07 , 64.92 
4 , 21 , 2010 , 66.49 , 64.12 , 64.81 , 65.30 
4 , 22 , 2010 , 69.24 , 66.39 , 66.85 , 68.82 
4 , 23 , 2010 , 70.45 , 68.87 , 69.49 , 69.64 
4 , 26 , 2010 , 69.89 , 66.70 , 69.71 , 66.77 
4 , 27 , 2010 , 68.45 , 66.02 , 66.68 , 66.09 
4 , 28 , 2010 , 66.98 , 64.71 , 66.10 , 65.47 
4 , 29 , 2010 , 67.31 , 65.79 , 66.23 , 66.06 
4 , 30 , 2010 , 67.70 , 65.89 , 65.90 , 67.21 
5 , 3 , 2010 , 68.62 , 67.05 , 67.45 , 68.57 
5 , 4 , 2010 , 67.77 , 65.97 , 67.68 , 66.46 
5 , 5 , 2010 , 68.88 , 65.42 , 65.78 , 67.59 
5 , 6 , 2010 , 68.01 , 60.86 , 67.16 , 64.41 
5 , 7 , 2010 , 65.66 , 63.31 , 64.50 , 64.14 
5 , 10 , 2010 , 68.45 , 66.39 , 67.45 , 67.84 
5 , 11 , 2010 , 69.68 , 66.53 , 66.74 , 68.61 
5 , 12 , 2010 , 69.19 , 68.07 , 68.97 , 68.52 
5 , 13 , 2010 , 68.79 , 66.98 , 68.16 , 66.99 
