Month , Day , Year , High , Low , Open , Close
3 , 17 , 2010 , 78.86 , 77.38 , 77.73 , 78.59 
3 , 18 , 2010 , 78.84 , 77.93 , 78.11 , 78.67 
3 , 19 , 2010 , 79.08 , 77.69 , 78.88 , 77.76 
3 , 22 , 2010 , 78.94 , 77.24 , 77.35 , 78.64 
3 , 23 , 2010 , 79.15 , 77.45 , 78.22 , 78.98 
3 , 24 , 2010 , 80.36 , 78.69 , 78.95 , 79.78 
3 , 25 , 2010 , 81.05 , 78.80 , 80.10 , 78.95 
3 , 26 , 2010 , 79.54 , 78.29 , 79.27 , 78.99 
3 , 29 , 2010 , 79.68 , 78.85 , 79.57 , 79.49 
3 , 30 , 2010 , 80.39 , 79.40 , 79.70 , 80.01 
3 , 31 , 2010 , 80.03 , 78.77 , 79.50 , 78.84 
4 , 1 , 2010 , 79.51 , 78.60 , 79.20 , 79.25 
4 , 5 , 2010 , 81.00 , 79.41 , 79.58 , 80.63 
4 , 6 , 2010 , 82.02 , 79.83 , 80.05 , 81.55 
4 , 7 , 2010 , 81.79 , 79.79 , 81.39 , 80.03 
4 , 8 , 2010 , 80.32 , 79.48 , 79.93 , 79.90 
4 , 9 , 2010 , 81.59 , 79.82 , 80.11 , 81.48 
4 , 12 , 2010 , 81.62 , 80.60 , 81.29 , 80.78 
4 , 13 , 2010 , 82.32 , 80.62 , 80.95 , 82.03 
4 , 14 , 2010 , 82.39 , 81.35 , 82.19 , 82.02 
4 , 15 , 2010 , 82.16 , 80.06 , 81.64 , 80.12 
4 , 16 , 2010 , 81.06 , 78.63 , 80.12 , 78.71 
4 , 19 , 2010 , 80.00 , 78.08 , 78.10 , 79.31 
4 , 20 , 2010 , 80.59 , 79.05 , 79.77 , 80.58 
4 , 21 , 2010 , 81.83 , 80.12 , 80.20 , 81.23 
4 , 22 , 2010 , 83.03 , 79.96 , 80.48 , 82.76 
4 , 23 , 2010 , 83.51 , 81.96 , 82.55 , 82.99 
4 , 26 , 2010 , 84.75 , 82.61 , 83.05 , 84.06 
4 , 27 , 2010 , 83.73 , 81.62 , 83.35 , 81.71 
4 , 28 , 2010 , 82.90 , 81.63 , 81.98 , 81.97 
4 , 29 , 2010 , 86.12 , 82.57 , 83.02 , 86.07 
4 , 30 , 2010 , 86.51 , 83.61 , 85.60 , 83.76 
5 , 3 , 2010 , 87.43 , 84.14 , 84.34 , 86.96 
5 , 4 , 2010 , 86.46 , 84.07 , 86.07 , 85.12 
5 , 5 , 2010 , 85.54 , 83.21 , 84.38 , 83.83 
5 , 6 , 2010 , 84.33 , 75.89 , 83.37 , 81.10 
5 , 7 , 2010 , 81.74 , 75.91 , 80.76 , 79.81 
5 , 10 , 2010 , 85.34 , 81.71 , 82.33 , 85.26 
5 , 11 , 2010 , 85.83 , 83.82 , 84.11 , 84.71 
5 , 12 , 2010 , 86.12 , 84.47 , 85.41 , 85.45 
5 , 13 , 2010 , 85.81 , 84.03 , 84.99 , 84.36 
5 , 14 , 2010 , 83.84 , 79.65 , 83.64 , 80.69 
5 , 17 , 2010 , 82.24 , 78.81 , 81.24 , 80.93 
5 , 18 , 2010 , 81.83 , 77.76 , 81.75 , 78.03 
5 , 19 , 2010 , 79.37 , 76.06 , 77.63 , 77.65 
5 , 20 , 2010 , 76.50 , 73.71 , 76.01 , 73.88 
5 , 21 , 2010 , 77.51 , 72.45 , 72.79 , 77.32 
5 , 24 , 2010 , 77.94 , 75.72 , 77.39 , 75.75 
5 , 25 , 2010 , 76.89 , 72.63 , 73.93 , 76.77 
5 , 26 , 2010 , 78.59 , 76.25 , 76.99 , 77.83 
5 , 27 , 2010 , 81.11 , 78.17 , 79.49 , 80.97 
5 , 28 , 2010 , 81.00 , 79.32 , 80.68 , 79.54 
6 , 1 , 2010 , 79.96 , 76.84 , 78.38 , 78.04 
6 , 2 , 2010 , 79.78 , 77.14 , 78.47 , 79.72 
6 , 3 , 2010 , 80.16 , 78.33 , 80.16 , 78.74 
6 , 4 , 2010 , 78.16 , 74.16 , 76.42 , 74.57 
6 , 7 , 2010 , 76.23 , 73.37 , 74.96 , 73.45 
6 , 8 , 2010 , 75.39 , 71.89 , 73.23 , 75.06 
6 , 9 , 2010 , 77.21 , 74.30 , 75.70 , 74.70 
6 , 10 , 2010 , 77.94 , 75.16 , 75.84 , 77.85 
6 , 11 , 2010 , 78.27 , 75.30 , 76.19 , 78.12 
6 , 14 , 2010 , 79.34 , 77.75 , 78.57 , 78.36 
6 , 15 , 2010 , 80.57 , 78.25 , 78.59 , 80.48 
6 , 16 , 2010 , 81.22 , 79.54 , 79.54 , 80.55 
6 , 17 , 2010 , 81.02 , 80.00 , 80.38 , 80.69 
6 , 18 , 2010 , 81.14 , 80.08 , 81.14 , 80.67 
6 , 21 , 2010 , 81.85 , 79.30 , 81.79 , 79.68 
6 , 22 , 2010 , 80.54 , 78.51 , 79.84 , 78.69 
6 , 23 , 2010 , 80.86 , 78.37 , 78.70 , 80.03 
6 , 24 , 2010 , 79.91 , 77.90 , 79.42 , 78.02 
6 , 25 , 2010 , 80.45 , 77.94 , 78.52 , 80.13 
6 , 28 , 2010 , 80.62 , 78.26 , 80.62 , 78.56 
6 , 29 , 2010 , 77.80 , 75.57 , 77.53 , 76.32 
6 , 30 , 2010 , 77.00 , 74.44 , 76.28 , 74.76 
7 , 1 , 2010 , 75.69 , 73.16 , 75.68 , 74.95 
7 , 2 , 2010 , 75.52 , 73.23 , 74.98 , 73.53 
7 , 6 , 2010 , 75.54 , 71.89 , 75.18 , 72.63 
7 , 7 , 2010 , 76.87 , 72.82 , 72.82 , 76.85 
7 , 8 , 2010 , 78.14 , 76.62 , 77.68 , 78.13 
7 , 9 , 2010 , 79.31 , 77.72 , 77.93 , 79.23 
7 , 12 , 2010 , 79.95 , 78.44 , 79.26 , 79.75 
7 , 13 , 2010 , 82.67 , 80.40 , 80.40 , 82.32 
7 , 14 , 2010 , 83.07 , 81.23 , 81.74 , 82.35 
7 , 15 , 2010 , 82.56 , 80.36 , 82.39 , 81.56 
7 , 16 , 2010 , 81.14 , 77.78 , 80.71 , 78.23 
7 , 19 , 2010 , 79.46 , 77.05 , 78.23 , 79.12 
7 , 20 , 2010 , 81.38 , 77.36 , 77.72 , 81.31 
7 , 21 , 2010 , 82.21 , 79.29 , 82.21 , 79.78 
7 , 22 , 2010 , 83.59 , 80.70 , 81.39 , 82.93 
7 , 23 , 2010 , 83.56 , 81.29 , 82.41 , 83.51 
7 , 26 , 2010 , 85.66 , 82.91 , 83.19 , 85.53 
7 , 27 , 2010 , 86.60 , 83.96 , 85.79 , 85.63 
7 , 28 , 2010 , 86.40 , 84.75 , 85.49 , 85.52 
7 , 29 , 2010 , 87.25 , 85.08 , 86.38 , 85.53 
7 , 30 , 2010 , 86.26 , 84.13 , 84.61 , 84.97 
8 , 2 , 2010 , 88.69 , 86.15 , 86.15 , 88.57 
8 , 3 , 2010 , 89.02 , 87.39 , 87.88 , 88.22 
8 , 4 , 2010 , 89.25 , 87.48 , 88.71 , 88.83 
8 , 5 , 2010 , 89.19 , 87.53 , 88.16 , 87.92 
8 , 6 , 2010 , 87.70 , 84.58 , 87.10 , 86.19 
8 , 9 , 2010 , 88.24 , 86.18 , 86.44 , 88.06 
8 , 10 , 2010 , 88.49 , 86.43 , 86.88 , 87.39 
8 , 11 , 2010 , 86.86 , 84.88 , 85.80 , 85.30 
8 , 12 , 2010 , 85.35 , 83.85 , 84.22 , 84.68 
8 , 13 , 2010 , 85.96 , 84.17 , 84.51 , 85.01 
8 , 16 , 2010 , 85.86 , 84.23 , 84.58 , 85.31 
8 , 17 , 2010 , 89.28 , 85.60 , 86.21 , 89.18 
8 , 18 , 2010 , 89.27 , 88.17 , 89.27 , 88.32 
8 , 19 , 2010 , 88.07 , 84.57 , 87.88 , 85.42 
8 , 20 , 2010 , 85.31 , 83.65 , 84.56 , 84.60 
8 , 23 , 2010 , 85.47 , 83.87 , 85.00 , 83.88 
8 , 24 , 2010 , 83.85 , 82.11 , 82.59 , 82.94 
8 , 25 , 2010 , 85.28 , 82.59 , 82.72 , 84.81 
8 , 26 , 2010 , 85.60 , 83.49 , 85.22 , 83.87 
8 , 27 , 2010 , 84.87 , 82.34 , 84.23 , 84.78 
8 , 30 , 2010 , 85.59 , 84.05 , 84.05 , 84.20 
8 , 31 , 2010 , 85.24 , 83.43 , 84.10 , 84.87 
9 , 1 , 2010 , 87.67 , 85.54 , 86.07 , 87.48 
9 , 2 , 2010 , 89.34 , 87.31 , 87.84 , 89.34 
9 , 3 , 2010 , 90.47 , 89.29 , 89.88 , 90.47 
9 , 7 , 2010 , 91.12 , 89.40 , 89.60 , 89.53 
9 , 8 , 2010 , 90.51 , 88.86 , 90.02 , 89.25 
9 , 9 , 2010 , 91.01 , 87.65 , 90.24 , 88.13 
9 , 10 , 2010 , 89.48 , 87.82 , 88.42 , 89.01 
9 , 13 , 2010 , 90.50 , 88.22 , 89.97 , 90.46 
9 , 14 , 2010 , 90.98 , 89.41 , 90.29 , 90.35 
9 , 15 , 2010 , 91.20 , 89.40 , 89.73 , 90.98 
9 , 16 , 2010 , 90.83 , 89.65 , 90.58 , 90.10 
9 , 17 , 2010 , 90.75 , 89.24 , 90.15 , 89.56 
9 , 20 , 2010 , 90.91 , 88.71 , 89.29 , 90.68 
9 , 21 , 2010 , 90.97 , 87.80 , 90.71 , 87.89 
9 , 22 , 2010 , 88.86 , 87.62 , 87.70 , 87.98 
9 , 23 , 2010 , 87.76 , 84.57 , 87.13 , 84.60 
9 , 24 , 2010 , 88.01 , 85.56 , 85.83 , 87.82 
9 , 27 , 2010 , 87.85 , 85.62 , 87.84 , 85.87 
9 , 28 , 2010 , 86.81 , 83.78 , 86.81 , 85.21 
9 , 29 , 2010 , 84.84 , 83.42 , 84.52 , 83.87 
9 , 30 , 2010 , 85.44 , 83.58 , 84.81 , 83.89 
10 , 1 , 2010 , 84.85 , 83.21 , 84.60 , 84.83 
10 , 4 , 2010 , 84.98 , 83.94 , 84.48 , 84.32 
10 , 5 , 2010 , 85.99 , 84.42 , 85.23 , 84.83 
10 , 6 , 2010 , 84.49 , 82.97 , 84.30 , 83.20 
10 , 7 , 2010 , 84.29 , 83.30 , 83.79 , 83.98 
10 , 8 , 2010 , 84.73 , 83.61 , 84.02 , 84.52 
10 , 11 , 2010 , 85.14 , 84.23 , 84.48 , 85.14 
10 , 12 , 2010 , 86.64 , 84.59 , 84.87 , 86.48 
10 , 13 , 2010 , 88.94 , 86.45 , 86.93 , 88.14 
10 , 14 , 2010 , 89.78 , 87.92 , 88.08 , 89.01 
10 , 15 , 2010 , 89.98 , 87.63 , 89.68 , 87.81 
10 , 18 , 2010 , 88.77 , 87.44 , 87.44 , 88.77 
10 , 19 , 2010 , 88.75 , 86.96 , 87.60 , 87.65 
10 , 20 , 2010 , 90.05 , 87.39 , 87.67 , 89.47 
10 , 21 , 2010 , 90.46 , 89.05 , 90.05 , 89.71 
10 , 22 , 2010 , 90.85 , 89.18 , 89.68 , 89.93 
10 , 25 , 2010 , 90.72 , 88.89 , 90.40 , 89.14 
10 , 26 , 2010 , 88.70 , 87.65 , 88.17 , 88.44 
10 , 27 , 2010 , 88.41 , 86.60 , 87.63 , 86.88 
10 , 28 , 2010 , 87.87 , 85.67 , 87.13 , 86.73 
10 , 29 , 2010 , 87.03 , 86.04 , 86.71 , 86.07 
11 , 1 , 2010 , 89.84 , 86.79 , 86.85 , 89.53 
11 , 2 , 2010 , 90.59 , 89.89 , 90.15 , 90.17 
11 , 3 , 2010 , 90.72 , 88.60 , 90.72 , 88.95 
11 , 4 , 2010 , 91.80 , 89.39 , 90.06 , 91.75 
11 , 5 , 2010 , 92.97 , 90.46 , 91.88 , 91.59 
11 , 8 , 2010 , 91.73 , 90.68 , 91.52 , 90.99 
11 , 9 , 2010 , 91.43 , 87.41 , 91.43 , 88.09 
11 , 10 , 2010 , 90.03 , 88.19 , 88.19 , 89.84 
11 , 11 , 2010 , 89.89 , 88.54 , 89.01 , 89.32 
11 , 12 , 2010 , 89.57 , 87.87 , 88.88 , 88.01 
11 , 15 , 2010 , 89.31 , 86.34 , 87.88 , 86.44 
11 , 16 , 2010 , 85.74 , 81.64 , 85.43 , 81.95 
11 , 17 , 2010 , 83.35 , 81.45 , 82.09 , 82.38 
11 , 18 , 2010 , 83.81 , 82.86 , 83.57 , 83.03 
11 , 19 , 2010 , 84.04 , 82.49 , 83.14 , 83.91 
11 , 22 , 2010 , 85.07 , 83.53 , 84.38 , 84.86 
11 , 23 , 2010 , 84.31 , 83.15 , 83.49 , 83.65 
11 , 24 , 2010 , 85.29 , 84.03 , 84.17 , 85.28 
11 , 26 , 2010 , 85.47 , 84.33 , 84.33 , 84.86 
11 , 29 , 2010 , 84.52 , 82.96 , 84.19 , 84.31 
11 , 30 , 2010 , 83.99 , 82.85 , 83.07 , 83.45 
12 , 1 , 2010 , 85.14 , 83.56 , 84.81 , 85.06 
