Month , Day , Year , High , Low , Open , Close
3 , 17 , 2010 , 50.60 , 50.39 , 50.47 , 50.39 
3 , 18 , 2010 , 50.73 , 50.44 , 50.45 , 50.70 
3 , 19 , 2010 , 50.84 , 50.50 , 50.80 , 50.82 
3 , 22 , 2010 , 50.60 , 50.40 , 50.41 , 50.49 
3 , 23 , 2010 , 50.67 , 50.40 , 50.46 , 50.65 
3 , 24 , 2010 , 51.80 , 51.05 , 51.19 , 51.70 
3 , 25 , 2010 , 52.34 , 51.76 , 51.86 , 52.05 
3 , 26 , 2010 , 52.14 , 51.75 , 52.14 , 51.79 
3 , 29 , 2010 , 52.03 , 51.73 , 51.79 , 51.93 
3 , 30 , 2010 , 52.10 , 51.84 , 51.95 , 51.84 
3 , 31 , 2010 , 51.70 , 51.46 , 51.59 , 51.56 
4 , 1 , 2010 , 51.92 , 51.68 , 51.73 , 51.80 
4 , 5 , 2010 , 52.80 , 52.34 , 52.44 , 52.66 
4 , 6 , 2010 , 52.49 , 52.22 , 52.30 , 52.36 
4 , 7 , 2010 , 52.37 , 51.56 , 52.34 , 51.65 
4 , 8 , 2010 , 51.89 , 51.42 , 51.53 , 51.83 
4 , 9 , 2010 , 52.06 , 51.68 , 51.94 , 51.69 
4 , 12 , 2010 , 51.60 , 51.28 , 51.54 , 51.41 
4 , 13 , 2010 , 51.32 , 51.05 , 51.10 , 51.17 
4 , 14 , 2010 , 51.46 , 51.10 , 51.15 , 51.44 
4 , 15 , 2010 , 51.62 , 51.16 , 51.56 , 51.23 
4 , 16 , 2010 , 51.16 , 50.58 , 51.05 , 50.68 
4 , 19 , 2010 , 50.95 , 50.64 , 50.71 , 50.88 
4 , 20 , 2010 , 51.03 , 50.82 , 50.88 , 50.82 
4 , 21 , 2010 , 50.77 , 50.40 , 50.66 , 50.45 
4 , 22 , 2010 , 50.70 , 50.21 , 50.35 , 50.68 
4 , 23 , 2010 , 51.06 , 50.86 , 50.92 , 50.98 
4 , 26 , 2010 , 50.96 , 50.67 , 50.75 , 50.88 
4 , 27 , 2010 , 50.48 , 49.81 , 50.40 , 49.88 
4 , 28 , 2010 , 51.13 , 50.12 , 50.17 , 50.40 
4 , 29 , 2010 , 50.53 , 50.11 , 50.38 , 50.18 
4 , 30 , 2010 , 50.12 , 49.58 , 50.08 , 49.60 
5 , 3 , 2010 , 49.97 , 49.80 , 49.88 , 49.89 
5 , 4 , 2010 , 49.40 , 49.09 , 49.24 , 49.16 
5 , 5 , 2010 , 49.00 , 48.32 , 48.78 , 48.76 
5 , 6 , 2010 , 48.82 , 46.75 , 48.62 , 47.71 
5 , 7 , 2010 , 48.12 , 47.16 , 47.87 , 48.02 
5 , 10 , 2010 , 48.93 , 48.52 , 48.85 , 48.74 
5 , 11 , 2010 , 48.88 , 48.45 , 48.48 , 48.62 
5 , 12 , 2010 , 48.82 , 48.57 , 48.65 , 48.80 
5 , 13 , 2010 , 48.97 , 48.40 , 48.54 , 48.50 
5 , 14 , 2010 , 48.12 , 47.61 , 48.14 , 47.88 
5 , 17 , 2010 , 48.10 , 47.47 , 47.87 , 48.06 
5 , 18 , 2010 , 48.05 , 47.26 , 48.05 , 47.39 
5 , 19 , 2010 , 47.40 , 46.92 , 47.32 , 47.25 
5 , 20 , 2010 , 46.68 , 46.13 , 46.56 , 46.38 
5 , 21 , 2010 , 46.47 , 43.10 , 45.61 , 46.30 
5 , 24 , 2010 , 46.40 , 46.07 , 46.21 , 46.34 
5 , 25 , 2010 , 46.07 , 45.54 , 45.66 , 45.97 
5 , 26 , 2010 , 46.56 , 46.10 , 46.28 , 46.10 
5 , 27 , 2010 , 47.13 , 46.84 , 46.91 , 47.12 
5 , 28 , 2010 , 46.94 , 46.61 , 46.75 , 46.62 
6 , 1 , 2010 , 46.65 , 46.20 , 46.27 , 46.39 
