Month , Day , Year , High , Low , Open , Close
3 , 17 , 2010 , 20.06 , 19.54 , 19.54 , 19.76 
3 , 18 , 2010 , 20.06 , 19.58 , 19.71 , 19.62 
3 , 19 , 2010 , 19.80 , 19.33 , 19.68 , 19.42 
3 , 22 , 2010 , 19.76 , 19.24 , 19.30 , 19.72 
3 , 23 , 2010 , 20.07 , 19.68 , 19.78 , 20.06 
3 , 24 , 2010 , 20.07 , 19.83 , 20.07 , 19.98 
3 , 25 , 2010 , 20.04 , 19.47 , 20.01 , 19.49 
3 , 26 , 2010 , 19.70 , 19.26 , 19.60 , 19.41 
3 , 29 , 2010 , 19.56 , 19.39 , 19.54 , 19.46 
3 , 30 , 2010 , 19.50 , 19.03 , 19.42 , 19.11 
3 , 31 , 2010 , 19.25 , 18.84 , 19.03 , 19.16 
4 , 1 , 2010 , 19.57 , 19.24 , 19.24 , 19.55 
4 , 5 , 2010 , 19.79 , 19.48 , 19.65 , 19.75 
4 , 6 , 2010 , 19.96 , 19.49 , 19.69 , 19.96 
4 , 7 , 2010 , 19.92 , 19.63 , 19.88 , 19.76 
4 , 8 , 2010 , 19.90 , 19.57 , 19.68 , 19.89 
4 , 9 , 2010 , 20.34 , 19.82 , 19.90 , 20.34 
4 , 12 , 2010 , 20.50 , 20.00 , 20.47 , 20.00 
4 , 13 , 2010 , 19.97 , 19.59 , 19.95 , 19.81 
4 , 14 , 2010 , 19.90 , 19.51 , 19.90 , 19.55 
4 , 15 , 2010 , 19.81 , 19.37 , 19.54 , 19.62 
4 , 16 , 2010 , 19.73 , 19.16 , 19.54 , 19.33 
4 , 19 , 2010 , 19.47 , 19.15 , 19.27 , 19.47 
4 , 20 , 2010 , 19.85 , 19.43 , 19.49 , 19.77 
4 , 21 , 2010 , 20.25 , 19.76 , 19.76 , 20.19 
4 , 22 , 2010 , 20.25 , 19.80 , 20.02 , 20.21 
4 , 23 , 2010 , 20.36 , 19.96 , 20.11 , 20.09 
4 , 26 , 2010 , 20.05 , 19.38 , 20.02 , 19.93 
4 , 27 , 2010 , 20.18 , 19.56 , 19.87 , 19.57 
4 , 28 , 2010 , 20.00 , 19.58 , 19.68 , 19.76 
4 , 29 , 2010 , 20.39 , 19.88 , 19.91 , 20.33 
4 , 30 , 2010 , 20.41 , 20.00 , 20.33 , 20.13 
5 , 3 , 2010 , 20.24 , 19.89 , 20.21 , 20.12 
5 , 4 , 2010 , 19.89 , 19.35 , 19.82 , 19.65 
5 , 5 , 2010 , 20.04 , 18.13 , 18.65 , 19.59 
5 , 6 , 2010 , 20.93 , 18.25 , 19.73 , 20.01 
5 , 7 , 2010 , 20.50 , 19.54 , 20.06 , 19.67 
5 , 10 , 2010 , 20.62 , 20.13 , 20.30 , 20.60 
5 , 11 , 2010 , 20.95 , 20.21 , 20.32 , 20.59 
5 , 12 , 2010 , 21.74 , 20.71 , 20.72 , 21.69 
5 , 13 , 2010 , 23.04 , 21.58 , 21.58 , 22.62 
5 , 14 , 2010 , 22.75 , 22.13 , 22.39 , 22.43 
5 , 17 , 2010 , 22.77 , 22.05 , 22.44 , 22.44 
5 , 18 , 2010 , 23.01 , 22.06 , 22.60 , 22.06 
5 , 19 , 2010 , 22.11 , 21.30 , 21.83 , 21.81 
5 , 20 , 2010 , 21.40 , 20.52 , 21.39 , 20.72 
5 , 21 , 2010 , 21.23 , 20.30 , 20.31 , 21.12 
5 , 24 , 2010 , 21.18 , 20.63 , 21.03 , 20.81 
5 , 25 , 2010 , 20.65 , 19.96 , 20.24 , 20.63 
5 , 26 , 2010 , 21.22 , 20.61 , 20.69 , 20.66 
5 , 27 , 2010 , 20.97 , 20.01 , 20.60 , 20.89 
5 , 28 , 2010 , 20.96 , 20.54 , 20.86 , 20.73 
6 , 1 , 2010 , 20.80 , 20.20 , 20.50 , 20.20 
6 , 2 , 2010 , 20.68 , 20.21 , 20.42 , 20.66 
6 , 3 , 2010 , 21.21 , 20.70 , 20.73 , 21.08 
6 , 4 , 2010 , 21.19 , 20.60 , 20.60 , 20.87 
6 , 7 , 2010 , 20.91 , 19.94 , 20.91 , 20.01 
6 , 8 , 2010 , 20.29 , 19.78 , 20.01 , 20.25 
6 , 9 , 2010 , 21.05 , 20.50 , 20.94 , 20.58 
6 , 10 , 2010 , 21.31 , 20.75 , 20.91 , 21.30 
6 , 11 , 2010 , 21.77 , 21.06 , 21.07 , 21.76 
6 , 14 , 2010 , 22.07 , 21.67 , 21.95 , 21.78 
6 , 15 , 2010 , 22.43 , 21.66 , 21.96 , 22.40 
6 , 16 , 2010 , 22.89 , 22.22 , 22.37 , 22.68 
6 , 17 , 2010 , 23.12 , 22.47 , 22.75 , 23.03 
6 , 18 , 2010 , 23.15 , 22.71 , 23.13 , 22.85 
6 , 21 , 2010 , 23.23 , 22.43 , 22.99 , 22.57 
6 , 22 , 2010 , 22.85 , 22.08 , 22.57 , 22.12 
6 , 23 , 2010 , 22.38 , 21.78 , 22.12 , 22.14 
6 , 24 , 2010 , 22.18 , 21.57 , 22.01 , 21.64 
6 , 25 , 2010 , 21.93 , 21.43 , 21.76 , 21.86 
6 , 28 , 2010 , 22.13 , 21.62 , 21.77 , 21.88 
6 , 29 , 2010 , 21.62 , 20.73 , 21.32 , 20.90 
6 , 30 , 2010 , 21.14 , 20.61 , 20.81 , 20.65 
7 , 1 , 2010 , 20.80 , 20.22 , 20.80 , 20.47 
7 , 2 , 2010 , 20.67 , 20.08 , 20.45 , 20.25 
7 , 6 , 2010 , 20.82 , 20.08 , 20.61 , 20.32 
7 , 7 , 2010 , 20.82 , 20.13 , 20.17 , 20.81 
7 , 8 , 2010 , 21.23 , 20.88 , 21.14 , 21.17 
7 , 9 , 2010 , 21.64 , 20.93 , 21.17 , 21.63 
7 , 12 , 2010 , 21.70 , 21.20 , 21.52 , 21.31 
7 , 13 , 2010 , 21.66 , 21.30 , 21.48 , 21.58 
7 , 14 , 2010 , 21.66 , 21.15 , 21.43 , 21.50 
7 , 15 , 2010 , 21.50 , 21.02 , 21.50 , 21.30 
7 , 16 , 2010 , 21.12 , 20.26 , 21.12 , 20.31 
7 , 19 , 2010 , 20.71 , 20.34 , 20.39 , 20.57 
7 , 20 , 2010 , 21.41 , 20.18 , 20.28 , 21.37 
7 , 21 , 2010 , 21.67 , 21.14 , 21.54 , 21.28 
7 , 22 , 2010 , 21.93 , 21.52 , 21.57 , 21.89 
7 , 23 , 2010 , 22.18 , 21.70 , 21.89 , 22.18 
7 , 26 , 2010 , 22.50 , 22.06 , 22.14 , 22.50 
7 , 27 , 2010 , 22.66 , 21.99 , 22.65 , 22.06 
7 , 28 , 2010 , 22.06 , 21.64 , 22.02 , 21.78 
7 , 29 , 2010 , 22.06 , 21.34 , 22.05 , 21.66 
7 , 30 , 2010 , 21.94 , 21.25 , 21.47 , 21.48 
8 , 2 , 2010 , 22.06 , 21.63 , 21.75 , 21.76 
8 , 3 , 2010 , 21.80 , 21.21 , 21.71 , 21.44 
8 , 4 , 2010 , 20.89 , 19.41 , 20.34 , 20.29 
8 , 5 , 2010 , 20.07 , 19.51 , 19.88 , 19.59 
8 , 6 , 2010 , 19.70 , 19.27 , 19.39 , 19.39 
8 , 9 , 2010 , 19.53 , 19.28 , 19.38 , 19.49 
8 , 10 , 2010 , 19.44 , 19.17 , 19.35 , 19.42 
8 , 11 , 2010 , 19.27 , 18.66 , 19.17 , 18.72 
8 , 12 , 2010 , 18.93 , 18.36 , 18.36 , 18.84 
8 , 13 , 2010 , 19.07 , 18.70 , 18.77 , 18.88 
8 , 16 , 2010 , 18.92 , 18.50 , 18.75 , 18.78 
8 , 17 , 2010 , 19.65 , 18.80 , 18.89 , 19.24 
8 , 18 , 2010 , 19.46 , 19.01 , 19.20 , 19.31 
8 , 19 , 2010 , 19.24 , 18.75 , 19.17 , 18.91 
8 , 20 , 2010 , 18.93 , 18.56 , 18.79 , 18.85 
8 , 23 , 2010 , 19.16 , 18.65 , 18.89 , 18.69 
