Month , Day , Year , High , Low , Open , Close
9 , 15 , 2015 , 33.95 , 32.67 , 33.72 , 33.80 
9 , 16 , 2015 , 34.06 , 33.36 , 33.46 , 33.77 
9 , 17 , 2015 , 33.99 , 33.08 , 33.72 , 33.32 
9 , 18 , 2015 , 33.78 , 32.55 , 32.90 , 32.92 
9 , 21 , 2015 , 34.62 , 33.43 , 33.66 , 34.25 
9 , 22 , 2015 , 34.10 , 33.19 , 33.94 , 33.35 
9 , 23 , 2015 , 34.34 , 33.26 , 33.49 , 34.16 
9 , 24 , 2015 , 34.07 , 33.38 , 34.00 , 33.91 
9 , 25 , 2015 , 34.69 , 33.50 , 34.60 , 33.77 
9 , 28 , 2015 , 33.68 , 32.16 , 33.68 , 32.25 
9 , 29 , 2015 , 32.67 , 30.30 , 32.27 , 30.63 
9 , 30 , 2015 , 31.28 , 30.64 , 31.20 , 31.04 
10 , 1 , 2015 , 31.59 , 30.75 , 30.79 , 31.48 
10 , 2 , 2015 , 32.86 , 30.75 , 30.82 , 32.83 
10 , 5 , 2015 , 33.02 , 32.38 , 32.95 , 32.67 
10 , 6 , 2015 , 32.91 , 31.78 , 32.91 , 31.86 
10 , 7 , 2015 , 32.47 , 31.52 , 32.31 , 32.38 
10 , 8 , 2015 , 32.45 , 31.09 , 32.44 , 31.67 
10 , 9 , 2015 , 32.45 , 31.41 , 31.69 , 32.06 
10 , 12 , 2015 , 32.67 , 32.10 , 32.19 , 32.63 
10 , 13 , 2015 , 33.48 , 32.34 , 32.60 , 33.22 
10 , 14 , 2015 , 34.46 , 33.40 , 33.40 , 34.05 
10 , 15 , 2015 , 34.72 , 34.16 , 34.45 , 34.62 
10 , 16 , 2015 , 35.05 , 33.95 , 34.75 , 34.29 
10 , 19 , 2015 , 34.91 , 33.79 , 34.43 , 34.84 
10 , 20 , 2015 , 34.99 , 34.59 , 34.80 , 34.87 
10 , 21 , 2015 , 34.80 , 32.88 , 34.75 , 33.83 
10 , 22 , 2015 , 35.25 , 34.26 , 34.43 , 34.79 
10 , 23 , 2015 , 35.75 , 34.80 , 35.73 , 34.99 
10 , 26 , 2015 , 36.59 , 35.52 , 36.05 , 36.44 
10 , 27 , 2015 , 36.39 , 35.31 , 36.39 , 35.94 
10 , 28 , 2015 , 36.65 , 35.81 , 36.21 , 36.52 
10 , 29 , 2015 , 36.50 , 34.50 , 34.73 , 35.91 
10 , 30 , 2015 , 36.49 , 35.24 , 35.64 , 36.01 
11 , 2 , 2015 , 37.41 , 35.45 , 35.58 , 36.99 
11 , 3 , 2015 , 38.44 , 37.00 , 37.05 , 37.90 
11 , 4 , 2015 , 38.52 , 37.33 , 38.45 , 37.60 
11 , 5 , 2015 , 37.98 , 36.66 , 37.82 , 36.71 
11 , 6 , 2015 , 36.70 , 35.80 , 36.59 , 36.24 
11 , 9 , 2015 , 36.74 , 35.65 , 36.10 , 36.60 
11 , 10 , 2015 , 37.20 , 36.50 , 36.58 , 37.00 
11 , 11 , 2015 , 37.32 , 35.75 , 37.19 , 36.33 
11 , 12 , 2015 , 36.05 , 34.83 , 35.95 , 35.57 
11 , 13 , 2015 , 35.50 , 34.50 , 35.18 , 34.53 
11 , 16 , 2015 , 35.66 , 34.53 , 34.55 , 35.61 
11 , 17 , 2015 , 36.45 , 35.71 , 35.89 , 36.21 
11 , 18 , 2015 , 36.95 , 35.79 , 36.32 , 36.22 
11 , 19 , 2015 , 36.50 , 35.91 , 36.45 , 36.19 
11 , 20 , 2015 , 36.45 , 35.92 , 36.45 , 36.36 
11 , 23 , 2015 , 36.65 , 35.41 , 36.50 , 35.56 
11 , 24 , 2015 , 35.30 , 34.88 , 35.25 , 35.12 
11 , 25 , 2015 , 35.86 , 35.13 , 35.20 , 35.36 
11 , 27 , 2015 , 35.70 , 35.06 , 35.52 , 35.18 
11 , 30 , 2015 , 35.44 , 34.69 , 35.36 , 35.26 
12 , 1 , 2015 , 35.41 , 33.85 , 35.41 , 35.17 
12 , 2 , 2015 , 36.17 , 34.93 , 35.23 , 35.15 
12 , 3 , 2015 , 35.23 , 33.85 , 35.20 , 34.23 
12 , 4 , 2015 , 35.82 , 34.22 , 34.38 , 35.62 
12 , 7 , 2015 , 35.80 , 34.85 , 35.71 , 35.16 
12 , 8 , 2015 , 35.70 , 34.52 , 34.63 , 35.60 
12 , 9 , 2015 , 35.60 , 34.83 , 35.39 , 35.07 
12 , 10 , 2015 , 35.91 , 35.16 , 35.16 , 35.49 
12 , 11 , 2015 , 35.33 , 34.42 , 35.15 , 34.69 
12 , 14 , 2015 , 35.22 , 34.33 , 34.61 , 35.01 
