Month , Day , Year , High , Low , Open , Close
3 , 17 , 2010 , 39.20 , 38.71 , 39.05 , 38.90 
3 , 18 , 2010 , 40.53 , 39.16 , 39.23 , 40.43 
3 , 19 , 2010 , 40.61 , 39.78 , 40.46 , 40.05 
3 , 22 , 2010 , 40.54 , 39.87 , 40.08 , 40.28 
3 , 23 , 2010 , 40.58 , 40.03 , 40.43 , 40.52 
3 , 24 , 2010 , 40.43 , 40.02 , 40.24 , 40.19 
3 , 25 , 2010 , 43.84 , 42.00 , 42.54 , 42.19 
3 , 26 , 2010 , 42.54 , 41.61 , 42.00 , 41.83 
3 , 29 , 2010 , 42.09 , 41.60 , 42.00 , 41.76 
3 , 30 , 2010 , 42.50 , 41.94 , 42.45 , 42.13 
3 , 31 , 2010 , 42.22 , 41.84 , 41.99 , 41.96 
4 , 1 , 2010 , 42.46 , 42.14 , 42.17 , 42.27 
4 , 5 , 2010 , 43.01 , 42.39 , 42.60 , 42.53 
4 , 6 , 2010 , 42.56 , 42.19 , 42.22 , 42.43 
4 , 7 , 2010 , 42.87 , 42.37 , 42.37 , 42.77 
4 , 8 , 2010 , 42.72 , 42.09 , 42.69 , 42.40 
4 , 9 , 2010 , 42.37 , 41.85 , 42.20 , 42.17 
4 , 12 , 2010 , 42.46 , 42.00 , 42.03 , 42.23 
4 , 13 , 2010 , 42.39 , 41.80 , 42.03 , 42.30 
4 , 14 , 2010 , 42.80 , 42.10 , 42.23 , 42.60 
4 , 15 , 2010 , 43.18 , 42.48 , 42.66 , 42.70 
4 , 16 , 2010 , 42.98 , 42.25 , 42.68 , 42.74 
4 , 19 , 2010 , 42.99 , 42.25 , 42.63 , 42.75 
4 , 20 , 2010 , 43.35 , 42.49 , 42.75 , 43.29 
4 , 21 , 2010 , 43.39 , 42.27 , 43.33 , 42.63 
4 , 22 , 2010 , 40.35 , 38.88 , 39.75 , 39.33 
4 , 23 , 2010 , 39.03 , 37.80 , 38.98 , 38.25 
4 , 26 , 2010 , 38.71 , 37.78 , 38.27 , 38.11 
4 , 27 , 2010 , 38.84 , 37.84 , 38.23 , 37.92 
4 , 28 , 2010 , 38.85 , 38.00 , 38.23 , 38.82 
4 , 29 , 2010 , 39.22 , 38.77 , 38.97 , 38.98 
4 , 30 , 2010 , 39.29 , 38.61 , 39.15 , 38.68 
5 , 3 , 2010 , 39.05 , 38.31 , 38.95 , 38.64 
5 , 4 , 2010 , 38.30 , 37.01 , 38.27 , 37.60 
5 , 5 , 2010 , 37.89 , 37.00 , 37.21 , 37.64 
5 , 6 , 2010 , 37.63 , 35.56 , 37.36 , 36.67 
5 , 7 , 2010 , 36.86 , 35.23 , 36.44 , 36.50 
5 , 10 , 2010 , 37.81 , 37.10 , 37.41 , 37.37 
5 , 11 , 2010 , 37.91 , 37.05 , 37.07 , 37.48 
5 , 12 , 2010 , 38.39 , 37.72 , 38.00 , 38.16 
5 , 13 , 2010 , 38.68 , 37.77 , 37.97 , 37.96 
5 , 14 , 2010 , 38.04 , 36.90 , 37.76 , 37.30 
