Month , Day , Year , High , Low , Open , Close
3 , 17 , 2010 , 31.80 , 31.30 , 31.32 , 31.62 
3 , 18 , 2010 , 31.58 , 31.10 , 31.42 , 31.11 
3 , 19 , 2010 , 31.84 , 30.97 , 31.58 , 31.01 
3 , 22 , 2010 , 31.64 , 30.28 , 30.51 , 31.43 
3 , 23 , 2010 , 33.69 , 31.94 , 31.96 , 33.61 
3 , 24 , 2010 , 33.30 , 32.79 , 33.09 , 33.13 
3 , 25 , 2010 , 33.88 , 33.14 , 33.55 , 33.25 
3 , 26 , 2010 , 33.93 , 32.85 , 33.14 , 32.99 
3 , 29 , 2010 , 33.47 , 32.65 , 33.19 , 33.47 
3 , 30 , 2010 , 33.75 , 33.29 , 33.47 , 33.43 
3 , 31 , 2010 , 33.47 , 32.90 , 33.25 , 32.99 
4 , 1 , 2010 , 33.93 , 33.25 , 33.38 , 33.83 
4 , 5 , 2010 , 34.64 , 33.90 , 33.97 , 34.44 
4 , 6 , 2010 , 35.12 , 34.13 , 34.19 , 34.77 
4 , 7 , 2010 , 34.15 , 32.86 , 34.08 , 33.10 
4 , 8 , 2010 , 34.05 , 32.57 , 32.76 , 33.93 
4 , 9 , 2010 , 33.89 , 33.21 , 33.82 , 33.77 
4 , 12 , 2010 , 34.42 , 33.91 , 34.01 , 34.25 
4 , 13 , 2010 , 34.43 , 33.67 , 34.20 , 34.21 
4 , 14 , 2010 , 35.44 , 34.35 , 34.46 , 35.16 
4 , 15 , 2010 , 35.54 , 34.93 , 35.02 , 35.41 
4 , 16 , 2010 , 35.30 , 34.20 , 34.98 , 34.53 
4 , 19 , 2010 , 34.37 , 33.16 , 33.64 , 33.72 
4 , 20 , 2010 , 34.65 , 33.76 , 33.79 , 34.51 
4 , 21 , 2010 , 34.75 , 34.11 , 34.21 , 34.65 
4 , 22 , 2010 , 35.56 , 33.70 , 33.97 , 35.03 
4 , 23 , 2010 , 36.52 , 35.39 , 35.40 , 36.23 
4 , 26 , 2010 , 38.12 , 36.56 , 36.66 , 37.64 
4 , 27 , 2010 , 37.53 , 36.12 , 36.90 , 36.30 
4 , 28 , 2010 , 35.67 , 34.16 , 35.67 , 34.52 
4 , 29 , 2010 , 37.38 , 35.00 , 35.09 , 37.31 
4 , 30 , 2010 , 37.20 , 35.68 , 36.86 , 35.84 
5 , 3 , 2010 , 37.02 , 35.96 , 36.29 , 36.61 
5 , 4 , 2010 , 35.53 , 33.87 , 35.52 , 34.23 
5 , 5 , 2010 , 34.17 , 32.63 , 33.02 , 33.04 
5 , 6 , 2010 , 33.23 , 28.64 , 32.30 , 30.80 
5 , 7 , 2010 , 30.93 , 28.77 , 30.80 , 29.47 
5 , 10 , 2010 , 33.27 , 32.00 , 32.95 , 32.59 
5 , 11 , 2010 , 32.71 , 31.25 , 31.47 , 32.02 
5 , 12 , 2010 , 33.41 , 32.54 , 32.57 , 33.24 
5 , 13 , 2010 , 33.38 , 31.85 , 33.24 , 32.03 
5 , 14 , 2010 , 31.75 , 30.41 , 31.75 , 30.90 
5 , 17 , 2010 , 31.50 , 30.17 , 31.14 , 31.30 
5 , 18 , 2010 , 32.12 , 30.36 , 31.96 , 30.46 
5 , 19 , 2010 , 30.59 , 29.06 , 30.03 , 29.82 
5 , 20 , 2010 , 28.76 , 27.51 , 28.22 , 27.76 
5 , 21 , 2010 , 28.98 , 27.38 , 27.62 , 28.34 
5 , 24 , 2010 , 28.91 , 27.88 , 28.38 , 27.91 
5 , 25 , 2010 , 27.95 , 26.11 , 26.80 , 27.74 
5 , 26 , 2010 , 28.98 , 27.74 , 28.24 , 27.96 
5 , 27 , 2010 , 29.78 , 28.81 , 29.08 , 29.74 
5 , 28 , 2010 , 30.13 , 28.64 , 29.75 , 29.00 
6 , 1 , 2010 , 30.00 , 28.74 , 28.74 , 29.02 
6 , 2 , 2010 , 29.87 , 29.08 , 29.51 , 29.87 
6 , 3 , 2010 , 30.70 , 29.90 , 30.38 , 30.30 
6 , 4 , 2010 , 29.66 , 27.72 , 29.39 , 27.92 
6 , 7 , 2010 , 28.55 , 26.60 , 28.26 , 26.66 
6 , 8 , 2010 , 27.17 , 26.06 , 26.93 , 26.87 
6 , 9 , 2010 , 28.25 , 26.56 , 27.37 , 26.78 
6 , 10 , 2010 , 28.75 , 27.59 , 28.00 , 28.53 
6 , 11 , 2010 , 28.69 , 27.89 , 27.89 , 28.50 
6 , 14 , 2010 , 30.01 , 29.01 , 29.33 , 29.17 
6 , 15 , 2010 , 30.89 , 29.66 , 30.04 , 30.70 
6 , 16 , 2010 , 30.57 , 29.96 , 30.20 , 30.17 
6 , 17 , 2010 , 30.61 , 29.51 , 30.61 , 30.14 
6 , 18 , 2010 , 30.27 , 29.13 , 30.17 , 29.45 
6 , 21 , 2010 , 30.38 , 29.21 , 30.20 , 29.52 
6 , 22 , 2010 , 29.66 , 27.81 , 28.97 , 27.88 
6 , 23 , 2010 , 28.10 , 27.08 , 28.09 , 27.29 
6 , 24 , 2010 , 27.58 , 26.28 , 27.51 , 26.37 
6 , 25 , 2010 , 26.52 , 25.67 , 26.47 , 26.25 
6 , 28 , 2010 , 26.33 , 25.21 , 26.32 , 25.31 
6 , 29 , 2010 , 24.52 , 22.66 , 24.38 , 23.06 
6 , 30 , 2010 , 23.61 , 22.55 , 22.66 , 22.77 
7 , 1 , 2010 , 23.74 , 21.97 , 22.90 , 23.47 
7 , 2 , 2010 , 24.05 , 22.62 , 24.02 , 22.95 
7 , 6 , 2010 , 24.01 , 22.74 , 23.83 , 23.02 
7 , 7 , 2010 , 24.11 , 23.11 , 23.19 , 24.11 
7 , 8 , 2010 , 24.73 , 24.01 , 24.69 , 24.61 
7 , 9 , 2010 , 24.81 , 24.25 , 24.36 , 24.72 
7 , 12 , 2010 , 24.96 , 23.86 , 24.60 , 23.91 
