Month , Day , Year , High , Low , Open , Close
3 , 17 , 2010 , 25.06 , 24.55 , 24.84 , 24.58 
3 , 18 , 2010 , 24.94 , 24.22 , 24.55 , 24.69 
3 , 19 , 2010 , 24.86 , 23.77 , 24.63 , 23.77 
3 , 22 , 2010 , 24.57 , 23.42 , 23.76 , 24.36 
3 , 23 , 2010 , 25.81 , 24.44 , 24.44 , 25.72 
3 , 24 , 2010 , 25.90 , 25.40 , 25.66 , 25.40 
3 , 25 , 2010 , 27.68 , 25.68 , 25.68 , 26.56 
3 , 26 , 2010 , 27.05 , 25.93 , 26.72 , 26.23 
3 , 29 , 2010 , 26.85 , 26.26 , 26.32 , 26.80 
3 , 30 , 2010 , 27.23 , 26.64 , 26.75 , 26.94 
3 , 31 , 2010 , 27.19 , 26.39 , 26.77 , 26.49 
4 , 1 , 2010 , 27.20 , 26.20 , 26.59 , 26.58 
4 , 5 , 2010 , 26.90 , 26.33 , 26.60 , 26.90 
4 , 6 , 2010 , 26.85 , 26.36 , 26.69 , 26.64 
4 , 7 , 2010 , 26.96 , 25.92 , 26.66 , 26.31 
4 , 8 , 2010 , 26.31 , 25.55 , 26.15 , 26.03 
4 , 9 , 2010 , 26.00 , 25.41 , 26.00 , 25.78 
4 , 12 , 2010 , 25.95 , 25.40 , 25.88 , 25.56 
4 , 13 , 2010 , 26.03 , 25.16 , 25.59 , 25.39 
4 , 14 , 2010 , 26.39 , 25.24 , 25.58 , 26.39 
4 , 15 , 2010 , 26.78 , 26.10 , 26.43 , 26.21 
4 , 16 , 2010 , 26.68 , 25.72 , 26.07 , 26.40 
4 , 19 , 2010 , 26.72 , 25.45 , 26.23 , 25.53 
4 , 20 , 2010 , 25.80 , 24.94 , 25.70 , 25.15 
4 , 21 , 2010 , 25.10 , 24.40 , 25.10 , 24.43 
4 , 22 , 2010 , 24.92 , 23.72 , 24.27 , 24.56 
4 , 23 , 2010 , 25.04 , 24.30 , 24.50 , 24.77 
4 , 26 , 2010 , 25.34 , 24.60 , 24.70 , 24.84 
4 , 27 , 2010 , 25.49 , 24.35 , 24.83 , 24.43 
4 , 28 , 2010 , 24.84 , 24.11 , 24.50 , 24.62 
4 , 29 , 2010 , 27.15 , 24.02 , 24.78 , 27.00 
4 , 30 , 2010 , 27.50 , 25.34 , 26.87 , 25.53 
5 , 3 , 2010 , 27.50 , 25.44 , 25.71 , 27.48 
5 , 4 , 2010 , 27.98 , 26.82 , 26.90 , 27.84 
5 , 5 , 2010 , 27.94 , 26.30 , 27.63 , 26.86 
5 , 6 , 2010 , 27.15 , 22.90 , 26.71 , 25.42 
5 , 7 , 2010 , 26.49 , 23.29 , 25.25 , 23.58 
5 , 10 , 2010 , 25.79 , 24.19 , 24.74 , 24.65 
5 , 11 , 2010 , 25.90 , 24.19 , 24.50 , 25.52 
5 , 12 , 2010 , 27.79 , 25.59 , 25.73 , 27.74 
5 , 13 , 2010 , 28.87 , 27.40 , 27.55 , 28.41 
5 , 14 , 2010 , 28.32 , 26.94 , 28.15 , 27.37 
5 , 17 , 2010 , 28.61 , 26.90 , 27.58 , 28.51 
5 , 18 , 2010 , 28.95 , 27.85 , 28.84 , 28.02 
5 , 19 , 2010 , 28.55 , 27.15 , 27.87 , 28.01 
5 , 20 , 2010 , 27.67 , 26.52 , 27.36 , 27.20 
5 , 21 , 2010 , 28.01 , 26.42 , 26.82 , 27.14 
5 , 24 , 2010 , 27.93 , 26.78 , 27.04 , 27.39 
5 , 25 , 2010 , 26.86 , 25.80 , 26.50 , 26.76 
5 , 26 , 2010 , 27.76 , 26.89 , 26.89 , 27.39 
