Month , Day , Year , High , Low , Open , Close
3 , 17 , 2010 , 58.46 , 57.91 , 57.95 , 58.34 
3 , 18 , 2010 , 58.42 , 57.64 , 58.23 , 57.80 
3 , 19 , 2010 , 58.22 , 57.12 , 57.92 , 57.26 
3 , 22 , 2010 , 57.85 , 56.96 , 56.96 , 57.49 
3 , 23 , 2010 , 57.99 , 57.30 , 57.51 , 57.92 
3 , 24 , 2010 , 58.06 , 57.20 , 57.88 , 57.30 
3 , 25 , 2010 , 57.64 , 56.75 , 57.55 , 56.85 
3 , 26 , 2010 , 57.46 , 56.66 , 56.93 , 56.87 
3 , 29 , 2010 , 57.09 , 56.30 , 57.02 , 56.96 
3 , 30 , 2010 , 58.26 , 56.87 , 56.97 , 57.75 
3 , 31 , 2010 , 58.25 , 57.48 , 57.48 , 57.84 
4 , 1 , 2010 , 58.60 , 58.04 , 58.28 , 58.60 
4 , 5 , 2010 , 59.29 , 58.69 , 58.88 , 58.97 
4 , 6 , 2010 , 59.52 , 58.40 , 58.77 , 59.47 
4 , 7 , 2010 , 59.85 , 58.90 , 59.15 , 59.52 
4 , 8 , 2010 , 60.23 , 59.21 , 59.23 , 60.05 
4 , 9 , 2010 , 60.47 , 59.83 , 60.10 , 60.38 
4 , 12 , 2010 , 60.98 , 60.40 , 60.55 , 60.87 
4 , 13 , 2010 , 61.04 , 60.36 , 60.69 , 60.97 
4 , 14 , 2010 , 61.42 , 60.69 , 61.08 , 61.41 
4 , 15 , 2010 , 61.71 , 60.98 , 61.10 , 61.68 
4 , 16 , 2010 , 61.50 , 60.36 , 61.24 , 60.80 
4 , 19 , 2010 , 60.88 , 59.96 , 60.72 , 60.65 
4 , 20 , 2010 , 61.42 , 60.85 , 61.05 , 61.29 
4 , 21 , 2010 , 61.61 , 60.96 , 61.21 , 61.49 
4 , 22 , 2010 , 62.63 , 60.80 , 61.34 , 62.46 
4 , 23 , 2010 , 63.95 , 61.89 , 62.51 , 63.91 
4 , 26 , 2010 , 63.50 , 60.71 , 63.16 , 61.03 
4 , 27 , 2010 , 62.71 , 60.86 , 61.00 , 61.02 
4 , 28 , 2010 , 61.46 , 60.33 , 61.26 , 60.56 
4 , 29 , 2010 , 62.60 , 60.88 , 60.88 , 62.41 
4 , 30 , 2010 , 62.84 , 60.92 , 62.50 , 61.02 
5 , 3 , 2010 , 62.38 , 61.15 , 61.15 , 62.35 
5 , 4 , 2010 , 61.48 , 60.12 , 61.48 , 60.53 
5 , 5 , 2010 , 60.32 , 59.53 , 60.15 , 59.98 
5 , 6 , 2010 , 60.56 , 55.08 , 59.92 , 57.98 
5 , 7 , 2010 , 59.00 , 56.71 , 57.72 , 57.48 
5 , 10 , 2010 , 61.30 , 59.22 , 59.90 , 61.08 
5 , 11 , 2010 , 61.30 , 60.19 , 60.37 , 60.65 
5 , 12 , 2010 , 61.99 , 60.79 , 60.79 , 61.94 
5 , 13 , 2010 , 62.25 , 61.43 , 61.68 , 61.58 
5 , 14 , 2010 , 61.33 , 59.64 , 61.05 , 60.30 
5 , 17 , 2010 , 61.37 , 59.85 , 60.45 , 60.75 
5 , 18 , 2010 , 61.68 , 60.10 , 61.30 , 60.16 
5 , 19 , 2010 , 60.49 , 57.98 , 59.71 , 59.12 
5 , 20 , 2010 , 58.23 , 56.80 , 57.59 , 56.85 
5 , 21 , 2010 , 58.29 , 56.05 , 56.92 , 58.04 
5 , 24 , 2010 , 58.08 , 57.26 , 57.97 , 57.29 
5 , 25 , 2010 , 56.74 , 54.91 , 55.81 , 56.74 
5 , 26 , 2010 , 57.91 , 56.72 , 56.87 , 56.90 
5 , 27 , 2010 , 58.87 , 57.74 , 57.91 , 58.87 
5 , 28 , 2010 , 58.89 , 57.51 , 58.75 , 58.02 
6 , 1 , 2010 , 57.98 , 56.62 , 57.38 , 56.62 
6 , 2 , 2010 , 58.47 , 56.41 , 56.78 , 58.42 
6 , 3 , 2010 , 59.27 , 58.41 , 58.41 , 59.19 
6 , 4 , 2010 , 58.45 , 56.32 , 58.09 , 56.52 
6 , 7 , 2010 , 56.80 , 55.40 , 56.64 , 55.47 
6 , 8 , 2010 , 56.06 , 54.88 , 55.43 , 55.95 
6 , 9 , 2010 , 57.07 , 55.88 , 56.33 , 56.10 
6 , 10 , 2010 , 58.13 , 57.04 , 57.35 , 58.10 
6 , 11 , 2010 , 58.35 , 57.41 , 57.45 , 58.28 
6 , 14 , 2010 , 59.45 , 58.53 , 58.55 , 58.86 
6 , 15 , 2010 , 60.52 , 58.97 , 59.10 , 60.44 
6 , 16 , 2010 , 60.55 , 59.93 , 60.15 , 60.18 
6 , 17 , 2010 , 60.49 , 59.61 , 60.43 , 60.42 
6 , 18 , 2010 , 60.86 , 59.82 , 59.82 , 60.62 
6 , 21 , 2010 , 61.47 , 60.05 , 61.34 , 60.30 
6 , 22 , 2010 , 60.97 , 58.97 , 60.36 , 59.05 
6 , 23 , 2010 , 59.64 , 58.43 , 59.29 , 59.21 
6 , 24 , 2010 , 59.24 , 57.84 , 58.64 , 57.94 
6 , 25 , 2010 , 58.17 , 57.20 , 57.97 , 57.97 
6 , 28 , 2010 , 58.49 , 57.45 , 58.16 , 57.85 
6 , 29 , 2010 , 57.12 , 55.48 , 56.97 , 55.84 
6 , 30 , 2010 , 56.97 , 55.42 , 55.56 , 55.96 
7 , 1 , 2010 , 56.02 , 54.25 , 55.90 , 55.07 
7 , 2 , 2010 , 55.44 , 54.37 , 55.23 , 54.78 
7 , 6 , 2010 , 55.82 , 54.21 , 55.39 , 54.79 
7 , 7 , 2010 , 56.11 , 54.58 , 54.72 , 56.11 
7 , 8 , 2010 , 56.85 , 55.99 , 56.52 , 56.76 
7 , 9 , 2010 , 57.12 , 56.52 , 56.88 , 56.90 
7 , 12 , 2010 , 56.90 , 56.10 , 56.62 , 56.58 
7 , 13 , 2010 , 58.14 , 57.06 , 57.22 , 57.88 
7 , 14 , 2010 , 58.41 , 57.51 , 57.61 , 58.30 
7 , 15 , 2010 , 58.61 , 57.22 , 58.21 , 58.49 
7 , 16 , 2010 , 58.16 , 56.76 , 58.16 , 56.93 
7 , 19 , 2010 , 57.33 , 56.47 , 57.25 , 57.21 
7 , 20 , 2010 , 58.27 , 56.45 , 56.64 , 58.15 
7 , 21 , 2010 , 58.93 , 58.03 , 58.64 , 58.32 
7 , 22 , 2010 , 60.36 , 59.00 , 59.17 , 60.12 
7 , 23 , 2010 , 62.31 , 59.96 , 60.08 , 62.01 
7 , 26 , 2010 , 65.17 , 62.02 , 62.39 , 63.49 
7 , 27 , 2010 , 65.77 , 62.69 , 64.22 , 62.83 
7 , 28 , 2010 , 62.92 , 61.83 , 62.65 , 62.12 
7 , 29 , 2010 , 62.75 , 61.41 , 62.64 , 62.08 
7 , 30 , 2010 , 62.83 , 60.92 , 61.28 , 62.50 
8 , 2 , 2010 , 63.51 , 62.72 , 63.50 , 63.02 
8 , 3 , 2010 , 63.94 , 62.54 , 62.76 , 63.50 
8 , 4 , 2010 , 64.00 , 63.32 , 63.49 , 63.58 
8 , 5 , 2010 , 63.85 , 63.06 , 63.06 , 63.43 
8 , 6 , 2010 , 63.31 , 62.21 , 62.73 , 63.13 
8 , 9 , 2010 , 63.87 , 63.22 , 63.51 , 63.73 
8 , 10 , 2010 , 63.33 , 62.40 , 63.18 , 62.86 
8 , 11 , 2010 , 61.75 , 60.22 , 61.75 , 60.50 
8 , 12 , 2010 , 60.44 , 59.34 , 59.49 , 60.15 
8 , 13 , 2010 , 59.98 , 59.28 , 59.80 , 59.42 
8 , 16 , 2010 , 60.05 , 58.71 , 59.11 , 59.80 
8 , 17 , 2010 , 61.25 , 60.03 , 60.30 , 60.97 
8 , 18 , 2010 , 61.30 , 60.31 , 60.87 , 60.83 
8 , 19 , 2010 , 60.62 , 59.25 , 60.41 , 59.55 
8 , 20 , 2010 , 59.54 , 58.54 , 58.98 , 59.46 
8 , 23 , 2010 , 60.42 , 59.18 , 59.85 , 59.28 
8 , 24 , 2010 , 58.81 , 57.29 , 58.33 , 58.46 
8 , 25 , 2010 , 58.08 , 56.96 , 57.93 , 57.83 
8 , 26 , 2010 , 59.00 , 57.81 , 58.31 , 57.87 
8 , 27 , 2010 , 59.42 , 57.70 , 58.28 , 59.25 
8 , 30 , 2010 , 59.37 , 57.98 , 58.86 , 58.02 
8 , 31 , 2010 , 58.64 , 57.50 , 57.51 , 58.08 
9 , 1 , 2010 , 60.41 , 58.85 , 58.90 , 60.00 
9 , 2 , 2010 , 60.86 , 59.97 , 59.97 , 60.85 
9 , 3 , 2010 , 61.96 , 61.08 , 61.34 , 61.96 
9 , 7 , 2010 , 61.60 , 60.86 , 61.59 , 61.00 
9 , 8 , 2010 , 62.46 , 60.90 , 60.90 , 62.27 
9 , 9 , 2010 , 63.01 , 62.02 , 62.98 , 62.42 
9 , 10 , 2010 , 62.73 , 62.09 , 62.61 , 62.29 
9 , 13 , 2010 , 64.34 , 62.79 , 62.83 , 64.01 
9 , 14 , 2010 , 64.07 , 63.54 , 63.79 , 63.71 
9 , 15 , 2010 , 64.00 , 63.00 , 63.44 , 63.88 
9 , 16 , 2010 , 64.02 , 63.54 , 63.74 , 63.97 
9 , 17 , 2010 , 64.71 , 63.88 , 64.71 , 64.06 
9 , 20 , 2010 , 65.03 , 64.19 , 64.37 , 64.94 
9 , 21 , 2010 , 65.60 , 64.86 , 64.98 , 65.30 
9 , 22 , 2010 , 65.29 , 63.60 , 65.06 , 64.00 
9 , 23 , 2010 , 64.51 , 63.11 , 63.33 , 63.56 
9 , 24 , 2010 , 65.54 , 64.28 , 64.45 , 65.34 
9 , 27 , 2010 , 65.28 , 64.50 , 65.23 , 64.57 
9 , 28 , 2010 , 65.69 , 64.03 , 64.62 , 65.59 
9 , 29 , 2010 , 65.59 , 65.14 , 65.39 , 65.27 
9 , 30 , 2010 , 66.37 , 64.75 , 65.60 , 65.18 
10 , 1 , 2010 , 66.25 , 65.23 , 65.80 , 66.01 
10 , 4 , 2010 , 65.88 , 64.67 , 65.81 , 64.98 
10 , 5 , 2010 , 66.77 , 65.57 , 65.63 , 66.77 
10 , 6 , 2010 , 67.09 , 66.57 , 66.55 , 66.95 
10 , 7 , 2010 , 67.42 , 65.98 , 67.38 , 66.52 
10 , 8 , 2010 , 66.78 , 65.94 , 66.52 , 66.32 
10 , 11 , 2010 , 66.94 , 66.20 , 66.44 , 66.44 
10 , 12 , 2010 , 66.51 , 65.35 , 66.23 , 66.20 
10 , 13 , 2010 , 67.50 , 66.45 , 66.51 , 67.33 
10 , 14 , 2010 , 67.57 , 66.21 , 67.46 , 66.80 
10 , 15 , 2010 , 67.51 , 65.45 , 67.15 , 67.05 
10 , 18 , 2010 , 68.13 , 66.80 , 67.00 , 68.07 
10 , 19 , 2010 , 67.13 , 65.92 , 67.10 , 66.18 
10 , 20 , 2010 , 67.62 , 66.45 , 66.52 , 67.47 
10 , 21 , 2010 , 69.20 , 67.67 , 67.75 , 69.18 
10 , 22 , 2010 , 69.52 , 68.87 , 69.02 , 69.50 
10 , 25 , 2010 , 72.91 , 70.28 , 72.27 , 70.38 
10 , 26 , 2010 , 70.91 , 69.50 , 70.09 , 70.43 
10 , 27 , 2010 , 70.09 , 68.66 , 69.57 , 69.36 
10 , 28 , 2010 , 70.08 , 69.08 , 69.40 , 69.58 
10 , 29 , 2010 , 69.66 , 68.98 , 69.18 , 69.43 
11 , 1 , 2010 , 70.52 , 69.26 , 69.88 , 69.76 
11 , 2 , 2010 , 70.76 , 70.01 , 70.36 , 70.43 
11 , 3 , 2010 , 70.64 , 69.18 , 70.50 , 70.26 
11 , 4 , 2010 , 72.15 , 70.38 , 71.00 , 72.15 
11 , 5 , 2010 , 72.07 , 71.38 , 72.07 , 71.70 
11 , 8 , 2010 , 71.60 , 71.03 , 71.39 , 71.39 
11 , 9 , 2010 , 71.92 , 71.05 , 71.52 , 71.38 
11 , 10 , 2010 , 72.17 , 70.86 , 71.40 , 72.15 
11 , 11 , 2010 , 71.73 , 71.06 , 71.45 , 71.46 
11 , 12 , 2010 , 71.35 , 70.41 , 70.85 , 70.87 
11 , 15 , 2010 , 71.79 , 70.72 , 70.97 , 71.42 
11 , 16 , 2010 , 70.93 , 69.19 , 70.90 , 69.79 
11 , 17 , 2010 , 70.67 , 69.60 , 69.80 , 70.09 
11 , 18 , 2010 , 71.89 , 70.85 , 70.89 , 71.22 
11 , 19 , 2010 , 72.04 , 70.82 , 71.18 , 72.04 
11 , 22 , 2010 , 72.25 , 70.95 , 71.64 , 72.15 
11 , 23 , 2010 , 71.50 , 70.29 , 71.20 , 71.45 
11 , 24 , 2010 , 73.49 , 71.71 , 71.71 , 73.46 
11 , 26 , 2010 , 73.39 , 72.29 , 72.44 , 72.77 
11 , 29 , 2010 , 72.49 , 71.13 , 72.08 , 72.22 
11 , 30 , 2010 , 72.87 , 71.25 , 71.65 , 72.41 
12 , 1 , 2010 , 74.31 , 73.30 , 73.73 , 73.75 
12 , 2 , 2010 , 75.09 , 73.37 , 73.43 , 74.81 
12 , 3 , 2010 , 75.37 , 74.36 , 74.41 , 75.29 
12 , 6 , 2010 , 76.24 , 74.94 , 75.21 , 75.93 
12 , 7 , 2010 , 76.80 , 76.16 , 76.77 , 76.59 
12 , 8 , 2010 , 76.87 , 76.08 , 76.61 , 76.47 
12 , 9 , 2010 , 77.02 , 76.41 , 76.68 , 76.85 
12 , 10 , 2010 , 77.75 , 76.61 , 77.00 , 77.71 
12 , 13 , 2010 , 78.00 , 77.22 , 77.81 , 77.33 
12 , 14 , 2010 , 78.05 , 77.09 , 77.38 , 77.37 
12 , 15 , 2010 , 77.91 , 76.91 , 77.13 , 77.19 
12 , 16 , 2010 , 78.43 , 76.81 , 77.25 , 78.43 
12 , 17 , 2010 , 78.62 , 77.63 , 78.42 , 78.10 
12 , 20 , 2010 , 78.41 , 76.88 , 78.30 , 77.13 
12 , 21 , 2010 , 77.98 , 77.23 , 77.72 , 77.86 
12 , 22 , 2010 , 78.30 , 77.86 , 77.94 , 77.98 
12 , 23 , 2010 , 78.00 , 76.73 , 77.90 , 76.79 
12 , 27 , 2010 , 77.88 , 76.50 , 76.50 , 77.69 
12 , 28 , 2010 , 77.99 , 77.22 , 77.71 , 77.37 
12 , 29 , 2010 , 77.60 , 77.07 , 77.43 , 77.33 
12 , 30 , 2010 , 77.71 , 76.81 , 77.28 , 76.85 
12 , 31 , 2010 , 76.89 , 76.32 , 76.75 , 76.43 
1 , 3 , 2011 , 78.11 , 76.98 , 77.12 , 77.06 
1 , 4 , 2011 , 77.40 , 75.07 , 77.40 , 75.94 
1 , 5 , 2011 , 76.48 , 75.49 , 75.61 , 76.25 
1 , 6 , 2011 , 76.27 , 75.39 , 76.27 , 75.63 
1 , 7 , 2011 , 76.02 , 73.71 , 75.78 , 74.87 
1 , 10 , 2011 , 75.20 , 72.37 , 73.83 , 75.07 
1 , 11 , 2011 , 76.08 , 75.03 , 75.42 , 75.58 
1 , 12 , 2011 , 76.19 , 75.24 , 76.08 , 75.40 
1 , 13 , 2011 , 75.64 , 74.92 , 75.48 , 75.25 
1 , 14 , 2011 , 75.53 , 74.90 , 75.05 , 75.37 
1 , 18 , 2011 , 75.99 , 75.20 , 75.49 , 75.67 
1 , 19 , 2011 , 75.82 , 73.79 , 75.46 , 74.05 
1 , 20 , 2011 , 74.11 , 73.34 , 73.98 , 73.56 
1 , 21 , 2011 , 74.83 , 73.81 , 74.24 , 73.92 
1 , 24 , 2011 , 74.85 , 73.67 , 73.97 , 74.76 
1 , 25 , 2011 , 75.00 , 73.88 , 74.38 , 74.93 
1 , 26 , 2011 , 76.21 , 75.01 , 75.01 , 75.99 
1 , 27 , 2011 , 76.90 , 75.74 , 75.84 , 76.66 
1 , 28 , 2011 , 77.34 , 74.85 , 76.67 , 75.69 
1 , 31 , 2011 , 79.90 , 77.26 , 78.12 , 77.69 
2 , 1 , 2011 , 79.02 , 77.42 , 78.34 , 78.91 
2 , 2 , 2011 , 79.32 , 78.52 , 78.75 , 79.09 
2 , 3 , 2011 , 79.30 , 78.50 , 78.97 , 79.11 
2 , 4 , 2011 , 80.23 , 79.00 , 79.00 , 79.98 
2 , 7 , 2011 , 80.83 , 80.01 , 80.05 , 80.70 
2 , 8 , 2011 , 82.11 , 80.80 , 80.93 , 82.11 
2 , 9 , 2011 , 82.30 , 81.45 , 81.71 , 82.16 
2 , 10 , 2011 , 83.17 , 81.55 , 81.55 , 83.09 
2 , 11 , 2011 , 84.18 , 82.41 , 82.61 , 83.74 
2 , 14 , 2011 , 84.86 , 83.60 , 83.90 , 84.78 
2 , 15 , 2011 , 84.75 , 83.92 , 84.29 , 84.47 
2 , 16 , 2011 , 85.22 , 84.37 , 84.73 , 85.02 
2 , 17 , 2011 , 84.92 , 84.45 , 84.81 , 84.59 
2 , 18 , 2011 , 85.36 , 84.50 , 84.77 , 85.29 
2 , 22 , 2011 , 84.73 , 83.15 , 84.20 , 83.49 
2 , 23 , 2011 , 83.88 , 82.34 , 83.51 , 82.94 
2 , 24 , 2011 , 83.28 , 81.79 , 83.14 , 82.23 
2 , 25 , 2011 , 83.45 , 82.34 , 82.67 , 83.21 
2 , 28 , 2011 , 84.32 , 83.40 , 83.67 , 84.13 
3 , 1 , 2011 , 85.00 , 83.06 , 84.73 , 83.23 
3 , 2 , 2011 , 84.98 , 83.02 , 83.02 , 84.71 
3 , 3 , 2011 , 87.68 , 85.19 , 85.19 , 87.49 
3 , 4 , 2011 , 87.41 , 85.59 , 87.23 , 85.95 
3 , 7 , 2011 , 86.51 , 83.91 , 86.43 , 84.87 
3 , 8 , 2011 , 86.05 , 84.38 , 85.16 , 85.86 
3 , 9 , 2011 , 86.52 , 84.86 , 85.64 , 86.33 
3 , 10 , 2011 , 85.42 , 84.02 , 85.16 , 84.36 
3 , 11 , 2011 , 84.80 , 83.06 , 83.52 , 84.47 
3 , 14 , 2011 , 84.35 , 82.75 , 83.68 , 83.62 
3 , 15 , 2011 , 83.49 , 80.47 , 80.47 , 82.96 
3 , 16 , 2011 , 83.42 , 81.21 , 82.68 , 81.88 
3 , 17 , 2011 , 83.55 , 82.03 , 83.31 , 82.50 
3 , 18 , 2011 , 84.19 , 83.45 , 84.02 , 84.15 
3 , 21 , 2011 , 86.16 , 85.14 , 85.14 , 85.80 
3 , 22 , 2011 , 86.00 , 84.85 , 85.88 , 85.33 
3 , 23 , 2011 , 85.60 , 83.71 , 85.40 , 84.74 
3 , 24 , 2011 , 85.45 , 84.33 , 85.21 , 85.07 
3 , 25 , 2011 , 85.99 , 84.90 , 85.41 , 85.86 
3 , 28 , 2011 , 86.13 , 85.09 , 85.94 , 85.17 
3 , 29 , 2011 , 85.77 , 84.02 , 84.74 , 85.77 
3 , 30 , 2011 , 86.22 , 85.57 , 85.87 , 85.73 
3 , 31 , 2011 , 86.61 , 85.71 , 85.79 , 86.46 
4 , 1 , 2011 , 88.47 , 86.45 , 86.69 , 88.33 
4 , 4 , 2011 , 88.76 , 88.06 , 88.31 , 88.45 
4 , 5 , 2011 , 88.65 , 87.48 , 88.65 , 87.60 
4 , 6 , 2011 , 88.09 , 86.45 , 88.09 , 86.99 
4 , 7 , 2011 , 87.35 , 86.03 , 86.81 , 86.24 
4 , 8 , 2011 , 86.85 , 84.79 , 86.77 , 85.44 
4 , 11 , 2011 , 85.82 , 84.71 , 85.52 , 85.20 
4 , 12 , 2011 , 85.11 , 83.99 , 84.80 , 84.60 
4 , 13 , 2011 , 85.42 , 84.28 , 85.18 , 84.77 
4 , 14 , 2011 , 84.74 , 83.51 , 84.40 , 84.53 
4 , 15 , 2011 , 85.58 , 84.13 , 84.81 , 84.85 
4 , 18 , 2011 , 83.92 , 82.45 , 83.92 , 83.34 
4 , 19 , 2011 , 84.07 , 83.19 , 83.36 , 83.80 
4 , 20 , 2011 , 85.93 , 84.89 , 85.10 , 85.80 
4 , 21 , 2011 , 86.52 , 85.54 , 86.32 , 86.37 
4 , 25 , 2011 , 86.63 , 85.75 , 86.36 , 86.14 
4 , 26 , 2011 , 88.56 , 86.40 , 88.25 , 87.20 
4 , 27 , 2011 , 86.71 , 85.65 , 86.48 , 86.40 
4 , 28 , 2011 , 87.14 , 86.11 , 86.46 , 86.50 
4 , 29 , 2011 , 87.15 , 86.42 , 86.69 , 86.49 
5 , 2 , 2011 , 87.28 , 86.10 , 86.99 , 86.18 
5 , 3 , 2011 , 86.35 , 85.07 , 86.00 , 85.52 
5 , 4 , 2011 , 86.00 , 83.74 , 85.59 , 83.82 
5 , 5 , 2011 , 85.04 , 82.99 , 83.51 , 83.98 
5 , 6 , 2011 , 85.74 , 83.20 , 85.20 , 83.75 
5 , 9 , 2011 , 84.14 , 83.31 , 83.75 , 83.86 
5 , 10 , 2011 , 84.89 , 84.02 , 84.10 , 84.86 
5 , 11 , 2011 , 84.97 , 82.97 , 84.97 , 83.54 
5 , 12 , 2011 , 84.32 , 82.28 , 83.44 , 84.00 
5 , 13 , 2011 , 84.38 , 82.59 , 83.80 , 82.67 
5 , 16 , 2011 , 83.25 , 82.00 , 82.50 , 82.98 
5 , 17 , 2011 , 83.06 , 81.86 , 83.06 , 82.15 
5 , 18 , 2011 , 83.40 , 82.13 , 82.42 , 82.99 
5 , 19 , 2011 , 83.91 , 83.08 , 83.71 , 83.38 
5 , 20 , 2011 , 83.68 , 82.73 , 83.27 , 83.38 
5 , 23 , 2011 , 82.51 , 81.50 , 82.02 , 82.07 
5 , 24 , 2011 , 82.55 , 80.80 , 82.34 , 80.94 
5 , 25 , 2011 , 82.46 , 79.79 , 80.28 , 82.09 
5 , 26 , 2011 , 82.55 , 81.49 , 81.88 , 82.37 
5 , 27 , 2011 , 83.17 , 82.48 , 82.91 , 82.99 
5 , 31 , 2011 , 83.96 , 82.13 , 83.96 , 83.47 
6 , 1 , 2011 , 83.55 , 80.15 , 83.37 , 80.17 
6 , 2 , 2011 , 81.39 , 80.11 , 80.44 , 81.23 
6 , 3 , 2011 , 80.90 , 79.60 , 79.94 , 79.68 
6 , 6 , 2011 , 80.44 , 78.77 , 79.27 , 78.90 
6 , 7 , 2011 , 80.28 , 78.66 , 79.40 , 79.89 
6 , 8 , 2011 , 80.22 , 79.20 , 79.73 , 79.59 
6 , 9 , 2011 , 80.17 , 79.38 , 79.90 , 79.46 
6 , 10 , 2011 , 79.56 , 78.45 , 79.26 , 78.60 
6 , 13 , 2011 , 79.09 , 77.85 , 78.86 , 78.30 
6 , 14 , 2011 , 80.33 , 79.07 , 79.15 , 79.86 
6 , 15 , 2011 , 79.55 , 78.26 , 78.93 , 78.48 
6 , 16 , 2011 , 79.70 , 77.85 , 78.60 , 78.88 
6 , 17 , 2011 , 80.54 , 79.55 , 79.69 , 80.02 
6 , 20 , 2011 , 80.67 , 79.61 , 79.64 , 80.42 
6 , 21 , 2011 , 82.29 , 80.58 , 81.05 , 82.20 
6 , 22 , 2011 , 82.40 , 81.52 , 81.69 , 81.92 
6 , 23 , 2011 , 82.13 , 80.16 , 80.81 , 81.53 
6 , 24 , 2011 , 81.79 , 80.60 , 81.51 , 81.04 
6 , 27 , 2011 , 81.21 , 80.19 , 80.62 , 80.88 
6 , 28 , 2011 , 82.31 , 80.86 , 81.23 , 82.31 
6 , 29 , 2011 , 83.23 , 82.05 , 82.57 , 82.73 
6 , 30 , 2011 , 83.80 , 82.85 , 82.96 , 83.30 
7 , 1 , 2011 , 83.98 , 82.92 , 83.44 , 83.75 
7 , 5 , 2011 , 83.97 , 83.18 , 83.80 , 83.58 
7 , 6 , 2011 , 84.26 , 83.00 , 83.51 , 84.10 
7 , 7 , 2011 , 85.14 , 84.44 , 85.09 , 84.80 
