Month , Day , Year , High , Low , Open , Close
3 , 17 , 2010 , 29.04 , 28.72 , 28.94 , 28.84 
3 , 18 , 2010 , 28.96 , 28.75 , 28.92 , 28.85 
3 , 19 , 2010 , 29.00 , 28.39 , 28.91 , 28.55 
3 , 22 , 2010 , 28.63 , 28.32 , 28.47 , 28.55 
3 , 23 , 2010 , 29.00 , 28.48 , 28.62 , 28.88 
3 , 24 , 2010 , 29.00 , 28.67 , 28.86 , 28.84 
3 , 25 , 2010 , 29.06 , 28.73 , 28.96 , 28.76 
3 , 26 , 2010 , 29.03 , 28.68 , 28.88 , 28.97 
3 , 29 , 2010 , 29.25 , 28.98 , 29.07 , 29.22 
3 , 30 , 2010 , 29.25 , 29.01 , 29.20 , 29.13 
3 , 31 , 2010 , 29.16 , 28.79 , 29.06 , 29.02 
4 , 1 , 2010 , 29.49 , 29.03 , 29.26 , 29.18 
4 , 5 , 2010 , 29.50 , 29.18 , 29.32 , 29.39 
4 , 6 , 2010 , 29.76 , 29.28 , 29.41 , 29.75 
4 , 7 , 2010 , 29.79 , 29.48 , 29.62 , 29.68 
4 , 8 , 2010 , 29.84 , 29.53 , 29.68 , 29.79 
4 , 9 , 2010 , 29.95 , 29.70 , 29.89 , 29.95 
4 , 12 , 2010 , 30.07 , 29.87 , 30.07 , 29.99 
4 , 13 , 2010 , 30.00 , 29.66 , 30.00 , 29.94 
4 , 14 , 2010 , 30.23 , 29.76 , 30.01 , 30.12 
4 , 15 , 2010 , 30.81 , 30.07 , 30.52 , 30.69 
4 , 16 , 2010 , 30.91 , 30.26 , 30.65 , 30.38 
4 , 19 , 2010 , 30.45 , 29.91 , 30.36 , 30.29 
4 , 20 , 2010 , 30.58 , 30.28 , 30.35 , 30.49 
4 , 21 , 2010 , 30.61 , 30.25 , 30.45 , 30.44 
4 , 22 , 2010 , 30.34 , 29.96 , 30.27 , 30.28 
4 , 23 , 2010 , 30.52 , 29.99 , 30.18 , 30.27 
4 , 26 , 2010 , 30.77 , 30.27 , 30.30 , 30.59 
4 , 27 , 2010 , 30.39 , 29.56 , 30.35 , 29.62 
4 , 28 , 2010 , 30.00 , 29.58 , 29.79 , 29.80 
4 , 29 , 2010 , 30.28 , 29.80 , 30.00 , 30.17 
4 , 30 , 2010 , 31.47 , 30.31 , 30.31 , 31.03 
5 , 3 , 2010 , 31.60 , 31.01 , 31.19 , 31.58 
5 , 4 , 2010 , 31.32 , 30.00 , 31.32 , 30.14 
5 , 5 , 2010 , 30.22 , 29.65 , 29.92 , 29.95 
5 , 6 , 2010 , 30.16 , 27.68 , 29.89 , 29.08 
5 , 7 , 2010 , 29.37 , 28.53 , 29.15 , 28.95 
5 , 10 , 2010 , 30.28 , 29.77 , 30.24 , 30.00 
5 , 11 , 2010 , 30.42 , 29.77 , 29.87 , 29.99 
5 , 12 , 2010 , 30.38 , 29.90 , 30.07 , 30.36 
5 , 13 , 2010 , 30.31 , 29.95 , 30.28 , 30.10 
5 , 14 , 2010 , 29.95 , 29.23 , 29.84 , 29.58 
5 , 17 , 2010 , 29.89 , 29.32 , 29.64 , 29.79 
5 , 18 , 2010 , 30.22 , 29.64 , 30.20 , 29.75 
5 , 19 , 2010 , 29.72 , 29.23 , 29.68 , 29.41 
5 , 20 , 2010 , 29.02 , 28.25 , 29.02 , 28.25 
5 , 21 , 2010 , 28.73 , 27.72 , 28.02 , 28.65 
5 , 24 , 2010 , 28.64 , 28.26 , 28.51 , 28.27 
5 , 25 , 2010 , 28.47 , 27.65 , 27.69 , 28.46 
5 , 26 , 2010 , 28.76 , 28.26 , 28.70 , 28.32 
5 , 27 , 2010 , 29.25 , 28.72 , 28.79 , 29.25 
5 , 28 , 2010 , 29.37 , 28.85 , 29.32 , 29.12 
6 , 1 , 2010 , 29.37 , 28.68 , 28.94 , 29.05 
6 , 2 , 2010 , 29.68 , 28.92 , 29.23 , 29.68 
6 , 3 , 2010 , 29.99 , 29.66 , 29.82 , 29.96 
6 , 4 , 2010 , 29.58 , 28.39 , 29.58 , 28.51 
6 , 7 , 2010 , 28.64 , 28.02 , 28.60 , 28.07 
6 , 8 , 2010 , 29.00 , 28.04 , 28.05 , 28.94 
6 , 9 , 2010 , 29.86 , 29.14 , 29.14 , 29.60 
6 , 10 , 2010 , 30.67 , 29.92 , 29.92 , 30.65 
6 , 11 , 2010 , 30.67 , 30.21 , 30.33 , 30.67 
6 , 14 , 2010 , 31.09 , 30.71 , 30.71 , 30.84 
6 , 15 , 2010 , 31.31 , 30.86 , 31.20 , 31.29 
6 , 16 , 2010 , 31.36 , 31.03 , 31.15 , 31.30 
6 , 17 , 2010 , 31.54 , 31.02 , 31.39 , 31.54 
6 , 18 , 2010 , 31.74 , 31.35 , 31.56 , 31.52 
6 , 21 , 2010 , 31.92 , 31.07 , 31.75 , 31.29 
6 , 22 , 2010 , 31.48 , 30.56 , 31.38 , 30.60 
6 , 23 , 2010 , 30.83 , 30.36 , 30.62 , 30.63 
6 , 24 , 2010 , 30.85 , 30.29 , 30.53 , 30.34 
6 , 25 , 2010 , 30.98 , 30.02 , 30.48 , 30.97 
6 , 28 , 2010 , 31.20 , 30.70 , 30.99 , 30.89 
6 , 29 , 2010 , 30.45 , 29.36 , 30.45 , 29.56 
6 , 30 , 2010 , 30.19 , 29.37 , 29.55 , 29.73 
7 , 1 , 2010 , 29.94 , 29.00 , 29.90 , 29.53 
7 , 2 , 2010 , 29.74 , 29.14 , 29.63 , 29.26 
7 , 6 , 2010 , 29.93 , 29.21 , 29.50 , 29.44 
7 , 7 , 2010 , 30.19 , 29.11 , 29.42 , 30.12 
7 , 8 , 2010 , 30.55 , 30.24 , 30.28 , 30.53 
7 , 9 , 2010 , 30.64 , 30.38 , 30.52 , 30.60 
7 , 12 , 2010 , 30.71 , 30.41 , 30.56 , 30.59 
7 , 13 , 2010 , 31.04 , 30.73 , 30.88 , 30.89 
7 , 14 , 2010 , 30.74 , 30.13 , 30.74 , 30.44 
7 , 15 , 2010 , 30.80 , 30.12 , 30.38 , 30.74 
7 , 16 , 2010 , 30.76 , 29.89 , 30.61 , 29.98 
7 , 19 , 2010 , 30.21 , 29.76 , 30.04 , 30.12 
7 , 20 , 2010 , 30.47 , 29.67 , 29.85 , 30.45 
7 , 21 , 2010 , 31.10 , 30.39 , 30.57 , 31.10 
7 , 22 , 2010 , 31.84 , 31.30 , 31.47 , 31.75 
7 , 23 , 2010 , 32.06 , 31.42 , 31.64 , 32.06 
7 , 26 , 2010 , 32.67 , 32.15 , 32.24 , 32.65 
7 , 27 , 2010 , 32.95 , 32.17 , 32.85 , 32.25 
7 , 28 , 2010 , 32.24 , 31.95 , 32.18 , 32.12 
7 , 29 , 2010 , 32.45 , 31.68 , 32.37 , 31.98 
7 , 30 , 2010 , 32.00 , 31.06 , 32.00 , 31.86 
8 , 2 , 2010 , 32.51 , 32.15 , 32.32 , 32.47 
8 , 3 , 2010 , 32.49 , 32.12 , 32.36 , 32.31 
8 , 4 , 2010 , 32.57 , 32.31 , 32.40 , 32.39 
8 , 5 , 2010 , 32.31 , 31.75 , 32.24 , 31.84 
8 , 6 , 2010 , 31.66 , 31.23 , 31.64 , 31.64 
8 , 9 , 2010 , 31.90 , 31.62 , 31.83 , 31.77 
8 , 10 , 2010 , 31.58 , 31.13 , 31.57 , 31.28 
8 , 11 , 2010 , 30.94 , 29.78 , 30.94 , 29.94 
8 , 12 , 2010 , 29.62 , 28.97 , 29.50 , 29.43 
8 , 13 , 2010 , 29.72 , 29.38 , 29.42 , 29.40 
8 , 16 , 2010 , 29.70 , 29.03 , 29.34 , 29.66 
8 , 17 , 2010 , 30.50 , 29.74 , 29.89 , 30.16 
8 , 18 , 2010 , 30.31 , 29.86 , 30.31 , 30.00 
8 , 19 , 2010 , 30.65 , 29.75 , 29.94 , 30.11 
8 , 20 , 2010 , 30.65 , 30.04 , 30.59 , 30.51 
8 , 23 , 2010 , 30.68 , 30.00 , 30.64 , 30.06 
8 , 24 , 2010 , 30.09 , 29.51 , 29.81 , 29.95 
8 , 25 , 2010 , 29.90 , 29.26 , 29.69 , 29.77 
8 , 26 , 2010 , 30.11 , 29.57 , 29.92 , 29.64 
8 , 27 , 2010 , 30.28 , 29.48 , 29.76 , 30.25 
8 , 30 , 2010 , 30.27 , 29.82 , 30.01 , 29.82 
8 , 31 , 2010 , 29.75 , 29.33 , 29.66 , 29.43 
9 , 1 , 2010 , 30.59 , 29.73 , 29.84 , 30.27 
9 , 2 , 2010 , 30.80 , 29.72 , 30.19 , 30.78 
