Month , Day , Year , High , Low , Open , Close
3 , 17 , 2010 , 42.94 , 42.50 , 42.84 , 42.58 
3 , 18 , 2010 , 42.79 , 42.50 , 42.51 , 42.76 
3 , 19 , 2010 , 43.49 , 42.89 , 42.91 , 43.20 
3 , 22 , 2010 , 43.07 , 42.80 , 42.86 , 42.83 
3 , 23 , 2010 , 43.16 , 42.81 , 42.89 , 43.11 
3 , 24 , 2010 , 43.37 , 42.91 , 43.04 , 43.08 
3 , 25 , 2010 , 43.54 , 43.16 , 43.30 , 43.22 
3 , 26 , 2010 , 43.69 , 43.33 , 43.33 , 43.42 
3 , 29 , 2010 , 43.84 , 43.43 , 43.52 , 43.65 
3 , 30 , 2010 , 44.15 , 43.62 , 43.78 , 43.72 
3 , 31 , 2010 , 43.84 , 43.30 , 43.60 , 43.42 
4 , 1 , 2010 , 43.93 , 43.37 , 43.57 , 43.72 
4 , 5 , 2010 , 44.21 , 43.78 , 43.84 , 44.15 
4 , 6 , 2010 , 44.22 , 43.89 , 43.96 , 44.04 
4 , 7 , 2010 , 44.02 , 43.37 , 43.97 , 43.64 
4 , 8 , 2010 , 43.59 , 43.22 , 43.46 , 43.47 
4 , 9 , 2010 , 43.65 , 43.30 , 43.48 , 43.64 
4 , 12 , 2010 , 43.86 , 43.40 , 43.86 , 43.50 
4 , 13 , 2010 , 43.48 , 43.02 , 43.40 , 43.33 
4 , 14 , 2010 , 43.68 , 43.13 , 43.25 , 43.65 
4 , 15 , 2010 , 44.07 , 43.50 , 43.58 , 44.01 
4 , 16 , 2010 , 44.11 , 43.18 , 44.04 , 43.46 
4 , 19 , 2010 , 43.53 , 43.06 , 43.33 , 43.50 
4 , 20 , 2010 , 44.05 , 43.22 , 43.72 , 43.76 
4 , 21 , 2010 , 45.47 , 43.43 , 43.43 , 45.37 
4 , 22 , 2010 , 45.27 , 44.79 , 45.20 , 45.08 
4 , 23 , 2010 , 45.29 , 44.70 , 45.13 , 45.10 
4 , 26 , 2010 , 45.46 , 44.98 , 45.16 , 45.06 
4 , 27 , 2010 , 45.03 , 43.69 , 44.95 , 43.84 
4 , 28 , 2010 , 44.18 , 43.39 , 44.02 , 44.04 
4 , 29 , 2010 , 45.03 , 44.33 , 44.42 , 44.84 
4 , 30 , 2010 , 45.11 , 44.18 , 44.84 , 44.21 
5 , 3 , 2010 , 45.05 , 44.32 , 44.39 , 44.99 
5 , 4 , 2010 , 44.60 , 43.32 , 44.60 , 43.74 
5 , 5 , 2010 , 43.83 , 42.96 , 43.40 , 43.40 
5 , 6 , 2010 , 43.65 , 38.44 , 43.09 , 42.02 
5 , 7 , 2010 , 42.15 , 40.61 , 41.79 , 40.97 
5 , 10 , 2010 , 43.26 , 42.47 , 42.79 , 43.08 
5 , 11 , 2010 , 43.79 , 42.66 , 42.77 , 43.13 
5 , 12 , 2010 , 43.31 , 42.81 , 43.09 , 43.14 
5 , 13 , 2010 , 43.71 , 42.90 , 43.12 , 42.97 
5 , 14 , 2010 , 42.83 , 41.69 , 42.67 , 42.22 
5 , 17 , 2010 , 42.47 , 41.24 , 42.30 , 41.89 
5 , 18 , 2010 , 42.43 , 41.57 , 42.21 , 41.69 
5 , 19 , 2010 , 41.73 , 40.50 , 41.38 , 40.90 
5 , 20 , 2010 , 40.44 , 39.14 , 39.99 , 39.18 
5 , 21 , 2010 , 39.58 , 38.09 , 38.09 , 39.19 
5 , 24 , 2010 , 39.39 , 38.82 , 39.32 , 39.00 
5 , 25 , 2010 , 39.11 , 37.62 , 37.95 , 39.02 
5 , 26 , 2010 , 39.96 , 38.93 , 39.41 , 39.02 
5 , 27 , 2010 , 40.17 , 39.51 , 39.72 , 40.17 
5 , 28 , 2010 , 40.35 , 39.54 , 40.25 , 39.74 
6 , 1 , 2010 , 39.79 , 38.89 , 39.28 , 38.96 
6 , 2 , 2010 , 39.83 , 38.91 , 39.20 , 39.79 
6 , 3 , 2010 , 40.25 , 39.68 , 39.97 , 40.02 
6 , 4 , 2010 , 39.41 , 38.27 , 39.29 , 38.42 
