Month , Day , Year , High , Low , Open , Close
3 , 17 , 2010 , 12.83 , 12.57 , 12.68 , 12.78 
3 , 18 , 2010 , 12.75 , 12.49 , 12.73 , 12.51 
3 , 19 , 2010 , 12.58 , 12.38 , 12.49 , 12.49 
3 , 22 , 2010 , 12.69 , 12.18 , 12.37 , 12.62 
3 , 23 , 2010 , 12.72 , 12.48 , 12.72 , 12.71 
3 , 24 , 2010 , 13.00 , 12.62 , 12.92 , 12.65 
3 , 25 , 2010 , 12.57 , 12.08 , 12.53 , 12.11 
3 , 26 , 2010 , 12.42 , 12.20 , 12.20 , 12.30 
3 , 29 , 2010 , 12.39 , 12.14 , 12.32 , 12.31 
3 , 30 , 2010 , 12.32 , 12.12 , 12.21 , 12.28 
3 , 31 , 2010 , 12.27 , 12.10 , 12.21 , 12.14 
4 , 1 , 2010 , 12.37 , 11.98 , 12.27 , 12.12 
4 , 5 , 2010 , 12.39 , 12.06 , 12.06 , 12.31 
4 , 6 , 2010 , 12.35 , 12.18 , 12.23 , 12.30 
4 , 7 , 2010 , 12.51 , 12.35 , 12.40 , 12.46 
4 , 8 , 2010 , 12.50 , 12.32 , 12.38 , 12.42 
4 , 9 , 2010 , 12.48 , 12.23 , 12.43 , 12.36 
4 , 12 , 2010 , 12.40 , 12.16 , 12.33 , 12.25 
4 , 13 , 2010 , 12.40 , 12.16 , 12.21 , 12.37 
4 , 14 , 2010 , 12.43 , 12.20 , 12.35 , 12.42 
4 , 15 , 2010 , 12.63 , 12.31 , 12.36 , 12.57 
4 , 16 , 2010 , 12.61 , 12.36 , 12.55 , 12.48 
4 , 19 , 2010 , 12.62 , 12.28 , 12.50 , 12.45 
4 , 20 , 2010 , 12.65 , 12.31 , 12.55 , 12.63 
4 , 21 , 2010 , 12.71 , 12.50 , 12.60 , 12.70 
4 , 22 , 2010 , 13.73 , 12.84 , 12.99 , 13.63 
4 , 23 , 2010 , 13.65 , 13.38 , 13.51 , 13.63 
4 , 26 , 2010 , 13.80 , 13.50 , 13.53 , 13.70 
4 , 27 , 2010 , 13.75 , 13.23 , 13.75 , 13.27 
4 , 28 , 2010 , 13.44 , 13.06 , 13.33 , 13.11 
4 , 29 , 2010 , 13.37 , 13.13 , 13.15 , 13.30 
4 , 30 , 2010 , 13.37 , 12.99 , 13.37 , 12.99 
5 , 3 , 2010 , 13.63 , 12.99 , 13.01 , 13.59 
5 , 4 , 2010 , 13.33 , 12.91 , 13.33 , 13.02 
5 , 5 , 2010 , 13.29 , 12.88 , 12.97 , 13.11 
5 , 6 , 2010 , 13.13 , 12.20 , 13.00 , 12.81 
5 , 7 , 2010 , 13.00 , 12.33 , 12.64 , 12.73 
5 , 10 , 2010 , 13.55 , 12.94 , 13.04 , 13.52 
5 , 11 , 2010 , 13.62 , 13.27 , 13.35 , 13.35 
5 , 12 , 2010 , 13.97 , 13.36 , 13.41 , 13.93 
5 , 13 , 2010 , 13.90 , 13.68 , 13.89 , 13.72 
5 , 14 , 2010 , 13.67 , 13.09 , 13.63 , 13.26 
5 , 17 , 2010 , 13.48 , 13.04 , 13.22 , 13.46 
5 , 18 , 2010 , 13.56 , 13.20 , 13.30 , 13.29 
5 , 19 , 2010 , 13.41 , 12.91 , 13.17 , 13.10 
5 , 20 , 2010 , 12.90 , 12.54 , 12.77 , 12.55 
5 , 21 , 2010 , 12.76 , 12.20 , 12.27 , 12.65 
5 , 24 , 2010 , 12.72 , 12.46 , 12.58 , 12.54 
5 , 25 , 2010 , 12.50 , 12.04 , 12.22 , 12.46 
5 , 26 , 2010 , 12.68 , 12.34 , 12.40 , 12.36 
5 , 27 , 2010 , 13.02 , 12.65 , 12.73 , 13.01 
5 , 28 , 2010 , 13.17 , 12.84 , 13.00 , 12.95 
6 , 1 , 2010 , 13.16 , 12.76 , 12.88 , 12.85 
6 , 2 , 2010 , 13.30 , 12.79 , 12.87 , 13.29 
6 , 3 , 2010 , 13.46 , 13.23 , 13.27 , 13.43 
6 , 4 , 2010 , 13.42 , 13.00 , 13.13 , 13.08 
6 , 7 , 2010 , 13.13 , 12.76 , 13.13 , 12.77 
6 , 8 , 2010 , 12.96 , 12.60 , 12.77 , 12.93 
6 , 9 , 2010 , 13.36 , 13.01 , 13.06 , 13.16 
6 , 10 , 2010 , 13.51 , 13.20 , 13.38 , 13.49 
6 , 11 , 2010 , 13.61 , 13.37 , 13.39 , 13.58 
6 , 14 , 2010 , 13.93 , 13.64 , 13.72 , 13.73 
6 , 15 , 2010 , 13.97 , 13.71 , 13.83 , 13.97 
6 , 16 , 2010 , 14.09 , 13.81 , 13.92 , 14.00 
6 , 17 , 2010 , 14.06 , 13.80 , 14.01 , 13.99 
6 , 18 , 2010 , 14.18 , 13.87 , 13.99 , 14.05 
6 , 21 , 2010 , 14.25 , 13.93 , 14.12 , 14.01 
6 , 22 , 2010 , 14.24 , 13.58 , 14.04 , 13.62 
6 , 23 , 2010 , 13.76 , 13.48 , 13.60 , 13.66 
6 , 24 , 2010 , 13.64 , 13.30 , 13.55 , 13.34 
6 , 25 , 2010 , 13.53 , 13.32 , 13.42 , 13.41 
6 , 28 , 2010 , 13.54 , 13.18 , 13.54 , 13.20 
6 , 29 , 2010 , 13.05 , 12.44 , 13.00 , 12.51 
6 , 30 , 2010 , 12.66 , 12.14 , 12.54 , 12.15 
