Month , Day , Year , High , Low , Open , Close
3 , 17 , 2010 , 18.60 , 18.27 , 18.27 , 18.49 
3 , 18 , 2010 , 18.82 , 18.39 , 18.39 , 18.79 
3 , 19 , 2010 , 18.96 , 18.58 , 18.83 , 18.58 
3 , 22 , 2010 , 18.66 , 18.40 , 18.51 , 18.54 
3 , 23 , 2010 , 18.69 , 18.43 , 18.58 , 18.52 
3 , 24 , 2010 , 18.56 , 18.20 , 18.49 , 18.45 
3 , 25 , 2010 , 18.88 , 18.38 , 18.48 , 18.72 
3 , 26 , 2010 , 18.91 , 18.59 , 18.77 , 18.76 
3 , 29 , 2010 , 18.94 , 18.68 , 18.76 , 18.73 
3 , 30 , 2010 , 18.81 , 18.55 , 18.70 , 18.75 
3 , 31 , 2010 , 18.78 , 18.52 , 18.69 , 18.69 
4 , 1 , 2010 , 18.97 , 18.39 , 18.76 , 18.62 
4 , 5 , 2010 , 18.89 , 18.51 , 18.63 , 18.88 
4 , 6 , 2010 , 19.34 , 18.75 , 18.90 , 19.24 
4 , 7 , 2010 , 19.53 , 19.26 , 19.27 , 19.27 
4 , 8 , 2010 , 19.29 , 19.06 , 19.16 , 19.12 
4 , 9 , 2010 , 19.28 , 19.06 , 19.13 , 19.23 
4 , 12 , 2010 , 19.63 , 19.20 , 19.24 , 19.55 
4 , 13 , 2010 , 19.68 , 19.34 , 19.51 , 19.61 
4 , 14 , 2010 , 19.74 , 19.17 , 19.70 , 19.35 
4 , 15 , 2010 , 19.39 , 18.99 , 19.00 , 19.30 
4 , 16 , 2010 , 19.27 , 18.67 , 19.21 , 18.96 
4 , 19 , 2010 , 19.12 , 18.71 , 18.77 , 19.06 
4 , 20 , 2010 , 19.43 , 19.17 , 19.28 , 19.29 
4 , 21 , 2010 , 19.55 , 19.30 , 19.33 , 19.49 
4 , 22 , 2010 , 19.62 , 19.13 , 19.35 , 19.60 
4 , 23 , 2010 , 19.91 , 19.38 , 19.59 , 19.88 
4 , 26 , 2010 , 19.95 , 19.51 , 19.82 , 19.54 
4 , 27 , 2010 , 19.43 , 18.84 , 19.40 , 18.88 
4 , 28 , 2010 , 19.25 , 18.87 , 19.09 , 18.98 
4 , 29 , 2010 , 19.52 , 18.95 , 19.07 , 19.27 
4 , 30 , 2010 , 19.45 , 19.05 , 19.30 , 19.29 
5 , 3 , 2010 , 19.72 , 19.31 , 19.38 , 19.56 
5 , 4 , 2010 , 19.39 , 18.80 , 19.28 , 18.91 
5 , 5 , 2010 , 19.04 , 18.62 , 18.82 , 18.81 
5 , 6 , 2010 , 18.96 , 17.06 , 18.75 , 18.22 
5 , 7 , 2010 , 18.15 , 17.19 , 18.15 , 17.22 
5 , 10 , 2010 , 19.10 , 17.86 , 18.00 , 18.13 
5 , 11 , 2010 , 18.09 , 17.63 , 17.85 , 17.64 
5 , 12 , 2010 , 17.93 , 17.61 , 17.69 , 17.68 
5 , 13 , 2010 , 17.81 , 17.49 , 17.66 , 17.50 
5 , 14 , 2010 , 17.44 , 16.66 , 17.40 , 16.87 
5 , 17 , 2010 , 17.45 , 16.81 , 16.95 , 17.38 
5 , 18 , 2010 , 17.59 , 16.64 , 17.49 , 16.96 
5 , 19 , 2010 , 17.19 , 16.71 , 16.99 , 17.10 
5 , 20 , 2010 , 16.95 , 16.19 , 16.79 , 16.22 
5 , 21 , 2010 , 16.70 , 15.89 , 16.04 , 16.67 
5 , 24 , 2010 , 16.65 , 16.20 , 16.65 , 16.22 
5 , 25 , 2010 , 16.40 , 15.70 , 15.93 , 16.39 
5 , 26 , 2010 , 16.56 , 16.13 , 16.44 , 16.20 
5 , 27 , 2010 , 16.79 , 16.37 , 16.48 , 16.76 
5 , 28 , 2010 , 16.75 , 16.26 , 16.75 , 16.34 
6 , 1 , 2010 , 16.39 , 15.96 , 16.22 , 15.96 
6 , 2 , 2010 , 16.46 , 15.91 , 16.08 , 16.45 
6 , 3 , 2010 , 16.99 , 16.39 , 16.56 , 16.70 
6 , 4 , 2010 , 16.60 , 16.26 , 16.39 , 16.31 
6 , 7 , 2010 , 16.49 , 15.84 , 16.41 , 15.87 
6 , 8 , 2010 , 16.14 , 15.59 , 15.94 , 16.01 
6 , 9 , 2010 , 16.18 , 15.65 , 16.06 , 15.74 
6 , 10 , 2010 , 16.14 , 15.81 , 15.90 , 16.12 
6 , 11 , 2010 , 16.33 , 15.89 , 15.95 , 16.32 
6 , 14 , 2010 , 16.44 , 15.81 , 16.40 , 15.85 
6 , 15 , 2010 , 16.03 , 15.78 , 15.91 , 15.95 
6 , 16 , 2010 , 15.95 , 15.72 , 15.85 , 15.78 
6 , 17 , 2010 , 15.91 , 14.96 , 15.84 , 15.40 
6 , 18 , 2010 , 15.58 , 15.36 , 15.40 , 15.45 
6 , 21 , 2010 , 15.67 , 15.24 , 15.67 , 15.29 
6 , 22 , 2010 , 15.36 , 14.87 , 15.28 , 14.89 
