Month , Day , Year , High , Low , Open , Close
3 , 17 , 2010 , 22.06 , 21.65 , 21.71 , 21.92 
3 , 18 , 2010 , 22.03 , 21.76 , 21.89 , 21.76 
3 , 19 , 2010 , 21.86 , 21.68 , 21.78 , 21.77 
3 , 22 , 2010 , 22.05 , 21.61 , 21.69 , 21.92 
3 , 23 , 2010 , 22.17 , 21.81 , 21.92 , 22.15 
3 , 24 , 2010 , 22.15 , 21.85 , 22.11 , 21.95 
3 , 25 , 2010 , 22.36 , 21.96 , 22.07 , 22.13 
3 , 26 , 2010 , 22.39 , 22.17 , 22.21 , 22.28 
3 , 29 , 2010 , 22.46 , 22.28 , 22.38 , 22.34 
3 , 30 , 2010 , 22.47 , 22.31 , 22.37 , 22.32 
3 , 31 , 2010 , 22.68 , 22.21 , 22.27 , 22.56 
4 , 1 , 2010 , 22.94 , 22.60 , 22.60 , 22.75 
4 , 5 , 2010 , 23.04 , 22.69 , 22.73 , 23.00 
4 , 6 , 2010 , 23.31 , 22.80 , 22.92 , 23.29 
4 , 7 , 2010 , 23.41 , 23.08 , 23.26 , 23.28 
4 , 8 , 2010 , 23.75 , 22.97 , 23.05 , 23.61 
4 , 9 , 2010 , 23.77 , 23.40 , 23.64 , 23.74 
4 , 12 , 2010 , 24.26 , 23.67 , 23.79 , 24.10 
4 , 13 , 2010 , 24.13 , 23.93 , 23.99 , 24.11 
4 , 14 , 2010 , 24.27 , 23.92 , 24.17 , 24.26 
4 , 15 , 2010 , 24.55 , 24.13 , 24.21 , 24.50 
4 , 16 , 2010 , 24.51 , 24.21 , 24.45 , 24.32 
4 , 19 , 2010 , 24.39 , 24.05 , 24.12 , 24.39 
4 , 20 , 2010 , 24.71 , 24.41 , 24.47 , 24.66 
4 , 21 , 2010 , 24.89 , 24.58 , 24.58 , 24.77 
4 , 22 , 2010 , 26.52 , 24.37 , 24.37 , 26.44 
4 , 23 , 2010 , 26.55 , 25.95 , 26.01 , 26.51 
4 , 26 , 2010 , 26.78 , 26.37 , 26.57 , 26.65 
4 , 27 , 2010 , 26.74 , 26.14 , 26.35 , 26.47 
4 , 28 , 2010 , 26.58 , 26.30 , 26.52 , 26.44 
4 , 29 , 2010 , 26.62 , 26.29 , 26.60 , 26.38 
4 , 30 , 2010 , 26.55 , 26.01 , 26.43 , 26.02 
5 , 3 , 2010 , 26.74 , 25.93 , 26.06 , 26.67 
5 , 4 , 2010 , 26.45 , 25.95 , 26.45 , 26.15 
5 , 5 , 2010 , 26.13 , 25.55 , 25.93 , 25.68 
5 , 6 , 2010 , 25.91 , 24.56 , 25.59 , 25.44 
5 , 7 , 2010 , 26.01 , 25.16 , 25.42 , 25.32 
5 , 10 , 2010 , 26.51 , 25.78 , 25.78 , 26.48 
5 , 11 , 2010 , 26.83 , 26.14 , 26.17 , 26.49 
5 , 12 , 2010 , 26.84 , 26.59 , 26.60 , 26.81 
5 , 13 , 2010 , 26.74 , 25.99 , 26.68 , 26.07 
5 , 14 , 2010 , 26.15 , 25.69 , 25.96 , 25.91 
5 , 17 , 2010 , 26.41 , 25.80 , 26.06 , 26.37 
5 , 18 , 2010 , 26.56 , 25.92 , 26.53 , 26.03 
5 , 19 , 2010 , 26.07 , 25.46 , 25.75 , 25.98 
5 , 20 , 2010 , 25.61 , 25.01 , 25.52 , 25.13 
5 , 21 , 2010 , 25.43 , 24.67 , 24.94 , 25.24 
5 , 24 , 2010 , 25.68 , 24.68 , 24.68 , 25.29 
