Month , Day , Year , High , Low , Open , Close
3 , 17 , 2010 , 22.76 , 22.44 , 22.60 , 22.66 
3 , 18 , 2010 , 22.86 , 22.58 , 22.58 , 22.77 
3 , 19 , 2010 , 22.89 , 22.52 , 22.85 , 22.54 
3 , 22 , 2010 , 22.83 , 22.52 , 22.52 , 22.80 
3 , 23 , 2010 , 22.85 , 22.59 , 22.84 , 22.78 
3 , 24 , 2010 , 22.93 , 22.56 , 22.73 , 22.81 
3 , 25 , 2010 , 23.00 , 22.53 , 23.00 , 22.55 
3 , 26 , 2010 , 22.67 , 22.36 , 22.61 , 22.50 
3 , 29 , 2010 , 22.64 , 22.37 , 22.50 , 22.44 
3 , 30 , 2010 , 22.53 , 22.35 , 22.38 , 22.47 
3 , 31 , 2010 , 22.53 , 22.34 , 22.48 , 22.37 
4 , 1 , 2010 , 22.63 , 22.39 , 22.41 , 22.55 
4 , 5 , 2010 , 23.01 , 22.59 , 22.64 , 23.01 
4 , 6 , 2010 , 23.01 , 22.61 , 22.99 , 22.91 
4 , 7 , 2010 , 22.81 , 22.57 , 22.81 , 22.73 
4 , 8 , 2010 , 22.71 , 22.50 , 22.65 , 22.70 
4 , 9 , 2010 , 23.05 , 22.65 , 22.76 , 23.04 
4 , 12 , 2010 , 23.07 , 22.88 , 23.00 , 23.06 
4 , 13 , 2010 , 23.28 , 23.01 , 23.07 , 23.28 
4 , 14 , 2010 , 23.45 , 23.19 , 23.35 , 23.38 
4 , 15 , 2010 , 23.31 , 23.15 , 23.28 , 23.16 
4 , 16 , 2010 , 23.26 , 22.88 , 23.26 , 23.08 
4 , 19 , 2010 , 23.11 , 22.71 , 23.00 , 23.03 
4 , 20 , 2010 , 23.29 , 22.96 , 23.08 , 23.22 
4 , 21 , 2010 , 23.29 , 23.07 , 23.07 , 23.24 
4 , 22 , 2010 , 23.19 , 22.65 , 23.05 , 23.15 
4 , 23 , 2010 , 23.18 , 22.86 , 23.15 , 23.14 
4 , 26 , 2010 , 23.24 , 23.01 , 23.01 , 23.18 
4 , 27 , 2010 , 23.21 , 22.76 , 23.08 , 22.80 
4 , 28 , 2010 , 23.07 , 22.70 , 22.86 , 22.99 
4 , 29 , 2010 , 23.23 , 22.81 , 22.81 , 23.13 
4 , 30 , 2010 , 23.14 , 22.66 , 23.11 , 22.66 
5 , 3 , 2010 , 22.99 , 22.67 , 22.73 , 22.90 
5 , 4 , 2010 , 22.70 , 22.27 , 22.70 , 22.36 
5 , 5 , 2010 , 22.51 , 22.08 , 22.29 , 22.09 
5 , 6 , 2010 , 22.14 , 20.69 , 21.93 , 21.75 
5 , 7 , 2010 , 21.75 , 20.97 , 21.64 , 21.33 
5 , 10 , 2010 , 22.09 , 21.63 , 21.96 , 21.99 
5 , 11 , 2010 , 22.15 , 21.65 , 21.76 , 21.96 
5 , 12 , 2010 , 22.49 , 21.87 , 21.95 , 22.45 
5 , 13 , 2010 , 22.59 , 22.32 , 22.36 , 22.36 
5 , 14 , 2010 , 22.31 , 21.75 , 22.29 , 21.92 
5 , 17 , 2010 , 22.30 , 21.75 , 22.05 , 22.27 
5 , 18 , 2010 , 22.49 , 21.86 , 22.44 , 21.96 
5 , 19 , 2010 , 22.07 , 21.61 , 21.92 , 21.80 
5 , 20 , 2010 , 21.59 , 21.02 , 21.43 , 21.05 
5 , 21 , 2010 , 21.39 , 20.73 , 20.91 , 21.25 
5 , 24 , 2010 , 21.36 , 20.96 , 21.28 , 21.01 
5 , 25 , 2010 , 21.35 , 20.47 , 20.73 , 21.31 
5 , 26 , 2010 , 21.99 , 21.06 , 21.34 , 21.52 
5 , 27 , 2010 , 21.96 , 21.45 , 21.77 , 21.64 
5 , 28 , 2010 , 21.62 , 21.27 , 21.56 , 21.42 
6 , 1 , 2010 , 21.61 , 21.22 , 21.25 , 21.23 
6 , 2 , 2010 , 21.73 , 21.21 , 21.39 , 21.70 
6 , 3 , 2010 , 22.22 , 21.62 , 21.63 , 22.16 
6 , 4 , 2010 , 22.03 , 21.56 , 21.73 , 21.59 
6 , 7 , 2010 , 21.78 , 20.92 , 21.61 , 20.94 
6 , 8 , 2010 , 21.12 , 20.74 , 21.01 , 20.98 
6 , 9 , 2010 , 21.37 , 20.94 , 21.06 , 21.06 
6 , 10 , 2010 , 21.46 , 20.58 , 21.34 , 21.26 
6 , 11 , 2010 , 21.75 , 21.14 , 21.14 , 21.75 
6 , 14 , 2010 , 22.25 , 21.79 , 21.95 , 21.89 
6 , 15 , 2010 , 22.37 , 21.89 , 21.89 , 22.34 
6 , 16 , 2010 , 22.38 , 22.10 , 22.13 , 22.34 
6 , 17 , 2010 , 22.44 , 22.15 , 22.28 , 22.39 
6 , 18 , 2010 , 22.50 , 22.30 , 22.39 , 22.41 
6 , 21 , 2010 , 22.54 , 22.16 , 22.51 , 22.23 
6 , 22 , 2010 , 22.55 , 22.05 , 22.19 , 22.07 
6 , 23 , 2010 , 22.25 , 21.89 , 22.13 , 22.03 
6 , 24 , 2010 , 22.00 , 21.65 , 21.89 , 21.69 
6 , 25 , 2010 , 22.07 , 21.58 , 21.70 , 21.82 
6 , 28 , 2010 , 22.13 , 21.72 , 21.89 , 21.96 
6 , 29 , 2010 , 21.80 , 21.19 , 21.68 , 21.29 
6 , 30 , 2010 , 21.43 , 20.85 , 21.32 , 20.87 
7 , 1 , 2010 , 20.86 , 20.36 , 20.85 , 20.64 
7 , 2 , 2010 , 20.79 , 20.37 , 20.75 , 20.51 
7 , 6 , 2010 , 20.87 , 20.27 , 20.66 , 20.46 
7 , 7 , 2010 , 21.60 , 20.97 , 21.58 , 21.48 
7 , 8 , 2010 , 21.71 , 21.25 , 21.63 , 21.41 
7 , 9 , 2010 , 21.48 , 21.22 , 21.33 , 21.45 
7 , 12 , 2010 , 21.61 , 21.25 , 21.48 , 21.56 
7 , 13 , 2010 , 22.00 , 21.63 , 21.68 , 21.98 
7 , 14 , 2010 , 21.98 , 21.73 , 21.79 , 21.83 
7 , 15 , 2010 , 21.89 , 21.60 , 21.79 , 21.76 
7 , 16 , 2010 , 21.73 , 21.13 , 21.64 , 21.15 
7 , 19 , 2010 , 21.40 , 21.15 , 21.15 , 21.35 
7 , 20 , 2010 , 21.57 , 20.80 , 21.07 , 21.54 
7 , 21 , 2010 , 21.70 , 21.15 , 21.70 , 21.17 
7 , 22 , 2010 , 21.90 , 21.33 , 21.36 , 21.87 
7 , 23 , 2010 , 22.00 , 21.70 , 21.75 , 21.96 
7 , 26 , 2010 , 22.20 , 21.85 , 21.92 , 22.19 
7 , 27 , 2010 , 22.35 , 22.09 , 22.19 , 22.14 
7 , 28 , 2010 , 22.22 , 21.65 , 22.04 , 21.74 
7 , 29 , 2010 , 22.01 , 21.59 , 21.84 , 21.82 
7 , 30 , 2010 , 21.94 , 21.45 , 21.60 , 21.84 
8 , 2 , 2010 , 22.43 , 21.97 , 22.06 , 22.39 
8 , 3 , 2010 , 22.38 , 22.22 , 22.26 , 22.31 
8 , 4 , 2010 , 22.73 , 22.27 , 22.32 , 22.69 
8 , 5 , 2010 , 22.88 , 22.52 , 22.62 , 22.77 
8 , 6 , 2010 , 22.84 , 22.35 , 22.54 , 22.84 
8 , 9 , 2010 , 23.01 , 22.78 , 22.89 , 23.01 
8 , 10 , 2010 , 22.98 , 22.57 , 22.80 , 22.74 
8 , 11 , 2010 , 22.40 , 21.90 , 22.40 , 22.00 
8 , 12 , 2010 , 21.75 , 21.42 , 21.68 , 21.60 
8 , 13 , 2010 , 21.88 , 21.53 , 21.56 , 21.63 
8 , 16 , 2010 , 21.89 , 21.35 , 21.54 , 21.77 
8 , 17 , 2010 , 22.40 , 21.83 , 21.89 , 22.09 
8 , 18 , 2010 , 22.50 , 21.81 , 22.11 , 22.28 
8 , 19 , 2010 , 23.15 , 22.25 , 22.27 , 23.06 
8 , 20 , 2010 , 23.11 , 22.74 , 22.91 , 23.11 
8 , 23 , 2010 , 23.21 , 22.95 , 23.07 , 23.12 
8 , 24 , 2010 , 23.01 , 22.64 , 22.90 , 22.90 
8 , 25 , 2010 , 22.97 , 22.66 , 22.71 , 22.90 
8 , 26 , 2010 , 22.96 , 22.76 , 22.94 , 22.80 
8 , 27 , 2010 , 23.11 , 22.63 , 22.95 , 23.07 
8 , 30 , 2010 , 23.15 , 22.86 , 22.93 , 22.93 
8 , 31 , 2010 , 22.96 , 22.64 , 22.80 , 22.86 
9 , 1 , 2010 , 23.25 , 22.98 , 23.00 , 23.08 
9 , 2 , 2010 , 23.36 , 22.95 , 23.04 , 23.36 
9 , 3 , 2010 , 23.70 , 23.33 , 23.50 , 23.69 
9 , 7 , 2010 , 23.70 , 23.45 , 23.53 , 23.49 
9 , 8 , 2010 , 23.79 , 23.42 , 23.42 , 23.74 
9 , 9 , 2010 , 23.87 , 23.63 , 23.86 , 23.76 
9 , 10 , 2010 , 23.85 , 23.53 , 23.69 , 23.58 
9 , 13 , 2010 , 24.28 , 23.70 , 23.70 , 24.17 
9 , 14 , 2010 , 24.31 , 24.01 , 24.09 , 24.17 
9 , 15 , 2010 , 24.35 , 24.02 , 24.07 , 24.28 
9 , 16 , 2010 , 24.35 , 24.08 , 24.11 , 24.32 
9 , 17 , 2010 , 24.51 , 24.24 , 24.33 , 24.39 
9 , 20 , 2010 , 24.78 , 24.27 , 24.39 , 24.78 
9 , 21 , 2010 , 24.74 , 24.41 , 24.41 , 24.59 
9 , 22 , 2010 , 24.57 , 24.36 , 24.47 , 24.52 
9 , 23 , 2010 , 24.68 , 24.28 , 24.31 , 24.32 
9 , 24 , 2010 , 24.83 , 24.49 , 24.55 , 24.81 
9 , 27 , 2010 , 24.81 , 24.58 , 24.71 , 24.65 
9 , 28 , 2010 , 24.95 , 24.61 , 24.79 , 24.86 
9 , 29 , 2010 , 24.95 , 24.60 , 24.71 , 24.64 
9 , 30 , 2010 , 24.90 , 24.53 , 24.72 , 24.77 
10 , 1 , 2010 , 24.96 , 24.78 , 24.88 , 24.90 
10 , 4 , 2010 , 24.90 , 24.39 , 24.76 , 24.56 
10 , 5 , 2010 , 25.12 , 24.70 , 24.70 , 25.03 
10 , 6 , 2010 , 25.08 , 24.51 , 24.91 , 24.73 
10 , 7 , 2010 , 25.00 , 24.72 , 24.88 , 24.93 
10 , 8 , 2010 , 25.00 , 24.75 , 24.98 , 24.95 
10 , 11 , 2010 , 25.05 , 24.83 , 24.92 , 24.97 
10 , 12 , 2010 , 25.20 , 24.69 , 24.86 , 25.11 
10 , 13 , 2010 , 25.50 , 25.15 , 25.19 , 25.38 
10 , 14 , 2010 , 25.50 , 25.20 , 25.36 , 25.22 
10 , 15 , 2010 , 25.47 , 25.14 , 25.32 , 25.34 
10 , 18 , 2010 , 25.33 , 25.17 , 25.29 , 25.32 
10 , 19 , 2010 , 25.10 , 24.62 , 25.03 , 24.78 
10 , 20 , 2010 , 25.02 , 24.72 , 24.91 , 24.97 
10 , 21 , 2010 , 25.30 , 24.78 , 25.06 , 25.05 
10 , 22 , 2010 , 25.50 , 24.98 , 25.05 , 25.48 
10 , 25 , 2010 , 25.63 , 25.39 , 25.50 , 25.51 
10 , 26 , 2010 , 25.58 , 25.20 , 25.35 , 25.50 
10 , 27 , 2010 , 25.50 , 25.15 , 25.28 , 25.37 
10 , 28 , 2010 , 25.57 , 25.31 , 25.45 , 25.32 
10 , 29 , 2010 , 25.71 , 25.22 , 25.22 , 25.58 
11 , 1 , 2010 , 25.75 , 25.31 , 25.56 , 25.45 
11 , 2 , 2010 , 25.77 , 25.56 , 25.58 , 25.59 
11 , 3 , 2010 , 25.67 , 25.31 , 25.63 , 25.57 
11 , 4 , 2010 , 25.83 , 25.54 , 25.75 , 25.71 
11 , 5 , 2010 , 25.85 , 25.63 , 25.74 , 25.84 
11 , 8 , 2010 , 25.85 , 25.62 , 25.67 , 25.75 
11 , 9 , 2010 , 25.89 , 25.48 , 25.75 , 25.56 
11 , 10 , 2010 , 25.66 , 25.34 , 25.47 , 25.59 
11 , 11 , 2010 , 25.44 , 25.11 , 25.36 , 25.33 
11 , 12 , 2010 , 25.38 , 24.87 , 25.19 , 25.13 
11 , 15 , 2010 , 25.20 , 24.87 , 25.18 , 25.02 
11 , 16 , 2010 , 24.89 , 24.46 , 24.85 , 24.74 
11 , 17 , 2010 , 24.87 , 24.53 , 24.72 , 24.70 
11 , 18 , 2010 , 25.34 , 24.87 , 24.87 , 25.22 
11 , 19 , 2010 , 25.30 , 25.02 , 25.23 , 25.04 
11 , 22 , 2010 , 25.46 , 24.79 , 24.89 , 25.37 
11 , 23 , 2010 , 25.20 , 24.79 , 25.11 , 25.08 
11 , 24 , 2010 , 25.99 , 25.55 , 25.55 , 25.71 
11 , 26 , 2010 , 25.94 , 25.51 , 25.67 , 25.69 
11 , 29 , 2010 , 25.83 , 25.31 , 25.56 , 25.80 
11 , 30 , 2010 , 25.71 , 25.34 , 25.59 , 25.69 
12 , 1 , 2010 , 26.63 , 25.83 , 25.90 , 26.51 
12 , 2 , 2010 , 26.23 , 24.62 , 25.98 , 25.85 
12 , 3 , 2010 , 26.40 , 25.60 , 25.60 , 26.25 
12 , 6 , 2010 , 26.40 , 26.00 , 26.07 , 26.36 
12 , 7 , 2010 , 26.69 , 26.44 , 26.49 , 26.45 
12 , 8 , 2010 , 26.69 , 26.44 , 26.44 , 26.58 
12 , 9 , 2010 , 26.68 , 26.49 , 26.49 , 26.56 
12 , 10 , 2010 , 26.76 , 26.50 , 26.53 , 26.75 
12 , 13 , 2010 , 26.80 , 26.60 , 26.74 , 26.72 
12 , 14 , 2010 , 26.98 , 26.56 , 26.62 , 26.86 
12 , 15 , 2010 , 26.99 , 26.74 , 26.76 , 26.79 
12 , 16 , 2010 , 27.04 , 26.64 , 26.76 , 26.98 
12 , 17 , 2010 , 27.25 , 26.91 , 26.91 , 27.14 
12 , 20 , 2010 , 27.21 , 26.93 , 27.20 , 27.10 
12 , 21 , 2010 , 27.34 , 27.07 , 27.07 , 27.24 
12 , 22 , 2010 , 27.34 , 27.10 , 27.28 , 27.25 
12 , 23 , 2010 , 27.43 , 27.20 , 27.25 , 27.24 
12 , 27 , 2010 , 27.31 , 26.95 , 27.18 , 27.21 
12 , 28 , 2010 , 27.25 , 26.97 , 27.19 , 27.10 
12 , 29 , 2010 , 27.25 , 27.03 , 27.14 , 27.07 
12 , 30 , 2010 , 27.31 , 26.99 , 27.01 , 27.06 
12 , 31 , 2010 , 27.16 , 26.91 , 27.07 , 26.91 
1 , 3 , 2011 , 27.27 , 26.98 , 27.05 , 26.99 
1 , 4 , 2011 , 27.05 , 26.64 , 27.00 , 26.84 
1 , 5 , 2011 , 26.80 , 26.59 , 26.71 , 26.78 
1 , 6 , 2011 , 26.95 , 26.66 , 26.75 , 26.68 
1 , 7 , 2011 , 26.86 , 26.23 , 26.64 , 26.74 
1 , 10 , 2011 , 26.84 , 26.52 , 26.64 , 26.79 
1 , 11 , 2011 , 26.95 , 26.55 , 26.83 , 26.55 
1 , 12 , 2011 , 26.95 , 26.49 , 26.74 , 26.65 
1 , 13 , 2011 , 26.60 , 26.35 , 26.55 , 26.44 
1 , 14 , 2011 , 26.84 , 26.26 , 26.44 , 26.81 
1 , 18 , 2011 , 27.11 , 26.66 , 26.77 , 27.04 
1 , 19 , 2011 , 27.00 , 26.67 , 26.95 , 26.72 
1 , 20 , 2011 , 26.70 , 26.22 , 26.54 , 26.35 
1 , 21 , 2011 , 26.56 , 26.18 , 26.50 , 26.23 
1 , 24 , 2011 , 26.78 , 26.20 , 26.20 , 26.75 
1 , 25 , 2011 , 26.77 , 26.40 , 26.62 , 26.75 
1 , 26 , 2011 , 27.20 , 26.59 , 26.75 , 26.88 
1 , 27 , 2011 , 27.56 , 26.81 , 26.95 , 27.48 
1 , 28 , 2011 , 27.60 , 26.78 , 27.43 , 26.84 
1 , 31 , 2011 , 27.30 , 26.45 , 26.84 , 27.13 
2 , 1 , 2011 , 27.98 , 27.32 , 27.36 , 27.78 
2 , 2 , 2011 , 28.19 , 27.54 , 27.60 , 27.99 
2 , 3 , 2011 , 28.15 , 27.64 , 28.05 , 28.00 
2 , 4 , 2011 , 28.33 , 27.91 , 28.00 , 28.33 
2 , 7 , 2011 , 28.49 , 28.18 , 28.33 , 28.30 
2 , 8 , 2011 , 28.43 , 28.16 , 28.23 , 28.32 
2 , 9 , 2011 , 28.75 , 28.18 , 28.30 , 28.67 
2 , 10 , 2011 , 29.04 , 28.36 , 28.41 , 28.79 
2 , 11 , 2011 , 28.90 , 28.61 , 28.76 , 28.78 
2 , 14 , 2011 , 29.17 , 28.70 , 28.70 , 29.03 
2 , 15 , 2011 , 29.17 , 28.84 , 28.84 , 29.16 
2 , 16 , 2011 , 29.35 , 29.01 , 29.01 , 29.02 
2 , 17 , 2011 , 29.00 , 28.37 , 28.92 , 28.54 
2 , 18 , 2011 , 28.72 , 28.47 , 28.60 , 28.63 
2 , 22 , 2011 , 28.54 , 27.94 , 28.19 , 28.00 
2 , 23 , 2011 , 28.06 , 27.20 , 28.06 , 27.34 
2 , 24 , 2011 , 27.75 , 27.15 , 27.31 , 27.34 
2 , 25 , 2011 , 27.80 , 27.49 , 27.49 , 27.73 
2 , 28 , 2011 , 28.01 , 27.71 , 27.87 , 27.72 
3 , 1 , 2011 , 27.87 , 27.29 , 27.70 , 27.32 
3 , 2 , 2011 , 27.85 , 27.20 , 27.20 , 27.61 
3 , 3 , 2011 , 28.02 , 27.76 , 27.77 , 27.83 
3 , 4 , 2011 , 27.92 , 27.49 , 27.76 , 27.69 
3 , 7 , 2011 , 27.89 , 27.13 , 27.70 , 27.27 
3 , 8 , 2011 , 27.95 , 27.16 , 27.34 , 27.75 
3 , 9 , 2011 , 27.93 , 27.52 , 27.81 , 27.71 
3 , 10 , 2011 , 27.58 , 26.84 , 27.33 , 27.00 
3 , 11 , 2011 , 27.16 , 26.77 , 26.87 , 27.03 
3 , 14 , 2011 , 27.15 , 26.73 , 26.79 , 26.94 
3 , 15 , 2011 , 26.81 , 25.85 , 26.33 , 26.60 
3 , 16 , 2011 , 26.91 , 26.34 , 26.38 , 26.43 
3 , 17 , 2011 , 26.86 , 26.48 , 26.75 , 26.53 
3 , 18 , 2011 , 26.83 , 26.40 , 26.73 , 26.63 
3 , 21 , 2011 , 27.29 , 26.78 , 26.82 , 27.20 
3 , 22 , 2011 , 27.27 , 27.01 , 27.15 , 27.10 
3 , 23 , 2011 , 27.27 , 26.78 , 27.03 , 27.14 
3 , 24 , 2011 , 27.55 , 27.12 , 27.18 , 27.50 
3 , 25 , 2011 , 27.85 , 27.49 , 27.50 , 27.63 
3 , 28 , 2011 , 27.75 , 27.33 , 27.62 , 27.35 
3 , 29 , 2011 , 27.50 , 27.18 , 27.29 , 27.43 
3 , 30 , 2011 , 27.69 , 27.42 , 27.50 , 27.64 
3 , 31 , 2011 , 27.75 , 27.40 , 27.51 , 27.65 
4 , 1 , 2011 , 27.90 , 27.63 , 27.72 , 27.78 
4 , 4 , 2011 , 27.76 , 27.52 , 27.70 , 27.66 
4 , 5 , 2011 , 27.72 , 27.55 , 27.59 , 27.60 
4 , 6 , 2011 , 27.83 , 27.38 , 27.59 , 27.60 
4 , 7 , 2011 , 27.78 , 27.36 , 27.57 , 27.50 
4 , 8 , 2011 , 27.65 , 27.11 , 27.55 , 27.25 
4 , 11 , 2011 , 27.46 , 27.20 , 27.23 , 27.32 
4 , 12 , 2011 , 27.33 , 26.88 , 27.17 , 26.92 
4 , 13 , 2011 , 27.22 , 26.89 , 27.07 , 26.98 
4 , 14 , 2011 , 26.94 , 26.61 , 26.81 , 26.80 
4 , 15 , 2011 , 26.96 , 26.65 , 26.78 , 26.84 
4 , 18 , 2011 , 26.56 , 26.12 , 26.52 , 26.49 
4 , 19 , 2011 , 26.59 , 26.21 , 26.52 , 26.35 
4 , 20 , 2011 , 26.87 , 26.62 , 26.62 , 26.74 
4 , 21 , 2011 , 26.90 , 26.63 , 26.84 , 26.71 
4 , 25 , 2011 , 26.78 , 26.52 , 26.63 , 26.59 
4 , 26 , 2011 , 26.99 , 26.56 , 26.68 , 26.93 
4 , 27 , 2011 , 27.28 , 26.86 , 26.94 , 27.28 
4 , 28 , 2011 , 27.47 , 27.12 , 27.28 , 27.42 
4 , 29 , 2011 , 27.50 , 27.34 , 27.38 , 27.39 
5 , 2 , 2011 , 27.50 , 27.21 , 27.44 , 27.35 
5 , 3 , 2011 , 27.44 , 26.93 , 27.34 , 27.13 
5 , 4 , 2011 , 27.18 , 26.77 , 27.18 , 26.81 
5 , 5 , 2011 , 27.06 , 26.66 , 26.71 , 26.81 
5 , 6 , 2011 , 27.29 , 26.75 , 27.12 , 26.84 
5 , 9 , 2011 , 27.45 , 26.71 , 26.92 , 27.39 
5 , 10 , 2011 , 27.66 , 27.28 , 27.40 , 27.61 
5 , 11 , 2011 , 27.69 , 27.22 , 27.53 , 27.33 
5 , 12 , 2011 , 27.89 , 27.24 , 27.28 , 27.83 
5 , 13 , 2011 , 27.90 , 27.52 , 27.87 , 27.61 
5 , 16 , 2011 , 27.60 , 27.18 , 27.39 , 27.19 
5 , 17 , 2011 , 27.27 , 26.91 , 27.14 , 27.22 
5 , 18 , 2011 , 27.80 , 27.03 , 27.11 , 27.73 
5 , 19 , 2011 , 27.63 , 26.45 , 27.22 , 26.81 
5 , 20 , 2011 , 27.11 , 26.49 , 26.85 , 27.01 
5 , 23 , 2011 , 26.80 , 26.65 , 26.66 , 26.72 
5 , 24 , 2011 , 26.88 , 26.47 , 26.81 , 26.49 
5 , 25 , 2011 , 26.87 , 26.38 , 26.38 , 26.76 
5 , 26 , 2011 , 26.99 , 26.51 , 26.62 , 26.92 
5 , 27 , 2011 , 27.02 , 26.87 , 26.87 , 26.97 
5 , 31 , 2011 , 27.35 , 26.97 , 27.03 , 27.34 
6 , 1 , 2011 , 27.48 , 27.08 , 27.30 , 27.08 
6 , 2 , 2011 , 27.24 , 26.97 , 27.12 , 27.19 
6 , 3 , 2011 , 27.07 , 26.32 , 26.32 , 26.46 
6 , 6 , 2011 , 26.60 , 26.34 , 26.34 , 26.37 
6 , 7 , 2011 , 26.58 , 26.24 , 26.55 , 26.25 
6 , 8 , 2011 , 26.32 , 25.75 , 26.22 , 25.83 
6 , 9 , 2011 , 26.08 , 25.73 , 25.92 , 25.76 
6 , 10 , 2011 , 25.80 , 25.27 , 25.64 , 25.28 
6 , 13 , 2011 , 25.36 , 25.13 , 25.36 , 25.16 
6 , 14 , 2011 , 25.48 , 25.26 , 25.33 , 25.32 
6 , 15 , 2011 , 25.34 , 25.02 , 25.09 , 25.07 
6 , 16 , 2011 , 25.10 , 24.72 , 24.93 , 24.91 
6 , 17 , 2011 , 25.10 , 24.92 , 25.07 , 24.93 
6 , 20 , 2011 , 25.19 , 24.82 , 24.82 , 25.09 
6 , 21 , 2011 , 25.60 , 25.15 , 25.15 , 25.49 
6 , 22 , 2011 , 25.82 , 25.37 , 25.37 , 25.54 
6 , 23 , 2011 , 25.67 , 25.13 , 25.26 , 25.58 
6 , 24 , 2011 , 25.63 , 25.30 , 25.58 , 25.35 
6 , 27 , 2011 , 25.60 , 25.26 , 25.26 , 25.42 
