Month , Day , Year , High , Low , Open , Close
3 , 17 , 2010 , 33.45 , 33.11 , 33.24 , 33.45 
3 , 18 , 2010 , 33.46 , 33.25 , 33.40 , 33.38 
3 , 19 , 2010 , 33.50 , 33.13 , 33.39 , 33.18 
3 , 22 , 2010 , 33.29 , 33.04 , 33.18 , 33.11 
3 , 23 , 2010 , 33.35 , 33.01 , 33.15 , 33.35 
3 , 24 , 2010 , 33.33 , 33.01 , 33.33 , 33.03 
3 , 25 , 2010 , 33.23 , 32.85 , 33.18 , 33.01 
3 , 26 , 2010 , 33.30 , 32.94 , 33.02 , 33.10 
3 , 29 , 2010 , 33.35 , 33.11 , 33.11 , 33.34 
3 , 30 , 2010 , 33.45 , 33.05 , 33.39 , 33.21 
3 , 31 , 2010 , 33.25 , 33.00 , 33.15 , 33.16 
4 , 1 , 2010 , 33.45 , 33.20 , 33.29 , 33.42 
4 , 5 , 2010 , 33.52 , 33.31 , 33.51 , 33.49 
4 , 6 , 2010 , 33.88 , 33.30 , 33.38 , 33.88 
4 , 7 , 2010 , 33.82 , 33.50 , 33.79 , 33.56 
4 , 8 , 2010 , 33.58 , 33.35 , 33.48 , 33.51 
4 , 9 , 2010 , 33.93 , 33.32 , 33.61 , 33.93 
4 , 12 , 2010 , 33.99 , 33.85 , 33.91 , 33.95 
4 , 13 , 2010 , 33.97 , 33.72 , 33.89 , 33.91 
4 , 14 , 2010 , 34.00 , 33.70 , 33.80 , 33.99 
4 , 15 , 2010 , 33.96 , 33.70 , 33.89 , 33.95 
4 , 16 , 2010 , 33.99 , 33.76 , 33.93 , 33.87 
4 , 19 , 2010 , 34.20 , 33.81 , 33.91 , 34.09 
4 , 20 , 2010 , 34.44 , 34.21 , 34.24 , 34.40 
4 , 21 , 2010 , 34.55 , 34.32 , 34.42 , 34.45 
4 , 22 , 2010 , 34.59 , 34.15 , 34.26 , 34.55 
4 , 23 , 2010 , 34.73 , 34.31 , 34.60 , 34.73 
4 , 26 , 2010 , 35.17 , 34.70 , 34.78 , 34.87 
4 , 27 , 2010 , 35.20 , 34.44 , 34.99 , 34.50 
4 , 28 , 2010 , 35.45 , 34.71 , 34.97 , 35.26 
4 , 29 , 2010 , 34.84 , 34.50 , 34.84 , 34.64 
4 , 30 , 2010 , 35.03 , 34.55 , 34.67 , 34.56 
5 , 3 , 2010 , 34.84 , 34.51 , 34.75 , 34.61 
5 , 4 , 2010 , 34.62 , 34.22 , 34.46 , 34.32 
5 , 5 , 2010 , 34.85 , 34.02 , 34.25 , 34.02 
5 , 6 , 2010 , 34.15 , 32.04 , 34.01 , 33.48 
5 , 7 , 2010 , 34.27 , 33.32 , 33.57 , 33.92 
5 , 10 , 2010 , 34.98 , 34.50 , 34.68 , 34.87 
5 , 11 , 2010 , 35.10 , 34.57 , 34.69 , 34.88 
5 , 12 , 2010 , 35.10 , 34.71 , 34.82 , 35.06 
5 , 13 , 2010 , 35.03 , 34.58 , 34.97 , 34.63 
5 , 14 , 2010 , 34.77 , 34.31 , 34.52 , 34.47 
5 , 17 , 2010 , 34.74 , 34.17 , 34.62 , 34.63 
5 , 18 , 2010 , 34.80 , 34.14 , 34.74 , 34.27 
5 , 19 , 2010 , 34.31 , 33.78 , 34.19 , 33.93 
5 , 20 , 2010 , 33.97 , 33.37 , 33.51 , 33.41 
5 , 21 , 2010 , 33.62 , 33.01 , 33.08 , 33.62 
5 , 24 , 2010 , 33.60 , 33.06 , 33.44 , 33.11 
5 , 25 , 2010 , 33.07 , 32.45 , 32.86 , 32.99 
5 , 26 , 2010 , 33.20 , 32.54 , 33.20 , 32.67 
5 , 27 , 2010 , 33.09 , 32.72 , 33.00 , 32.92 
5 , 28 , 2010 , 33.07 , 32.62 , 33.00 , 32.70 
6 , 1 , 2010 , 32.76 , 32.26 , 32.57 , 32.27 
6 , 2 , 2010 , 32.71 , 32.23 , 32.47 , 32.69 
6 , 3 , 2010 , 33.00 , 32.63 , 32.63 , 32.83 
6 , 4 , 2010 , 32.61 , 32.04 , 32.61 , 32.13 
6 , 7 , 2010 , 32.79 , 32.25 , 32.68 , 32.28 
6 , 8 , 2010 , 32.85 , 32.13 , 32.37 , 32.84 
6 , 9 , 2010 , 32.89 , 32.47 , 32.89 , 32.57 
6 , 10 , 2010 , 33.04 , 32.69 , 32.87 , 33.02 
6 , 11 , 2010 , 33.03 , 32.59 , 32.76 , 33.03 
6 , 14 , 2010 , 33.35 , 33.05 , 33.25 , 33.17 
6 , 15 , 2010 , 33.72 , 33.27 , 33.40 , 33.71 
6 , 16 , 2010 , 33.86 , 33.48 , 33.57 , 33.86 
6 , 17 , 2010 , 34.09 , 33.67 , 33.91 , 34.02 
6 , 18 , 2010 , 34.19 , 33.95 , 34.08 , 34.11 
6 , 21 , 2010 , 34.36 , 33.81 , 34.25 , 33.92 
6 , 22 , 2010 , 34.06 , 33.51 , 33.90 , 33.54 
6 , 23 , 2010 , 33.63 , 33.19 , 33.57 , 33.34 
6 , 24 , 2010 , 33.69 , 33.25 , 33.29 , 33.30 
6 , 25 , 2010 , 33.42 , 33.10 , 33.38 , 33.28 
6 , 28 , 2010 , 33.96 , 33.29 , 33.42 , 33.81 
6 , 29 , 2010 , 33.75 , 33.27 , 33.56 , 33.64 
6 , 30 , 2010 , 33.72 , 33.18 , 33.67 , 33.28 
7 , 1 , 2010 , 33.43 , 33.00 , 33.33 , 33.37 
7 , 2 , 2010 , 33.65 , 33.30 , 33.49 , 33.38 
7 , 6 , 2010 , 33.60 , 33.25 , 33.58 , 33.50 
7 , 7 , 2010 , 34.57 , 33.43 , 33.53 , 34.53 
7 , 8 , 2010 , 34.56 , 34.24 , 34.49 , 34.52 
7 , 9 , 2010 , 34.75 , 34.38 , 34.55 , 34.71 
7 , 12 , 2010 , 34.80 , 34.47 , 34.57 , 34.78 
7 , 13 , 2010 , 34.98 , 34.72 , 34.85 , 34.89 
7 , 14 , 2010 , 34.95 , 34.62 , 34.82 , 34.91 
7 , 15 , 2010 , 35.09 , 34.80 , 34.93 , 35.02 
7 , 16 , 2010 , 35.13 , 34.76 , 34.85 , 34.78 
7 , 19 , 2010 , 35.50 , 34.86 , 34.96 , 35.42 
7 , 20 , 2010 , 35.84 , 35.11 , 35.17 , 35.84 
7 , 21 , 2010 , 35.78 , 35.22 , 35.78 , 35.37 
7 , 22 , 2010 , 35.84 , 35.37 , 35.57 , 35.65 
7 , 23 , 2010 , 35.90 , 35.49 , 35.58 , 35.89 
7 , 26 , 2010 , 36.10 , 35.69 , 35.69 , 36.08 
7 , 27 , 2010 , 36.78 , 36.09 , 36.28 , 36.73 
7 , 28 , 2010 , 36.65 , 36.26 , 36.65 , 36.59 
7 , 29 , 2010 , 35.77 , 35.05 , 35.42 , 35.49 
7 , 30 , 2010 , 35.46 , 35.11 , 35.34 , 35.33 
8 , 2 , 2010 , 35.86 , 35.46 , 35.49 , 35.84 
8 , 3 , 2010 , 35.95 , 35.53 , 35.70 , 35.61 
8 , 4 , 2010 , 35.91 , 35.50 , 35.68 , 35.77 
8 , 5 , 2010 , 35.95 , 35.53 , 35.65 , 35.92 
8 , 6 , 2010 , 35.98 , 35.56 , 35.72 , 35.88 
8 , 9 , 2010 , 36.19 , 35.92 , 35.97 , 36.15 
8 , 10 , 2010 , 36.62 , 35.94 , 35.97 , 36.36 
8 , 11 , 2010 , 36.22 , 35.85 , 36.02 , 35.86 
8 , 12 , 2010 , 35.90 , 35.52 , 35.77 , 35.78 
8 , 13 , 2010 , 36.14 , 35.60 , 35.61 , 35.84 
8 , 16 , 2010 , 35.92 , 35.60 , 35.68 , 35.87 
8 , 17 , 2010 , 36.24 , 35.88 , 36.00 , 36.06 
8 , 18 , 2010 , 36.07 , 35.72 , 36.05 , 35.95 
8 , 19 , 2010 , 35.88 , 35.28 , 35.85 , 35.49 
8 , 20 , 2010 , 35.86 , 35.19 , 35.34 , 35.78 
8 , 23 , 2010 , 36.26 , 35.82 , 35.84 , 35.88 
8 , 24 , 2010 , 36.57 , 35.70 , 35.75 , 36.42 
8 , 25 , 2010 , 36.42 , 35.97 , 36.29 , 36.28 
8 , 26 , 2010 , 36.41 , 36.00 , 36.32 , 36.14 
8 , 27 , 2010 , 37.00 , 36.26 , 36.29 , 36.97 
8 , 30 , 2010 , 36.82 , 36.52 , 36.81 , 36.52 
8 , 31 , 2010 , 36.73 , 36.27 , 36.50 , 36.69 
9 , 1 , 2010 , 36.94 , 36.62 , 36.84 , 36.90 
9 , 2 , 2010 , 36.90 , 36.54 , 36.88 , 36.84 
9 , 3 , 2010 , 37.00 , 36.63 , 36.86 , 36.99 
9 , 7 , 2010 , 37.23 , 36.90 , 36.97 , 36.90 
9 , 8 , 2010 , 37.16 , 36.86 , 36.96 , 36.96 
9 , 9 , 2010 , 37.27 , 36.96 , 37.13 , 37.13 
9 , 10 , 2010 , 37.13 , 36.85 , 37.01 , 37.11 
9 , 13 , 2010 , 37.34 , 37.06 , 37.25 , 37.25 
9 , 14 , 2010 , 37.43 , 37.07 , 37.13 , 37.22 
9 , 15 , 2010 , 37.33 , 37.06 , 37.26 , 37.16 
9 , 16 , 2010 , 37.17 , 36.85 , 37.15 , 37.01 
9 , 17 , 2010 , 37.19 , 36.89 , 37.16 , 37.06 
9 , 20 , 2010 , 37.50 , 37.03 , 37.09 , 37.47 
9 , 21 , 2010 , 37.42 , 37.04 , 37.41 , 37.19 
9 , 22 , 2010 , 37.59 , 37.13 , 37.22 , 37.47 
9 , 23 , 2010 , 37.40 , 36.92 , 37.38 , 37.00 
9 , 24 , 2010 , 37.60 , 37.17 , 37.23 , 37.49 
9 , 27 , 2010 , 37.73 , 37.38 , 37.49 , 37.52 
9 , 28 , 2010 , 37.65 , 37.32 , 37.65 , 37.52 
