Month , Day , Year , High , Low , Open , Close
3 , 17 , 2010 , 80.62 , 78.84 , 79.36 , 80.53 
3 , 18 , 2010 , 80.90 , 79.42 , 80.55 , 79.51 
3 , 19 , 2010 , 80.51 , 78.45 , 79.80 , 78.55 
3 , 22 , 2010 , 79.92 , 77.95 , 78.10 , 79.89 
3 , 23 , 2010 , 80.17 , 78.65 , 80.17 , 79.38 
3 , 24 , 2010 , 80.16 , 78.95 , 79.13 , 79.46 
3 , 25 , 2010 , 81.45 , 80.03 , 80.11 , 80.42 
3 , 26 , 2010 , 81.25 , 79.59 , 80.78 , 79.93 
3 , 29 , 2010 , 80.43 , 79.34 , 80.12 , 80.06 
3 , 30 , 2010 , 80.49 , 79.45 , 79.84 , 80.07 
3 , 31 , 2010 , 79.79 , 78.77 , 79.54 , 78.89 
4 , 1 , 2010 , 80.03 , 78.76 , 79.20 , 79.42 
4 , 5 , 2010 , 81.06 , 79.34 , 79.90 , 80.99 
4 , 6 , 2010 , 82.67 , 80.25 , 80.65 , 82.47 
4 , 7 , 2010 , 82.47 , 79.19 , 81.77 , 79.48 
4 , 8 , 2010 , 80.06 , 79.11 , 79.25 , 79.67 
4 , 9 , 2010 , 81.04 , 79.20 , 79.92 , 80.94 
4 , 12 , 2010 , 81.10 , 79.69 , 81.02 , 79.95 
4 , 13 , 2010 , 83.22 , 79.73 , 79.94 , 82.91 
4 , 14 , 2010 , 83.66 , 81.98 , 83.36 , 82.69 
4 , 15 , 2010 , 82.74 , 79.75 , 82.26 , 79.95 
4 , 16 , 2010 , 80.23 , 77.09 , 79.78 , 77.35 
4 , 19 , 2010 , 78.98 , 76.77 , 76.84 , 77.95 
4 , 20 , 2010 , 79.62 , 77.97 , 78.52 , 79.60 
4 , 21 , 2010 , 82.03 , 79.30 , 79.53 , 81.79 
4 , 22 , 2010 , 83.51 , 80.63 , 80.95 , 83.11 
4 , 23 , 2010 , 84.68 , 82.57 , 83.41 , 84.21 
4 , 26 , 2010 , 86.02 , 83.89 , 84.22 , 85.18 
4 , 27 , 2010 , 85.50 , 82.17 , 84.57 , 82.25 
4 , 28 , 2010 , 83.21 , 81.74 , 83.06 , 82.39 
4 , 29 , 2010 , 87.11 , 83.14 , 83.18 , 86.90 
4 , 30 , 2010 , 87.71 , 83.27 , 86.13 , 83.70 
5 , 3 , 2010 , 88.00 , 84.02 , 84.55 , 87.24 
5 , 4 , 2010 , 86.46 , 83.94 , 86.46 , 84.71 
5 , 5 , 2010 , 85.35 , 82.29 , 84.16 , 83.19 
5 , 6 , 2010 , 83.49 , 74.14 , 82.71 , 79.81 
5 , 7 , 2010 , 82.90 , 78.65 , 80.13 , 80.56 
5 , 10 , 2010 , 85.20 , 82.97 , 83.46 , 84.93 
5 , 11 , 2010 , 86.19 , 83.61 , 83.96 , 85.20 
5 , 12 , 2010 , 86.50 , 84.24 , 85.37 , 85.85 
5 , 13 , 2010 , 86.01 , 84.18 , 85.71 , 84.33 
5 , 14 , 2010 , 83.89 , 80.59 , 83.47 , 81.52 
5 , 17 , 2010 , 83.44 , 79.32 , 81.80 , 81.51 
5 , 18 , 2010 , 83.05 , 78.72 , 82.56 , 79.14 
5 , 19 , 2010 , 80.47 , 76.31 , 78.54 , 78.31 
5 , 20 , 2010 , 78.60 , 76.02 , 76.72 , 76.24 
5 , 21 , 2010 , 79.22 , 74.41 , 75.00 , 79.02 
5 , 24 , 2010 , 79.39 , 76.62 , 79.31 , 76.86 
5 , 25 , 2010 , 77.93 , 73.93 , 75.80 , 77.72 
5 , 26 , 2010 , 79.63 , 76.52 , 78.46 , 77.08 
5 , 27 , 2010 , 81.47 , 78.16 , 78.78 , 81.26 
5 , 28 , 2010 , 81.60 , 79.56 , 81.30 , 79.95 
6 , 1 , 2010 , 81.24 , 78.83 , 79.11 , 79.74 
6 , 2 , 2010 , 81.60 , 79.06 , 80.26 , 81.41 
6 , 3 , 2010 , 81.75 , 80.16 , 81.26 , 80.98 
6 , 4 , 2010 , 80.28 , 76.29 , 79.31 , 76.63 
6 , 7 , 2010 , 78.26 , 76.07 , 77.10 , 76.13 
6 , 8 , 2010 , 77.67 , 74.92 , 76.73 , 77.26 
6 , 9 , 2010 , 79.81 , 76.92 , 77.96 , 77.28 
6 , 10 , 2010 , 80.94 , 78.13 , 78.34 , 80.69 
6 , 11 , 2010 , 82.18 , 79.53 , 79.62 , 81.88 
6 , 14 , 2010 , 83.64 , 82.04 , 82.52 , 83.13 
6 , 15 , 2010 , 85.05 , 82.70 , 83.25 , 85.05 
6 , 16 , 2010 , 85.00 , 83.57 , 84.52 , 84.10 
6 , 17 , 2010 , 84.55 , 83.13 , 84.30 , 83.67 
6 , 18 , 2010 , 84.61 , 83.25 , 83.96 , 84.07 
6 , 21 , 2010 , 85.67 , 83.26 , 85.15 , 83.55 
6 , 22 , 2010 , 83.98 , 80.40 , 83.87 , 80.47 
6 , 23 , 2010 , 81.95 , 79.55 , 80.45 , 80.99 
6 , 24 , 2010 , 80.73 , 78.78 , 80.32 , 78.95 
6 , 25 , 2010 , 81.73 , 79.12 , 79.82 , 81.35 
6 , 28 , 2010 , 81.79 , 79.68 , 81.59 , 79.89 
6 , 29 , 2010 , 79.59 , 76.38 , 78.73 , 76.93 
6 , 30 , 2010 , 78.48 , 75.68 , 76.94 , 75.92 
7 , 1 , 2010 , 76.65 , 74.16 , 76.08 , 76.21 
7 , 2 , 2010 , 77.20 , 74.00 , 76.75 , 74.35 
7 , 6 , 2010 , 76.35 , 71.90 , 75.89 , 72.66 
7 , 7 , 2010 , 76.47 , 72.66 , 73.15 , 76.38 
7 , 8 , 2010 , 77.51 , 75.42 , 77.32 , 76.83 
7 , 9 , 2010 , 77.80 , 76.35 , 76.97 , 77.72 
7 , 12 , 2010 , 78.28 , 76.44 , 77.64 , 78.00 
7 , 13 , 2010 , 80.38 , 78.74 , 79.08 , 79.99 
7 , 14 , 2010 , 80.37 , 78.75 , 79.36 , 79.52 
7 , 15 , 2010 , 80.00 , 77.79 , 79.37 , 79.82 
7 , 16 , 2010 , 79.49 , 76.83 , 79.49 , 77.32 
7 , 19 , 2010 , 78.72 , 76.41 , 77.35 , 78.38 
7 , 20 , 2010 , 79.50 , 76.81 , 77.14 , 79.34 
7 , 21 , 2010 , 80.34 , 76.95 , 80.34 , 77.44 
7 , 22 , 2010 , 81.71 , 78.53 , 78.74 , 81.17 
7 , 23 , 2010 , 82.25 , 79.78 , 80.50 , 82.09 
7 , 26 , 2010 , 83.92 , 81.16 , 81.82 , 83.75 
7 , 27 , 2010 , 84.62 , 82.53 , 83.92 , 83.94 
7 , 28 , 2010 , 84.95 , 83.05 , 83.70 , 83.80 
