Month , Day , Year , High , Low , Open , Close
3 , 17 , 2010 , 33.30 , 32.71 , 32.84 , 33.28 
3 , 18 , 2010 , 33.96 , 33.16 , 33.28 , 33.60 
3 , 19 , 2010 , 33.98 , 33.11 , 33.86 , 33.27 
3 , 22 , 2010 , 33.54 , 33.00 , 33.11 , 33.43 
3 , 23 , 2010 , 33.54 , 33.10 , 33.39 , 33.54 
3 , 24 , 2010 , 33.84 , 33.11 , 33.43 , 33.37 
3 , 25 , 2010 , 33.76 , 33.19 , 33.63 , 33.21 
3 , 26 , 2010 , 33.60 , 32.94 , 33.35 , 33.12 
3 , 29 , 2010 , 33.51 , 33.04 , 33.16 , 33.13 
3 , 30 , 2010 , 33.58 , 33.09 , 33.17 , 33.34 
3 , 31 , 2010 , 33.49 , 33.04 , 33.17 , 33.15 
4 , 1 , 2010 , 33.60 , 32.82 , 33.35 , 33.10 
4 , 5 , 2010 , 33.43 , 33.01 , 33.10 , 33.11 
4 , 6 , 2010 , 33.08 , 32.82 , 32.91 , 33.01 
4 , 7 , 2010 , 33.05 , 32.54 , 32.82 , 32.89 
4 , 8 , 2010 , 33.08 , 32.63 , 32.71 , 32.89 
4 , 9 , 2010 , 33.31 , 32.80 , 32.96 , 33.31 
4 , 12 , 2010 , 33.55 , 33.22 , 33.33 , 33.53 
4 , 13 , 2010 , 33.86 , 33.35 , 33.46 , 33.84 
4 , 14 , 2010 , 34.40 , 33.62 , 33.86 , 34.32 
4 , 15 , 2010 , 34.44 , 33.99 , 34.35 , 34.05 
4 , 16 , 2010 , 34.15 , 32.13 , 33.89 , 32.26 
4 , 19 , 2010 , 32.63 , 31.44 , 32.17 , 32.08 
4 , 20 , 2010 , 32.44 , 31.77 , 32.38 , 32.23 
4 , 21 , 2010 , 32.34 , 31.66 , 32.26 , 31.93 
4 , 22 , 2010 , 31.69 , 30.72 , 31.57 , 30.73 
4 , 23 , 2010 , 30.99 , 30.40 , 30.79 , 30.75 
4 , 26 , 2010 , 31.58 , 30.70 , 30.78 , 31.38 
4 , 27 , 2010 , 31.86 , 30.86 , 31.26 , 31.15 
4 , 28 , 2010 , 31.43 , 30.55 , 31.15 , 30.72 
4 , 29 , 2010 , 31.65 , 31.01 , 31.05 , 31.62 
4 , 30 , 2010 , 32.41 , 31.05 , 31.76 , 31.22 
5 , 3 , 2010 , 31.47 , 31.02 , 31.40 , 31.29 
5 , 4 , 2010 , 30.96 , 29.95 , 30.92 , 30.17 
5 , 5 , 2010 , 30.06 , 29.14 , 29.78 , 29.41 
5 , 6 , 2010 , 29.46 , 26.32 , 29.24 , 27.89 
5 , 7 , 2010 , 28.32 , 27.14 , 27.89 , 27.78 
