Month , Day , Year , High , Low , Open , Close
3 , 17 , 2010 , 25.22 , 25.00 , 25.11 , 25.16 
3 , 18 , 2010 , 25.42 , 25.08 , 25.08 , 25.38 
3 , 19 , 2010 , 25.55 , 25.09 , 25.41 , 25.25 
3 , 22 , 2010 , 25.25 , 25.00 , 25.05 , 25.16 
3 , 23 , 2010 , 25.12 , 24.92 , 25.12 , 25.03 
3 , 24 , 2010 , 24.97 , 24.64 , 24.97 , 24.79 
3 , 25 , 2010 , 25.13 , 24.33 , 24.93 , 24.37 
3 , 26 , 2010 , 24.72 , 24.36 , 24.45 , 24.58 
3 , 29 , 2010 , 25.25 , 24.58 , 24.58 , 25.22 
3 , 30 , 2010 , 25.44 , 25.10 , 25.22 , 25.13 
3 , 31 , 2010 , 25.16 , 24.88 , 25.05 , 24.95 
4 , 1 , 2010 , 25.38 , 25.01 , 25.07 , 25.35 
4 , 5 , 2010 , 25.63 , 25.36 , 25.36 , 25.63 
4 , 6 , 2010 , 25.72 , 25.43 , 25.50 , 25.68 
4 , 7 , 2010 , 25.71 , 25.39 , 25.69 , 25.43 
4 , 8 , 2010 , 25.37 , 25.05 , 25.37 , 25.16 
4 , 9 , 2010 , 25.27 , 24.93 , 25.12 , 25.25 
4 , 12 , 2010 , 25.37 , 25.22 , 25.31 , 25.24 
4 , 13 , 2010 , 25.36 , 24.97 , 25.18 , 25.08 
4 , 14 , 2010 , 25.10 , 24.80 , 25.00 , 24.90 
4 , 15 , 2010 , 24.97 , 24.78 , 24.88 , 24.83 
4 , 16 , 2010 , 24.91 , 24.53 , 24.80 , 24.55 
4 , 19 , 2010 , 24.78 , 24.43 , 24.51 , 24.75 
4 , 20 , 2010 , 25.00 , 24.72 , 24.88 , 24.98 
4 , 21 , 2010 , 25.17 , 24.97 , 25.00 , 25.08 
4 , 22 , 2010 , 25.12 , 24.79 , 25.04 , 25.07 
4 , 23 , 2010 , 25.25 , 24.88 , 25.01 , 25.25 
4 , 26 , 2010 , 25.25 , 25.08 , 25.24 , 25.10 
4 , 27 , 2010 , 25.04 , 24.50 , 25.00 , 24.51 
4 , 28 , 2010 , 24.94 , 23.58 , 24.42 , 24.75 
