Month , Day , Year , High , Low , Open , Close
3 , 17 , 2010 , 56.27 , 55.33 , 55.44 , 56.27 
3 , 18 , 2010 , 56.67 , 56.02 , 56.07 , 56.66 
3 , 19 , 2010 , 57.09 , 56.21 , 56.90 , 56.64 
3 , 22 , 2010 , 57.25 , 56.21 , 56.21 , 56.85 
3 , 23 , 2010 , 57.01 , 56.21 , 57.01 , 57.00 
3 , 24 , 2010 , 58.24 , 57.38 , 57.89 , 57.96 
3 , 25 , 2010 , 58.49 , 57.68 , 58.31 , 57.68 
3 , 26 , 2010 , 57.68 , 56.66 , 57.67 , 56.71 
3 , 29 , 2010 , 57.27 , 56.76 , 56.83 , 57.18 
3 , 30 , 2010 , 57.62 , 57.05 , 57.33 , 57.51 
3 , 31 , 2010 , 57.60 , 56.82 , 57.24 , 57.22 
4 , 1 , 2010 , 57.74 , 57.31 , 57.59 , 57.65 
4 , 5 , 2010 , 58.20 , 57.51 , 57.74 , 57.85 
4 , 6 , 2010 , 57.90 , 57.50 , 57.79 , 57.78 
4 , 7 , 2010 , 57.93 , 56.91 , 57.68 , 57.17 
4 , 8 , 2010 , 57.20 , 56.64 , 57.19 , 57.10 
4 , 9 , 2010 , 57.64 , 57.01 , 57.01 , 57.64 
4 , 12 , 2010 , 57.95 , 57.32 , 57.64 , 57.64 
4 , 13 , 2010 , 57.56 , 56.87 , 57.28 , 57.18 
4 , 14 , 2010 , 57.83 , 56.87 , 57.21 , 57.71 
4 , 15 , 2010 , 58.37 , 57.51 , 58.00 , 58.09 
4 , 16 , 2010 , 58.25 , 56.84 , 58.05 , 57.24 
4 , 19 , 2010 , 57.51 , 57.03 , 57.03 , 57.47 
4 , 20 , 2010 , 58.72 , 57.55 , 57.71 , 58.45 
4 , 21 , 2010 , 58.44 , 57.35 , 57.92 , 57.93 
4 , 22 , 2010 , 57.82 , 56.76 , 57.37 , 57.72 
4 , 23 , 2010 , 59.01 , 57.15 , 57.76 , 58.89 
4 , 26 , 2010 , 59.72 , 58.71 , 59.13 , 58.81 
4 , 27 , 2010 , 58.93 , 57.45 , 58.73 , 57.54 
4 , 28 , 2010 , 58.35 , 57.31 , 57.52 , 58.08 
4 , 29 , 2010 , 58.98 , 58.33 , 58.36 , 58.60 
4 , 30 , 2010 , 58.93 , 57.40 , 58.85 , 57.44 
5 , 3 , 2010 , 58.37 , 57.22 , 57.60 , 58.12 
5 , 4 , 2010 , 58.78 , 56.92 , 58.68 , 57.45 
5 , 5 , 2010 , 57.41 , 56.75 , 57.02 , 57.22 
5 , 6 , 2010 , 57.28 , 53.85 , 56.91 , 56.25 
5 , 7 , 2010 , 56.12 , 53.74 , 56.12 , 54.12 
5 , 10 , 2010 , 56.87 , 55.56 , 56.42 , 56.86 
5 , 11 , 2010 , 57.18 , 56.09 , 56.30 , 56.75 
5 , 12 , 2010 , 57.22 , 56.45 , 56.96 , 57.22 
5 , 13 , 2010 , 57.99 , 57.01 , 57.01 , 57.47 
5 , 14 , 2010 , 57.71 , 55.65 , 57.71 , 56.46 
5 , 17 , 2010 , 56.89 , 55.74 , 56.39 , 56.56 
5 , 18 , 2010 , 57.27 , 55.87 , 57.20 , 55.91 
5 , 19 , 2010 , 56.38 , 55.04 , 55.66 , 55.72 
5 , 20 , 2010 , 55.00 , 53.31 , 55.00 , 53.88 
5 , 21 , 2010 , 53.90 , 52.18 , 53.23 , 52.70 
5 , 24 , 2010 , 53.73 , 52.30 , 52.58 , 53.18 
5 , 25 , 2010 , 52.62 , 51.22 , 52.02 , 52.59 
5 , 26 , 2010 , 53.37 , 52.15 , 53.04 , 52.19 
5 , 27 , 2010 , 53.53 , 52.53 , 52.79 , 53.47 
5 , 28 , 2010 , 53.73 , 52.94 , 53.34 , 53.03 
6 , 1 , 2010 , 53.34 , 52.34 , 52.60 , 52.42 
6 , 2 , 2010 , 53.71 , 52.19 , 52.54 , 53.71 
6 , 3 , 2010 , 54.35 , 53.62 , 53.91 , 54.03 
6 , 4 , 2010 , 53.39 , 51.80 , 53.39 , 51.97 
6 , 7 , 2010 , 52.17 , 50.58 , 51.98 , 50.62 
6 , 8 , 2010 , 50.94 , 49.91 , 50.71 , 50.56 
6 , 9 , 2010 , 51.00 , 49.24 , 50.79 , 49.48 
6 , 10 , 2010 , 50.25 , 48.76 , 50.14 , 49.36 
6 , 11 , 2010 , 50.60 , 49.00 , 49.01 , 50.59 
6 , 14 , 2010 , 51.27 , 50.44 , 50.75 , 50.45 
6 , 15 , 2010 , 51.72 , 50.68 , 50.83 , 51.72 
6 , 16 , 2010 , 52.38 , 51.27 , 51.31 , 52.23 
6 , 17 , 2010 , 52.23 , 51.56 , 52.22 , 52.04 
6 , 18 , 2010 , 52.10 , 51.59 , 51.85 , 51.82 
6 , 21 , 2010 , 52.47 , 51.25 , 52.24 , 51.58 
6 , 22 , 2010 , 52.10 , 50.93 , 51.73 , 50.94 
6 , 23 , 2010 , 51.43 , 50.17 , 51.23 , 51.14 
6 , 24 , 2010 , 51.16 , 50.03 , 51.07 , 50.20 
6 , 25 , 2010 , 50.51 , 49.75 , 50.26 , 50.10 
6 , 28 , 2010 , 51.44 , 49.62 , 49.80 , 51.04 
6 , 29 , 2010 , 50.77 , 49.73 , 50.51 , 50.16 
6 , 30 , 2010 , 50.74 , 49.74 , 49.99 , 50.06 
7 , 1 , 2010 , 49.89 , 48.61 , 49.80 , 49.76 
7 , 2 , 2010 , 50.23 , 49.42 , 49.84 , 49.88 
7 , 6 , 2010 , 50.87 , 49.91 , 50.20 , 50.42 
7 , 7 , 2010 , 52.27 , 50.50 , 50.54 , 52.25 
7 , 8 , 2010 , 52.67 , 51.73 , 52.62 , 52.48 
7 , 9 , 2010 , 52.60 , 52.09 , 52.42 , 52.38 
7 , 12 , 2010 , 52.41 , 51.79 , 52.27 , 52.14 
7 , 13 , 2010 , 53.25 , 52.38 , 52.43 , 53.12 
7 , 14 , 2010 , 53.29 , 52.71 , 53.01 , 53.05 
7 , 15 , 2010 , 53.10 , 52.08 , 53.00 , 52.56 
7 , 16 , 2010 , 52.56 , 51.03 , 52.38 , 51.20 
7 , 19 , 2010 , 51.75 , 50.80 , 51.28 , 51.53 
7 , 20 , 2010 , 51.38 , 49.23 , 50.58 , 51.29 
7 , 21 , 2010 , 49.75 , 46.58 , 49.18 , 46.75 
7 , 22 , 2010 , 47.41 , 46.37 , 47.15 , 47.13 
7 , 23 , 2010 , 48.00 , 46.91 , 47.09 , 47.83 
7 , 26 , 2010 , 48.02 , 46.98 , 48.02 , 47.16 
7 , 27 , 2010 , 47.67 , 47.24 , 47.36 , 47.49 
7 , 28 , 2010 , 47.53 , 46.71 , 47.34 , 46.85 
7 , 29 , 2010 , 47.40 , 45.85 , 47.06 , 46.15 
7 , 30 , 2010 , 46.72 , 45.52 , 45.80 , 46.57 
8 , 2 , 2010 , 47.90 , 46.91 , 47.06 , 47.59 
8 , 3 , 2010 , 48.24 , 47.04 , 47.04 , 47.76 
8 , 4 , 2010 , 48.26 , 47.65 , 47.65 , 47.92 
8 , 5 , 2010 , 48.06 , 47.37 , 47.77 , 48.06 
8 , 6 , 2010 , 47.97 , 47.12 , 47.46 , 47.97 
8 , 9 , 2010 , 48.25 , 47.63 , 48.04 , 48.07 
8 , 10 , 2010 , 47.85 , 47.34 , 47.74 , 47.63 
8 , 11 , 2010 , 47.10 , 46.40 , 47.10 , 46.62 
8 , 12 , 2010 , 46.84 , 45.96 , 45.96 , 46.67 
8 , 13 , 2010 , 46.85 , 46.38 , 46.75 , 46.57 
8 , 16 , 2010 , 46.63 , 46.04 , 46.33 , 46.49 
8 , 17 , 2010 , 47.75 , 46.27 , 46.86 , 46.69 
8 , 18 , 2010 , 47.33 , 45.90 , 46.57 , 46.86 
8 , 19 , 2010 , 46.64 , 45.64 , 46.58 , 45.86 
8 , 20 , 2010 , 45.94 , 45.16 , 45.55 , 45.81 
8 , 23 , 2010 , 46.70 , 46.01 , 46.01 , 46.14 
8 , 24 , 2010 , 45.56 , 43.13 , 45.56 , 43.20 
8 , 25 , 2010 , 43.49 , 42.74 , 42.85 , 43.12 
8 , 26 , 2010 , 43.27 , 42.86 , 43.16 , 42.88 
8 , 27 , 2010 , 44.16 , 42.86 , 42.93 , 44.00 
8 , 30 , 2010 , 44.05 , 43.53 , 44.05 , 43.55 
8 , 31 , 2010 , 43.39 , 42.87 , 43.20 , 43.19 
9 , 1 , 2010 , 44.77 , 43.51 , 43.51 , 44.64 
9 , 2 , 2010 , 46.60 , 44.79 , 44.94 , 45.72 
9 , 3 , 2010 , 46.28 , 45.32 , 46.08 , 46.09 
9 , 7 , 2010 , 46.41 , 45.67 , 45.81 , 45.98 
9 , 8 , 2010 , 46.05 , 45.29 , 46.05 , 45.48 
9 , 9 , 2010 , 46.17 , 45.55 , 45.89 , 46.12 
9 , 10 , 2010 , 46.80 , 45.78 , 46.23 , 46.67 
9 , 13 , 2010 , 47.59 , 46.73 , 46.99 , 47.30 
9 , 14 , 2010 , 48.82 , 46.62 , 47.31 , 48.40 
9 , 15 , 2010 , 48.73 , 47.68 , 48.18 , 48.69 
9 , 16 , 2010 , 49.04 , 48.38 , 49.04 , 48.74 
9 , 17 , 2010 , 49.18 , 48.02 , 48.87 , 48.03 
9 , 20 , 2010 , 48.81 , 48.20 , 48.24 , 48.74 
9 , 21 , 2010 , 48.97 , 48.39 , 48.80 , 48.51 
9 , 22 , 2010 , 48.75 , 47.84 , 48.47 , 48.02 
9 , 23 , 2010 , 48.45 , 47.54 , 47.74 , 47.93 
9 , 24 , 2010 , 49.71 , 48.25 , 48.31 , 49.70 
9 , 27 , 2010 , 49.83 , 49.05 , 49.83 , 49.15 
9 , 28 , 2010 , 50.22 , 48.59 , 49.03 , 50.11 
9 , 29 , 2010 , 50.54 , 49.45 , 49.76 , 50.24 
9 , 30 , 2010 , 50.88 , 49.91 , 50.30 , 50.05 
10 , 1 , 2010 , 50.40 , 49.36 , 50.26 , 50.01 
10 , 4 , 2010 , 50.29 , 49.11 , 49.85 , 49.37 
10 , 5 , 2010 , 50.98 , 49.80 , 49.87 , 50.57 
10 , 6 , 2010 , 50.80 , 50.28 , 50.56 , 50.45 
10 , 7 , 2010 , 50.64 , 49.17 , 50.64 , 49.78 
10 , 8 , 2010 , 50.10 , 49.47 , 49.76 , 49.68 
10 , 11 , 2010 , 50.00 , 49.38 , 49.64 , 49.79 
10 , 12 , 2010 , 49.67 , 48.13 , 49.51 , 49.05 
10 , 13 , 2010 , 49.45 , 48.76 , 49.19 , 49.29 
10 , 14 , 2010 , 49.63 , 48.55 , 49.29 , 48.83 
10 , 15 , 2010 , 49.41 , 48.35 , 49.12 , 49.04 
10 , 18 , 2010 , 50.65 , 49.30 , 49.30 , 50.51 
10 , 19 , 2010 , 50.41 , 48.61 , 48.69 , 50.07 
10 , 20 , 2010 , 53.00 , 50.03 , 52.83 , 50.57 
10 , 21 , 2010 , 51.42 , 50.69 , 50.82 , 51.32 
10 , 22 , 2010 , 51.42 , 50.50 , 51.31 , 50.59 
10 , 25 , 2010 , 51.49 , 50.80 , 50.84 , 51.27 
10 , 26 , 2010 , 51.35 , 50.47 , 50.96 , 51.23 
