Month , Day , Year , High , Low , Open , Close
8 , 7 , 2014 , 29.95 , 29.24 , 29.66 , 29.44 
8 , 8 , 2014 , 30.00 , 28.98 , 29.40 , 29.79 
8 , 11 , 2014 , 30.00 , 28.50 , 29.97 , 28.71 
8 , 12 , 2014 , 29.48 , 28.04 , 28.51 , 28.91 
8 , 13 , 2014 , 29.98 , 28.92 , 29.10 , 29.65 
8 , 14 , 2014 , 30.00 , 26.95 , 28.43 , 27.89 
8 , 15 , 2014 , 29.57 , 26.90 , 29.57 , 27.44 
8 , 18 , 2014 , 28.55 , 26.86 , 27.69 , 27.75 
8 , 19 , 2014 , 27.75 , 26.10 , 27.62 , 26.86 
8 , 20 , 2014 , 27.71 , 26.52 , 26.85 , 26.98 
8 , 21 , 2014 , 28.29 , 26.22 , 26.83 , 27.85 
8 , 22 , 2014 , 28.55 , 27.38 , 27.98 , 28.35 
8 , 25 , 2014 , 28.98 , 28.36 , 28.56 , 28.87 
8 , 26 , 2014 , 30.03 , 28.94 , 28.95 , 29.35 
8 , 27 , 2014 , 30.01 , 29.06 , 29.52 , 29.18 
8 , 28 , 2014 , 29.99 , 28.25 , 29.02 , 28.64 
8 , 29 , 2014 , 29.50 , 28.26 , 28.82 , 29.37 
9 , 2 , 2014 , 29.99 , 28.84 , 29.52 , 29.05 
9 , 3 , 2014 , 29.19 , 28.11 , 29.19 , 28.56 
9 , 4 , 2014 , 29.13 , 27.56 , 28.54 , 27.72 
9 , 5 , 2014 , 28.23 , 26.73 , 27.55 , 28.02 
9 , 8 , 2014 , 29.27 , 27.93 , 27.93 , 28.75 
9 , 9 , 2014 , 29.80 , 27.92 , 29.50 , 28.40 
9 , 10 , 2014 , 29.89 , 27.92 , 28.36 , 28.00 
9 , 11 , 2014 , 28.69 , 27.76 , 27.80 , 28.00 
9 , 12 , 2014 , 28.42 , 26.55 , 28.00 , 27.00 
9 , 15 , 2014 , 28.79 , 25.62 , 27.10 , 26.38 
9 , 16 , 2014 , 27.00 , 25.39 , 26.28 , 26.33 
9 , 17 , 2014 , 26.74 , 26.10 , 26.25 , 26.18 
9 , 18 , 2014 , 26.87 , 26.15 , 26.26 , 26.55 
9 , 19 , 2014 , 26.89 , 25.54 , 26.66 , 26.33 
9 , 22 , 2014 , 26.27 , 25.63 , 26.12 , 25.87 
9 , 23 , 2014 , 26.44 , 25.16 , 25.63 , 25.22 
9 , 24 , 2014 , 25.46 , 25.00 , 25.26 , 25.29 
9 , 25 , 2014 , 26.04 , 24.44 , 25.13 , 24.48 
9 , 26 , 2014 , 25.03 , 23.87 , 24.57 , 24.17 
9 , 29 , 2014 , 24.26 , 23.33 , 23.82 , 23.41 
9 , 30 , 2014 , 23.90 , 23.01 , 23.41 , 23.05 
10 , 1 , 2014 , 23.21 , 22.02 , 23.19 , 22.52 
10 , 2 , 2014 , 23.58 , 22.36 , 22.46 , 22.91 
10 , 3 , 2014 , 24.06 , 22.86 , 24.06 , 23.19 
10 , 6 , 2014 , 23.86 , 22.75 , 23.27 , 23.12 
10 , 7 , 2014 , 23.07 , 21.98 , 22.94 , 22.01 
10 , 8 , 2014 , 22.51 , 21.56 , 21.95 , 22.00 
10 , 9 , 2014 , 21.98 , 20.62 , 21.97 , 20.67 
10 , 10 , 2014 , 21.60 , 20.13 , 20.58 , 20.50 
10 , 13 , 2014 , 21.45 , 20.28 , 20.52 , 20.44 
10 , 14 , 2014 , 21.27 , 20.18 , 20.81 , 20.51 
10 , 15 , 2014 , 20.77 , 19.15 , 20.13 , 20.67 
10 , 16 , 2014 , 20.87 , 19.64 , 20.25 , 20.49 
10 , 17 , 2014 , 21.05 , 20.14 , 20.99 , 20.17 
10 , 20 , 2014 , 20.83 , 19.86 , 19.99 , 20.72 
