Month , Day , Year , High , Low , Open , Close
3 , 17 , 2010 , 32.13 , 31.54 , 31.60 , 32.11 
3 , 18 , 2010 , 32.34 , 31.67 , 31.95 , 31.86 
3 , 19 , 2010 , 32.26 , 31.55 , 31.97 , 31.80 
3 , 22 , 2010 , 32.04 , 31.39 , 31.52 , 31.95 
3 , 23 , 2010 , 32.09 , 31.49 , 31.95 , 32.04 
3 , 24 , 2010 , 32.36 , 31.87 , 31.90 , 32.07 
3 , 25 , 2010 , 32.88 , 32.20 , 32.32 , 32.24 
3 , 26 , 2010 , 32.79 , 31.89 , 32.27 , 32.20 
3 , 29 , 2010 , 32.52 , 31.95 , 32.35 , 32.15 
3 , 30 , 2010 , 32.31 , 31.77 , 32.18 , 31.92 
3 , 31 , 2010 , 32.63 , 31.78 , 31.83 , 32.34 
4 , 1 , 2010 , 32.68 , 32.11 , 32.57 , 32.42 
4 , 5 , 2010 , 32.86 , 32.36 , 32.54 , 32.86 
4 , 6 , 2010 , 33.67 , 32.63 , 32.80 , 33.48 
4 , 7 , 2010 , 33.70 , 32.88 , 33.56 , 33.17 
4 , 8 , 2010 , 33.85 , 32.98 , 33.01 , 33.63 
4 , 9 , 2010 , 33.91 , 33.45 , 33.76 , 33.80 
4 , 12 , 2010 , 34.22 , 33.76 , 33.81 , 34.00 
4 , 13 , 2010 , 33.86 , 33.03 , 33.86 , 33.45 
4 , 14 , 2010 , 34.58 , 33.74 , 33.82 , 34.50 
4 , 15 , 2010 , 34.57 , 34.00 , 34.26 , 34.13 
4 , 16 , 2010 , 34.14 , 32.63 , 34.04 , 33.71 
4 , 19 , 2010 , 34.17 , 33.13 , 33.41 , 33.96 
4 , 20 , 2010 , 34.51 , 33.89 , 34.11 , 34.51 
4 , 21 , 2010 , 35.35 , 34.46 , 34.49 , 35.06 
4 , 22 , 2010 , 34.31 , 32.95 , 33.45 , 34.29 
4 , 23 , 2010 , 34.50 , 33.54 , 34.16 , 34.23 
4 , 26 , 2010 , 34.65 , 33.15 , 34.43 , 33.28 
4 , 27 , 2010 , 33.50 , 32.45 , 33.13 , 32.51 
4 , 28 , 2010 , 33.33 , 32.50 , 32.93 , 32.65 
4 , 29 , 2010 , 33.74 , 32.84 , 32.91 , 33.47 
4 , 30 , 2010 , 33.83 , 33.15 , 33.31 , 33.19 
5 , 3 , 2010 , 34.23 , 33.48 , 33.52 , 34.11 
5 , 4 , 2010 , 34.00 , 33.20 , 33.76 , 33.49 
5 , 5 , 2010 , 33.76 , 32.77 , 33.06 , 33.15 
5 , 6 , 2010 , 33.41 , 30.59 , 32.97 , 32.17 
5 , 7 , 2010 , 32.86 , 31.41 , 31.93 , 32.19 
5 , 10 , 2010 , 34.33 , 32.95 , 33.40 , 33.97 
5 , 11 , 2010 , 35.11 , 33.45 , 33.45 , 34.77 
5 , 12 , 2010 , 35.67 , 34.71 , 34.99 , 35.56 
5 , 13 , 2010 , 35.67 , 35.11 , 35.49 , 35.11 
5 , 14 , 2010 , 34.89 , 33.28 , 34.83 , 34.00 
5 , 17 , 2010 , 34.33 , 32.93 , 34.05 , 33.68 
5 , 18 , 2010 , 33.76 , 32.17 , 33.57 , 32.49 
5 , 19 , 2010 , 32.97 , 31.69 , 32.23 , 32.24 
5 , 20 , 2010 , 31.71 , 30.37 , 31.48 , 30.37 
5 , 21 , 2010 , 31.33 , 29.55 , 29.83 , 31.31 
5 , 24 , 2010 , 31.22 , 29.97 , 31.15 , 30.05 
5 , 25 , 2010 , 30.48 , 29.00 , 29.37 , 30.47 
5 , 26 , 2010 , 30.96 , 29.88 , 30.88 , 30.07 
5 , 27 , 2010 , 31.07 , 30.26 , 30.68 , 31.03 
5 , 28 , 2010 , 31.15 , 30.02 , 30.99 , 30.19 
6 , 1 , 2010 , 30.51 , 29.66 , 29.88 , 29.72 
6 , 2 , 2010 , 30.72 , 29.79 , 30.00 , 30.68 
6 , 3 , 2010 , 30.92 , 30.18 , 30.70 , 30.41 
6 , 4 , 2010 , 29.93 , 29.04 , 29.71 , 29.18 
6 , 7 , 2010 , 29.54 , 28.77 , 29.28 , 28.79 
6 , 8 , 2010 , 29.24 , 28.32 , 28.95 , 28.93 
