Month , Day , Year , High , Low , Open , Close
3 , 17 , 2010 , 10.85 , 10.75 , 10.85 , 10.78 
3 , 18 , 2010 , 10.85 , 10.70 , 10.83 , 10.79 
3 , 19 , 2010 , 10.85 , 10.72 , 10.83 , 10.75 
3 , 22 , 2010 , 10.97 , 10.71 , 10.71 , 10.91 
3 , 23 , 2010 , 10.97 , 10.79 , 10.94 , 10.88 
3 , 24 , 2010 , 10.92 , 10.75 , 10.83 , 10.81 
3 , 25 , 2010 , 10.98 , 10.82 , 10.88 , 10.88 
3 , 26 , 2010 , 10.95 , 10.76 , 10.92 , 10.83 
3 , 29 , 2010 , 10.89 , 10.72 , 10.85 , 10.82 
3 , 30 , 2010 , 10.92 , 10.77 , 10.85 , 10.80 
3 , 31 , 2010 , 10.79 , 10.59 , 10.76 , 10.63 
4 , 1 , 2010 , 10.73 , 10.59 , 10.66 , 10.68 
4 , 5 , 2010 , 11.10 , 10.70 , 10.70 , 11.09 
4 , 6 , 2010 , 11.24 , 11.06 , 11.08 , 11.18 
4 , 7 , 2010 , 11.23 , 11.08 , 11.16 , 11.16 
4 , 8 , 2010 , 11.34 , 11.03 , 11.22 , 11.21 
4 , 9 , 2010 , 11.24 , 11.04 , 11.15 , 11.21 
4 , 12 , 2010 , 11.45 , 11.21 , 11.27 , 11.40 
4 , 13 , 2010 , 11.58 , 11.39 , 11.40 , 11.54 
4 , 14 , 2010 , 11.62 , 11.49 , 11.58 , 11.59 
4 , 15 , 2010 , 11.59 , 11.46 , 11.51 , 11.56 
4 , 16 , 2010 , 11.56 , 11.32 , 11.51 , 11.42 
4 , 19 , 2010 , 11.43 , 11.22 , 11.41 , 11.37 
4 , 20 , 2010 , 11.55 , 11.38 , 11.44 , 11.50 
4 , 21 , 2010 , 11.75 , 11.47 , 11.50 , 11.72 
4 , 22 , 2010 , 11.97 , 11.61 , 11.64 , 11.92 
4 , 23 , 2010 , 12.02 , 11.82 , 11.98 , 12.00 
4 , 26 , 2010 , 12.13 , 11.95 , 12.00 , 11.97 
4 , 27 , 2010 , 12.05 , 11.74 , 11.97 , 11.75 
4 , 28 , 2010 , 11.84 , 11.61 , 11.84 , 11.68 
4 , 29 , 2010 , 11.90 , 11.71 , 11.75 , 11.82 
4 , 30 , 2010 , 11.92 , 11.57 , 11.87 , 11.59 
5 , 3 , 2010 , 11.87 , 11.57 , 11.65 , 11.79 
5 , 4 , 2010 , 11.69 , 11.39 , 11.66 , 11.42 
5 , 5 , 2010 , 11.87 , 11.34 , 11.35 , 11.58 
5 , 6 , 2010 , 11.44 , 10.50 , 11.31 , 11.16 
5 , 7 , 2010 , 11.26 , 10.77 , 11.16 , 10.92 
5 , 10 , 2010 , 11.59 , 11.19 , 11.49 , 11.44 
5 , 11 , 2010 , 11.56 , 11.29 , 11.38 , 11.44 
5 , 12 , 2010 , 11.64 , 11.39 , 11.48 , 11.63 
5 , 13 , 2010 , 11.62 , 11.29 , 11.62 , 11.34 
5 , 14 , 2010 , 11.46 , 11.20 , 11.30 , 11.31 
5 , 17 , 2010 , 11.42 , 11.15 , 11.36 , 11.31 
5 , 18 , 2010 , 11.15 , 10.80 , 10.93 , 10.92 
5 , 19 , 2010 , 10.90 , 10.60 , 10.78 , 10.80 
5 , 20 , 2010 , 11.16 , 10.53 , 10.53 , 10.86 
5 , 21 , 2010 , 11.09 , 10.63 , 10.71 , 11.00 
5 , 24 , 2010 , 11.14 , 10.92 , 11.01 , 10.99 
5 , 25 , 2010 , 11.35 , 10.75 , 10.81 , 11.34 
5 , 26 , 2010 , 11.43 , 11.08 , 11.37 , 11.13 
5 , 27 , 2010 , 11.51 , 11.27 , 11.28 , 11.50 
5 , 28 , 2010 , 11.54 , 11.29 , 11.51 , 11.37 
6 , 1 , 2010 , 11.47 , 11.24 , 11.34 , 11.32 
6 , 2 , 2010 , 11.53 , 11.19 , 11.34 , 11.53 
6 , 3 , 2010 , 11.84 , 11.51 , 11.75 , 11.58 
6 , 4 , 2010 , 11.49 , 11.09 , 11.44 , 11.12 
6 , 7 , 2010 , 11.27 , 10.98 , 11.20 , 10.99 
6 , 8 , 2010 , 11.21 , 10.91 , 10.97 , 11.19 
6 , 9 , 2010 , 11.49 , 11.21 , 11.24 , 11.26 
6 , 10 , 2010 , 11.57 , 11.34 , 11.38 , 11.56 
6 , 11 , 2010 , 11.60 , 11.38 , 11.42 , 11.51 
6 , 14 , 2010 , 11.65 , 11.42 , 11.56 , 11.52 
6 , 15 , 2010 , 11.66 , 11.47 , 11.53 , 11.66 
6 , 16 , 2010 , 11.69 , 11.52 , 11.61 , 11.58 
6 , 17 , 2010 , 11.58 , 11.37 , 11.58 , 11.48 
6 , 18 , 2010 , 11.67 , 11.44 , 11.49 , 11.49 
6 , 21 , 2010 , 11.58 , 11.21 , 11.55 , 11.27 
6 , 22 , 2010 , 11.42 , 11.11 , 11.29 , 11.12 
6 , 23 , 2010 , 11.26 , 11.00 , 11.09 , 11.18 
6 , 24 , 2010 , 11.21 , 10.98 , 11.21 , 11.04 
6 , 25 , 2010 , 11.04 , 10.78 , 11.04 , 10.79 
6 , 28 , 2010 , 10.93 , 10.77 , 10.82 , 10.81 
6 , 29 , 2010 , 10.75 , 10.46 , 10.65 , 10.51 
6 , 30 , 2010 , 10.68 , 10.45 , 10.52 , 10.49 
7 , 1 , 2010 , 10.75 , 10.38 , 10.48 , 10.73 
7 , 2 , 2010 , 10.80 , 10.56 , 10.74 , 10.59 
7 , 6 , 2010 , 10.88 , 10.52 , 10.83 , 10.61 
7 , 7 , 2010 , 10.88 , 10.59 , 10.65 , 10.88 
7 , 8 , 2010 , 10.76 , 10.23 , 10.72 , 10.38 
7 , 9 , 2010 , 10.44 , 10.30 , 10.40 , 10.43 
7 , 12 , 2010 , 10.52 , 10.40 , 10.43 , 10.50 
7 , 13 , 2010 , 10.73 , 10.54 , 10.63 , 10.69 
7 , 14 , 2010 , 10.68 , 10.51 , 10.68 , 10.62 
7 , 15 , 2010 , 10.74 , 10.51 , 10.61 , 10.72 
7 , 16 , 2010 , 10.69 , 10.28 , 10.69 , 10.31 
7 , 19 , 2010 , 10.45 , 10.30 , 10.30 , 10.35 
7 , 20 , 2010 , 10.52 , 10.15 , 10.25 , 10.51 
7 , 21 , 2010 , 10.60 , 10.38 , 10.56 , 10.43 
7 , 22 , 2010 , 10.64 , 10.50 , 10.51 , 10.56 
7 , 23 , 2010 , 10.73 , 10.50 , 10.57 , 10.72 
7 , 26 , 2010 , 10.75 , 10.59 , 10.69 , 10.74 
7 , 27 , 2010 , 10.77 , 10.45 , 10.77 , 10.57 
7 , 28 , 2010 , 10.70 , 10.38 , 10.57 , 10.41 
7 , 29 , 2010 , 10.49 , 10.02 , 10.46 , 10.23 
7 , 30 , 2010 , 10.41 , 10.11 , 10.17 , 10.38 
8 , 2 , 2010 , 10.59 , 10.43 , 10.48 , 10.50 
8 , 3 , 2010 , 10.48 , 10.16 , 10.45 , 10.26 
8 , 4 , 2010 , 10.40 , 10.26 , 10.33 , 10.29 
