Month , Day , Year , High , Low , Open , Close
3 , 17 , 2010 , 50.13 , 49.46 , 49.46 , 49.97 
3 , 18 , 2010 , 50.25 , 49.64 , 49.99 , 49.86 
3 , 19 , 2010 , 50.19 , 49.56 , 50.14 , 49.88 
3 , 22 , 2010 , 50.88 , 49.56 , 49.85 , 50.80 
3 , 23 , 2010 , 50.97 , 50.15 , 50.82 , 50.85 
3 , 24 , 2010 , 50.85 , 50.38 , 50.85 , 50.73 
3 , 25 , 2010 , 51.33 , 50.35 , 50.94 , 50.40 
3 , 26 , 2010 , 50.57 , 49.71 , 50.57 , 50.01 
3 , 29 , 2010 , 50.51 , 49.91 , 50.18 , 50.51 
3 , 30 , 2010 , 52.39 , 50.40 , 50.54 , 51.66 
3 , 31 , 2010 , 51.58 , 51.19 , 51.44 , 51.44 
4 , 1 , 2010 , 52.94 , 51.35 , 51.58 , 51.77 
4 , 5 , 2010 , 52.16 , 51.63 , 51.81 , 51.87 
4 , 6 , 2010 , 51.85 , 51.43 , 51.61 , 51.70 
4 , 7 , 2010 , 51.85 , 51.30 , 51.85 , 51.58 
4 , 8 , 2010 , 51.46 , 50.87 , 51.42 , 51.43 
4 , 9 , 2010 , 52.28 , 51.24 , 51.40 , 52.28 
4 , 12 , 2010 , 52.40 , 51.87 , 52.38 , 52.14 
4 , 13 , 2010 , 52.41 , 51.51 , 51.93 , 52.31 
4 , 14 , 2010 , 53.70 , 51.66 , 52.18 , 53.68 
4 , 15 , 2010 , 54.15 , 53.14 , 53.50 , 54.13 
4 , 16 , 2010 , 53.98 , 52.66 , 53.98 , 53.26 
4 , 19 , 2010 , 53.55 , 52.81 , 53.25 , 53.41 
4 , 20 , 2010 , 54.94 , 53.81 , 53.82 , 54.20 
4 , 21 , 2010 , 54.55 , 53.14 , 54.14 , 53.56 
4 , 22 , 2010 , 53.48 , 52.56 , 53.47 , 53.42 
4 , 23 , 2010 , 53.74 , 53.16 , 53.41 , 53.70 
4 , 26 , 2010 , 55.00 , 53.83 , 54.87 , 54.01 
4 , 27 , 2010 , 55.00 , 53.59 , 53.61 , 53.68 
4 , 28 , 2010 , 57.10 , 54.82 , 57.02 , 55.93 
4 , 29 , 2010 , 56.78 , 55.39 , 56.11 , 55.94 
4 , 30 , 2010 , 56.50 , 55.23 , 56.06 , 55.28 
