Month , Day , Year , High , Low , Open , Close
7 , 12 , 2013 , 24.99 , 24.52 , 24.94 , 24.94 
7 , 15 , 2013 , 25.72 , 24.92 , 25.60 , 25.34 
7 , 16 , 2013 , 25.33 , 24.21 , 25.27 , 24.37 
7 , 17 , 2013 , 25.04 , 24.22 , 24.56 , 24.50 
7 , 18 , 2013 , 24.75 , 24.39 , 24.60 , 24.55 
7 , 19 , 2013 , 24.80 , 24.42 , 24.59 , 24.56 
7 , 22 , 2013 , 24.72 , 24.42 , 24.57 , 24.51 
7 , 23 , 2013 , 24.69 , 23.96 , 24.60 , 24.22 
7 , 24 , 2013 , 24.50 , 23.99 , 24.26 , 24.21 
7 , 25 , 2013 , 24.43 , 24.15 , 24.26 , 24.41 
7 , 26 , 2013 , 24.52 , 24.11 , 24.28 , 24.17 
7 , 29 , 2013 , 24.24 , 23.83 , 24.20 , 23.94 
7 , 30 , 2013 , 24.44 , 23.74 , 24.15 , 23.78 
7 , 31 , 2013 , 24.22 , 23.75 , 23.85 , 24.11 
8 , 1 , 2013 , 24.35 , 24.06 , 24.34 , 24.23 
8 , 2 , 2013 , 24.74 , 24.16 , 24.25 , 24.72 
8 , 5 , 2013 , 24.78 , 24.40 , 24.67 , 24.70 
8 , 6 , 2013 , 24.82 , 23.93 , 24.66 , 24.06 
8 , 7 , 2013 , 24.21 , 23.55 , 24.20 , 24.01 
8 , 8 , 2013 , 25.74 , 24.55 , 25.74 , 25.00 
8 , 9 , 2013 , 25.90 , 25.13 , 25.16 , 25.23 
8 , 12 , 2013 , 25.70 , 24.96 , 25.59 , 25.01 
8 , 13 , 2013 , 25.28 , 24.44 , 25.07 , 25.01 
8 , 14 , 2013 , 24.96 , 24.25 , 24.92 , 24.40 
8 , 15 , 2013 , 24.32 , 23.88 , 24.21 , 24.14 
8 , 16 , 2013 , 24.14 , 23.75 , 24.05 , 23.85 
8 , 19 , 2013 , 23.75 , 23.11 , 23.65 , 23.33 
8 , 20 , 2013 , 23.66 , 23.15 , 23.30 , 23.49 
8 , 21 , 2013 , 24.18 , 23.22 , 23.73 , 23.29 
8 , 22 , 2013 , 23.89 , 23.50 , 23.59 , 23.63 
8 , 23 , 2013 , 23.99 , 23.69 , 23.83 , 23.89 
8 , 26 , 2013 , 24.06 , 23.75 , 23.99 , 23.83 
8 , 27 , 2013 , 23.73 , 23.41 , 23.62 , 23.58 
8 , 28 , 2013 , 23.62 , 22.95 , 23.53 , 23.14 
8 , 29 , 2013 , 23.50 , 23.04 , 23.08 , 23.24 
8 , 30 , 2013 , 23.50 , 23.20 , 23.42 , 23.35 
9 , 3 , 2013 , 24.35 , 23.52 , 23.57 , 24.04 
9 , 4 , 2013 , 24.64 , 23.94 , 24.02 , 24.64 
9 , 5 , 2013 , 24.88 , 24.31 , 24.69 , 24.58 
9 , 6 , 2013 , 25.01 , 24.51 , 24.88 , 24.53 
9 , 9 , 2013 , 24.88 , 24.47 , 24.56 , 24.74 
9 , 10 , 2013 , 25.32 , 24.81 , 24.84 , 25.26 
9 , 11 , 2013 , 25.57 , 25.12 , 25.26 , 25.55 
9 , 12 , 2013 , 25.74 , 25.33 , 25.63 , 25.44 
9 , 13 , 2013 , 25.64 , 24.51 , 25.41 , 24.71 
9 , 16 , 2013 , 25.10 , 24.62 , 24.94 , 24.67 
9 , 17 , 2013 , 25.15 , 24.57 , 24.74 , 25.09 
9 , 18 , 2013 , 25.32 , 25.01 , 25.09 , 25.20 
9 , 19 , 2013 , 25.34 , 24.85 , 25.34 , 25.06 
9 , 20 , 2013 , 25.11 , 24.70 , 25.05 , 24.97 
9 , 23 , 2013 , 25.11 , 24.67 , 25.06 , 24.92 
9 , 24 , 2013 , 25.87 , 25.01 , 25.10 , 25.44 
9 , 25 , 2013 , 26.49 , 25.50 , 25.52 , 26.08 
9 , 26 , 2013 , 26.67 , 25.99 , 26.16 , 26.12 
9 , 27 , 2013 , 26.10 , 25.60 , 25.93 , 26.07 
9 , 30 , 2013 , 26.16 , 25.65 , 25.80 , 25.97 
10 , 1 , 2013 , 26.72 , 26.29 , 26.35 , 26.44 
10 , 2 , 2013 , 26.66 , 26.05 , 26.31 , 26.61 
10 , 3 , 2013 , 26.77 , 26.34 , 26.37 , 26.48 
10 , 4 , 2013 , 26.73 , 26.34 , 26.47 , 26.38 
10 , 7 , 2013 , 26.35 , 25.94 , 26.29 , 25.95 
10 , 8 , 2013 , 26.19 , 25.68 , 25.98 , 25.82 
10 , 9 , 2013 , 25.80 , 25.13 , 25.80 , 25.36 
10 , 10 , 2013 , 26.29 , 25.73 , 25.76 , 25.97 
10 , 11 , 2013 , 26.34 , 25.81 , 25.81 , 26.21 
10 , 14 , 2013 , 26.50 , 26.07 , 26.07 , 26.48 
10 , 15 , 2013 , 26.56 , 26.12 , 26.29 , 26.19 
10 , 16 , 2013 , 27.00 , 26.37 , 26.46 , 26.86 
10 , 17 , 2013 , 27.45 , 26.75 , 26.75 , 27.44 
10 , 18 , 2013 , 28.13 , 27.55 , 28.09 , 27.69 
10 , 21 , 2013 , 27.99 , 27.34 , 27.88 , 27.36 
10 , 22 , 2013 , 27.69 , 27.10 , 27.45 , 27.47 
10 , 23 , 2013 , 27.48 , 27.09 , 27.27 , 27.40 
10 , 24 , 2013 , 27.61 , 27.28 , 27.45 , 27.58 
10 , 25 , 2013 , 27.74 , 27.26 , 27.66 , 27.56 
10 , 28 , 2013 , 27.59 , 27.23 , 27.56 , 27.44 
10 , 29 , 2013 , 27.83 , 27.49 , 27.50 , 27.70 
10 , 30 , 2013 , 27.83 , 27.34 , 27.72 , 27.82 
10 , 31 , 2013 , 27.85 , 27.13 , 27.81 , 27.73 
11 , 1 , 2013 , 28.25 , 27.61 , 27.83 , 27.89 
11 , 4 , 2013 , 28.40 , 27.63 , 28.40 , 28.34 
11 , 5 , 2013 , 29.50 , 26.93 , 29.25 , 28.12 
11 , 6 , 2013 , 28.70 , 27.96 , 28.56 , 28.03 
11 , 7 , 2013 , 27.98 , 26.45 , 27.98 , 26.56 
11 , 8 , 2013 , 27.70 , 26.50 , 26.61 , 27.68 
11 , 11 , 2013 , 27.95 , 26.93 , 27.61 , 26.97 
11 , 12 , 2013 , 27.26 , 25.53 , 26.25 , 26.09 
11 , 13 , 2013 , 26.12 , 25.73 , 26.09 , 26.05 
11 , 14 , 2013 , 26.25 , 25.28 , 26.10 , 25.50 
11 , 15 , 2013 , 26.26 , 24.90 , 25.03 , 26.05 
11 , 18 , 2013 , 26.45 , 25.92 , 26.45 , 25.99 
11 , 19 , 2013 , 26.26 , 25.81 , 25.97 , 26.10 
11 , 20 , 2013 , 26.60 , 26.08 , 26.08 , 26.36 
11 , 21 , 2013 , 26.80 , 26.24 , 26.41 , 26.78 
11 , 22 , 2013 , 26.76 , 26.13 , 26.71 , 26.43 
11 , 25 , 2013 , 26.58 , 25.91 , 26.58 , 26.12 
11 , 26 , 2013 , 26.44 , 26.04 , 26.14 , 26.34 
11 , 27 , 2013 , 26.56 , 25.91 , 26.48 , 26.06 
11 , 29 , 2013 , 26.17 , 25.78 , 26.10 , 26.01 
12 , 2 , 2013 , 26.50 , 26.01 , 26.03 , 26.49 
