Month , Day , Year , High , Low , Open , Close
3 , 17 , 2010 , 53.54 , 52.85 , 53.35 , 52.99 
3 , 18 , 2010 , 53.71 , 52.95 , 53.08 , 53.38 
3 , 19 , 2010 , 53.60 , 52.78 , 53.58 , 53.46 
3 , 22 , 2010 , 53.58 , 53.18 , 53.30 , 53.39 
3 , 23 , 2010 , 53.90 , 53.35 , 53.55 , 53.90 
3 , 24 , 2010 , 54.26 , 53.70 , 53.86 , 54.06 
3 , 25 , 2010 , 54.50 , 54.01 , 54.30 , 54.08 
3 , 26 , 2010 , 54.74 , 54.16 , 54.28 , 54.35 
3 , 29 , 2010 , 54.82 , 54.35 , 54.48 , 54.76 
3 , 30 , 2010 , 54.83 , 53.80 , 54.83 , 53.93 
3 , 31 , 2010 , 54.15 , 53.69 , 53.80 , 53.94 
4 , 1 , 2010 , 54.33 , 53.59 , 54.24 , 53.92 
4 , 5 , 2010 , 54.15 , 53.18 , 54.15 , 53.33 
4 , 6 , 2010 , 53.18 , 52.43 , 53.16 , 52.59 
4 , 7 , 2010 , 53.19 , 52.28 , 52.52 , 52.50 
4 , 8 , 2010 , 52.52 , 52.19 , 52.32 , 52.26 
4 , 9 , 2010 , 52.46 , 52.14 , 52.36 , 52.40 
4 , 12 , 2010 , 52.68 , 51.93 , 52.54 , 52.02 
4 , 13 , 2010 , 52.42 , 51.92 , 51.92 , 52.22 
4 , 14 , 2010 , 52.96 , 52.18 , 52.19 , 52.91 
4 , 15 , 2010 , 52.97 , 52.32 , 52.86 , 52.88 
4 , 16 , 2010 , 53.21 , 52.05 , 52.86 , 52.14 
4 , 19 , 2010 , 53.20 , 51.94 , 52.04 , 53.19 
4 , 20 , 2010 , 53.47 , 52.79 , 53.40 , 53.17 
4 , 21 , 2010 , 53.12 , 52.41 , 52.99 , 52.80 
4 , 22 , 2010 , 53.84 , 52.18 , 52.44 , 53.79 
4 , 23 , 2010 , 53.66 , 52.73 , 52.87 , 53.38 
4 , 26 , 2010 , 53.38 , 51.86 , 53.20 , 51.92 
4 , 27 , 2010 , 51.83 , 50.48 , 51.59 , 50.53 
4 , 28 , 2010 , 51.26 , 50.34 , 50.38 , 51.12 
4 , 29 , 2010 , 51.42 , 50.70 , 51.32 , 51.42 
4 , 30 , 2010 , 51.35 , 50.49 , 51.23 , 50.74 
5 , 3 , 2010 , 51.28 , 50.76 , 50.88 , 51.21 
5 , 4 , 2010 , 50.74 , 49.81 , 50.60 , 50.00 
5 , 5 , 2010 , 51.05 , 49.75 , 49.78 , 50.62 
5 , 6 , 2010 , 51.16 , 48.53 , 50.58 , 49.80 
5 , 7 , 2010 , 50.23 , 48.82 , 49.67 , 49.26 
5 , 10 , 2010 , 50.73 , 49.46 , 50.73 , 50.09 
5 , 11 , 2010 , 50.20 , 49.52 , 49.60 , 49.78 
5 , 12 , 2010 , 50.25 , 49.38 , 50.01 , 50.19 
5 , 13 , 2010 , 50.82 , 50.01 , 50.10 , 50.17 
5 , 14 , 2010 , 50.83 , 49.87 , 49.87 , 50.12 
5 , 17 , 2010 , 50.48 , 49.35 , 50.20 , 50.12 
5 , 18 , 2010 , 50.78 , 49.69 , 50.50 , 49.83 
5 , 19 , 2010 , 50.37 , 49.41 , 49.74 , 50.14 
5 , 20 , 2010 , 50.19 , 48.38 , 49.15 , 48.42 
5 , 21 , 2010 , 49.26 , 47.91 , 48.00 , 49.23 
5 , 24 , 2010 , 49.37 , 48.43 , 49.23 , 48.49 
5 , 25 , 2010 , 48.72 , 47.69 , 47.69 , 48.67 
5 , 26 , 2010 , 48.80 , 47.87 , 48.66 , 48.00 
5 , 27 , 2010 , 49.77 , 48.46 , 48.48 , 49.73 
5 , 28 , 2010 , 50.05 , 49.28 , 49.91 , 49.47 
6 , 1 , 2010 , 49.64 , 48.54 , 49.12 , 48.60 
6 , 2 , 2010 , 49.78 , 48.55 , 48.81 , 49.78 
6 , 3 , 2010 , 49.99 , 49.39 , 49.81 , 49.72 
6 , 4 , 2010 , 49.54 , 48.43 , 49.10 , 48.61 
6 , 7 , 2010 , 48.82 , 48.26 , 48.62 , 48.27 
6 , 8 , 2010 , 49.12 , 47.77 , 47.77 , 49.09 
6 , 9 , 2010 , 49.54 , 48.72 , 49.39 , 48.79 
6 , 10 , 2010 , 50.03 , 49.19 , 49.26 , 49.99 
6 , 11 , 2010 , 50.42 , 49.63 , 49.76 , 50.41 
6 , 14 , 2010 , 50.80 , 50.03 , 50.80 , 50.05 
6 , 15 , 2010 , 51.29 , 50.15 , 50.50 , 51.23 
6 , 16 , 2010 , 51.05 , 50.41 , 50.97 , 50.83 
6 , 17 , 2010 , 51.73 , 50.82 , 51.04 , 51.71 
6 , 18 , 2010 , 51.91 , 51.26 , 51.80 , 51.35 
6 , 21 , 2010 , 52.00 , 51.02 , 51.75 , 51.17 
6 , 22 , 2010 , 51.84 , 50.99 , 51.40 , 51.01 
6 , 23 , 2010 , 51.40 , 50.88 , 51.03 , 51.11 
