Month , Day , Year , High , Low , Open , Close
9 , 9 , 2010 , 1.40 , 1.38 , 1.40 , 1.38 
9 , 10 , 2010 , 1.40 , 1.32 , 1.38 , 1.34 
9 , 13 , 2010 , 1.39 , 1.37 , 1.39 , 1.38 
9 , 14 , 2010 , 1.44 , 1.37 , 1.37 , 1.41 
9 , 15 , 2010 , 1.47 , 1.39 , 1.40 , 1.47 
9 , 16 , 2010 , 1.54 , 1.39 , 1.48 , 1.40 
9 , 17 , 2010 , 1.42 , 1.32 , 1.40 , 1.35 
9 , 20 , 2010 , 1.42 , 1.34 , 1.38 , 1.40 
9 , 21 , 2010 , 1.44 , 1.38 , 1.39 , 1.38 
9 , 22 , 2010 , 1.40 , 1.32 , 1.39 , 1.32 
9 , 23 , 2010 , 1.34 , 1.30 , 1.33 , 1.30 
9 , 24 , 2010 , 1.35 , 1.31 , 1.33 , 1.34 
9 , 27 , 2010 , 1.39 , 1.34 , 1.36 , 1.37 
9 , 28 , 2010 , 1.43 , 1.38 , 1.40 , 1.43 
9 , 29 , 2010 , 1.47 , 1.41 , 1.41 , 1.47 
9 , 30 , 2010 , 1.48 , 1.35 , 1.47 , 1.36 
10 , 1 , 2010 , 1.38 , 1.35 , 1.38 , 1.37 
10 , 4 , 2010 , 1.41 , 1.35 , 1.36 , 1.40 
10 , 5 , 2010 , 1.42 , 1.40 , 1.41 , 1.41 
10 , 6 , 2010 , 1.42 , 1.35 , 1.40 , 1.36 
10 , 7 , 2010 , 1.38 , 1.36 , 1.37 , 1.36 
10 , 8 , 2010 , 1.39 , 1.36 , 1.36 , 1.36 
10 , 11 , 2010 , 1.38 , 1.34 , 1.36 , 1.35 
10 , 12 , 2010 , 1.35 , 1.34 , 1.35 , 1.35 
10 , 13 , 2010 , 1.39 , 1.36 , 1.37 , 1.37 
10 , 14 , 2010 , 1.40 , 1.36 , 1.40 , 1.38 
10 , 15 , 2010 , 1.39 , 1.35 , 1.39 , 1.37 
10 , 18 , 2010 , 1.38 , 1.35 , 1.37 , 1.35 
10 , 19 , 2010 , 1.36 , 1.33 , 1.35 , 1.34 
10 , 20 , 2010 , 1.38 , 1.34 , 1.34 , 1.38 
10 , 21 , 2010 , 1.40 , 1.36 , 1.37 , 1.38 
10 , 22 , 2010 , 1.40 , 1.37 , 1.38 , 1.38 
10 , 25 , 2010 , 1.40 , 1.38 , 1.40 , 1.39 
10 , 26 , 2010 , 1.46 , 1.37 , 1.39 , 1.42 
10 , 27 , 2010 , 1.43 , 1.38 , 1.42 , 1.40 
10 , 28 , 2010 , 1.43 , 1.40 , 1.43 , 1.41 
10 , 29 , 2010 , 1.46 , 1.40 , 1.41 , 1.46 
11 , 1 , 2010 , 1.52 , 1.42 , 1.46 , 1.43 
11 , 2 , 2010 , 1.46 , 1.40 , 1.45 , 1.42 
11 , 3 , 2010 , 1.50 , 1.41 , 1.42 , 1.45 
11 , 4 , 2010 , 1.69 , 1.48 , 1.51 , 1.66 
11 , 5 , 2010 , 1.66 , 1.58 , 1.66 , 1.63 
11 , 8 , 2010 , 1.67 , 1.60 , 1.63 , 1.67 
11 , 9 , 2010 , 1.71 , 1.60 , 1.67 , 1.64 
11 , 10 , 2010 , 2.00 , 1.60 , 1.63 , 1.96 
11 , 11 , 2010 , 1.94 , 1.82 , 1.91 , 1.87 
11 , 12 , 2010 , 2.03 , 1.87 , 1.88 , 1.99 
11 , 15 , 2010 , 2.20 , 2.01 , 2.01 , 2.05 
11 , 16 , 2010 , 2.09 , 1.89 , 2.07 , 1.98 
11 , 17 , 2010 , 2.05 , 1.91 , 2.01 , 1.97 
11 , 18 , 2010 , 2.05 , 1.93 , 2.04 , 1.99 
11 , 19 , 2010 , 2.09 , 1.98 , 2.01 , 2.07 
11 , 22 , 2010 , 2.23 , 2.10 , 2.10 , 2.23 
11 , 23 , 2010 , 2.38 , 2.15 , 2.22 , 2.30 
11 , 24 , 2010 , 2.40 , 2.29 , 2.35 , 2.36 
11 , 26 , 2010 , 2.40 , 2.32 , 2.37 , 2.35 
11 , 29 , 2010 , 2.40 , 2.22 , 2.36 , 2.29 
11 , 30 , 2010 , 2.36 , 2.23 , 2.25 , 2.36 
12 , 1 , 2010 , 2.43 , 2.23 , 2.39 , 2.29 
12 , 2 , 2010 , 2.29 , 2.08 , 2.27 , 2.16 
12 , 3 , 2010 , 2.15 , 2.06 , 2.13 , 2.10 
12 , 6 , 2010 , 2.10 , 1.97 , 2.09 , 2.02 
12 , 7 , 2010 , 2.16 , 2.00 , 2.03 , 2.10 
12 , 8 , 2010 , 2.17 , 2.10 , 2.17 , 2.16 
12 , 9 , 2010 , 2.18 , 2.11 , 2.17 , 2.14 
12 , 10 , 2010 , 2.19 , 2.08 , 2.14 , 2.10 
12 , 13 , 2010 , 2.12 , 2.03 , 2.11 , 2.04 
12 , 14 , 2010 , 2.03 , 1.85 , 2.02 , 1.90 
12 , 15 , 2010 , 2.00 , 1.90 , 1.91 , 1.97 
12 , 16 , 2010 , 2.06 , 1.98 , 2.00 , 2.05 
12 , 17 , 2010 , 2.10 , 2.05 , 2.09 , 2.09 
12 , 20 , 2010 , 2.15 , 2.08 , 2.11 , 2.11 
12 , 21 , 2010 , 2.18 , 2.11 , 2.12 , 2.15 
12 , 22 , 2010 , 2.19 , 2.11 , 2.15 , 2.18 
12 , 23 , 2010 , 2.17 , 1.99 , 2.08 , 2.01 
12 , 27 , 2010 , 1.91 , 1.67 , 1.87 , 1.70 
12 , 28 , 2010 , 1.78 , 1.67 , 1.72 , 1.76 
12 , 29 , 2010 , 1.87 , 1.77 , 1.80 , 1.85 
