Month , Day , Year , High , Low , Open , Close
3 , 17 , 2010 , 27.83 , 27.21 , 27.70 , 27.30 
3 , 18 , 2010 , 27.50 , 27.07 , 27.36 , 27.41 
3 , 19 , 2010 , 27.64 , 26.78 , 27.52 , 27.05 
3 , 22 , 2010 , 27.66 , 26.69 , 26.79 , 27.63 
3 , 23 , 2010 , 28.09 , 27.56 , 27.56 , 28.04 
3 , 24 , 2010 , 27.98 , 27.00 , 27.89 , 27.07 
3 , 25 , 2010 , 27.64 , 26.78 , 27.28 , 26.78 
3 , 26 , 2010 , 27.09 , 26.66 , 26.80 , 26.87 
3 , 29 , 2010 , 27.23 , 26.85 , 27.01 , 26.88 
3 , 30 , 2010 , 27.62 , 26.92 , 27.01 , 27.06 
3 , 31 , 2010 , 27.24 , 26.87 , 26.95 , 27.05 
4 , 1 , 2010 , 27.91 , 27.29 , 27.31 , 27.58 
4 , 5 , 2010 , 28.24 , 27.66 , 27.66 , 28.16 
4 , 6 , 2010 , 28.38 , 27.90 , 27.94 , 28.27 
4 , 7 , 2010 , 28.56 , 28.01 , 28.15 , 28.44 
4 , 8 , 2010 , 28.63 , 27.97 , 28.11 , 28.56 
4 , 9 , 2010 , 28.99 , 28.45 , 28.60 , 28.96 
4 , 12 , 2010 , 29.44 , 28.89 , 29.40 , 29.05 
4 , 13 , 2010 , 29.05 , 28.54 , 29.05 , 28.70 
4 , 14 , 2010 , 29.04 , 28.71 , 28.93 , 28.98 
4 , 15 , 2010 , 29.53 , 28.77 , 28.91 , 29.34 
4 , 16 , 2010 , 29.46 , 28.70 , 29.29 , 28.83 
4 , 19 , 2010 , 28.93 , 28.39 , 28.64 , 28.91 
4 , 20 , 2010 , 29.71 , 29.18 , 29.18 , 29.52 
4 , 21 , 2010 , 29.68 , 29.40 , 29.48 , 29.67 
4 , 22 , 2010 , 30.57 , 29.10 , 29.51 , 30.26 
4 , 23 , 2010 , 28.88 , 27.70 , 28.55 , 28.78 
4 , 26 , 2010 , 29.81 , 28.76 , 28.79 , 29.36 
4 , 27 , 2010 , 29.47 , 28.32 , 29.32 , 28.46 
4 , 28 , 2010 , 28.85 , 28.22 , 28.67 , 28.35 
4 , 29 , 2010 , 29.00 , 28.54 , 28.66 , 28.91 
4 , 30 , 2010 , 29.48 , 28.50 , 28.87 , 28.69 
5 , 3 , 2010 , 29.56 , 28.81 , 28.83 , 29.52 
5 , 4 , 2010 , 29.02 , 28.23 , 29.00 , 28.40 
5 , 5 , 2010 , 29.39 , 27.74 , 28.01 , 28.98 
5 , 6 , 2010 , 29.25 , 26.35 , 28.65 , 28.08 
5 , 7 , 2010 , 28.79 , 27.07 , 27.91 , 27.34 
5 , 10 , 2010 , 29.56 , 28.24 , 28.72 , 29.18 
5 , 11 , 2010 , 29.81 , 28.68 , 28.73 , 29.56 
5 , 12 , 2010 , 30.74 , 29.85 , 29.91 , 30.73 
5 , 13 , 2010 , 31.50 , 30.32 , 30.49 , 31.04 
5 , 14 , 2010 , 30.77 , 29.77 , 30.77 , 30.06 
5 , 17 , 2010 , 30.26 , 29.33 , 30.19 , 30.05 
5 , 18 , 2010 , 30.24 , 29.36 , 29.53 , 29.49 
5 , 19 , 2010 , 29.66 , 28.43 , 29.36 , 28.74 
5 , 20 , 2010 , 28.22 , 27.25 , 28.08 , 27.54 
5 , 21 , 2010 , 27.96 , 26.91 , 27.07 , 27.83 
5 , 24 , 2010 , 28.23 , 27.59 , 27.59 , 27.70 
5 , 25 , 2010 , 27.74 , 26.66 , 26.97 , 27.66 
5 , 26 , 2010 , 28.57 , 27.87 , 27.99 , 28.03 
5 , 27 , 2010 , 29.30 , 28.65 , 28.70 , 29.23 
5 , 28 , 2010 , 29.43 , 28.67 , 29.43 , 28.94 
6 , 1 , 2010 , 29.69 , 28.53 , 28.53 , 29.08 
6 , 2 , 2010 , 29.88 , 28.92 , 29.21 , 29.88 
6 , 3 , 2010 , 30.48 , 29.98 , 30.01 , 30.39 
6 , 4 , 2010 , 29.99 , 28.72 , 29.78 , 28.88 
6 , 7 , 2010 , 29.11 , 28.08 , 28.88 , 28.16 
6 , 8 , 2010 , 28.39 , 27.69 , 28.16 , 28.29 
6 , 9 , 2010 , 28.85 , 27.97 , 28.60 , 28.09 
6 , 10 , 2010 , 29.06 , 28.42 , 28.70 , 28.94 
6 , 11 , 2010 , 29.29 , 28.42 , 28.42 , 29.25 
6 , 14 , 2010 , 30.12 , 29.47 , 29.47 , 29.54 
6 , 15 , 2010 , 30.79 , 29.85 , 29.90 , 30.75 
6 , 16 , 2010 , 30.92 , 30.36 , 30.36 , 30.69 
6 , 17 , 2010 , 30.95 , 30.08 , 30.87 , 30.45 
6 , 18 , 2010 , 30.81 , 30.26 , 30.48 , 30.58 
6 , 21 , 2010 , 31.54 , 30.78 , 30.94 , 31.02 
6 , 22 , 2010 , 31.29 , 30.18 , 31.07 , 30.28 
6 , 23 , 2010 , 30.50 , 29.57 , 30.37 , 29.94 
6 , 24 , 2010 , 29.98 , 29.27 , 29.73 , 29.67 
6 , 25 , 2010 , 29.77 , 28.95 , 29.60 , 29.48 
6 , 28 , 2010 , 29.51 , 28.66 , 29.46 , 28.71 
6 , 29 , 2010 , 28.33 , 27.17 , 28.24 , 27.37 
6 , 30 , 2010 , 27.76 , 26.70 , 27.49 , 26.76 
7 , 1 , 2010 , 27.02 , 25.69 , 27.02 , 26.13 
7 , 2 , 2010 , 26.47 , 25.80 , 26.24 , 25.85 
7 , 6 , 2010 , 26.75 , 25.78 , 26.25 , 25.97 
7 , 7 , 2010 , 26.48 , 25.90 , 26.00 , 26.42 
7 , 8 , 2010 , 26.72 , 26.31 , 26.52 , 26.57 
7 , 9 , 2010 , 26.59 , 26.11 , 26.42 , 26.41 
7 , 12 , 2010 , 26.62 , 26.10 , 26.34 , 26.30 
7 , 13 , 2010 , 27.26 , 26.47 , 26.47 , 27.21 
7 , 14 , 2010 , 27.32 , 26.65 , 26.93 , 27.13 
7 , 15 , 2010 , 27.18 , 26.50 , 27.01 , 27.10 
7 , 16 , 2010 , 27.17 , 26.57 , 27.04 , 26.66 
7 , 19 , 2010 , 27.25 , 26.49 , 26.67 , 27.14 
7 , 20 , 2010 , 27.78 , 26.60 , 26.69 , 27.71 
7 , 21 , 2010 , 28.39 , 27.71 , 27.93 , 27.97 
7 , 22 , 2010 , 28.76 , 28.23 , 28.23 , 28.55 
7 , 23 , 2010 , 29.00 , 26.97 , 27.45 , 28.93 
7 , 26 , 2010 , 29.67 , 28.81 , 28.84 , 29.56 
7 , 27 , 2010 , 29.77 , 29.15 , 29.77 , 29.51 
7 , 28 , 2010 , 29.55 , 29.14 , 29.32 , 29.28 
7 , 29 , 2010 , 29.62 , 28.79 , 29.42 , 29.05 
7 , 30 , 2010 , 29.25 , 28.53 , 28.61 , 29.06 
8 , 2 , 2010 , 29.74 , 29.18 , 29.53 , 29.48 
8 , 3 , 2010 , 29.47 , 28.94 , 29.22 , 29.09 
8 , 4 , 2010 , 29.48 , 29.14 , 29.20 , 29.46 
8 , 5 , 2010 , 29.67 , 29.23 , 29.36 , 29.60 
8 , 6 , 2010 , 29.46 , 28.94 , 29.14 , 29.16 
8 , 9 , 2010 , 29.50 , 28.99 , 29.36 , 29.15 
8 , 10 , 2010 , 28.92 , 28.37 , 28.73 , 28.66 
8 , 11 , 2010 , 28.12 , 27.42 , 28.12 , 27.45 
8 , 12 , 2010 , 27.58 , 26.89 , 26.89 , 27.35 
8 , 13 , 2010 , 27.63 , 27.21 , 27.22 , 27.38 
8 , 16 , 2010 , 27.51 , 27.02 , 27.18 , 27.23 
8 , 17 , 2010 , 28.23 , 27.32 , 27.56 , 27.99 
8 , 18 , 2010 , 28.23 , 27.58 , 28.01 , 28.03 
8 , 19 , 2010 , 28.10 , 27.38 , 27.87 , 27.58 
8 , 20 , 2010 , 27.40 , 27.07 , 27.38 , 27.32 
8 , 23 , 2010 , 27.61 , 26.89 , 27.42 , 26.93 
8 , 24 , 2010 , 26.63 , 25.99 , 26.49 , 26.05 
8 , 25 , 2010 , 25.99 , 25.53 , 25.78 , 25.95 
8 , 26 , 2010 , 26.35 , 25.79 , 26.17 , 25.86 
8 , 27 , 2010 , 26.43 , 25.52 , 26.00 , 26.26 
8 , 30 , 2010 , 26.33 , 25.69 , 26.14 , 25.71 
8 , 31 , 2010 , 25.80 , 25.15 , 25.52 , 25.24 
9 , 1 , 2010 , 26.42 , 25.45 , 25.45 , 26.14 
9 , 2 , 2010 , 26.62 , 26.08 , 26.27 , 26.62 
9 , 3 , 2010 , 27.22 , 26.68 , 26.84 , 26.90 
9 , 7 , 2010 , 26.80 , 26.38 , 26.80 , 26.48 
9 , 8 , 2010 , 26.91 , 26.45 , 26.51 , 26.68 
9 , 9 , 2010 , 27.06 , 26.37 , 27.01 , 26.54 
9 , 10 , 2010 , 27.04 , 26.54 , 26.58 , 26.83 
9 , 13 , 2010 , 27.32 , 26.96 , 27.17 , 27.05 
9 , 14 , 2010 , 27.07 , 26.68 , 26.89 , 26.82 
9 , 15 , 2010 , 26.66 , 26.23 , 26.59 , 26.26 
9 , 16 , 2010 , 26.81 , 26.08 , 26.08 , 26.76 
9 , 17 , 2010 , 27.12 , 26.67 , 26.86 , 27.07 
9 , 20 , 2010 , 27.76 , 26.93 , 27.11 , 27.69 
9 , 21 , 2010 , 28.09 , 27.59 , 27.64 , 27.89 
9 , 22 , 2010 , 28.03 , 27.39 , 27.84 , 27.65 
9 , 23 , 2010 , 27.47 , 26.96 , 27.30 , 27.05 
9 , 24 , 2010 , 27.67 , 27.29 , 27.46 , 27.38 
9 , 27 , 2010 , 27.37 , 26.82 , 27.37 , 27.06 
9 , 28 , 2010 , 27.66 , 26.59 , 27.01 , 27.59 
9 , 29 , 2010 , 27.77 , 27.32 , 27.46 , 27.71 
9 , 30 , 2010 , 28.24 , 27.54 , 27.80 , 27.70 
10 , 1 , 2010 , 28.08 , 27.70 , 28.04 , 27.86 
10 , 4 , 2010 , 28.53 , 27.65 , 27.93 , 27.97 
10 , 5 , 2010 , 29.06 , 28.16 , 28.50 , 28.83 
10 , 6 , 2010 , 29.67 , 28.90 , 28.94 , 29.61 
10 , 7 , 2010 , 29.87 , 29.48 , 29.63 , 29.77 
10 , 8 , 2010 , 30.14 , 29.59 , 29.70 , 29.98 
10 , 11 , 2010 , 30.18 , 29.85 , 30.12 , 29.94 
10 , 12 , 2010 , 30.05 , 29.43 , 29.74 , 29.94 
10 , 13 , 2010 , 30.53 , 30.00 , 30.24 , 30.31 
10 , 14 , 2010 , 30.57 , 29.98 , 30.23 , 30.10 
10 , 15 , 2010 , 30.52 , 29.75 , 30.43 , 30.05 
10 , 18 , 2010 , 30.27 , 29.86 , 30.07 , 30.13 
10 , 19 , 2010 , 29.97 , 29.36 , 29.87 , 29.47 
10 , 20 , 2010 , 29.99 , 29.50 , 29.50 , 29.81 
10 , 21 , 2010 , 30.34 , 29.74 , 29.89 , 30.22 
10 , 22 , 2010 , 30.64 , 29.50 , 29.90 , 30.53 
10 , 25 , 2010 , 31.13 , 30.54 , 30.67 , 30.93 
10 , 26 , 2010 , 30.93 , 30.22 , 30.65 , 30.78 
10 , 27 , 2010 , 30.64 , 30.16 , 30.46 , 30.53 
10 , 28 , 2010 , 30.83 , 30.18 , 30.82 , 30.33 
10 , 29 , 2010 , 30.63 , 30.05 , 30.20 , 30.50 
11 , 1 , 2010 , 30.99 , 30.56 , 30.64 , 30.77 
11 , 2 , 2010 , 30.99 , 30.51 , 30.99 , 30.65 
11 , 3 , 2010 , 30.95 , 30.34 , 30.59 , 30.74 
11 , 4 , 2010 , 31.52 , 30.91 , 30.99 , 31.50 
11 , 5 , 2010 , 31.88 , 31.23 , 31.31 , 31.83 
11 , 8 , 2010 , 31.97 , 31.19 , 31.52 , 31.85 
11 , 9 , 2010 , 31.95 , 31.40 , 31.87 , 31.55 
11 , 10 , 2010 , 31.98 , 31.09 , 31.43 , 31.92 
11 , 11 , 2010 , 33.36 , 32.85 , 33.04 , 33.30 
11 , 12 , 2010 , 33.12 , 32.45 , 33.00 , 32.59 
11 , 15 , 2010 , 32.89 , 32.54 , 32.77 , 32.73 
11 , 16 , 2010 , 32.63 , 31.81 , 32.61 , 32.13 
11 , 17 , 2010 , 32.34 , 31.47 , 32.34 , 31.72 
11 , 18 , 2010 , 32.47 , 31.89 , 32.47 , 31.97 
11 , 19 , 2010 , 31.99 , 31.49 , 31.78 , 31.74 
11 , 22 , 2010 , 31.97 , 31.50 , 31.63 , 31.92 
11 , 23 , 2010 , 31.57 , 30.93 , 31.48 , 31.16 
11 , 24 , 2010 , 31.96 , 31.35 , 31.41 , 31.91 
11 , 26 , 2010 , 31.97 , 31.40 , 31.67 , 31.67 
11 , 29 , 2010 , 31.95 , 31.39 , 31.43 , 31.87 
11 , 30 , 2010 , 32.05 , 31.29 , 31.43 , 31.81 
12 , 1 , 2010 , 32.93 , 32.32 , 32.32 , 32.66 
12 , 2 , 2010 , 33.16 , 32.52 , 32.69 , 33.12 
12 , 3 , 2010 , 33.30 , 32.78 , 32.80 , 33.29 
12 , 6 , 2010 , 33.51 , 32.88 , 33.20 , 33.37 
12 , 7 , 2010 , 34.21 , 33.68 , 33.71 , 33.89 
12 , 8 , 2010 , 34.10 , 33.68 , 33.89 , 33.86 
12 , 9 , 2010 , 34.30 , 33.90 , 34.07 , 34.20 
12 , 10 , 2010 , 34.60 , 34.11 , 34.22 , 34.45 
12 , 13 , 2010 , 34.91 , 34.27 , 34.60 , 34.75 
12 , 14 , 2010 , 35.64 , 34.70 , 34.88 , 35.52 
12 , 15 , 2010 , 35.86 , 35.41 , 35.53 , 35.69 
