Month , Day , Year , High , Low , Open , Close
3 , 17 , 2010 , 25.00 , 24.56 , 24.56 , 24.91 
3 , 18 , 2010 , 25.00 , 24.55 , 24.89 , 24.72 
3 , 19 , 2010 , 24.73 , 24.13 , 24.72 , 24.36 
3 , 22 , 2010 , 24.75 , 24.17 , 24.22 , 24.73 
3 , 23 , 2010 , 25.48 , 24.73 , 24.80 , 25.45 
3 , 24 , 2010 , 25.33 , 24.72 , 25.31 , 24.79 
3 , 25 , 2010 , 25.22 , 24.78 , 25.16 , 24.79 
3 , 26 , 2010 , 25.03 , 24.51 , 24.91 , 24.75 
3 , 29 , 2010 , 25.07 , 24.62 , 24.86 , 24.73 
3 , 30 , 2010 , 24.89 , 24.50 , 24.73 , 24.61 
3 , 31 , 2010 , 24.77 , 24.38 , 24.58 , 24.47 
4 , 1 , 2010 , 25.00 , 24.44 , 24.64 , 24.63 
4 , 5 , 2010 , 25.50 , 24.66 , 24.73 , 25.39 
4 , 6 , 2010 , 25.30 , 24.93 , 25.24 , 25.05 
4 , 7 , 2010 , 25.40 , 24.89 , 25.11 , 25.32 
4 , 8 , 2010 , 25.32 , 24.72 , 25.12 , 24.72 
4 , 9 , 2010 , 24.97 , 24.62 , 24.87 , 24.94 
4 , 12 , 2010 , 25.98 , 25.24 , 25.26 , 25.69 
4 , 13 , 2010 , 26.00 , 25.58 , 25.63 , 25.87 
4 , 14 , 2010 , 26.91 , 26.38 , 26.41 , 26.90 
4 , 15 , 2010 , 27.00 , 26.60 , 26.87 , 26.99 
4 , 16 , 2010 , 26.81 , 26.35 , 26.73 , 26.58 
4 , 19 , 2010 , 26.68 , 25.91 , 26.47 , 26.43 
4 , 20 , 2010 , 26.84 , 26.40 , 26.60 , 26.65 
4 , 21 , 2010 , 26.90 , 26.06 , 26.74 , 26.42 
4 , 22 , 2010 , 26.60 , 25.40 , 25.95 , 26.50 
4 , 23 , 2010 , 26.75 , 26.03 , 26.47 , 26.67 
4 , 26 , 2010 , 27.35 , 26.79 , 26.86 , 27.16 
4 , 27 , 2010 , 27.44 , 26.41 , 26.80 , 26.54 
4 , 28 , 2010 , 26.76 , 26.09 , 26.75 , 26.40 
4 , 29 , 2010 , 27.05 , 26.36 , 26.64 , 27.01 
4 , 30 , 2010 , 26.95 , 26.01 , 26.91 , 26.01 
5 , 3 , 2010 , 26.72 , 26.10 , 26.23 , 26.45 
5 , 4 , 2010 , 26.22 , 25.44 , 26.18 , 25.74 
5 , 5 , 2010 , 26.18 , 25.19 , 25.53 , 25.87 
5 , 6 , 2010 , 26.12 , 23.49 , 25.78 , 25.07 
5 , 7 , 2010 , 25.27 , 23.96 , 24.91 , 24.74 
5 , 10 , 2010 , 26.00 , 25.45 , 25.68 , 25.82 
5 , 11 , 2010 , 26.15 , 25.25 , 25.50 , 25.65 
5 , 12 , 2010 , 26.15 , 25.67 , 25.81 , 26.10 
5 , 13 , 2010 , 26.09 , 25.41 , 25.98 , 25.49 
5 , 14 , 2010 , 25.36 , 24.50 , 25.27 , 24.88 
5 , 17 , 2010 , 25.50 , 24.66 , 24.95 , 25.42 
5 , 18 , 2010 , 25.66 , 24.39 , 25.60 , 24.54 
5 , 19 , 2010 , 24.87 , 24.10 , 24.43 , 24.65 
5 , 20 , 2010 , 24.70 , 23.90 , 24.14 , 24.26 
5 , 21 , 2010 , 24.84 , 23.60 , 23.89 , 24.57 
5 , 24 , 2010 , 24.60 , 24.15 , 24.45 , 24.24 
5 , 25 , 2010 , 24.44 , 23.45 , 23.62 , 24.40 
5 , 26 , 2010 , 24.82 , 24.04 , 24.54 , 24.14 
5 , 27 , 2010 , 24.87 , 24.46 , 24.51 , 24.85 
5 , 28 , 2010 , 24.90 , 24.20 , 24.77 , 24.42 
6 , 1 , 2010 , 24.86 , 24.27 , 24.28 , 24.35 
6 , 2 , 2010 , 24.78 , 24.24 , 24.52 , 24.76 
6 , 3 , 2010 , 25.18 , 24.65 , 24.81 , 25.04 
6 , 4 , 2010 , 24.95 , 24.07 , 24.63 , 24.18 
6 , 7 , 2010 , 24.56 , 23.61 , 24.32 , 23.67 
6 , 8 , 2010 , 24.00 , 23.09 , 23.99 , 23.88 
6 , 9 , 2010 , 24.54 , 23.64 , 24.30 , 23.74 
6 , 10 , 2010 , 24.57 , 24.04 , 24.20 , 24.53 
6 , 11 , 2010 , 24.59 , 24.15 , 24.27 , 24.45 
6 , 14 , 2010 , 24.89 , 24.51 , 24.74 , 24.57 
6 , 15 , 2010 , 25.76 , 24.53 , 24.75 , 25.70 
6 , 16 , 2010 , 25.60 , 25.10 , 25.33 , 25.42 
6 , 17 , 2010 , 25.69 , 25.21 , 25.69 , 25.53 
6 , 18 , 2010 , 25.69 , 25.27 , 25.51 , 25.45 
6 , 21 , 2010 , 25.85 , 25.11 , 25.76 , 25.25 
6 , 22 , 2010 , 25.58 , 24.69 , 25.34 , 24.75 
