Month , Day , Year , High , Low , Open , Close
7 , 23 , 2019 , 44.31 , 43.11 , 43.75 , 43.36 
7 , 24 , 2019 , 43.87 , 43.36 , 43.36 , 43.76 
7 , 25 , 2019 , 43.96 , 43.21 , 43.72 , 43.40 
7 , 26 , 2019 , 44.96 , 43.39 , 43.42 , 44.52 
7 , 29 , 2019 , 45.63 , 43.12 , 45.00 , 43.88 
7 , 30 , 2019 , 43.74 , 42.49 , 43.71 , 42.59 
7 , 31 , 2019 , 42.98 , 41.84 , 42.60 , 42.14 
8 , 1 , 2019 , 42.54 , 41.00 , 42.21 , 41.31 
8 , 2 , 2019 , 41.06 , 39.95 , 41.03 , 40.40 
8 , 5 , 2019 , 39.42 , 38.43 , 39.35 , 39.05 
8 , 6 , 2019 , 40.81 , 38.36 , 39.68 , 39.15 
8 , 7 , 2019 , 39.99 , 38.32 , 39.06 , 39.70 
8 , 8 , 2019 , 43.00 , 41.25 , 41.98 , 42.97 
8 , 9 , 2019 , 40.68 , 38.71 , 39.56 , 40.05 
8 , 12 , 2019 , 39.95 , 37.00 , 39.83 , 37.00 
8 , 13 , 2019 , 37.46 , 36.12 , 37.00 , 36.45 
8 , 14 , 2019 , 36.30 , 33.36 , 36.00 , 33.96 
8 , 15 , 2019 , 34.55 , 32.92 , 34.52 , 33.22 
8 , 16 , 2019 , 35.48 , 33.40 , 33.46 , 35.23 
8 , 19 , 2019 , 35.80 , 34.37 , 35.53 , 34.61 
8 , 20 , 2019 , 36.07 , 34.39 , 34.48 , 35.29 
8 , 21 , 2019 , 35.83 , 34.75 , 35.50 , 34.91 
8 , 22 , 2019 , 34.91 , 33.52 , 34.80 , 34.00 
8 , 23 , 2019 , 34.23 , 33.12 , 33.65 , 33.43 
8 , 26 , 2019 , 33.83 , 33.06 , 33.67 , 33.31 
8 , 27 , 2019 , 34.24 , 32.98 , 33.69 , 33.11 
8 , 28 , 2019 , 33.05 , 32.26 , 32.56 , 32.59 
8 , 29 , 2019 , 33.30 , 32.60 , 32.90 , 32.76 
8 , 30 , 2019 , 33.13 , 32.04 , 33.00 , 32.57 
9 , 3 , 2019 , 32.53 , 30.67 , 32.10 , 30.70 
9 , 4 , 2019 , 32.36 , 30.85 , 30.91 , 31.99 
9 , 5 , 2019 , 33.03 , 32.25 , 32.33 , 32.51 
9 , 6 , 2019 , 32.74 , 31.41 , 32.71 , 31.86 
9 , 9 , 2019 , 32.39 , 31.46 , 32.05 , 32.24 
9 , 10 , 2019 , 33.74 , 31.65 , 32.00 , 33.51 
9 , 11 , 2019 , 35.14 , 33.02 , 33.38 , 34.00 
9 , 12 , 2019 , 34.49 , 33.33 , 34.14 , 34.07 
9 , 13 , 2019 , 34.44 , 32.94 , 34.25 , 33.25 
9 , 16 , 2019 , 34.80 , 33.47 , 33.60 , 34.43 
9 , 17 , 2019 , 34.75 , 33.55 , 34.75 , 34.29 
9 , 18 , 2019 , 34.89 , 33.75 , 34.35 , 34.26 
9 , 19 , 2019 , 34.64 , 33.68 , 34.20 , 33.82 
9 , 20 , 2019 , 34.22 , 32.50 , 33.98 , 32.60 
9 , 23 , 2019 , 33.01 , 32.06 , 32.52 , 33.00 
9 , 24 , 2019 , 33.15 , 31.01 , 33.00 , 31.30 
9 , 25 , 2019 , 31.72 , 30.76 , 31.27 , 31.68 
9 , 26 , 2019 , 32.13 , 31.13 , 31.72 , 31.57 
9 , 27 , 2019 , 31.90 , 30.13 , 31.71 , 30.29 
9 , 30 , 2019 , 30.74 , 30.17 , 30.40 , 30.47 
10 , 1 , 2019 , 30.51 , 28.65 , 30.37 , 29.15 
10 , 2 , 2019 , 29.55 , 28.31 , 28.67 , 29.00 
10 , 3 , 2019 , 29.88 , 28.52 , 28.97 , 29.72 
10 , 4 , 2019 , 30.18 , 28.90 , 29.90 , 29.67 
10 , 7 , 2019 , 30.75 , 29.83 , 30.60 , 30.37 
10 , 8 , 2019 , 30.15 , 29.17 , 30.01 , 29.28 
10 , 9 , 2019 , 29.62 , 28.81 , 29.62 , 29.07 
10 , 10 , 2019 , 29.28 , 28.58 , 29.21 , 28.87 
10 , 11 , 2019 , 30.40 , 28.94 , 28.95 , 30.13 
10 , 14 , 2019 , 31.54 , 29.82 , 30.22 , 31.12 
