Month , Day , Year , High , Low , Open , Close
3 , 17 , 2010 , 33.16 , 32.26 , 33.16 , 32.75 
3 , 18 , 2010 , 33.69 , 31.98 , 32.46 , 33.59 
3 , 19 , 2010 , 34.70 , 33.72 , 33.72 , 34.39 
3 , 22 , 2010 , 35.16 , 33.21 , 34.47 , 33.30 
3 , 23 , 2010 , 33.46 , 32.96 , 33.36 , 33.16 
3 , 24 , 2010 , 33.34 , 32.72 , 33.14 , 32.72 
3 , 25 , 2010 , 33.26 , 32.60 , 32.76 , 33.12 
3 , 26 , 2010 , 33.27 , 32.60 , 33.10 , 32.63 
3 , 29 , 2010 , 33.02 , 32.52 , 32.66 , 32.84 
3 , 30 , 2010 , 33.29 , 32.60 , 32.79 , 33.06 
3 , 31 , 2010 , 33.11 , 32.50 , 32.90 , 32.67 
4 , 1 , 2010 , 32.99 , 32.52 , 32.80 , 32.99 
4 , 5 , 2010 , 33.22 , 32.77 , 33.12 , 33.14 
4 , 6 , 2010 , 34.00 , 33.25 , 33.27 , 33.41 
4 , 7 , 2010 , 33.53 , 32.74 , 33.53 , 32.93 
4 , 8 , 2010 , 32.96 , 32.20 , 32.84 , 32.62 
4 , 9 , 2010 , 32.71 , 31.61 , 32.66 , 32.26 
4 , 12 , 2010 , 32.38 , 32.01 , 32.18 , 32.26 
4 , 13 , 2010 , 32.68 , 31.83 , 32.44 , 32.16 
4 , 14 , 2010 , 32.12 , 30.94 , 32.11 , 31.05 
4 , 15 , 2010 , 31.30 , 30.08 , 31.07 , 30.63 
4 , 16 , 2010 , 31.11 , 30.34 , 30.54 , 30.73 
4 , 19 , 2010 , 31.67 , 30.56 , 30.56 , 31.23 
4 , 20 , 2010 , 32.23 , 30.26 , 32.22 , 30.98 
4 , 21 , 2010 , 31.45 , 30.09 , 31.14 , 30.26 
4 , 22 , 2010 , 30.52 , 29.88 , 30.25 , 30.46 
4 , 23 , 2010 , 30.97 , 30.28 , 30.31 , 30.95 
4 , 26 , 2010 , 31.15 , 29.70 , 31.12 , 29.85 
4 , 27 , 2010 , 30.36 , 29.62 , 29.84 , 29.80 
4 , 28 , 2010 , 30.62 , 29.71 , 29.93 , 30.44 
4 , 29 , 2010 , 31.74 , 30.79 , 30.81 , 31.30 
4 , 30 , 2010 , 31.34 , 30.22 , 31.34 , 30.31 
5 , 3 , 2010 , 30.58 , 29.89 , 30.50 , 30.26 
5 , 4 , 2010 , 30.05 , 29.28 , 30.01 , 29.49 
5 , 5 , 2010 , 30.10 , 29.14 , 29.24 , 30.00 
5 , 6 , 2010 , 30.27 , 27.97 , 30.15 , 29.24 
5 , 7 , 2010 , 29.28 , 28.25 , 29.05 , 29.02 
5 , 10 , 2010 , 30.06 , 28.92 , 28.92 , 29.88 
5 , 11 , 2010 , 30.08 , 29.55 , 29.81 , 29.85 
5 , 12 , 2010 , 30.38 , 29.79 , 29.85 , 30.32 
5 , 13 , 2010 , 30.43 , 29.93 , 30.20 , 30.18 
5 , 14 , 2010 , 30.48 , 29.56 , 29.97 , 30.39 
5 , 17 , 2010 , 30.73 , 29.87 , 30.47 , 30.44 
5 , 18 , 2010 , 30.74 , 30.08 , 30.53 , 30.18 
5 , 19 , 2010 , 30.25 , 29.75 , 30.11 , 29.99 
5 , 20 , 2010 , 29.65 , 28.95 , 29.52 , 28.96 
5 , 21 , 2010 , 29.07 , 28.16 , 28.54 , 28.70 
5 , 24 , 2010 , 29.18 , 28.17 , 28.59 , 28.83 
5 , 25 , 2010 , 28.89 , 28.11 , 28.33 , 28.87 
5 , 26 , 2010 , 29.55 , 28.77 , 29.05 , 28.79 
5 , 27 , 2010 , 29.32 , 28.85 , 29.31 , 29.32 
5 , 28 , 2010 , 29.41 , 28.85 , 29.29 , 29.07 
6 , 1 , 2010 , 29.61 , 28.89 , 29.18 , 28.98 
6 , 2 , 2010 , 29.94 , 28.87 , 29.12 , 29.91 
6 , 3 , 2010 , 30.49 , 29.66 , 29.92 , 30.46 
6 , 4 , 2010 , 31.61 , 29.89 , 30.09 , 30.34 
6 , 7 , 2010 , 31.07 , 29.32 , 30.47 , 30.46 
6 , 8 , 2010 , 31.11 , 30.26 , 30.43 , 30.89 
6 , 9 , 2010 , 31.16 , 30.45 , 30.89 , 30.53 
6 , 10 , 2010 , 31.12 , 30.22 , 30.92 , 30.70 
6 , 11 , 2010 , 30.83 , 30.13 , 30.50 , 30.67 
6 , 14 , 2010 , 30.94 , 30.55 , 30.72 , 30.59 
6 , 15 , 2010 , 31.21 , 30.76 , 30.90 , 31.19 
6 , 16 , 2010 , 31.63 , 30.84 , 30.84 , 31.39 
6 , 17 , 2010 , 31.54 , 31.17 , 31.30 , 31.50 
6 , 18 , 2010 , 31.62 , 31.20 , 31.50 , 31.33 
6 , 21 , 2010 , 31.80 , 31.05 , 31.61 , 31.15 
6 , 22 , 2010 , 31.34 , 30.58 , 31.11 , 30.64 
6 , 23 , 2010 , 30.92 , 30.12 , 30.77 , 30.21 
6 , 24 , 2010 , 30.15 , 29.63 , 30.08 , 29.76 
6 , 25 , 2010 , 30.11 , 29.58 , 29.75 , 29.88 
6 , 28 , 2010 , 30.33 , 29.12 , 29.87 , 29.19 
6 , 29 , 2010 , 29.03 , 28.46 , 28.88 , 28.63 
6 , 30 , 2010 , 28.76 , 28.31 , 28.51 , 28.40 
7 , 1 , 2010 , 28.31 , 27.13 , 28.31 , 27.85 
7 , 2 , 2010 , 28.45 , 27.79 , 27.89 , 28.30 
7 , 6 , 2010 , 29.06 , 28.29 , 28.49 , 28.89 
7 , 7 , 2010 , 29.25 , 28.80 , 28.98 , 29.20 
7 , 8 , 2010 , 29.89 , 29.25 , 29.32 , 29.68 
7 , 9 , 2010 , 30.13 , 29.52 , 29.75 , 29.97 
7 , 12 , 2010 , 30.07 , 29.61 , 29.91 , 30.04 
7 , 13 , 2010 , 30.27 , 29.80 , 30.24 , 30.14 
7 , 14 , 2010 , 30.39 , 29.78 , 30.00 , 30.32 
7 , 15 , 2010 , 30.93 , 30.12 , 30.32 , 30.88 
7 , 16 , 2010 , 31.12 , 30.15 , 30.73 , 30.34 
7 , 19 , 2010 , 30.96 , 30.29 , 30.48 , 30.82 
7 , 20 , 2010 , 31.49 , 30.24 , 31.35 , 30.83 
7 , 21 , 2010 , 31.13 , 30.58 , 30.85 , 30.70 
7 , 22 , 2010 , 31.20 , 30.65 , 31.09 , 31.00 
7 , 23 , 2010 , 31.25 , 30.74 , 31.00 , 30.92 
7 , 26 , 2010 , 31.49 , 30.84 , 30.84 , 31.47 
7 , 27 , 2010 , 31.72 , 30.63 , 31.53 , 30.78 
7 , 28 , 2010 , 30.92 , 30.15 , 30.79 , 30.33 
7 , 29 , 2010 , 30.88 , 30.04 , 30.49 , 30.44 
7 , 30 , 2010 , 30.68 , 29.94 , 30.20 , 30.45 
8 , 2 , 2010 , 31.56 , 30.83 , 30.89 , 31.44 
8 , 3 , 2010 , 32.58 , 31.27 , 31.39 , 32.42 
8 , 4 , 2010 , 33.24 , 32.40 , 32.43 , 32.91 
8 , 5 , 2010 , 33.49 , 32.68 , 32.76 , 33.42 
8 , 6 , 2010 , 33.55 , 32.96 , 33.08 , 33.45 
8 , 9 , 2010 , 33.79 , 33.36 , 33.50 , 33.49 
8 , 10 , 2010 , 33.62 , 32.96 , 33.30 , 33.33 
8 , 11 , 2010 , 33.15 , 31.74 , 32.85 , 31.99 
8 , 12 , 2010 , 32.24 , 31.57 , 31.71 , 32.13 
8 , 13 , 2010 , 32.19 , 31.65 , 32.01 , 32.03 
8 , 16 , 2010 , 31.99 , 31.37 , 31.85 , 31.90 
8 , 17 , 2010 , 32.58 , 31.98 , 32.23 , 32.35 
8 , 18 , 2010 , 32.96 , 32.12 , 32.28 , 32.54 
8 , 19 , 2010 , 32.47 , 31.76 , 32.37 , 31.79 
8 , 20 , 2010 , 31.83 , 31.39 , 31.75 , 31.61 
8 , 23 , 2010 , 32.17 , 31.47 , 31.63 , 31.50 
8 , 24 , 2010 , 31.42 , 30.86 , 31.20 , 31.04 
8 , 25 , 2010 , 32.25 , 30.82 , 30.93 , 31.96 
8 , 26 , 2010 , 32.39 , 31.85 , 32.04 , 31.85 
8 , 27 , 2010 , 32.42 , 31.48 , 31.96 , 32.37 
8 , 30 , 2010 , 32.48 , 31.88 , 32.33 , 31.91 
8 , 31 , 2010 , 32.21 , 31.42 , 31.81 , 31.72 
9 , 1 , 2010 , 32.63 , 31.84 , 32.01 , 32.59 
9 , 2 , 2010 , 32.93 , 32.29 , 32.83 , 32.86 
9 , 3 , 2010 , 33.91 , 32.91 , 32.95 , 33.91 
9 , 7 , 2010 , 34.09 , 33.62 , 33.76 , 33.78 
9 , 8 , 2010 , 33.96 , 33.33 , 33.78 , 33.85 
9 , 9 , 2010 , 34.25 , 33.92 , 34.10 , 34.02 
9 , 10 , 2010 , 34.64 , 33.80 , 33.99 , 34.49 
9 , 13 , 2010 , 35.28 , 34.67 , 34.79 , 34.72 
9 , 14 , 2010 , 35.00 , 33.98 , 34.01 , 34.61 
9 , 15 , 2010 , 34.60 , 33.97 , 34.50 , 34.27 
9 , 16 , 2010 , 34.39 , 33.92 , 34.23 , 34.24 
9 , 17 , 2010 , 34.61 , 34.13 , 34.46 , 34.13 
9 , 20 , 2010 , 35.03 , 34.35 , 34.37 , 34.93 
9 , 21 , 2010 , 35.50 , 34.83 , 34.89 , 35.26 
9 , 22 , 2010 , 35.70 , 34.91 , 35.12 , 35.68 
9 , 23 , 2010 , 35.80 , 35.19 , 35.40 , 35.44 
9 , 24 , 2010 , 35.94 , 35.60 , 35.94 , 35.73 
9 , 27 , 2010 , 35.83 , 35.25 , 35.83 , 35.35 
9 , 28 , 2010 , 35.61 , 34.91 , 35.45 , 35.04 
9 , 29 , 2010 , 35.21 , 34.71 , 34.91 , 35.20 
9 , 30 , 2010 , 35.56 , 35.08 , 35.49 , 35.11 
10 , 1 , 2010 , 35.47 , 34.76 , 35.07 , 35.43 
10 , 4 , 2010 , 35.30 , 34.35 , 35.30 , 34.54 
10 , 5 , 2010 , 35.13 , 34.55 , 34.77 , 35.07 
10 , 6 , 2010 , 35.22 , 33.94 , 35.04 , 33.95 
10 , 7 , 2010 , 34.59 , 34.11 , 34.39 , 34.34 
10 , 8 , 2010 , 34.55 , 34.19 , 34.45 , 34.35 
10 , 11 , 2010 , 34.90 , 34.07 , 34.09 , 34.65 
10 , 12 , 2010 , 35.06 , 34.44 , 34.52 , 35.02 
10 , 13 , 2010 , 35.62 , 35.02 , 35.09 , 35.32 
10 , 14 , 2010 , 36.26 , 35.23 , 35.26 , 35.78 
10 , 15 , 2010 , 36.23 , 35.77 , 36.01 , 35.98 
10 , 18 , 2010 , 36.37 , 35.84 , 36.09 , 36.25 
10 , 19 , 2010 , 35.92 , 34.92 , 35.63 , 35.30 
10 , 20 , 2010 , 36.75 , 35.45 , 35.46 , 36.73 
10 , 21 , 2010 , 36.85 , 36.12 , 36.85 , 36.49 
10 , 22 , 2010 , 37.26 , 36.42 , 36.70 , 37.26 
10 , 25 , 2010 , 37.95 , 37.46 , 37.52 , 37.56 
10 , 26 , 2010 , 37.69 , 37.15 , 37.51 , 37.57 
