Month , Day , Year , High , Low , Open , Close
3 , 17 , 2010 , 37.02 , 36.42 , 36.83 , 36.61 
3 , 18 , 2010 , 36.98 , 36.39 , 36.39 , 36.83 
3 , 19 , 2010 , 37.18 , 36.40 , 37.08 , 36.62 
3 , 22 , 2010 , 37.07 , 36.31 , 36.42 , 37.00 
3 , 23 , 2010 , 37.12 , 36.50 , 37.09 , 36.85 
3 , 24 , 2010 , 36.75 , 36.18 , 36.75 , 36.46 
3 , 25 , 2010 , 37.14 , 36.28 , 36.78 , 36.34 
3 , 26 , 2010 , 36.49 , 36.04 , 36.37 , 36.33 
3 , 29 , 2010 , 36.96 , 36.39 , 36.50 , 36.79 
3 , 30 , 2010 , 37.13 , 36.64 , 36.91 , 36.81 
3 , 31 , 2010 , 36.81 , 36.27 , 36.68 , 36.65 
4 , 1 , 2010 , 37.12 , 36.52 , 36.83 , 36.83 
4 , 5 , 2010 , 37.13 , 36.58 , 36.89 , 36.91 
4 , 6 , 2010 , 36.93 , 36.65 , 36.67 , 36.82 
4 , 7 , 2010 , 37.00 , 36.14 , 36.76 , 36.84 
4 , 8 , 2010 , 37.85 , 36.62 , 36.67 , 37.78 
4 , 9 , 2010 , 37.99 , 37.59 , 37.88 , 37.88 
4 , 12 , 2010 , 37.94 , 37.27 , 37.91 , 37.69 
4 , 13 , 2010 , 38.23 , 37.44 , 37.57 , 38.10 
4 , 14 , 2010 , 38.78 , 38.15 , 38.31 , 38.53 
4 , 15 , 2010 , 38.80 , 38.41 , 38.54 , 38.56 
4 , 16 , 2010 , 38.58 , 37.20 , 38.49 , 37.98 
4 , 19 , 2010 , 37.96 , 37.38 , 37.88 , 37.70 
4 , 20 , 2010 , 38.49 , 37.93 , 38.00 , 38.36 
4 , 21 , 2010 , 38.67 , 38.16 , 38.37 , 38.52 
4 , 22 , 2010 , 39.02 , 37.89 , 38.05 , 38.13 
4 , 23 , 2010 , 38.62 , 38.21 , 38.36 , 38.55 
4 , 26 , 2010 , 38.58 , 38.18 , 38.52 , 38.56 
4 , 27 , 2010 , 38.79 , 37.98 , 38.43 , 38.04 
4 , 28 , 2010 , 38.40 , 37.76 , 38.16 , 37.97 
4 , 29 , 2010 , 39.05 , 38.19 , 38.44 , 38.83 
4 , 30 , 2010 , 39.31 , 37.75 , 38.94 , 37.83 
5 , 3 , 2010 , 38.78 , 37.95 , 37.95 , 38.67 
5 , 4 , 2010 , 38.22 , 37.17 , 38.22 , 37.53 
5 , 5 , 2010 , 37.79 , 36.86 , 37.03 , 37.15 
5 , 6 , 2010 , 37.26 , 33.81 , 36.89 , 36.10 
5 , 7 , 2010 , 36.47 , 34.89 , 35.98 , 35.54 
5 , 10 , 2010 , 37.65 , 36.60 , 36.60 , 37.47 
5 , 11 , 2010 , 37.87 , 37.01 , 37.01 , 37.40 
5 , 12 , 2010 , 38.52 , 37.48 , 37.66 , 38.36 
5 , 13 , 2010 , 38.40 , 37.81 , 38.36 , 37.92 
5 , 14 , 2010 , 37.61 , 36.77 , 37.51 , 37.09 
5 , 17 , 2010 , 37.53 , 36.18 , 37.28 , 37.15 
5 , 18 , 2010 , 37.50 , 36.24 , 37.16 , 36.47 
5 , 19 , 2010 , 36.79 , 35.11 , 36.27 , 35.79 
5 , 20 , 2010 , 35.14 , 33.88 , 34.96 , 33.97 
5 , 21 , 2010 , 35.17 , 33.00 , 33.00 , 34.88 
5 , 24 , 2010 , 35.33 , 34.54 , 34.71 , 34.67 
5 , 25 , 2010 , 34.30 , 33.59 , 33.59 , 34.29 
5 , 26 , 2010 , 35.67 , 34.34 , 34.61 , 35.06 
5 , 27 , 2010 , 35.78 , 35.10 , 35.10 , 35.78 
5 , 28 , 2010 , 36.07 , 35.28 , 35.73 , 35.72 
6 , 1 , 2010 , 36.21 , 35.14 , 35.28 , 35.16 
6 , 2 , 2010 , 36.34 , 35.17 , 35.17 , 36.29 
6 , 3 , 2010 , 37.08 , 36.25 , 36.49 , 36.61 
6 , 4 , 2010 , 35.92 , 34.50 , 35.92 , 34.67 
6 , 7 , 2010 , 34.97 , 33.99 , 34.97 , 34.05 
6 , 8 , 2010 , 34.73 , 33.99 , 34.18 , 34.67 
6 , 9 , 2010 , 35.97 , 34.55 , 34.96 , 34.69 
6 , 10 , 2010 , 36.40 , 35.27 , 35.27 , 36.35 
6 , 11 , 2010 , 36.84 , 35.81 , 36.04 , 36.78 
6 , 14 , 2010 , 37.25 , 36.30 , 37.15 , 36.37 
6 , 15 , 2010 , 37.61 , 36.64 , 36.78 , 37.58 
6 , 16 , 2010 , 38.25 , 37.31 , 37.31 , 37.56 
6 , 17 , 2010 , 38.19 , 37.20 , 37.93 , 38.11 
6 , 18 , 2010 , 38.26 , 37.91 , 38.14 , 38.19 
6 , 21 , 2010 , 39.18 , 38.18 , 38.63 , 38.42 
6 , 22 , 2010 , 38.44 , 36.82 , 38.38 , 36.92 
6 , 23 , 2010 , 37.13 , 36.20 , 37.04 , 36.98 
6 , 24 , 2010 , 36.83 , 35.87 , 36.83 , 36.02 
6 , 25 , 2010 , 36.56 , 35.86 , 36.16 , 36.36 
6 , 28 , 2010 , 36.81 , 36.19 , 36.55 , 36.34 
6 , 29 , 2010 , 35.89 , 34.74 , 35.89 , 35.07 
6 , 30 , 2010 , 35.56 , 34.68 , 35.08 , 34.76 
7 , 1 , 2010 , 35.19 , 33.92 , 34.93 , 34.76 
7 , 2 , 2010 , 35.27 , 33.99 , 34.96 , 34.19 
7 , 6 , 2010 , 34.98 , 33.46 , 34.98 , 33.72 
7 , 7 , 2010 , 35.16 , 33.57 , 33.86 , 35.12 
7 , 8 , 2010 , 35.84 , 35.05 , 35.37 , 35.45 
7 , 9 , 2010 , 36.06 , 35.44 , 35.45 , 35.86 
7 , 12 , 2010 , 36.46 , 35.51 , 35.64 , 36.35 
7 , 13 , 2010 , 37.05 , 35.85 , 36.82 , 36.22 
7 , 14 , 2010 , 36.51 , 35.71 , 36.03 , 36.30 
7 , 15 , 2010 , 36.37 , 35.67 , 36.33 , 36.09 
7 , 16 , 2010 , 35.96 , 34.23 , 35.89 , 34.41 
7 , 19 , 2010 , 34.63 , 33.75 , 34.60 , 34.19 
7 , 20 , 2010 , 34.84 , 33.42 , 33.70 , 34.82 
7 , 21 , 2010 , 35.34 , 34.15 , 35.34 , 34.56 
7 , 22 , 2010 , 36.92 , 35.28 , 35.74 , 36.20 
7 , 23 , 2010 , 37.17 , 36.28 , 36.33 , 36.95 
7 , 26 , 2010 , 38.25 , 36.96 , 37.28 , 37.73 
7 , 27 , 2010 , 38.00 , 37.18 , 38.00 , 37.32 
7 , 28 , 2010 , 37.46 , 36.75 , 37.06 , 37.36 
7 , 29 , 2010 , 37.91 , 36.98 , 37.64 , 37.18 
7 , 30 , 2010 , 37.57 , 36.41 , 36.67 , 37.34 
8 , 2 , 2010 , 38.22 , 37.41 , 37.91 , 38.13 
8 , 3 , 2010 , 38.44 , 37.60 , 37.94 , 38.27 
8 , 4 , 2010 , 38.63 , 38.17 , 38.29 , 38.49 
8 , 5 , 2010 , 38.90 , 38.12 , 38.25 , 38.77 
