Month , Day , Year , High , Low , Open , Close
3 , 17 , 2010 , 63.22 , 62.50 , 62.50 , 62.88 
3 , 18 , 2010 , 64.49 , 62.50 , 62.96 , 64.42 
3 , 19 , 2010 , 64.94 , 64.02 , 64.90 , 64.33 
3 , 22 , 2010 , 64.65 , 63.85 , 64.01 , 63.96 
3 , 23 , 2010 , 64.71 , 63.70 , 64.18 , 64.62 
3 , 24 , 2010 , 64.60 , 63.54 , 64.54 , 63.77 
3 , 25 , 2010 , 64.49 , 63.54 , 64.04 , 63.65 
3 , 26 , 2010 , 64.27 , 63.45 , 63.66 , 63.67 
3 , 29 , 2010 , 64.57 , 63.72 , 63.80 , 64.13 
3 , 30 , 2010 , 64.95 , 64.16 , 64.30 , 64.53 
3 , 31 , 2010 , 64.60 , 63.86 , 64.36 , 64.41 
4 , 1 , 2010 , 64.94 , 63.71 , 64.71 , 64.15 
4 , 5 , 2010 , 64.62 , 64.01 , 64.42 , 64.18 
4 , 6 , 2010 , 64.45 , 63.77 , 63.96 , 64.22 
4 , 7 , 2010 , 64.10 , 63.25 , 64.02 , 63.67 
4 , 8 , 2010 , 64.39 , 63.03 , 63.64 , 64.27 
4 , 9 , 2010 , 64.60 , 63.99 , 64.28 , 64.44 
4 , 12 , 2010 , 64.99 , 64.66 , 64.81 , 64.76 
4 , 13 , 2010 , 65.17 , 64.24 , 64.39 , 64.88 
4 , 14 , 2010 , 65.52 , 64.77 , 64.90 , 65.45 
4 , 15 , 2010 , 69.74 , 68.38 , 68.50 , 68.89 
4 , 16 , 2010 , 69.54 , 68.00 , 68.90 , 68.21 
4 , 19 , 2010 , 68.55 , 67.73 , 68.11 , 68.29 
4 , 20 , 2010 , 69.06 , 67.61 , 68.80 , 68.06 
4 , 21 , 2010 , 68.87 , 68.08 , 68.25 , 68.12 
4 , 22 , 2010 , 68.36 , 67.14 , 67.93 , 68.26 
4 , 23 , 2010 , 68.90 , 67.75 , 68.44 , 68.86 
4 , 26 , 2010 , 69.45 , 68.47 , 68.96 , 68.52 
4 , 27 , 2010 , 68.47 , 65.73 , 68.41 , 66.22 
4 , 28 , 2010 , 68.38 , 66.62 , 66.93 , 68.31 
4 , 29 , 2010 , 69.95 , 68.55 , 68.70 , 69.70 
4 , 30 , 2010 , 70.31 , 68.96 , 69.75 , 69.14 
5 , 3 , 2010 , 70.89 , 69.15 , 69.49 , 70.70 
5 , 4 , 2010 , 69.98 , 68.11 , 69.98 , 68.94 
5 , 5 , 2010 , 68.29 , 66.66 , 67.93 , 67.18 
5 , 6 , 2010 , 67.44 , 61.25 , 66.84 , 65.00 
5 , 7 , 2010 , 65.13 , 62.96 , 64.65 , 63.93 
5 , 10 , 2010 , 67.90 , 65.73 , 66.00 , 67.48 
5 , 11 , 2010 , 68.04 , 66.51 , 66.88 , 66.99 
5 , 12 , 2010 , 68.69 , 66.93 , 67.29 , 68.23 
5 , 13 , 2010 , 67.99 , 66.70 , 67.74 , 66.79 
5 , 14 , 2010 , 66.68 , 65.19 , 66.28 , 65.75 
5 , 17 , 2010 , 66.48 , 64.49 , 65.91 , 65.55 
5 , 18 , 2010 , 66.64 , 64.87 , 66.15 , 65.29 
5 , 19 , 2010 , 65.48 , 64.14 , 64.72 , 65.13 
5 , 20 , 2010 , 64.92 , 63.22 , 64.12 , 63.43 
5 , 21 , 2010 , 63.45 , 61.50 , 62.53 , 62.38 
5 , 24 , 2010 , 63.00 , 61.63 , 62.05 , 61.65 
5 , 25 , 2010 , 62.05 , 59.53 , 60.25 , 61.97 
5 , 26 , 2010 , 62.97 , 61.56 , 62.50 , 61.96 
5 , 27 , 2010 , 63.62 , 62.14 , 63.08 , 63.57 
5 , 28 , 2010 , 63.41 , 62.03 , 63.25 , 62.76 
6 , 1 , 2010 , 62.51 , 61.10 , 62.11 , 61.17 
6 , 2 , 2010 , 62.65 , 60.92 , 61.57 , 62.59 
6 , 3 , 2010 , 63.35 , 62.26 , 62.75 , 63.01 
6 , 4 , 2010 , 62.05 , 60.09 , 61.82 , 60.56 
6 , 7 , 2010 , 60.58 , 58.33 , 60.56 , 58.45 
6 , 8 , 2010 , 59.09 , 57.51 , 58.42 , 58.97 
6 , 9 , 2010 , 59.98 , 58.38 , 59.21 , 58.62 
6 , 10 , 2010 , 61.00 , 59.50 , 59.80 , 60.84 
6 , 11 , 2010 , 61.35 , 60.14 , 60.43 , 61.20 
6 , 14 , 2010 , 62.51 , 61.03 , 61.70 , 61.08 
6 , 15 , 2010 , 62.76 , 61.40 , 61.60 , 62.66 
6 , 16 , 2010 , 63.49 , 62.20 , 62.32 , 62.41 
6 , 17 , 2010 , 62.92 , 61.39 , 62.92 , 62.20 
6 , 18 , 2010 , 62.53 , 62.00 , 62.26 , 62.50 
6 , 21 , 2010 , 63.44 , 61.84 , 63.03 , 62.17 
6 , 22 , 2010 , 62.29 , 60.11 , 62.10 , 60.40 
6 , 23 , 2010 , 60.89 , 59.64 , 60.40 , 60.38 
6 , 24 , 2010 , 61.02 , 59.78 , 60.17 , 60.09 
6 , 25 , 2010 , 60.40 , 59.50 , 60.14 , 60.35 
6 , 28 , 2010 , 60.58 , 59.51 , 60.35 , 59.63 
6 , 29 , 2010 , 59.00 , 57.03 , 59.00 , 57.54 
6 , 30 , 2010 , 58.26 , 56.70 , 57.34 , 56.89 
7 , 1 , 2010 , 58.14 , 56.87 , 57.46 , 58.00 
7 , 2 , 2010 , 58.25 , 56.47 , 57.99 , 56.76 
7 , 6 , 2010 , 58.22 , 56.61 , 57.34 , 57.20 
7 , 7 , 2010 , 59.62 , 57.28 , 57.28 , 59.47 
7 , 8 , 2010 , 60.38 , 59.26 , 59.83 , 59.96 
7 , 9 , 2010 , 60.29 , 59.55 , 60.00 , 60.06 
7 , 12 , 2010 , 60.50 , 59.44 , 60.39 , 60.02 
7 , 13 , 2010 , 61.65 , 60.66 , 60.69 , 61.30 
7 , 14 , 2010 , 62.34 , 61.25 , 61.25 , 61.76 
7 , 15 , 2010 , 61.85 , 60.42 , 61.81 , 61.34 
7 , 16 , 2010 , 61.29 , 59.45 , 60.99 , 59.68 
7 , 19 , 2010 , 60.64 , 59.23 , 59.85 , 60.46 
7 , 20 , 2010 , 60.95 , 59.27 , 59.86 , 60.88 
7 , 21 , 2010 , 61.44 , 59.37 , 61.44 , 60.01 
7 , 22 , 2010 , 64.31 , 62.60 , 63.00 , 63.15 
7 , 23 , 2010 , 64.00 , 62.90 , 63.36 , 63.67 
7 , 26 , 2010 , 65.00 , 64.17 , 64.72 , 64.88 
7 , 27 , 2010 , 65.25 , 64.55 , 65.06 , 64.66 
7 , 28 , 2010 , 65.29 , 64.28 , 64.60 , 64.80 
7 , 29 , 2010 , 65.32 , 64.15 , 65.10 , 64.39 
7 , 30 , 2010 , 65.35 , 63.64 , 63.95 , 65.00 
8 , 2 , 2010 , 66.65 , 65.22 , 65.73 , 66.60 
8 , 3 , 2010 , 66.76 , 65.81 , 66.48 , 66.60 
8 , 4 , 2010 , 67.70 , 66.57 , 66.68 , 67.38 
8 , 5 , 2010 , 67.72 , 66.62 , 66.87 , 67.42 
8 , 6 , 2010 , 67.49 , 66.00 , 66.67 , 66.70 
8 , 9 , 2010 , 67.72 , 66.95 , 67.08 , 67.42 
8 , 10 , 2010 , 67.54 , 66.68 , 66.99 , 67.21 
8 , 11 , 2010 , 66.62 , 64.79 , 66.32 , 65.21 
8 , 12 , 2010 , 64.73 , 63.56 , 63.98 , 64.48 
8 , 13 , 2010 , 64.80 , 64.12 , 64.22 , 64.44 
8 , 16 , 2010 , 64.94 , 63.73 , 64.03 , 64.65 
8 , 17 , 2010 , 66.55 , 65.04 , 65.11 , 66.02 
8 , 18 , 2010 , 66.60 , 65.38 , 65.93 , 66.17 
8 , 19 , 2010 , 66.18 , 64.83 , 65.82 , 65.42 
8 , 20 , 2010 , 65.17 , 64.38 , 64.91 , 65.10 
8 , 23 , 2010 , 66.18 , 65.19 , 65.69 , 65.22 
8 , 24 , 2010 , 64.80 , 63.71 , 64.44 , 63.85 
8 , 25 , 2010 , 63.65 , 62.61 , 63.34 , 63.35 
8 , 26 , 2010 , 64.26 , 63.32 , 63.55 , 63.43 
8 , 27 , 2010 , 64.69 , 63.32 , 63.92 , 64.47 
8 , 30 , 2010 , 64.87 , 63.89 , 64.20 , 63.94 
8 , 31 , 2010 , 64.26 , 63.28 , 63.61 , 63.80 
9 , 1 , 2010 , 66.50 , 64.40 , 64.84 , 66.19 
9 , 2 , 2010 , 67.45 , 66.52 , 66.52 , 67.12 
9 , 3 , 2010 , 68.34 , 67.31 , 67.50 , 67.64 
9 , 7 , 2010 , 67.48 , 66.73 , 67.22 , 67.08 
9 , 8 , 2010 , 68.33 , 67.10 , 67.10 , 67.56 
9 , 9 , 2010 , 68.64 , 67.47 , 68.42 , 67.65 
9 , 10 , 2010 , 68.09 , 67.55 , 67.85 , 67.76 
9 , 13 , 2010 , 69.50 , 67.27 , 68.39 , 67.53 
9 , 14 , 2010 , 67.82 , 67.40 , 67.54 , 67.45 
9 , 15 , 2010 , 67.77 , 66.97 , 67.31 , 67.66 
9 , 16 , 2010 , 66.99 , 66.22 , 66.87 , 66.72 
9 , 17 , 2010 , 67.04 , 66.10 , 66.85 , 66.68 
9 , 20 , 2010 , 67.30 , 66.57 , 67.06 , 66.90 
9 , 21 , 2010 , 67.45 , 66.79 , 67.45 , 66.99 
9 , 22 , 2010 , 67.98 , 66.97 , 66.97 , 67.52 
9 , 23 , 2010 , 67.24 , 66.04 , 66.88 , 66.39 
9 , 24 , 2010 , 67.54 , 66.93 , 66.93 , 67.27 
9 , 27 , 2010 , 67.68 , 67.08 , 67.42 , 67.08 
9 , 28 , 2010 , 67.53 , 66.38 , 67.34 , 67.18 
9 , 29 , 2010 , 67.07 , 66.24 , 66.83 , 66.74 
9 , 30 , 2010 , 68.00 , 66.65 , 67.11 , 66.69 
10 , 1 , 2010 , 67.43 , 66.17 , 67.16 , 66.44 
10 , 4 , 2010 , 66.63 , 65.44 , 66.25 , 66.12 
10 , 5 , 2010 , 68.28 , 66.51 , 66.91 , 67.88 
10 , 6 , 2010 , 68.15 , 67.70 , 68.00 , 67.81 
10 , 7 , 2010 , 68.28 , 67.02 , 68.19 , 67.37 
10 , 8 , 2010 , 67.75 , 66.92 , 67.56 , 67.53 
10 , 11 , 2010 , 67.60 , 66.96 , 67.45 , 67.35 
10 , 12 , 2010 , 67.45 , 66.26 , 67.10 , 67.24 
10 , 13 , 2010 , 69.45 , 67.73 , 67.91 , 68.66 
10 , 14 , 2010 , 69.40 , 68.53 , 68.55 , 69.40 
10 , 15 , 2010 , 69.91 , 69.00 , 69.71 , 69.31 
10 , 18 , 2010 , 69.75 , 68.73 , 69.44 , 69.50 
10 , 19 , 2010 , 69.09 , 67.69 , 68.83 , 68.74 
10 , 20 , 2010 , 69.89 , 68.74 , 68.74 , 69.65 
10 , 21 , 2010 , 70.00 , 68.61 , 69.95 , 69.59 
10 , 22 , 2010 , 69.95 , 69.12 , 69.61 , 69.83 
10 , 25 , 2010 , 69.99 , 69.25 , 69.94 , 69.32 
10 , 26 , 2010 , 69.63 , 68.67 , 69.04 , 69.42 
10 , 27 , 2010 , 69.10 , 67.45 , 68.94 , 67.98 
10 , 28 , 2010 , 68.40 , 66.97 , 68.25 , 67.66 
10 , 29 , 2010 , 67.54 , 67.00 , 67.46 , 67.34 
11 , 1 , 2010 , 68.03 , 66.93 , 67.38 , 67.34 
11 , 2 , 2010 , 68.55 , 67.91 , 67.98 , 68.30 
11 , 3 , 2010 , 68.70 , 67.70 , 68.31 , 68.63 
11 , 4 , 2010 , 69.64 , 68.68 , 69.09 , 69.37 
11 , 5 , 2010 , 69.96 , 69.28 , 69.34 , 69.79 
11 , 8 , 2010 , 69.61 , 68.95 , 69.61 , 69.48 
11 , 9 , 2010 , 69.88 , 68.74 , 69.83 , 68.99 
11 , 10 , 2010 , 68.51 , 67.61 , 68.26 , 68.07 
11 , 11 , 2010 , 68.34 , 67.48 , 67.77 , 68.28 
11 , 12 , 2010 , 68.36 , 67.76 , 68.09 , 68.12 
11 , 15 , 2010 , 68.73 , 67.94 , 68.23 , 68.07 
11 , 16 , 2010 , 67.91 , 66.90 , 67.70 , 67.51 
11 , 17 , 2010 , 67.62 , 66.97 , 67.40 , 67.24 
11 , 18 , 2010 , 68.63 , 67.75 , 67.93 , 68.17 
11 , 19 , 2010 , 69.11 , 67.87 , 68.21 , 69.11 
11 , 22 , 2010 , 69.08 , 68.15 , 68.77 , 68.79 
11 , 23 , 2010 , 68.26 , 67.43 , 68.01 , 68.16 
11 , 24 , 2010 , 69.87 , 68.55 , 68.55 , 69.59 
11 , 26 , 2010 , 69.48 , 68.95 , 69.09 , 69.10 
11 , 29 , 2010 , 69.98 , 68.59 , 68.96 , 69.88 
11 , 30 , 2010 , 70.65 , 69.06 , 69.26 , 70.13 
12 , 1 , 2010 , 71.90 , 70.87 , 70.97 , 71.44 
12 , 2 , 2010 , 72.20 , 71.43 , 71.45 , 71.86 
12 , 3 , 2010 , 71.88 , 70.87 , 71.36 , 71.80 
12 , 6 , 2010 , 72.02 , 71.22 , 71.67 , 71.69 
12 , 7 , 2010 , 72.42 , 71.60 , 72.15 , 71.69 
12 , 8 , 2010 , 72.17 , 71.39 , 71.74 , 72.01 
12 , 9 , 2010 , 73.59 , 72.30 , 72.31 , 73.04 
12 , 10 , 2010 , 73.57 , 72.35 , 73.35 , 72.89 
12 , 13 , 2010 , 73.24 , 72.71 , 73.24 , 72.77 
12 , 14 , 2010 , 73.08 , 72.14 , 73.04 , 72.60 
12 , 15 , 2010 , 72.80 , 72.02 , 72.16 , 72.25 
12 , 16 , 2010 , 73.94 , 71.57 , 72.25 , 73.76 
12 , 17 , 2010 , 73.88 , 72.88 , 73.74 , 73.06 
12 , 20 , 2010 , 73.54 , 72.33 , 73.43 , 72.74 
12 , 21 , 2010 , 73.18 , 72.86 , 73.00 , 72.88 
12 , 22 , 2010 , 73.18 , 72.67 , 73.06 , 72.86 
12 , 23 , 2010 , 72.98 , 72.50 , 72.88 , 72.73 
12 , 27 , 2010 , 73.15 , 72.37 , 72.50 , 72.81 
12 , 28 , 2010 , 73.13 , 72.68 , 72.95 , 72.81 
12 , 29 , 2010 , 72.98 , 72.54 , 72.79 , 72.68 
12 , 30 , 2010 , 73.10 , 72.52 , 72.67 , 72.68 
12 , 31 , 2010 , 73.06 , 72.50 , 72.65 , 72.58 
1 , 3 , 2011 , 73.89 , 72.86 , 73.18 , 72.95 
1 , 4 , 2011 , 73.14 , 72.34 , 72.89 , 72.79 
1 , 5 , 2011 , 73.21 , 72.14 , 72.16 , 72.90 
1 , 6 , 2011 , 72.99 , 72.21 , 72.88 , 72.49 
1 , 7 , 2011 , 72.92 , 71.00 , 72.81 , 72.15 
1 , 10 , 2011 , 72.53 , 71.47 , 71.74 , 72.14 
1 , 11 , 2011 , 72.33 , 71.28 , 72.30 , 71.75 
1 , 12 , 2011 , 72.40 , 71.76 , 72.24 , 71.95 
1 , 13 , 2011 , 72.47 , 71.56 , 71.85 , 72.25 
1 , 14 , 2011 , 72.87 , 72.03 , 72.06 , 72.48 
1 , 18 , 2011 , 73.20 , 72.65 , 72.70 , 73.02 
1 , 19 , 2011 , 73.09 , 71.79 , 72.90 , 72.18 
1 , 20 , 2011 , 72.85 , 71.98 , 72.39 , 72.66 
1 , 21 , 2011 , 73.09 , 72.45 , 73.02 , 72.89 
1 , 24 , 2011 , 73.25 , 72.44 , 72.77 , 73.21 
1 , 25 , 2011 , 73.40 , 72.46 , 73.18 , 72.83 
1 , 26 , 2011 , 73.30 , 72.48 , 73.03 , 72.87 
1 , 27 , 2011 , 73.40 , 72.45 , 73.15 , 72.91 
1 , 28 , 2011 , 72.96 , 70.64 , 72.93 , 70.73 
1 , 31 , 2011 , 71.66 , 70.35 , 70.81 , 71.62 
2 , 1 , 2011 , 75.19 , 73.78 , 74.00 , 74.59 
2 , 2 , 2011 , 74.84 , 73.90 , 74.78 , 74.04 
2 , 3 , 2011 , 74.56 , 73.90 , 74.02 , 74.29 
2 , 4 , 2011 , 74.60 , 73.60 , 74.46 , 74.34 
