Month , Day , Year , High , Low , Open , Close
3 , 17 , 2010 , 26.32 , 25.90 , 26.13 , 26.21 
3 , 18 , 2010 , 26.26 , 25.80 , 26.09 , 25.99 
3 , 19 , 2010 , 26.39 , 25.77 , 26.13 , 26.14 
3 , 22 , 2010 , 26.38 , 25.87 , 25.89 , 26.22 
3 , 23 , 2010 , 26.30 , 25.94 , 26.23 , 26.25 
3 , 24 , 2010 , 26.45 , 26.10 , 26.10 , 26.19 
3 , 25 , 2010 , 26.70 , 26.13 , 26.34 , 26.17 
3 , 26 , 2010 , 26.44 , 25.83 , 26.25 , 26.05 
3 , 29 , 2010 , 26.15 , 25.80 , 26.03 , 25.96 
3 , 30 , 2010 , 26.21 , 25.82 , 25.98 , 25.86 
3 , 31 , 2010 , 26.00 , 25.64 , 25.71 , 25.88 
4 , 1 , 2010 , 26.26 , 25.87 , 26.04 , 26.24 
4 , 5 , 2010 , 26.48 , 26.15 , 26.32 , 26.47 
4 , 6 , 2010 , 27.18 , 26.38 , 26.38 , 27.08 
4 , 7 , 2010 , 27.22 , 26.48 , 27.14 , 26.70 
4 , 8 , 2010 , 27.29 , 26.50 , 26.56 , 27.13 
4 , 9 , 2010 , 27.27 , 26.88 , 27.15 , 27.16 
4 , 12 , 2010 , 27.61 , 27.12 , 27.21 , 27.51 
4 , 13 , 2010 , 27.64 , 27.27 , 27.43 , 27.53 
4 , 14 , 2010 , 28.31 , 27.66 , 27.71 , 28.25 
4 , 15 , 2010 , 28.43 , 28.01 , 28.24 , 28.26 
4 , 16 , 2010 , 28.25 , 26.66 , 28.18 , 27.45 
4 , 19 , 2010 , 27.70 , 26.98 , 27.11 , 27.61 
4 , 20 , 2010 , 28.39 , 27.14 , 27.33 , 28.21 
4 , 21 , 2010 , 28.42 , 27.41 , 27.59 , 27.94 
4 , 22 , 2010 , 27.72 , 27.09 , 27.64 , 27.37 
4 , 23 , 2010 , 27.44 , 26.99 , 27.38 , 27.30 
