Month , Day , Year , High , Low , Open , Close
3 , 17 , 2010 , 23.10 , 22.81 , 23.03 , 22.88 
3 , 18 , 2010 , 22.96 , 22.52 , 22.88 , 22.53 
3 , 19 , 2010 , 22.69 , 22.17 , 22.63 , 22.21 
3 , 22 , 2010 , 22.44 , 22.05 , 22.10 , 22.31 
3 , 23 , 2010 , 22.58 , 22.31 , 22.38 , 22.50 
3 , 24 , 2010 , 22.49 , 22.15 , 22.40 , 22.19 
3 , 25 , 2010 , 22.95 , 22.37 , 22.42 , 22.60 
3 , 26 , 2010 , 22.81 , 22.41 , 22.68 , 22.56 
3 , 29 , 2010 , 22.79 , 22.54 , 22.64 , 22.56 
3 , 30 , 2010 , 22.96 , 22.59 , 22.62 , 22.75 
3 , 31 , 2010 , 23.05 , 22.63 , 22.68 , 22.76 
4 , 1 , 2010 , 23.15 , 22.83 , 22.92 , 23.14 
4 , 5 , 2010 , 23.30 , 23.03 , 23.26 , 23.12 
4 , 6 , 2010 , 23.33 , 22.95 , 23.01 , 23.10 
4 , 7 , 2010 , 23.13 , 22.66 , 23.13 , 22.68 
4 , 8 , 2010 , 23.02 , 22.63 , 22.67 , 22.87 
4 , 9 , 2010 , 23.15 , 22.91 , 22.99 , 23.13 
4 , 12 , 2010 , 23.37 , 23.12 , 23.23 , 23.30 
4 , 13 , 2010 , 23.45 , 23.04 , 23.35 , 23.20 
4 , 14 , 2010 , 23.61 , 23.22 , 23.29 , 23.57 
4 , 15 , 2010 , 23.82 , 23.48 , 23.59 , 23.61 
4 , 16 , 2010 , 23.73 , 23.20 , 23.52 , 23.46 
4 , 19 , 2010 , 23.55 , 23.02 , 23.30 , 23.28 
4 , 20 , 2010 , 23.52 , 23.13 , 23.41 , 23.51 
4 , 21 , 2010 , 23.60 , 23.22 , 23.59 , 23.28 
4 , 22 , 2010 , 23.80 , 23.12 , 23.21 , 23.79 
4 , 23 , 2010 , 24.21 , 23.81 , 24.05 , 24.15 
4 , 26 , 2010 , 24.30 , 23.89 , 24.26 , 24.00 
4 , 27 , 2010 , 24.06 , 23.22 , 23.99 , 23.24 
4 , 28 , 2010 , 23.52 , 23.08 , 23.39 , 23.40 
4 , 29 , 2010 , 23.65 , 23.03 , 23.44 , 23.21 
4 , 30 , 2010 , 23.34 , 22.51 , 23.32 , 22.56 
5 , 3 , 2010 , 22.82 , 22.11 , 22.64 , 22.32 
5 , 4 , 2010 , 22.74 , 22.03 , 22.34 , 22.09 
5 , 5 , 2010 , 21.99 , 21.00 , 21.69 , 21.61 
5 , 6 , 2010 , 21.64 , 18.98 , 21.46 , 20.73 
5 , 7 , 2010 , 21.04 , 20.19 , 20.77 , 20.57 
5 , 10 , 2010 , 21.80 , 21.48 , 21.56 , 21.50 
5 , 11 , 2010 , 21.31 , 20.79 , 21.28 , 21.04 
5 , 12 , 2010 , 21.89 , 21.19 , 21.26 , 21.42 
5 , 13 , 2010 , 22.00 , 21.13 , 21.47 , 21.43 
5 , 14 , 2010 , 19.97 , 18.98 , 19.67 , 19.32 
5 , 17 , 2010 , 19.81 , 18.42 , 19.73 , 18.68 
5 , 18 , 2010 , 19.00 , 17.07 , 18.77 , 17.52 
5 , 19 , 2010 , 18.55 , 17.68 , 17.68 , 18.24 
5 , 20 , 2010 , 18.86 , 17.78 , 18.00 , 18.21 
5 , 21 , 2010 , 19.00 , 18.00 , 18.00 , 18.55 
5 , 24 , 2010 , 19.05 , 18.44 , 18.86 , 18.64 
5 , 25 , 2010 , 18.46 , 17.94 , 18.27 , 18.24 
5 , 26 , 2010 , 18.80 , 18.34 , 18.54 , 18.35 
5 , 27 , 2010 , 18.80 , 18.23 , 18.75 , 18.42 
5 , 28 , 2010 , 18.38 , 18.00 , 18.34 , 18.12 
6 , 1 , 2010 , 18.40 , 17.84 , 18.12 , 17.87 
6 , 2 , 2010 , 17.97 , 17.51 , 17.87 , 17.81 
6 , 3 , 2010 , 18.30 , 17.92 , 17.98 , 18.21 
6 , 4 , 2010 , 18.35 , 17.76 , 17.76 , 18.03 
6 , 7 , 2010 , 18.45 , 17.89 , 18.00 , 17.97 
6 , 8 , 2010 , 18.37 , 17.77 , 18.03 , 18.34 
6 , 9 , 2010 , 18.87 , 18.30 , 18.53 , 18.45 
6 , 10 , 2010 , 19.37 , 18.75 , 18.91 , 19.36 
6 , 11 , 2010 , 19.22 , 18.84 , 19.13 , 19.02 
6 , 14 , 2010 , 19.25 , 18.43 , 19.21 , 18.45 
6 , 15 , 2010 , 19.24 , 18.48 , 18.62 , 19.23 
6 , 16 , 2010 , 19.31 , 18.90 , 19.05 , 19.29 
6 , 17 , 2010 , 19.78 , 19.32 , 19.45 , 19.56 
6 , 18 , 2010 , 19.81 , 19.07 , 19.63 , 19.26 
6 , 21 , 2010 , 20.95 , 18.86 , 19.49 , 20.23 
6 , 22 , 2010 , 20.25 , 19.66 , 20.25 , 19.69 
6 , 23 , 2010 , 19.74 , 19.20 , 19.74 , 19.44 
6 , 24 , 2010 , 19.49 , 18.94 , 19.28 , 19.12 
6 , 25 , 2010 , 19.35 , 18.91 , 19.26 , 19.17 
6 , 28 , 2010 , 19.32 , 18.79 , 19.27 , 18.81 
6 , 29 , 2010 , 18.62 , 17.78 , 18.57 , 17.86 
6 , 30 , 2010 , 18.03 , 17.68 , 17.92 , 17.69 
7 , 1 , 2010 , 18.25 , 17.53 , 17.75 , 18.22 
7 , 2 , 2010 , 18.45 , 18.15 , 18.31 , 18.30 
7 , 6 , 2010 , 18.58 , 17.95 , 18.46 , 18.07 
7 , 7 , 2010 , 18.73 , 18.04 , 18.17 , 18.71 
7 , 8 , 2010 , 18.95 , 18.51 , 18.88 , 18.77 
7 , 9 , 2010 , 19.40 , 18.91 , 19.06 , 19.35 
7 , 12 , 2010 , 19.34 , 18.97 , 19.00 , 19.13 
7 , 13 , 2010 , 19.45 , 18.87 , 19.45 , 19.15 
