Month , Day , Year , High , Low , Open , Close
3 , 17 , 2010 , 43.91 , 42.39 , 43.64 , 42.40 
3 , 18 , 2010 , 42.68 , 41.58 , 42.36 , 41.70 
3 , 19 , 2010 , 42.72 , 41.91 , 42.05 , 42.72 
3 , 22 , 2010 , 42.95 , 42.33 , 42.61 , 42.48 
3 , 23 , 2010 , 42.46 , 42.02 , 42.33 , 42.18 
3 , 24 , 2010 , 42.38 , 41.58 , 42.16 , 41.71 
3 , 25 , 2010 , 42.12 , 41.54 , 42.04 , 41.55 
3 , 26 , 2010 , 42.12 , 41.29 , 41.78 , 41.61 
3 , 29 , 2010 , 41.94 , 40.97 , 41.73 , 41.16 
3 , 30 , 2010 , 41.39 , 40.71 , 41.25 , 40.86 
3 , 31 , 2010 , 41.67 , 40.83 , 40.89 , 40.87 
4 , 1 , 2010 , 41.62 , 40.60 , 41.08 , 40.85 
4 , 5 , 2010 , 41.05 , 40.53 , 40.86 , 40.65 
4 , 6 , 2010 , 40.66 , 40.06 , 40.51 , 40.47 
4 , 7 , 2010 , 41.45 , 40.12 , 40.31 , 40.49 
4 , 8 , 2010 , 40.50 , 39.42 , 40.43 , 39.81 
4 , 9 , 2010 , 40.01 , 39.22 , 40.01 , 39.68 
4 , 12 , 2010 , 39.75 , 38.22 , 38.77 , 39.26 
4 , 13 , 2010 , 40.17 , 38.94 , 39.24 , 40.01 
4 , 14 , 2010 , 40.21 , 39.51 , 40.09 , 39.99 
4 , 15 , 2010 , 40.22 , 39.23 , 39.76 , 39.66 
4 , 16 , 2010 , 40.12 , 38.92 , 39.62 , 39.99 
4 , 19 , 2010 , 40.26 , 39.66 , 40.00 , 40.04 
4 , 20 , 2010 , 40.55 , 39.71 , 40.23 , 40.50 
4 , 21 , 2010 , 40.47 , 39.10 , 40.37 , 39.35 
4 , 22 , 2010 , 39.06 , 37.98 , 39.06 , 38.09 
4 , 23 , 2010 , 38.81 , 37.87 , 38.42 , 38.75 
4 , 26 , 2010 , 38.99 , 38.38 , 38.63 , 38.50 
4 , 27 , 2010 , 39.30 , 38.50 , 38.50 , 38.67 
4 , 28 , 2010 , 38.99 , 38.36 , 38.78 , 38.54 
4 , 29 , 2010 , 39.64 , 38.42 , 38.60 , 39.55 
4 , 30 , 2010 , 39.83 , 38.69 , 39.06 , 38.77 
5 , 3 , 2010 , 39.29 , 38.38 , 38.77 , 38.97 
5 , 4 , 2010 , 38.96 , 37.95 , 38.49 , 38.47 
5 , 5 , 2010 , 38.68 , 37.00 , 38.20 , 37.55 
5 , 6 , 2010 , 37.68 , 34.26 , 37.68 , 36.90 
5 , 7 , 2010 , 37.09 , 34.93 , 36.83 , 35.90 
5 , 10 , 2010 , 37.62 , 36.97 , 37.50 , 37.55 
5 , 11 , 2010 , 38.46 , 37.02 , 37.22 , 38.11 
5 , 12 , 2010 , 38.94 , 37.78 , 38.06 , 38.77 
