Month , Day , Year , High , Low , Open , Close
12 , 15 , 2016 , 14.28 , 14.00 , 14.00 , 14.19 
12 , 16 , 2016 , 14.20 , 14.06 , 14.19 , 14.06 
12 , 19 , 2016 , 14.23 , 13.96 , 14.10 , 14.23 
12 , 20 , 2016 , 14.40 , 14.20 , 14.22 , 14.35 
12 , 21 , 2016 , 14.44 , 14.30 , 14.38 , 14.35 
12 , 22 , 2016 , 14.45 , 14.24 , 14.35 , 14.29 
12 , 23 , 2016 , 14.40 , 14.22 , 14.25 , 14.39 
12 , 27 , 2016 , 15.03 , 14.45 , 14.45 , 15.00 
12 , 28 , 2016 , 15.25 , 14.95 , 15.01 , 15.00 
12 , 29 , 2016 , 15.60 , 15.00 , 15.00 , 15.50 
12 , 30 , 2016 , 15.80 , 15.46 , 15.50 , 15.50 
1 , 3 , 2017 , 15.50 , 15.15 , 15.50 , 15.36 
1 , 4 , 2017 , 16.10 , 15.36 , 15.36 , 16.10 
1 , 5 , 2017 , 16.40 , 16.00 , 16.14 , 16.19 
1 , 6 , 2017 , 16.28 , 16.12 , 16.19 , 16.20 
1 , 9 , 2017 , 16.30 , 15.90 , 16.20 , 15.90 
1 , 10 , 2017 , 15.95 , 15.84 , 15.91 , 15.85 
1 , 11 , 2017 , 16.25 , 15.58 , 15.85 , 15.67 
1 , 12 , 2017 , 16.00 , 15.69 , 15.74 , 16.00 
1 , 13 , 2017 , 16.65 , 16.04 , 16.04 , 16.45 
1 , 17 , 2017 , 16.89 , 16.40 , 16.58 , 16.85 
1 , 18 , 2017 , 17.10 , 16.77 , 16.85 , 17.05 
1 , 19 , 2017 , 17.00 , 16.73 , 17.00 , 16.88 
1 , 20 , 2017 , 17.02 , 16.89 , 16.89 , 16.94 
1 , 23 , 2017 , 17.05 , 16.77 , 16.95 , 16.95 
1 , 24 , 2017 , 16.98 , 16.70 , 16.95 , 16.80 
1 , 25 , 2017 , 16.89 , 16.50 , 16.77 , 16.75 
1 , 26 , 2017 , 16.95 , 16.80 , 16.80 , 16.85 
1 , 27 , 2017 , 16.90 , 16.67 , 16.90 , 16.73 
1 , 30 , 2017 , 16.84 , 16.30 , 16.84 , 16.30 
1 , 31 , 2017 , 16.50 , 16.05 , 16.40 , 16.21 
2 , 1 , 2017 , 16.41 , 16.29 , 16.40 , 16.35 
2 , 2 , 2017 , 16.39 , 16.23 , 16.39 , 16.29 
2 , 3 , 2017 , 16.70 , 16.20 , 16.30 , 16.70 
2 , 6 , 2017 , 17.81 , 17.07 , 17.15 , 17.15 
2 , 7 , 2017 , 17.30 , 17.09 , 17.30 , 17.12 
2 , 8 , 2017 , 17.40 , 17.07 , 17.10 , 17.25 
2 , 9 , 2017 , 17.30 , 17.17 , 17.25 , 17.25 
2 , 10 , 2017 , 17.95 , 17.00 , 17.30 , 17.95 
2 , 13 , 2017 , 17.90 , 17.50 , 17.85 , 17.75 
2 , 14 , 2017 , 17.77 , 17.67 , 17.75 , 17.70 
2 , 15 , 2017 , 17.75 , 17.65 , 17.72 , 17.65 
2 , 16 , 2017 , 17.70 , 17.40 , 17.70 , 17.40 
2 , 17 , 2017 , 17.40 , 17.15 , 17.40 , 17.35 
2 , 21 , 2017 , 17.35 , 17.10 , 17.35 , 17.13 
2 , 22 , 2017 , 17.25 , 16.60 , 17.15 , 16.79 
2 , 23 , 2017 , 16.74 , 16.10 , 16.73 , 16.30 
2 , 24 , 2017 , 16.62 , 16.18 , 16.29 , 16.62 
2 , 27 , 2017 , 16.60 , 16.05 , 16.59 , 16.17 
2 , 28 , 2017 , 16.24 , 16.12 , 16.24 , 16.16 
3 , 1 , 2017 , 16.60 , 16.16 , 16.16 , 16.30 
3 , 2 , 2017 , 16.56 , 16.20 , 16.35 , 16.20 
3 , 3 , 2017 , 16.30 , 16.18 , 16.18 , 16.26 
3 , 6 , 2017 , 16.30 , 16.00 , 16.30 , 16.17 
3 , 7 , 2017 , 16.24 , 16.06 , 16.17 , 16.10 
3 , 8 , 2017 , 16.10 , 15.80 , 16.10 , 15.85 
3 , 9 , 2017 , 15.81 , 15.34 , 15.81 , 15.41 
3 , 10 , 2017 , 15.80 , 15.35 , 15.35 , 15.69 
3 , 13 , 2017 , 16.40 , 15.75 , 15.75 , 16.22 
3 , 14 , 2017 , 16.22 , 16.05 , 16.20 , 16.17 
3 , 15 , 2017 , 16.25 , 16.05 , 16.22 , 16.14 
3 , 16 , 2017 , 16.25 , 16.15 , 16.15 , 16.15 
3 , 17 , 2017 , 16.20 , 16.00 , 16.17 , 16.08 
3 , 20 , 2017 , 16.22 , 16.08 , 16.09 , 16.20 
3 , 21 , 2017 , 16.24 , 15.95 , 16.24 , 16.00 
3 , 22 , 2017 , 16.00 , 15.80 , 16.00 , 15.85 
3 , 23 , 2017 , 16.00 , 15.73 , 15.97 , 15.73 
3 , 24 , 2017 , 16.00 , 15.74 , 15.75 , 15.80 
3 , 27 , 2017 , 15.87 , 15.77 , 15.78 , 15.85 
3 , 28 , 2017 , 15.96 , 15.84 , 15.84 , 15.90 
3 , 29 , 2017 , 16.26 , 15.91 , 15.91 , 16.25 
3 , 30 , 2017 , 16.60 , 15.99 , 16.55 , 16.28 
3 , 31 , 2017 , 16.48 , 16.00 , 16.28 , 16.30 
4 , 3 , 2017 , 16.50 , 16.00 , 16.49 , 16.35 
4 , 4 , 2017 , 16.49 , 16.31 , 16.31 , 16.49 
