Month , Day , Year , High , Low , Open , Close
3 , 17 , 2010 , 30.25 , 29.95 , 29.95 , 30.15 
3 , 18 , 2010 , 30.38 , 30.15 , 30.17 , 30.30 
3 , 19 , 2010 , 30.54 , 30.25 , 30.45 , 30.41 
3 , 22 , 2010 , 30.72 , 30.28 , 30.28 , 30.65 
3 , 23 , 2010 , 30.98 , 30.60 , 30.70 , 30.98 
3 , 24 , 2010 , 30.95 , 30.40 , 30.90 , 30.46 
3 , 25 , 2010 , 30.68 , 30.27 , 30.67 , 30.31 
3 , 26 , 2010 , 30.45 , 30.17 , 30.36 , 30.37 
3 , 29 , 2010 , 30.60 , 30.36 , 30.58 , 30.45 
3 , 30 , 2010 , 31.50 , 31.02 , 31.11 , 31.23 
3 , 31 , 2010 , 31.23 , 30.89 , 31.21 , 31.02 
4 , 1 , 2010 , 31.44 , 31.13 , 31.25 , 31.28 
4 , 5 , 2010 , 31.71 , 31.29 , 31.71 , 31.46 
4 , 6 , 2010 , 31.36 , 31.12 , 31.36 , 31.20 
4 , 7 , 2010 , 30.78 , 30.09 , 30.78 , 30.24 
4 , 8 , 2010 , 30.28 , 29.86 , 30.15 , 30.16 
4 , 9 , 2010 , 30.24 , 29.93 , 30.19 , 30.08 
4 , 12 , 2010 , 30.20 , 29.90 , 30.05 , 29.94 
4 , 13 , 2010 , 30.15 , 29.76 , 30.00 , 30.07 
4 , 14 , 2010 , 30.05 , 29.65 , 30.05 , 29.85 
4 , 15 , 2010 , 29.84 , 29.50 , 29.84 , 29.54 
4 , 16 , 2010 , 29.78 , 29.48 , 29.49 , 29.58 
4 , 19 , 2010 , 29.76 , 29.45 , 29.50 , 29.73 
4 , 20 , 2010 , 29.83 , 29.54 , 29.79 , 29.76 
4 , 21 , 2010 , 29.83 , 29.43 , 29.79 , 29.56 
4 , 22 , 2010 , 29.35 , 28.91 , 29.12 , 29.28 
4 , 23 , 2010 , 29.07 , 28.82 , 29.07 , 29.05 
4 , 26 , 2010 , 29.10 , 28.84 , 28.98 , 28.94 
4 , 27 , 2010 , 28.95 , 28.60 , 28.89 , 28.75 
4 , 28 , 2010 , 29.25 , 28.72 , 28.85 , 29.12 
4 , 29 , 2010 , 29.32 , 29.12 , 29.22 , 29.22 
4 , 30 , 2010 , 29.31 , 28.89 , 29.20 , 28.90 
5 , 3 , 2010 , 29.44 , 29.11 , 29.16 , 29.29 
5 , 4 , 2010 , 29.16 , 28.53 , 29.14 , 28.75 
5 , 5 , 2010 , 28.93 , 28.58 , 28.64 , 28.68 
5 , 6 , 2010 , 28.72 , 26.49 , 28.61 , 28.01 
5 , 7 , 2010 , 28.71 , 27.80 , 27.98 , 28.19 
5 , 10 , 2010 , 29.00 , 28.28 , 28.93 , 28.61 
5 , 11 , 2010 , 28.65 , 28.25 , 28.46 , 28.40 
5 , 12 , 2010 , 28.78 , 28.45 , 28.55 , 28.70 
5 , 13 , 2010 , 28.96 , 28.54 , 28.69 , 28.69 
5 , 14 , 2010 , 28.85 , 28.35 , 28.59 , 28.51 
5 , 17 , 2010 , 28.71 , 28.31 , 28.48 , 28.66 
5 , 18 , 2010 , 29.01 , 28.38 , 28.70 , 28.42 
5 , 19 , 2010 , 28.62 , 28.29 , 28.31 , 28.51 
5 , 20 , 2010 , 28.28 , 27.75 , 28.28 , 27.76 
5 , 21 , 2010 , 27.98 , 27.32 , 27.37 , 27.96 
5 , 24 , 2010 , 27.82 , 27.39 , 27.77 , 27.49 
5 , 25 , 2010 , 27.46 , 26.80 , 27.09 , 27.40 
5 , 26 , 2010 , 27.51 , 26.80 , 27.51 , 26.93 
5 , 27 , 2010 , 27.59 , 27.01 , 27.22 , 27.58 
5 , 28 , 2010 , 27.67 , 27.19 , 27.60 , 27.52 
6 , 1 , 2010 , 27.73 , 27.21 , 27.30 , 27.21 
6 , 2 , 2010 , 27.60 , 27.09 , 27.25 , 27.59 
6 , 3 , 2010 , 27.79 , 27.47 , 27.67 , 27.64 
6 , 4 , 2010 , 27.45 , 27.11 , 27.38 , 27.21 
6 , 7 , 2010 , 27.37 , 27.08 , 27.28 , 27.08 
6 , 8 , 2010 , 27.73 , 27.06 , 27.12 , 27.68 
6 , 9 , 2010 , 28.04 , 27.61 , 27.69 , 27.78 
6 , 10 , 2010 , 28.42 , 28.05 , 28.07 , 28.34 
6 , 11 , 2010 , 28.56 , 28.00 , 28.16 , 28.56 
6 , 14 , 2010 , 28.87 , 28.58 , 28.76 , 28.63 
6 , 15 , 2010 , 29.13 , 28.71 , 28.84 , 29.11 
6 , 16 , 2010 , 29.21 , 28.98 , 29.06 , 29.18 
6 , 17 , 2010 , 29.32 , 28.69 , 29.21 , 29.09 
6 , 18 , 2010 , 29.30 , 29.06 , 29.15 , 29.13 
6 , 21 , 2010 , 29.45 , 28.95 , 29.40 , 29.06 
6 , 22 , 2010 , 29.38 , 29.01 , 29.11 , 29.06 
6 , 23 , 2010 , 29.47 , 29.14 , 29.20 , 29.33 
6 , 24 , 2010 , 29.43 , 28.87 , 29.26 , 28.96 
6 , 25 , 2010 , 29.20 , 28.53 , 29.11 , 28.55 
6 , 28 , 2010 , 28.85 , 28.54 , 28.73 , 28.71 
6 , 29 , 2010 , 29.16 , 28.15 , 28.56 , 28.62 
6 , 30 , 2010 , 28.77 , 27.80 , 28.76 , 28.02 
7 , 1 , 2010 , 28.20 , 27.60 , 28.01 , 28.13 
7 , 2 , 2010 , 27.18 , 26.48 , 27.17 , 26.81 
7 , 6 , 2010 , 27.20 , 26.49 , 27.15 , 26.61 
7 , 7 , 2010 , 26.53 , 25.99 , 26.12 , 26.52 
7 , 8 , 2010 , 26.78 , 26.32 , 26.72 , 26.78 
