Month , Day , Year , High , Low , Open , Close
12 , 27 , 2012 , 55.10 , 53.05 , 54.95 , 54.00 
12 , 28 , 2012 , 54.10 , 53.08 , 53.34 , 53.54 
12 , 31 , 2012 , 54.98 , 52.99 , 53.71 , 54.50 
1 , 2 , 2013 , 56.47 , 52.51 , 54.98 , 52.91 
1 , 3 , 2013 , 53.61 , 52.02 , 52.74 , 52.30 
1 , 4 , 2013 , 53.11 , 51.80 , 52.32 , 52.19 
1 , 7 , 2013 , 52.35 , 51.61 , 51.88 , 52.17 
1 , 8 , 2013 , 52.19 , 51.23 , 51.94 , 51.87 
1 , 9 , 2013 , 53.44 , 51.50 , 52.06 , 52.75 
1 , 10 , 2013 , 53.40 , 51.79 , 53.14 , 53.20 
1 , 11 , 2013 , 53.31 , 52.07 , 53.18 , 52.79 
1 , 14 , 2013 , 53.49 , 50.79 , 53.49 , 51.26 
1 , 15 , 2013 , 51.48 , 50.53 , 51.01 , 51.04 
1 , 16 , 2013 , 51.94 , 50.78 , 51.06 , 51.55 
1 , 17 , 2013 , 52.12 , 50.94 , 51.91 , 50.95 
1 , 18 , 2013 , 51.34 , 50.33 , 50.74 , 50.39 
1 , 22 , 2013 , 51.49 , 50.04 , 50.72 , 50.63 
1 , 23 , 2013 , 52.14 , 50.19 , 50.39 , 51.93 
1 , 24 , 2013 , 54.13 , 51.69 , 52.15 , 53.16 
1 , 25 , 2013 , 54.44 , 52.39 , 53.03 , 54.39 
1 , 28 , 2013 , 56.90 , 53.73 , 54.39 , 56.50 
1 , 29 , 2013 , 56.45 , 54.01 , 54.60 , 55.93 
1 , 30 , 2013 , 55.88 , 53.16 , 55.08 , 53.24 
1 , 31 , 2013 , 54.22 , 52.32 , 53.84 , 53.42 
2 , 1 , 2013 , 54.88 , 53.04 , 53.79 , 53.52 
2 , 4 , 2013 , 53.30 , 52.14 , 52.72 , 52.61 
2 , 5 , 2013 , 52.93 , 51.87 , 52.07 , 52.01 
2 , 6 , 2013 , 52.19 , 51.71 , 52.19 , 51.99 
2 , 7 , 2013 , 51.99 , 51.08 , 51.87 , 51.08 
2 , 8 , 2013 , 51.66 , 50.84 , 51.22 , 50.87 
2 , 11 , 2013 , 51.34 , 50.84 , 51.00 , 50.88 
2 , 12 , 2013 , 52.45 , 50.56 , 50.93 , 51.55 
2 , 13 , 2013 , 52.20 , 51.53 , 51.91 , 51.54 
2 , 14 , 2013 , 51.87 , 50.69 , 51.80 , 51.00 
2 , 15 , 2013 , 51.42 , 50.26 , 51.22 , 50.44 
2 , 19 , 2013 , 51.54 , 50.41 , 50.47 , 51.37 
2 , 20 , 2013 , 55.68 , 51.45 , 51.52 , 54.31 
2 , 21 , 2013 , 55.47 , 54.06 , 54.59 , 55.14 
2 , 22 , 2013 , 55.93 , 54.55 , 55.13 , 55.25 
2 , 25 , 2013 , 56.35 , 55.07 , 55.12 , 55.99 
2 , 26 , 2013 , 56.18 , 55.40 , 55.73 , 55.66 
2 , 27 , 2013 , 56.90 , 55.54 , 55.62 , 55.90 
2 , 28 , 2013 , 56.08 , 54.19 , 55.77 , 55.29 
3 , 1 , 2013 , 57.94 , 54.76 , 55.30 , 57.62 
3 , 4 , 2013 , 62.14 , 57.50 , 57.58 , 61.72 
3 , 5 , 2013 , 64.08 , 62.05 , 62.29 , 63.93 
3 , 6 , 2013 , 64.90 , 63.01 , 63.93 , 64.54 
3 , 7 , 2013 , 65.00 , 60.65 , 64.34 , 61.63 
3 , 8 , 2013 , 64.73 , 59.62 , 60.56 , 62.50 
3 , 11 , 2013 , 62.89 , 61.83 , 62.88 , 61.93 
3 , 12 , 2013 , 62.64 , 61.59 , 62.29 , 62.30 
3 , 13 , 2013 , 63.12 , 62.20 , 62.57 , 62.78 
3 , 14 , 2013 , 63.52 , 62.82 , 63.07 , 63.26 
3 , 15 , 2013 , 63.40 , 62.89 , 63.30 , 63.16 
3 , 18 , 2013 , 62.84 , 62.04 , 62.64 , 62.49 
3 , 19 , 2013 , 62.68 , 59.71 , 62.56 , 60.37 
3 , 20 , 2013 , 61.03 , 60.00 , 60.44 , 60.32 
3 , 21 , 2013 , 61.82 , 59.81 , 59.90 , 61.11 
3 , 22 , 2013 , 63.30 , 61.06 , 61.35 , 62.49 
3 , 25 , 2013 , 63.00 , 61.65 , 62.89 , 62.43 
3 , 26 , 2013 , 62.28 , 60.82 , 62.28 , 61.25 
3 , 27 , 2013 , 62.11 , 60.91 , 61.10 , 61.61 
3 , 28 , 2013 , 62.37 , 60.87 , 61.88 , 61.63 
4 , 1 , 2013 , 61.60 , 60.81 , 61.57 , 61.27 
4 , 2 , 2013 , 62.48 , 60.93 , 61.03 , 61.59 
4 , 3 , 2013 , 61.46 , 58.77 , 61.26 , 59.06 
4 , 4 , 2013 , 58.93 , 57.31 , 58.73 , 58.59 
4 , 5 , 2013 , 59.98 , 57.01 , 57.85 , 58.05 
