Month , Day , Year , High , Low , Open , Close
3 , 17 , 2010 , 46.36 , 45.84 , 45.99 , 46.21 
3 , 18 , 2010 , 46.05 , 45.50 , 45.74 , 45.91 
3 , 19 , 2010 , 46.22 , 45.30 , 45.96 , 45.75 
3 , 22 , 2010 , 46.36 , 45.41 , 45.41 , 46.26 
3 , 23 , 2010 , 46.38 , 45.80 , 46.38 , 46.25 
3 , 24 , 2010 , 46.69 , 46.09 , 46.20 , 46.31 
3 , 25 , 2010 , 46.79 , 46.25 , 46.50 , 46.27 
3 , 26 , 2010 , 46.52 , 45.69 , 46.50 , 45.88 
3 , 29 , 2010 , 46.18 , 45.66 , 46.10 , 45.83 
3 , 30 , 2010 , 46.18 , 45.64 , 45.92 , 45.71 
3 , 31 , 2010 , 45.72 , 45.19 , 45.48 , 45.23 
4 , 1 , 2010 , 45.67 , 44.68 , 45.51 , 45.09 
4 , 5 , 2010 , 45.65 , 45.12 , 45.25 , 45.39 
4 , 6 , 2010 , 45.91 , 45.10 , 45.23 , 45.91 
4 , 7 , 2010 , 45.92 , 45.05 , 45.57 , 45.13 
4 , 8 , 2010 , 45.20 , 44.80 , 45.12 , 45.09 
4 , 9 , 2010 , 45.87 , 45.10 , 45.26 , 45.63 
4 , 12 , 2010 , 45.97 , 45.24 , 45.79 , 45.30 
4 , 13 , 2010 , 46.29 , 45.19 , 45.25 , 46.15 
4 , 14 , 2010 , 46.44 , 45.70 , 46.44 , 45.92 
4 , 15 , 2010 , 45.88 , 44.26 , 45.87 , 44.26 
4 , 16 , 2010 , 44.58 , 43.24 , 44.20 , 43.28 
4 , 19 , 2010 , 43.93 , 43.09 , 43.25 , 43.25 
4 , 20 , 2010 , 43.85 , 43.01 , 43.52 , 43.85 
4 , 21 , 2010 , 44.79 , 43.67 , 43.84 , 44.40 
4 , 22 , 2010 , 44.87 , 44.02 , 44.10 , 44.76 
4 , 23 , 2010 , 45.35 , 44.50 , 44.77 , 45.23 
4 , 26 , 2010 , 46.05 , 45.15 , 45.24 , 45.46 
4 , 27 , 2010 , 45.54 , 44.42 , 45.31 , 44.45 
4 , 28 , 2010 , 45.05 , 44.38 , 44.88 , 44.62 
