Month , Day , Year , High , Low , Open , Close
3 , 17 , 2010 , 30.50 , 30.09 , 30.24 , 30.38 
3 , 18 , 2010 , 30.39 , 29.68 , 30.30 , 30.12 
3 , 19 , 2010 , 30.37 , 29.79 , 30.33 , 30.21 
3 , 22 , 2010 , 30.42 , 29.88 , 29.92 , 30.24 
3 , 23 , 2010 , 30.95 , 30.21 , 30.30 , 30.91 
3 , 24 , 2010 , 31.11 , 30.50 , 30.67 , 30.69 
3 , 25 , 2010 , 31.82 , 30.73 , 30.86 , 30.89 
3 , 26 , 2010 , 31.60 , 30.83 , 31.04 , 31.05 
3 , 29 , 2010 , 31.28 , 30.73 , 31.18 , 30.93 
3 , 30 , 2010 , 31.13 , 30.63 , 30.93 , 30.67 
3 , 31 , 2010 , 30.99 , 30.41 , 30.41 , 30.95 
4 , 1 , 2010 , 31.43 , 30.96 , 31.23 , 31.20 
4 , 5 , 2010 , 31.58 , 31.09 , 31.32 , 31.34 
4 , 6 , 2010 , 32.22 , 31.18 , 31.19 , 32.11 
4 , 7 , 2010 , 32.32 , 31.60 , 32.11 , 31.82 
4 , 8 , 2010 , 32.24 , 31.39 , 31.62 , 32.06 
4 , 9 , 2010 , 32.48 , 31.75 , 32.23 , 32.13 
4 , 12 , 2010 , 32.53 , 32.10 , 32.23 , 32.25 
4 , 13 , 2010 , 32.07 , 31.56 , 31.99 , 31.98 
4 , 14 , 2010 , 33.25 , 32.18 , 32.29 , 33.11 
4 , 15 , 2010 , 33.72 , 32.95 , 33.06 , 33.34 
4 , 16 , 2010 , 33.08 , 31.49 , 33.04 , 32.39 
4 , 19 , 2010 , 33.09 , 31.96 , 32.45 , 32.85 
4 , 20 , 2010 , 33.72 , 32.83 , 33.02 , 33.52 
4 , 21 , 2010 , 34.08 , 32.34 , 32.42 , 32.84 
4 , 22 , 2010 , 33.55 , 32.39 , 32.53 , 33.41 
4 , 23 , 2010 , 33.62 , 33.03 , 33.53 , 33.31 
4 , 26 , 2010 , 33.28 , 32.42 , 33.19 , 32.55 
4 , 27 , 2010 , 32.90 , 31.48 , 32.03 , 31.55 
4 , 28 , 2010 , 32.48 , 31.80 , 31.90 , 32.28 
4 , 29 , 2010 , 33.23 , 32.56 , 32.62 , 33.06 
4 , 30 , 2010 , 33.65 , 32.81 , 33.08 , 32.94 
5 , 3 , 2010 , 33.92 , 33.04 , 33.05 , 33.71 
5 , 4 , 2010 , 33.80 , 32.55 , 33.24 , 32.77 
5 , 5 , 2010 , 33.01 , 31.55 , 32.46 , 32.49 
5 , 6 , 2010 , 32.58 , 29.14 , 32.27 , 31.01 
5 , 7 , 2010 , 31.58 , 30.03 , 30.71 , 30.65 
5 , 10 , 2010 , 32.91 , 31.99 , 32.08 , 32.80 
5 , 11 , 2010 , 33.50 , 32.25 , 32.34 , 32.74 
5 , 12 , 2010 , 33.64 , 32.89 , 33.01 , 33.49 
5 , 13 , 2010 , 33.66 , 32.91 , 33.33 , 32.91 
5 , 14 , 2010 , 32.71 , 31.59 , 32.59 , 31.87 
5 , 17 , 2010 , 32.07 , 30.97 , 31.91 , 31.80 
5 , 18 , 2010 , 32.18 , 30.18 , 32.11 , 30.42 
5 , 19 , 2010 , 30.11 , 28.92 , 29.78 , 29.91 
5 , 20 , 2010 , 29.83 , 28.48 , 29.27 , 28.52 
5 , 21 , 2010 , 30.13 , 27.88 , 27.88 , 29.94 
5 , 24 , 2010 , 29.58 , 28.36 , 29.40 , 28.54 
5 , 25 , 2010 , 28.74 , 27.27 , 27.54 , 28.73 
5 , 26 , 2010 , 29.17 , 27.53 , 29.06 , 27.87 
5 , 27 , 2010 , 29.31 , 28.33 , 28.54 , 29.24 
5 , 28 , 2010 , 29.33 , 28.37 , 29.30 , 28.52 
6 , 1 , 2010 , 29.03 , 28.02 , 28.51 , 28.06 
6 , 2 , 2010 , 29.03 , 28.15 , 28.39 , 29.01 
6 , 3 , 2010 , 29.31 , 28.35 , 29.19 , 28.69 
6 , 4 , 2010 , 28.28 , 27.48 , 28.11 , 27.61 
6 , 7 , 2010 , 27.94 , 27.09 , 27.84 , 27.12 
6 , 8 , 2010 , 27.64 , 26.49 , 27.29 , 27.59 
6 , 9 , 2010 , 27.79 , 26.73 , 27.78 , 26.86 
6 , 10 , 2010 , 28.07 , 27.23 , 27.35 , 27.96 
6 , 11 , 2010 , 27.78 , 27.18 , 27.57 , 27.67 
6 , 14 , 2010 , 27.80 , 27.14 , 27.63 , 27.23 
6 , 15 , 2010 , 27.76 , 27.33 , 27.42 , 27.74 
6 , 16 , 2010 , 28.08 , 27.50 , 27.58 , 27.95 
6 , 17 , 2010 , 28.02 , 27.36 , 27.93 , 27.76 
6 , 18 , 2010 , 28.06 , 27.57 , 27.87 , 27.90 
6 , 21 , 2010 , 28.33 , 27.62 , 28.27 , 27.77 
6 , 22 , 2010 , 28.16 , 27.26 , 27.86 , 27.29 
6 , 23 , 2010 , 27.59 , 26.98 , 27.21 , 27.15 
6 , 24 , 2010 , 26.93 , 26.11 , 26.88 , 26.69 
6 , 25 , 2010 , 27.44 , 26.68 , 26.98 , 26.88 
6 , 28 , 2010 , 27.17 , 26.65 , 27.07 , 26.86 
6 , 29 , 2010 , 26.49 , 25.62 , 26.40 , 25.76 
6 , 30 , 2010 , 26.28 , 25.35 , 25.88 , 25.43 
7 , 1 , 2010 , 25.77 , 24.43 , 25.37 , 25.01 
