Month , Day , Year , High , Low , Open , Close
3 , 17 , 2010 , 34.17 , 33.88 , 34.00 , 33.97 
3 , 18 , 2010 , 34.19 , 33.95 , 34.04 , 34.10 
3 , 19 , 2010 , 34.47 , 33.98 , 34.17 , 34.16 
3 , 22 , 2010 , 34.30 , 34.00 , 34.04 , 34.27 
3 , 23 , 2010 , 34.72 , 34.25 , 34.42 , 34.69 
3 , 24 , 2010 , 34.60 , 33.99 , 34.57 , 34.36 
3 , 25 , 2010 , 34.58 , 34.27 , 34.58 , 34.27 
3 , 26 , 2010 , 34.64 , 34.22 , 34.31 , 34.43 
3 , 29 , 2010 , 34.75 , 34.34 , 34.59 , 34.55 
3 , 30 , 2010 , 34.64 , 34.32 , 34.63 , 34.44 
3 , 31 , 2010 , 34.57 , 34.09 , 34.35 , 34.43 
4 , 1 , 2010 , 34.74 , 34.40 , 34.50 , 34.58 
4 , 5 , 2010 , 34.80 , 34.50 , 34.72 , 34.68 
4 , 6 , 2010 , 35.04 , 34.59 , 34.65 , 34.84 
4 , 7 , 2010 , 34.90 , 34.63 , 34.81 , 34.68 
4 , 8 , 2010 , 34.82 , 34.42 , 34.67 , 34.61 
4 , 9 , 2010 , 34.80 , 34.31 , 34.68 , 34.77 
4 , 12 , 2010 , 34.97 , 34.71 , 34.74 , 34.92 
4 , 13 , 2010 , 35.00 , 34.51 , 34.69 , 34.87 
4 , 14 , 2010 , 35.10 , 34.75 , 34.99 , 35.10 
4 , 15 , 2010 , 35.37 , 34.91 , 35.01 , 35.14 
4 , 16 , 2010 , 35.39 , 34.95 , 35.15 , 35.03 
4 , 19 , 2010 , 35.21 , 34.75 , 35.00 , 35.11 
4 , 20 , 2010 , 35.39 , 35.00 , 35.31 , 35.09 
4 , 21 , 2010 , 35.27 , 35.00 , 35.17 , 35.13 
4 , 22 , 2010 , 35.35 , 34.80 , 35.11 , 35.24 
4 , 23 , 2010 , 35.55 , 35.16 , 35.26 , 35.53 
4 , 26 , 2010 , 35.99 , 35.58 , 35.63 , 35.66 
4 , 27 , 2010 , 35.72 , 34.75 , 35.72 , 34.77 
4 , 28 , 2010 , 35.33 , 34.82 , 34.96 , 35.29 
4 , 29 , 2010 , 35.57 , 34.75 , 35.29 , 35.09 
4 , 30 , 2010 , 35.33 , 34.68 , 34.97 , 34.68 
5 , 3 , 2010 , 35.54 , 34.82 , 34.89 , 35.08 
5 , 4 , 2010 , 34.85 , 33.99 , 34.82 , 34.20 
5 , 5 , 2010 , 34.20 , 33.80 , 33.82 , 34.04 
5 , 6 , 2010 , 34.21 , 31.55 , 33.98 , 33.09 
5 , 7 , 2010 , 33.20 , 32.21 , 33.00 , 32.86 
5 , 10 , 2010 , 34.11 , 33.60 , 33.81 , 33.98 
5 , 11 , 2010 , 34.30 , 33.64 , 33.71 , 33.96 
5 , 12 , 2010 , 34.52 , 33.91 , 33.99 , 34.35 
5 , 13 , 2010 , 34.40 , 34.00 , 34.35 , 34.06 
5 , 14 , 2010 , 34.11 , 33.26 , 33.90 , 33.47 
5 , 17 , 2010 , 33.90 , 33.27 , 33.65 , 33.74 
5 , 18 , 2010 , 34.35 , 33.72 , 34.02 , 33.75 
5 , 19 , 2010 , 33.68 , 33.10 , 33.58 , 33.30 
5 , 20 , 2010 , 32.99 , 32.17 , 32.78 , 32.17 
5 , 21 , 2010 , 32.46 , 31.48 , 31.77 , 32.40 
5 , 24 , 2010 , 32.41 , 31.97 , 32.21 , 32.02 
5 , 25 , 2010 , 32.07 , 31.11 , 31.42 , 32.04 
5 , 26 , 2010 , 32.73 , 32.15 , 32.22 , 32.22 
5 , 27 , 2010 , 32.68 , 32.26 , 32.57 , 32.68 
5 , 28 , 2010 , 32.84 , 32.30 , 32.72 , 32.51 
6 , 1 , 2010 , 32.71 , 31.92 , 32.35 , 31.97 
6 , 2 , 2010 , 32.68 , 31.97 , 32.04 , 32.68 
6 , 3 , 2010 , 32.87 , 32.47 , 32.59 , 32.80 
6 , 4 , 2010 , 32.32 , 31.45 , 32.32 , 31.56 
6 , 7 , 2010 , 31.71 , 31.32 , 31.62 , 31.37 
6 , 8 , 2010 , 31.90 , 31.24 , 31.39 , 31.85 
6 , 9 , 2010 , 32.26 , 31.86 , 31.97 , 31.96 
6 , 10 , 2010 , 32.84 , 32.23 , 32.31 , 32.83 
6 , 11 , 2010 , 32.77 , 32.35 , 32.64 , 32.77 
6 , 14 , 2010 , 33.28 , 32.76 , 33.00 , 32.83 
6 , 15 , 2010 , 33.61 , 32.97 , 33.21 , 33.61 
6 , 16 , 2010 , 33.73 , 33.41 , 33.45 , 33.64 
6 , 17 , 2010 , 33.76 , 33.44 , 33.65 , 33.71 
6 , 18 , 2010 , 33.82 , 33.42 , 33.68 , 33.53 
6 , 21 , 2010 , 34.12 , 33.37 , 33.77 , 33.55 
6 , 22 , 2010 , 33.78 , 33.00 , 33.51 , 33.04 
6 , 23 , 2010 , 33.21 , 32.51 , 33.14 , 32.67 
6 , 24 , 2010 , 32.75 , 32.08 , 32.57 , 32.14 
6 , 25 , 2010 , 32.38 , 31.91 , 32.28 , 32.15 
6 , 28 , 2010 , 32.56 , 32.02 , 32.39 , 32.30 
6 , 29 , 2010 , 31.99 , 31.27 , 31.91 , 31.46 
6 , 30 , 2010 , 31.79 , 31.22 , 31.48 , 31.29 
7 , 1 , 2010 , 31.83 , 31.22 , 31.25 , 31.65 
7 , 2 , 2010 , 32.06 , 31.63 , 31.65 , 31.81 
7 , 6 , 2010 , 32.15 , 31.50 , 32.01 , 31.73 
7 , 7 , 2010 , 32.50 , 31.55 , 31.72 , 32.48 
7 , 8 , 2010 , 32.94 , 32.53 , 32.80 , 32.88 
7 , 9 , 2010 , 35.87 , 32.41 , 32.96 , 32.78 
7 , 12 , 2010 , 32.92 , 32.60 , 32.76 , 32.74 
7 , 13 , 2010 , 33.25 , 32.86 , 33.03 , 33.15 
7 , 14 , 2010 , 33.09 , 32.68 , 33.04 , 33.06 
7 , 15 , 2010 , 33.24 , 32.71 , 33.11 , 33.18 
7 , 16 , 2010 , 33.12 , 32.33 , 32.93 , 32.44 
7 , 19 , 2010 , 32.65 , 32.26 , 32.50 , 32.47 
7 , 20 , 2010 , 32.69 , 31.98 , 32.20 , 32.68 
7 , 21 , 2010 , 32.95 , 32.49 , 32.80 , 32.61 
7 , 22 , 2010 , 33.39 , 32.74 , 32.74 , 33.35 
7 , 23 , 2010 , 33.63 , 33.18 , 33.35 , 33.59 
7 , 26 , 2010 , 34.14 , 33.60 , 33.70 , 34.12 
7 , 27 , 2010 , 34.35 , 33.96 , 34.35 , 34.13 
7 , 28 , 2010 , 34.23 , 33.87 , 34.23 , 34.12 
7 , 29 , 2010 , 34.45 , 33.66 , 34.24 , 34.25 
7 , 30 , 2010 , 34.16 , 33.26 , 33.87 , 33.95 
8 , 2 , 2010 , 34.49 , 34.08 , 34.37 , 34.46 
8 , 3 , 2010 , 34.50 , 34.22 , 34.25 , 34.39 
8 , 4 , 2010 , 34.60 , 34.33 , 34.43 , 34.59 
8 , 5 , 2010 , 34.46 , 34.13 , 34.40 , 34.46 
8 , 6 , 2010 , 34.57 , 34.08 , 34.23 , 34.57 
8 , 9 , 2010 , 34.75 , 34.53 , 34.66 , 34.65 
8 , 10 , 2010 , 34.53 , 34.06 , 34.31 , 34.32 
8 , 11 , 2010 , 34.01 , 33.26 , 33.97 , 33.33 
8 , 12 , 2010 , 33.21 , 32.83 , 32.92 , 33.10 
8 , 13 , 2010 , 33.24 , 33.00 , 33.06 , 33.01 
8 , 16 , 2010 , 33.30 , 32.58 , 32.83 , 33.25 
8 , 17 , 2010 , 34.45 , 33.41 , 33.48 , 33.96 
8 , 18 , 2010 , 34.15 , 33.71 , 33.94 , 33.96 
8 , 19 , 2010 , 33.96 , 33.34 , 33.89 , 33.48 
8 , 20 , 2010 , 33.67 , 33.17 , 33.41 , 33.60 
8 , 23 , 2010 , 33.91 , 33.36 , 33.77 , 33.52 
8 , 24 , 2010 , 33.65 , 32.89 , 33.29 , 33.17 
8 , 25 , 2010 , 33.27 , 32.56 , 33.04 , 33.12 
8 , 26 , 2010 , 33.42 , 33.01 , 33.25 , 33.09 
8 , 27 , 2010 , 33.65 , 33.02 , 33.20 , 33.62 
8 , 30 , 2010 , 33.74 , 33.37 , 33.61 , 33.43 
8 , 31 , 2010 , 33.44 , 32.86 , 33.32 , 33.09 
9 , 1 , 2010 , 34.19 , 33.33 , 33.42 , 34.00 
9 , 2 , 2010 , 33.89 , 33.61 , 33.82 , 33.84 
9 , 3 , 2010 , 34.19 , 33.75 , 33.88 , 34.11 
9 , 7 , 2010 , 34.06 , 33.75 , 33.99 , 33.83 
9 , 8 , 2010 , 34.07 , 33.81 , 33.90 , 33.92 
9 , 9 , 2010 , 34.25 , 33.75 , 34.18 , 33.80 
9 , 10 , 2010 , 34.17 , 33.80 , 33.85 , 34.00 
9 , 13 , 2010 , 34.34 , 34.05 , 34.25 , 34.16 
9 , 14 , 2010 , 34.46 , 33.97 , 34.15 , 34.27 
9 , 15 , 2010 , 34.59 , 34.04 , 34.22 , 34.53 
9 , 16 , 2010 , 34.64 , 34.36 , 34.48 , 34.54 
9 , 17 , 2010 , 35.18 , 34.64 , 34.69 , 35.00 
9 , 20 , 2010 , 35.38 , 34.91 , 35.06 , 35.31 
9 , 21 , 2010 , 35.74 , 35.25 , 35.31 , 35.60 
9 , 22 , 2010 , 35.92 , 35.45 , 35.51 , 35.62 
9 , 23 , 2010 , 35.48 , 35.01 , 35.42 , 35.12 
9 , 24 , 2010 , 35.83 , 35.45 , 35.55 , 35.76 
9 , 27 , 2010 , 35.87 , 35.44 , 35.84 , 35.47 
9 , 28 , 2010 , 35.68 , 35.08 , 35.47 , 35.58 
9 , 29 , 2010 , 35.90 , 35.40 , 35.40 , 35.85 
9 , 30 , 2010 , 36.24 , 35.59 , 36.00 , 35.74 
10 , 1 , 2010 , 36.04 , 35.79 , 35.90 , 35.93 
10 , 4 , 2010 , 36.02 , 35.46 , 35.92 , 35.75 
10 , 5 , 2010 , 36.51 , 35.81 , 36.01 , 36.40 
10 , 6 , 2010 , 36.65 , 36.30 , 36.33 , 36.55 
10 , 7 , 2010 , 36.70 , 36.06 , 36.70 , 36.17 
10 , 8 , 2010 , 36.46 , 36.00 , 36.15 , 36.35 
10 , 11 , 2010 , 36.49 , 36.17 , 36.29 , 36.44 
10 , 12 , 2010 , 36.62 , 36.02 , 36.42 , 36.53 
10 , 13 , 2010 , 37.24 , 36.57 , 36.66 , 36.99 
10 , 14 , 2010 , 37.11 , 36.75 , 37.02 , 36.91 
10 , 15 , 2010 , 37.25 , 36.49 , 37.20 , 36.61 
10 , 18 , 2010 , 36.75 , 36.31 , 36.65 , 36.47 
10 , 19 , 2010 , 36.44 , 35.97 , 36.14 , 36.13 
10 , 20 , 2010 , 36.73 , 36.13 , 36.15 , 36.54 
10 , 21 , 2010 , 36.88 , 36.50 , 36.65 , 36.72 
10 , 22 , 2010 , 36.90 , 36.63 , 36.87 , 36.79 
10 , 25 , 2010 , 37.25 , 36.82 , 37.00 , 36.88 
10 , 26 , 2010 , 36.87 , 36.49 , 36.56 , 36.50 
10 , 27 , 2010 , 36.37 , 35.77 , 36.34 , 36.09 
10 , 28 , 2010 , 36.49 , 35.81 , 36.30 , 36.13 
10 , 29 , 2010 , 36.10 , 35.33 , 36.09 , 35.72 
11 , 1 , 2010 , 36.17 , 35.38 , 35.85 , 35.55 
11 , 2 , 2010 , 36.06 , 35.63 , 35.78 , 35.88 
11 , 3 , 2010 , 36.06 , 35.64 , 36.00 , 35.95 
11 , 4 , 2010 , 36.27 , 35.74 , 36.26 , 35.87 
11 , 5 , 2010 , 35.90 , 35.18 , 35.82 , 35.51 
11 , 8 , 2010 , 35.41 , 35.13 , 35.31 , 35.18 
11 , 9 , 2010 , 35.48 , 35.07 , 35.39 , 35.15 
11 , 10 , 2010 , 35.28 , 35.06 , 35.19 , 35.08 
11 , 11 , 2010 , 35.02 , 34.67 , 34.95 , 34.93 
11 , 12 , 2010 , 35.34 , 34.84 , 35.02 , 35.09 
11 , 15 , 2010 , 35.30 , 34.96 , 35.20 , 34.99 
11 , 16 , 2010 , 34.98 , 34.68 , 34.74 , 34.83 
11 , 17 , 2010 , 34.97 , 34.70 , 34.80 , 34.83 
11 , 18 , 2010 , 35.38 , 35.02 , 35.11 , 35.20 
11 , 19 , 2010 , 35.38 , 35.05 , 35.20 , 35.22 
11 , 22 , 2010 , 35.42 , 34.90 , 35.23 , 35.16 
11 , 23 , 2010 , 35.44 , 34.81 , 34.93 , 34.87 
11 , 24 , 2010 , 35.44 , 35.03 , 35.09 , 35.30 
11 , 26 , 2010 , 35.17 , 34.81 , 35.09 , 34.92 
11 , 29 , 2010 , 34.61 , 34.13 , 34.61 , 34.42 
11 , 30 , 2010 , 34.40 , 34.08 , 34.24 , 34.25 
12 , 1 , 2010 , 34.66 , 34.43 , 34.64 , 34.55 
12 , 2 , 2010 , 35.06 , 34.50 , 34.54 , 34.98 
12 , 3 , 2010 , 34.90 , 34.46 , 34.88 , 34.80 
