Month , Day , Year , High , Low , Open , Close
3 , 17 , 2010 , 18.71 , 18.55 , 18.68 , 18.64 
3 , 18 , 2010 , 18.65 , 18.51 , 18.63 , 18.65 
3 , 19 , 2010 , 18.76 , 18.38 , 18.68 , 18.45 
3 , 22 , 2010 , 18.68 , 18.38 , 18.44 , 18.54 
3 , 23 , 2010 , 18.67 , 18.54 , 18.54 , 18.63 
3 , 24 , 2010 , 18.67 , 18.48 , 18.58 , 18.53 
3 , 25 , 2010 , 18.66 , 18.53 , 18.54 , 18.54 
3 , 26 , 2010 , 18.65 , 18.49 , 18.54 , 18.50 
3 , 29 , 2010 , 18.58 , 18.48 , 18.50 , 18.58 
3 , 30 , 2010 , 18.68 , 18.55 , 18.59 , 18.64 
3 , 31 , 2010 , 18.64 , 18.50 , 18.60 , 18.53 
4 , 1 , 2010 , 18.62 , 18.39 , 18.58 , 18.50 
4 , 5 , 2010 , 18.58 , 18.41 , 18.57 , 18.50 
4 , 6 , 2010 , 18.54 , 18.43 , 18.48 , 18.51 
4 , 7 , 2010 , 18.63 , 18.38 , 18.50 , 18.43 
4 , 8 , 2010 , 18.57 , 18.39 , 18.43 , 18.46 
4 , 9 , 2010 , 18.46 , 18.21 , 18.43 , 18.36 
4 , 12 , 2010 , 18.37 , 18.19 , 18.34 , 18.34 
4 , 13 , 2010 , 18.40 , 18.22 , 18.30 , 18.24 
4 , 14 , 2010 , 18.30 , 18.11 , 18.21 , 18.21 
4 , 15 , 2010 , 18.12 , 17.97 , 18.05 , 18.04 
4 , 16 , 2010 , 18.20 , 17.95 , 18.04 , 18.04 
4 , 19 , 2010 , 18.16 , 18.00 , 18.03 , 18.13 
4 , 20 , 2010 , 18.27 , 18.13 , 18.16 , 18.17 
4 , 21 , 2010 , 18.19 , 18.06 , 18.17 , 18.16 
4 , 22 , 2010 , 18.22 , 18.05 , 18.12 , 18.16 
4 , 23 , 2010 , 18.20 , 17.97 , 18.16 , 18.18 
4 , 26 , 2010 , 18.23 , 18.00 , 18.18 , 18.01 
4 , 27 , 2010 , 18.14 , 17.84 , 17.87 , 18.01 
4 , 28 , 2010 , 18.03 , 17.84 , 17.97 , 17.87 
4 , 29 , 2010 , 18.08 , 17.85 , 17.89 , 17.90 
4 , 30 , 2010 , 18.05 , 17.88 , 17.94 , 17.88 
5 , 3 , 2010 , 17.98 , 17.82 , 17.96 , 17.91 
5 , 4 , 2010 , 18.19 , 17.85 , 17.86 , 18.01 
5 , 5 , 2010 , 18.32 , 17.94 , 18.04 , 18.26 
5 , 6 , 2010 , 18.26 , 17.18 , 18.12 , 17.74 
5 , 7 , 2010 , 17.87 , 17.27 , 17.68 , 17.47 
5 , 10 , 2010 , 17.75 , 17.28 , 17.69 , 17.53 
5 , 11 , 2010 , 17.59 , 17.39 , 17.45 , 17.49 
5 , 12 , 2010 , 17.52 , 17.38 , 17.50 , 17.49 
5 , 13 , 2010 , 17.66 , 17.45 , 17.54 , 17.47 
5 , 14 , 2010 , 17.57 , 17.34 , 17.47 , 17.37 
5 , 17 , 2010 , 17.64 , 17.35 , 17.47 , 17.58 
5 , 18 , 2010 , 18.15 , 17.73 , 17.77 , 17.90 
5 , 19 , 2010 , 17.92 , 17.60 , 17.84 , 17.68 
5 , 20 , 2010 , 17.65 , 17.10 , 17.46 , 17.10 
5 , 21 , 2010 , 17.12 , 16.84 , 16.91 , 17.12 
5 , 24 , 2010 , 17.18 , 16.97 , 17.01 , 17.00 
5 , 25 , 2010 , 16.83 , 16.67 , 16.75 , 16.76 
5 , 26 , 2010 , 16.87 , 16.67 , 16.79 , 16.67 
5 , 27 , 2010 , 16.91 , 16.77 , 16.84 , 16.90 
5 , 28 , 2010 , 16.98 , 16.83 , 16.92 , 16.85 
6 , 1 , 2010 , 17.17 , 16.84 , 16.93 , 16.97 
6 , 2 , 2010 , 17.25 , 17.01 , 17.08 , 17.24 
6 , 3 , 2010 , 17.36 , 17.16 , 17.24 , 17.24 
6 , 4 , 2010 , 17.23 , 16.74 , 17.14 , 16.80 
6 , 7 , 2010 , 17.12 , 16.77 , 16.83 , 16.91 
6 , 8 , 2010 , 16.99 , 16.84 , 16.93 , 16.93 
6 , 9 , 2010 , 17.12 , 16.86 , 16.99 , 17.00 
6 , 10 , 2010 , 17.23 , 17.02 , 17.07 , 17.07 
6 , 11 , 2010 , 17.09 , 16.85 , 16.99 , 16.95 
6 , 14 , 2010 , 17.15 , 16.96 , 17.04 , 17.08 
6 , 15 , 2010 , 17.22 , 17.02 , 17.07 , 17.21 
6 , 16 , 2010 , 17.19 , 16.97 , 17.17 , 16.99 
6 , 17 , 2010 , 17.16 , 16.99 , 17.02 , 17.14 
6 , 18 , 2010 , 17.30 , 17.14 , 17.14 , 17.18 
6 , 21 , 2010 , 17.29 , 16.90 , 17.24 , 17.01 
6 , 22 , 2010 , 17.16 , 16.87 , 17.02 , 16.89 
6 , 23 , 2010 , 17.01 , 16.80 , 16.92 , 16.94 
6 , 24 , 2010 , 16.94 , 16.65 , 16.91 , 16.68 
6 , 25 , 2010 , 16.73 , 16.27 , 16.65 , 16.27 
6 , 28 , 2010 , 16.59 , 16.34 , 16.35 , 16.52 
6 , 29 , 2010 , 16.42 , 16.14 , 16.39 , 16.30 
6 , 30 , 2010 , 16.32 , 16.00 , 16.32 , 16.02 
7 , 1 , 2010 , 16.14 , 15.92 , 16.03 , 16.11 
7 , 2 , 2010 , 16.15 , 15.95 , 16.15 , 16.00 
7 , 6 , 2010 , 16.48 , 16.09 , 16.45 , 16.19 
7 , 7 , 2010 , 16.32 , 16.05 , 16.22 , 16.31 
7 , 8 , 2010 , 16.44 , 16.26 , 16.44 , 16.39 
7 , 9 , 2010 , 16.52 , 16.38 , 16.42 , 16.48 
7 , 12 , 2010 , 16.78 , 16.56 , 16.59 , 16.71 
7 , 13 , 2010 , 16.90 , 16.70 , 16.78 , 16.85 
7 , 14 , 2010 , 16.79 , 16.68 , 16.68 , 16.78 
7 , 15 , 2010 , 16.81 , 16.64 , 16.78 , 16.80 
7 , 16 , 2010 , 16.78 , 16.51 , 16.72 , 16.56 
7 , 19 , 2010 , 16.60 , 16.36 , 16.57 , 16.51 
7 , 20 , 2010 , 17.01 , 16.42 , 16.42 , 16.96 
7 , 21 , 2010 , 17.00 , 16.70 , 17.00 , 16.78 
7 , 22 , 2010 , 17.03 , 16.84 , 16.85 , 16.95 
7 , 23 , 2010 , 17.27 , 16.97 , 16.97 , 17.22 
7 , 26 , 2010 , 17.22 , 16.97 , 17.22 , 17.04 
7 , 27 , 2010 , 17.10 , 16.89 , 16.93 , 16.99 
7 , 28 , 2010 , 17.13 , 16.93 , 16.93 , 17.04 
7 , 29 , 2010 , 17.26 , 16.93 , 17.08 , 17.02 
7 , 30 , 2010 , 17.08 , 16.83 , 16.87 , 17.06 
8 , 2 , 2010 , 17.23 , 16.98 , 17.18 , 17.14 
8 , 3 , 2010 , 17.22 , 17.01 , 17.08 , 17.10 
8 , 4 , 2010 , 17.24 , 17.00 , 17.01 , 17.20 
8 , 5 , 2010 , 17.22 , 17.07 , 17.21 , 17.21 
8 , 6 , 2010 , 17.26 , 17.04 , 17.14 , 17.26 
8 , 9 , 2010 , 17.45 , 17.27 , 17.28 , 17.35 
8 , 10 , 2010 , 17.49 , 17.23 , 17.30 , 17.41 
8 , 11 , 2010 , 17.21 , 16.99 , 17.21 , 17.01 
8 , 12 , 2010 , 16.93 , 16.67 , 16.85 , 16.81 
8 , 13 , 2010 , 16.91 , 16.67 , 16.78 , 16.80 
8 , 16 , 2010 , 16.86 , 16.69 , 16.72 , 16.80 
8 , 17 , 2010 , 17.21 , 16.89 , 16.93 , 17.01 
8 , 18 , 2010 , 17.11 , 16.87 , 17.00 , 16.95 
8 , 19 , 2010 , 16.99 , 16.67 , 16.90 , 16.69 
8 , 20 , 2010 , 16.82 , 16.68 , 16.72 , 16.74 
8 , 23 , 2010 , 17.17 , 16.80 , 16.86 , 17.05 
8 , 24 , 2010 , 17.24 , 16.87 , 16.89 , 17.10 
8 , 25 , 2010 , 17.26 , 17.03 , 17.08 , 17.18 
8 , 26 , 2010 , 17.21 , 16.92 , 17.21 , 16.99 
8 , 27 , 2010 , 17.08 , 16.91 , 17.01 , 17.00 
8 , 30 , 2010 , 17.08 , 16.84 , 17.01 , 16.85 
8 , 31 , 2010 , 17.03 , 16.71 , 16.84 , 16.71 
9 , 1 , 2010 , 17.14 , 16.82 , 16.83 , 17.07 
9 , 2 , 2010 , 17.27 , 17.04 , 17.04 , 17.25 
9 , 3 , 2010 , 17.36 , 17.18 , 17.29 , 17.35 
