Month , Day , Year , High , Low , Open , Close
3 , 17 , 2010 , 67.79 , 66.80 , 66.91 , 67.36 
3 , 18 , 2010 , 67.74 , 67.01 , 67.50 , 67.39 
3 , 19 , 2010 , 67.89 , 66.43 , 67.84 , 67.04 
3 , 22 , 2010 , 67.20 , 66.32 , 66.49 , 66.97 
3 , 23 , 2010 , 66.98 , 66.45 , 66.94 , 66.95 
3 , 24 , 2010 , 66.86 , 66.23 , 66.57 , 66.50 
3 , 25 , 2010 , 66.92 , 66.24 , 66.81 , 66.30 
3 , 26 , 2010 , 66.88 , 66.17 , 66.44 , 66.54 
3 , 29 , 2010 , 67.48 , 66.59 , 66.66 , 67.30 
3 , 30 , 2010 , 67.30 , 66.79 , 67.19 , 67.05 
3 , 31 , 2010 , 67.19 , 66.60 , 66.94 , 66.98 
4 , 1 , 2010 , 67.80 , 67.19 , 67.27 , 67.61 
4 , 5 , 2010 , 68.36 , 67.72 , 67.84 , 68.19 
4 , 6 , 2010 , 68.35 , 67.80 , 67.99 , 67.90 
4 , 7 , 2010 , 67.85 , 66.97 , 67.83 , 67.34 
4 , 8 , 2010 , 68.23 , 66.85 , 67.01 , 67.86 
4 , 9 , 2010 , 68.98 , 68.07 , 68.11 , 68.76 
4 , 12 , 2010 , 69.05 , 68.58 , 68.80 , 68.71 
4 , 13 , 2010 , 68.76 , 68.07 , 68.47 , 68.66 
4 , 14 , 2010 , 68.82 , 68.36 , 68.72 , 68.61 
4 , 15 , 2010 , 68.72 , 68.15 , 68.50 , 68.26 
4 , 16 , 2010 , 68.70 , 67.71 , 68.12 , 67.93 
4 , 19 , 2010 , 68.44 , 67.57 , 67.75 , 68.23 
4 , 20 , 2010 , 69.22 , 68.50 , 68.62 , 68.97 
4 , 21 , 2010 , 69.43 , 68.57 , 69.00 , 68.92 
4 , 22 , 2010 , 68.73 , 68.22 , 68.52 , 68.56 
4 , 23 , 2010 , 69.27 , 68.18 , 68.50 , 69.24 
4 , 26 , 2010 , 69.53 , 68.93 , 69.03 , 69.29 
4 , 27 , 2010 , 70.00 , 68.20 , 69.01 , 68.27 
4 , 28 , 2010 , 69.54 , 68.61 , 68.87 , 69.19 
4 , 29 , 2010 , 69.66 , 68.24 , 68.45 , 68.66 
4 , 30 , 2010 , 69.31 , 67.73 , 68.90 , 67.77 
5 , 3 , 2010 , 68.22 , 67.18 , 68.11 , 67.84 
5 , 4 , 2010 , 67.26 , 66.00 , 67.15 , 66.47 
5 , 5 , 2010 , 66.94 , 65.83 , 65.94 , 66.17 
5 , 6 , 2010 , 66.23 , 58.46 , 65.79 , 63.89 
5 , 7 , 2010 , 64.92 , 63.23 , 64.50 , 63.70 
5 , 10 , 2010 , 65.75 , 64.52 , 65.42 , 65.23 
5 , 11 , 2010 , 65.00 , 64.23 , 64.62 , 64.46 
5 , 12 , 2010 , 65.34 , 64.50 , 64.64 , 64.91 
5 , 13 , 2010 , 65.27 , 64.32 , 64.87 , 64.74 
5 , 14 , 2010 , 64.73 , 62.91 , 64.50 , 63.60 
5 , 17 , 2010 , 63.88 , 62.26 , 63.74 , 63.27 
5 , 18 , 2010 , 64.27 , 62.42 , 64.05 , 62.79 
5 , 19 , 2010 , 62.94 , 62.00 , 62.46 , 62.45 
5 , 20 , 2010 , 61.68 , 60.21 , 61.47 , 60.33 
5 , 21 , 2010 , 60.95 , 59.16 , 59.16 , 60.88 
5 , 24 , 2010 , 61.00 , 60.13 , 60.74 , 60.19 
5 , 25 , 2010 , 59.78 , 58.46 , 58.99 , 59.71 
5 , 26 , 2010 , 60.46 , 59.12 , 60.08 , 59.31 
5 , 27 , 2010 , 61.55 , 60.10 , 60.50 , 61.46 
5 , 28 , 2010 , 61.67 , 60.28 , 61.21 , 60.46 
6 , 1 , 2010 , 60.86 , 59.14 , 60.38 , 59.25 
6 , 2 , 2010 , 60.80 , 59.23 , 59.51 , 60.77 
6 , 3 , 2010 , 62.01 , 60.60 , 61.23 , 61.56 
6 , 4 , 2010 , 61.05 , 59.29 , 60.74 , 59.53 
6 , 7 , 2010 , 60.41 , 59.20 , 60.03 , 59.30 
6 , 8 , 2010 , 61.44 , 59.38 , 59.62 , 61.24 
6 , 9 , 2010 , 61.60 , 59.82 , 61.58 , 60.03 
6 , 10 , 2010 , 62.00 , 61.16 , 61.47 , 61.89 
6 , 11 , 2010 , 61.92 , 61.18 , 61.68 , 61.86 
6 , 14 , 2010 , 62.46 , 61.32 , 62.06 , 61.37 
6 , 15 , 2010 , 62.57 , 61.49 , 61.89 , 62.51 
6 , 16 , 2010 , 62.62 , 61.90 , 61.97 , 62.51 
6 , 17 , 2010 , 62.70 , 61.95 , 62.42 , 62.60 
6 , 18 , 2010 , 63.37 , 62.40 , 62.78 , 63.10 
6 , 21 , 2010 , 64.50 , 62.85 , 64.10 , 63.13 
6 , 22 , 2010 , 63.20 , 61.79 , 63.13 , 61.94 
6 , 23 , 2010 , 62.26 , 60.90 , 61.71 , 61.10 
6 , 24 , 2010 , 61.20 , 59.87 , 60.82 , 60.07 
6 , 25 , 2010 , 60.24 , 59.10 , 60.15 , 59.10 
6 , 28 , 2010 , 59.39 , 58.47 , 59.31 , 58.47 
6 , 29 , 2010 , 58.09 , 57.00 , 58.00 , 57.29 
6 , 30 , 2010 , 57.73 , 56.92 , 57.33 , 57.07 
7 , 1 , 2010 , 57.27 , 56.17 , 56.98 , 56.61 
7 , 2 , 2010 , 56.99 , 55.94 , 56.85 , 56.57 
7 , 6 , 2010 , 57.59 , 56.77 , 57.17 , 57.46 
7 , 7 , 2010 , 58.45 , 57.26 , 57.37 , 58.43 
7 , 8 , 2010 , 59.20 , 58.13 , 59.13 , 58.81 
7 , 9 , 2010 , 59.01 , 58.30 , 58.76 , 58.78 
7 , 12 , 2010 , 58.94 , 58.20 , 58.29 , 58.94 
7 , 13 , 2010 , 59.72 , 59.04 , 59.60 , 59.42 
7 , 14 , 2010 , 59.34 , 58.62 , 59.22 , 59.26 
7 , 15 , 2010 , 59.49 , 58.59 , 59.36 , 59.27 
7 , 16 , 2010 , 59.11 , 57.81 , 58.84 , 57.96 
