Month , Day , Year , High , Low , Open , Close
4 , 16 , 2013 , 33.37 , 32.29 , 32.51 , 33.21 
4 , 17 , 2013 , 33.23 , 32.17 , 33.00 , 32.89 
4 , 18 , 2013 , 33.10 , 32.38 , 32.95 , 32.47 
4 , 19 , 2013 , 32.79 , 31.81 , 32.56 , 32.71 
4 , 22 , 2013 , 32.90 , 32.22 , 32.85 , 32.66 
4 , 23 , 2013 , 32.96 , 31.50 , 32.78 , 31.70 
4 , 24 , 2013 , 31.69 , 30.42 , 31.69 , 30.62 
4 , 25 , 2013 , 31.99 , 30.75 , 30.97 , 31.55 
4 , 26 , 2013 , 32.68 , 31.61 , 31.71 , 32.64 
4 , 29 , 2013 , 32.95 , 32.17 , 32.91 , 32.66 
4 , 30 , 2013 , 34.74 , 32.93 , 33.68 , 33.02 
5 , 1 , 2013 , 33.51 , 32.66 , 32.98 , 33.39 
5 , 2 , 2013 , 33.87 , 33.11 , 33.42 , 33.28 
5 , 3 , 2013 , 33.64 , 33.00 , 33.64 , 33.21 
5 , 6 , 2013 , 33.49 , 32.75 , 33.39 , 32.94 
5 , 7 , 2013 , 33.08 , 32.29 , 32.94 , 32.88 
5 , 8 , 2013 , 33.44 , 32.72 , 33.00 , 33.26 
5 , 9 , 2013 , 33.67 , 33.28 , 33.38 , 33.55 
5 , 10 , 2013 , 33.61 , 32.97 , 33.55 , 33.18 
5 , 13 , 2013 , 33.49 , 32.75 , 33.04 , 33.04 
5 , 14 , 2013 , 33.75 , 32.85 , 33.00 , 33.08 
5 , 15 , 2013 , 33.06 , 32.56 , 32.83 , 32.79 
5 , 16 , 2013 , 33.80 , 33.16 , 33.48 , 33.39 
5 , 17 , 2013 , 33.90 , 33.19 , 33.35 , 33.90 
5 , 20 , 2013 , 34.00 , 33.60 , 33.90 , 33.71 
5 , 21 , 2013 , 33.74 , 32.99 , 33.58 , 33.04 
5 , 22 , 2013 , 33.99 , 31.75 , 32.55 , 33.55 
5 , 23 , 2013 , 33.80 , 32.71 , 33.25 , 32.84 
5 , 24 , 2013 , 33.62 , 32.53 , 33.20 , 33.46 
5 , 28 , 2013 , 34.28 , 33.59 , 33.79 , 34.26 
5 , 29 , 2013 , 34.25 , 32.88 , 34.16 , 32.95 
5 , 30 , 2013 , 33.10 , 32.10 , 32.77 , 32.24 
5 , 31 , 2013 , 32.34 , 31.80 , 32.31 , 32.00 
6 , 3 , 2013 , 32.84 , 31.31 , 32.01 , 32.75 
6 , 4 , 2013 , 32.99 , 31.84 , 32.82 , 32.40 
6 , 5 , 2013 , 32.42 , 31.75 , 32.40 , 32.17 
6 , 6 , 2013 , 32.31 , 31.54 , 32.20 , 32.08 
6 , 7 , 2013 , 32.34 , 31.21 , 32.27 , 31.50 
6 , 10 , 2013 , 32.11 , 31.47 , 31.77 , 32.01 
6 , 11 , 2013 , 32.02 , 31.40 , 31.70 , 31.70 
6 , 12 , 2013 , 32.03 , 31.40 , 31.92 , 31.53 
6 , 13 , 2013 , 31.55 , 30.87 , 31.41 , 31.17 
6 , 14 , 2013 , 31.26 , 30.61 , 31.15 , 30.80 
6 , 17 , 2013 , 31.76 , 30.71 , 31.40 , 30.96 
6 , 18 , 2013 , 31.39 , 30.95 , 31.33 , 31.18 
6 , 19 , 2013 , 31.24 , 30.82 , 31.11 , 31.00 
6 , 20 , 2013 , 31.04 , 30.05 , 30.89 , 30.19 
6 , 21 , 2013 , 31.09 , 30.34 , 30.55 , 30.60 
6 , 24 , 2013 , 30.50 , 29.40 , 30.15 , 30.38 
6 , 25 , 2013 , 31.62 , 30.50 , 30.75 , 31.49 
6 , 26 , 2013 , 31.90 , 30.92 , 31.80 , 30.97 
6 , 27 , 2013 , 31.51 , 30.79 , 31.45 , 30.87 
6 , 28 , 2013 , 31.39 , 30.54 , 30.90 , 30.89 
7 , 1 , 2013 , 31.06 , 30.13 , 31.02 , 30.61 
7 , 2 , 2013 , 30.83 , 29.62 , 30.22 , 29.70 
7 , 3 , 2013 , 29.74 , 28.97 , 29.65 , 29.28 
7 , 5 , 2013 , 30.18 , 29.78 , 29.81 , 30.17 
7 , 8 , 2013 , 30.97 , 30.22 , 30.45 , 30.94 
7 , 9 , 2013 , 31.40 , 30.94 , 31.15 , 30.98 
7 , 10 , 2013 , 31.24 , 30.47 , 31.08 , 31.04 
7 , 11 , 2013 , 31.45 , 30.84 , 31.44 , 30.92 
7 , 12 , 2013 , 31.38 , 31.01 , 31.05 , 31.35 
7 , 15 , 2013 , 31.65 , 31.10 , 31.35 , 31.58 
7 , 16 , 2013 , 31.65 , 31.10 , 31.57 , 31.16 
7 , 17 , 2013 , 31.23 , 30.85 , 31.19 , 30.99 
7 , 18 , 2013 , 31.20 , 30.77 , 31.16 , 30.82 
7 , 19 , 2013 , 30.80 , 30.12 , 30.79 , 30.24 
7 , 22 , 2013 , 30.59 , 30.16 , 30.36 , 30.27 
7 , 23 , 2013 , 30.44 , 29.76 , 30.44 , 30.06 
7 , 24 , 2013 , 30.55 , 29.66 , 30.15 , 29.90 
7 , 25 , 2013 , 30.55 , 29.71 , 29.92 , 30.52 
7 , 26 , 2013 , 30.53 , 30.00 , 30.40 , 30.43 
7 , 29 , 2013 , 30.54 , 29.98 , 30.22 , 30.09 
7 , 30 , 2013 , 30.32 , 29.89 , 30.19 , 30.04 
7 , 31 , 2013 , 30.19 , 29.80 , 30.00 , 29.81 
8 , 1 , 2013 , 30.21 , 29.46 , 29.92 , 30.16 
8 , 2 , 2013 , 30.96 , 29.91 , 30.12 , 30.94 
8 , 5 , 2013 , 31.39 , 30.47 , 30.47 , 31.25 
8 , 6 , 2013 , 32.50 , 31.09 , 31.72 , 31.13 
8 , 7 , 2013 , 31.40 , 30.65 , 31.11 , 31.24 
8 , 8 , 2013 , 31.83 , 31.18 , 31.40 , 31.24 
8 , 9 , 2013 , 31.24 , 30.78 , 31.14 , 30.91 
8 , 12 , 2013 , 30.99 , 30.04 , 30.68 , 30.33 
8 , 13 , 2013 , 30.75 , 30.20 , 30.51 , 30.45 
8 , 14 , 2013 , 30.63 , 30.08 , 30.50 , 30.14 
8 , 15 , 2013 , 30.16 , 29.79 , 29.94 , 30.02 
8 , 16 , 2013 , 30.20 , 29.75 , 29.94 , 30.00 
8 , 19 , 2013 , 30.30 , 29.84 , 29.91 , 29.87 
8 , 20 , 2013 , 30.41 , 29.71 , 29.93 , 30.23 
8 , 21 , 2013 , 30.19 , 29.60 , 30.03 , 29.85 
