Month , Day , Year , High , Low , Open , Close
3 , 17 , 2010 , 117.48 , 116.71 , 116.76 , 117.10 
3 , 18 , 2010 , 117.27 , 116.57 , 117.11 , 117.04 
3 , 19 , 2010 , 117.29 , 115.52 , 116.96 , 115.97 
3 , 22 , 2010 , 116.80 , 115.24 , 115.31 , 116.59 
3 , 23 , 2010 , 117.51 , 116.38 , 116.76 , 117.41 
3 , 24 , 2010 , 117.43 , 116.60 , 116.97 , 116.84 
3 , 25 , 2010 , 118.10 , 116.51 , 117.63 , 116.65 
3 , 26 , 2010 , 117.42 , 116.12 , 116.87 , 116.58 
3 , 29 , 2010 , 117.53 , 116.97 , 117.17 , 117.32 
3 , 30 , 2010 , 117.83 , 116.91 , 117.46 , 117.40 
3 , 31 , 2010 , 117.52 , 116.61 , 116.95 , 117.00 
4 , 1 , 2010 , 118.25 , 117.10 , 117.80 , 117.80 
4 , 5 , 2010 , 118.84 , 117.92 , 118.25 , 118.76 
4 , 6 , 2010 , 119.25 , 118.29 , 118.42 , 119.04 
4 , 7 , 2010 , 119.36 , 117.81 , 118.80 , 118.36 
4 , 8 , 2010 , 118.97 , 117.60 , 117.95 , 118.77 
4 , 9 , 2010 , 119.60 , 118.80 , 119.02 , 119.55 
4 , 12 , 2010 , 120.05 , 119.56 , 119.70 , 119.74 
4 , 13 , 2010 , 120.04 , 119.00 , 119.62 , 119.83 
4 , 14 , 2010 , 121.19 , 120.08 , 120.27 , 121.19 
4 , 15 , 2010 , 121.57 , 120.95 , 120.99 , 121.29 
4 , 16 , 2010 , 121.29 , 118.75 , 120.86 , 119.36 
4 , 19 , 2010 , 119.93 , 118.47 , 119.01 , 119.81 
4 , 20 , 2010 , 120.98 , 120.17 , 120.56 , 120.88 
4 , 21 , 2010 , 121.23 , 119.99 , 120.95 , 120.66 
4 , 22 , 2010 , 121.17 , 119.12 , 119.81 , 121.02 
4 , 23 , 2010 , 121.86 , 120.63 , 120.94 , 121.81 
4 , 26 , 2010 , 122.12 , 121.23 , 121.85 , 121.35 
4 , 27 , 2010 , 121.33 , 118.25 , 120.65 , 118.48 
4 , 28 , 2010 , 119.68 , 118.27 , 119.05 , 119.38 
4 , 29 , 2010 , 121.11 , 120.07 , 120.10 , 120.86 
4 , 30 , 2010 , 121.01 , 118.78 , 120.88 , 118.81 
5 , 3 , 2010 , 120.68 , 119.20 , 119.38 , 120.35 
5 , 4 , 2010 , 119.03 , 116.92 , 119.01 , 117.52 
5 , 5 , 2010 , 117.80 , 115.97 , 116.54 , 116.82 
5 , 6 , 2010 , 117.00 , 105.00 , 116.26 , 112.94 
5 , 7 , 2010 , 113.77 , 109.58 , 112.64 , 111.26 
5 , 10 , 2010 , 116.65 , 114.91 , 115.81 , 116.16 
5 , 11 , 2010 , 117.36 , 114.91 , 115.07 , 115.83 
5 , 12 , 2010 , 117.62 , 116.09 , 116.29 , 117.45 
5 , 13 , 2010 , 117.68 , 115.89 , 117.13 , 115.99 
5 , 14 , 2010 , 115.33 , 112.87 , 115.12 , 113.89 
5 , 17 , 2010 , 114.52 , 111.77 , 114.20 , 113.95 
5 , 18 , 2010 , 115.22 , 112.03 , 114.88 , 112.40 
5 , 19 , 2010 , 112.77 , 110.36 , 111.77 , 111.76 
5 , 20 , 2010 , 109.89 , 107.47 , 109.38 , 107.54 
5 , 21 , 2010 , 109.38 , 105.36 , 105.91 , 109.12 
5 , 24 , 2010 , 109.39 , 107.61 , 108.52 , 107.71 
5 , 25 , 2010 , 107.87 , 104.38 , 105.11 , 107.82 
5 , 26 , 2010 , 109.47 , 106.85 , 108.48 , 107.17 
5 , 27 , 2010 , 110.80 , 108.78 , 109.19 , 110.76 
5 , 28 , 2010 , 110.72 , 108.85 , 110.64 , 109.37 
6 , 1 , 2010 , 109.95 , 107.37 , 108.35 , 107.53 
6 , 2 , 2010 , 110.34 , 107.51 , 108.08 , 110.33 
6 , 3 , 2010 , 111.06 , 109.58 , 110.65 , 110.71 
6 , 4 , 2010 , 109.33 , 106.47 , 108.61 , 106.82 
6 , 7 , 2010 , 107.61 , 105.41 , 107.20 , 105.49 
6 , 8 , 2010 , 106.83 , 104.65 , 105.57 , 106.62 
6 , 9 , 2010 , 108.28 , 105.60 , 107.24 , 106.05 
6 , 10 , 2010 , 109.28 , 107.69 , 107.86 , 109.15 
6 , 11 , 2010 , 109.75 , 108.12 , 108.19 , 109.68 
6 , 14 , 2010 , 111.12 , 109.40 , 110.52 , 109.51 
6 , 15 , 2010 , 112.10 , 110.09 , 110.28 , 112.00 
6 , 16 , 2010 , 112.42 , 111.20 , 111.42 , 111.96 
6 , 17 , 2010 , 112.33 , 111.05 , 112.28 , 112.14 
6 , 18 , 2010 , 112.13 , 111.37 , 111.83 , 111.73 
6 , 21 , 2010 , 113.20 , 110.79 , 113.12 , 111.41 
6 , 22 , 2010 , 111.90 , 109.41 , 111.41 , 109.57 
6 , 23 , 2010 , 110.03 , 108.48 , 109.64 , 109.23 
6 , 24 , 2010 , 108.83 , 107.14 , 108.69 , 107.42 
6 , 25 , 2010 , 108.42 , 106.77 , 107.74 , 107.87 
6 , 28 , 2010 , 108.32 , 107.14 , 108.03 , 107.53 
6 , 29 , 2010 , 106.07 , 103.55 , 106.02 , 104.21 
6 , 30 , 2010 , 104.88 , 102.88 , 103.92 , 103.22 
7 , 1 , 2010 , 103.49 , 101.13 , 103.15 , 102.76 
7 , 2 , 2010 , 103.42 , 101.62 , 103.11 , 102.20 
7 , 6 , 2010 , 104.37 , 101.88 , 103.64 , 102.87 
7 , 7 , 2010 , 106.24 , 103.02 , 103.13 , 106.11 
7 , 8 , 2010 , 107.28 , 105.91 , 107.00 , 107.16 
7 , 9 , 2010 , 107.97 , 106.93 , 107.13 , 107.96 
7 , 12 , 2010 , 108.24 , 107.15 , 107.60 , 108.03 
7 , 13 , 2010 , 110.09 , 108.93 , 109.15 , 109.66 
7 , 14 , 2010 , 110.08 , 108.86 , 109.31 , 109.65 
7 , 15 , 2010 , 110.06 , 108.17 , 109.61 , 109.68 
7 , 16 , 2010 , 109.21 , 106.45 , 109.09 , 106.66 
7 , 19 , 2010 , 107.63 , 106.22 , 107.05 , 107.29 
7 , 20 , 2010 , 108.56 , 105.82 , 105.87 , 108.48 
7 , 21 , 2010 , 109.07 , 106.63 , 109.04 , 107.07 
7 , 22 , 2010 , 109.94 , 108.33 , 108.34 , 109.46 
7 , 23 , 2010 , 110.57 , 108.93 , 109.24 , 110.41 
7 , 26 , 2010 , 111.67 , 110.29 , 110.60 , 111.56 
7 , 27 , 2010 , 112.29 , 111.11 , 112.17 , 111.55 
7 , 28 , 2010 , 111.66 , 110.46 , 111.32 , 110.83 
7 , 29 , 2010 , 111.82 , 109.41 , 111.52 , 110.29 
7 , 30 , 2010 , 110.86 , 108.98 , 109.17 , 110.27 
8 , 2 , 2010 , 112.94 , 111.54 , 111.99 , 112.76 
8 , 3 , 2010 , 112.77 , 111.85 , 112.48 , 112.22 
8 , 4 , 2010 , 113.11 , 112.16 , 112.53 , 112.97 
8 , 5 , 2010 , 112.91 , 112.08 , 112.25 , 112.85 
8 , 6 , 2010 , 112.57 , 110.92 , 111.74 , 112.39 
8 , 9 , 2010 , 113.18 , 112.32 , 112.92 , 112.99 
8 , 10 , 2010 , 112.98 , 111.37 , 112.04 , 112.38 
8 , 11 , 2010 , 110.69 , 109.12 , 110.65 , 109.30 
8 , 12 , 2010 , 109.02 , 107.60 , 107.65 , 108.63 
8 , 13 , 2010 , 108.96 , 108.18 , 108.29 , 108.31 
8 , 16 , 2010 , 108.61 , 107.18 , 107.57 , 108.26 
8 , 17 , 2010 , 110.39 , 108.88 , 109.19 , 109.59 
8 , 18 , 2010 , 110.38 , 108.91 , 109.54 , 109.79 
8 , 19 , 2010 , 109.49 , 107.43 , 109.22 , 107.88 
8 , 20 , 2010 , 107.94 , 106.75 , 107.56 , 107.53 
8 , 23 , 2010 , 108.57 , 107.07 , 108.04 , 107.12 
8 , 24 , 2010 , 106.39 , 104.97 , 105.95 , 105.53 
8 , 25 , 2010 , 106.34 , 104.29 , 104.95 , 105.94 
8 , 26 , 2010 , 106.58 , 104.88 , 106.44 , 105.23 
8 , 27 , 2010 , 106.97 , 104.31 , 105.89 , 106.86 
8 , 30 , 2010 , 106.91 , 105.30 , 106.58 , 105.31 
8 , 31 , 2010 , 105.98 , 104.49 , 104.92 , 105.31 
9 , 1 , 2010 , 108.61 , 106.66 , 106.73 , 108.46 
9 , 2 , 2010 , 109.49 , 108.49 , 108.72 , 109.47 
9 , 3 , 2010 , 110.99 , 109.95 , 110.54 , 110.89 
9 , 7 , 2010 , 110.51 , 109.55 , 110.37 , 109.64 
9 , 8 , 2010 , 110.85 , 109.81 , 109.85 , 110.41 
9 , 9 , 2010 , 111.68 , 110.62 , 111.64 , 110.92 
9 , 10 , 2010 , 111.61 , 110.87 , 111.12 , 111.48 
9 , 13 , 2010 , 112.95 , 112.13 , 112.58 , 112.72 
9 , 14 , 2010 , 113.29 , 112.08 , 112.50 , 112.65 
9 , 15 , 2010 , 113.21 , 111.98 , 112.32 , 113.08 
9 , 16 , 2010 , 113.12 , 112.35 , 112.73 , 113.05 
9 , 17 , 2010 , 113.15 , 112.18 , 113.04 , 112.49 
9 , 20 , 2010 , 114.46 , 112.52 , 112.88 , 114.21 
9 , 21 , 2010 , 114.84 , 113.51 , 114.30 , 113.98 
9 , 22 , 2010 , 114.44 , 113.10 , 113.80 , 113.42 
9 , 23 , 2010 , 113.67 , 112.18 , 112.49 , 112.50 
9 , 24 , 2010 , 114.90 , 113.65 , 113.75 , 114.82 
9 , 27 , 2010 , 114.99 , 114.16 , 114.86 , 114.27 
9 , 28 , 2010 , 115.04 , 113.18 , 114.42 , 114.67 
9 , 29 , 2010 , 114.91 , 114.02 , 114.39 , 114.47 
9 , 30 , 2010 , 115.79 , 113.59 , 115.05 , 114.13 
10 , 1 , 2010 , 115.12 , 113.93 , 114.99 , 114.61 
10 , 4 , 2010 , 114.85 , 113.18 , 114.37 , 113.75 
10 , 5 , 2010 , 116.32 , 114.67 , 114.80 , 116.04 
10 , 6 , 2010 , 116.33 , 115.56 , 116.02 , 116.03 
10 , 7 , 2010 , 116.53 , 115.19 , 116.50 , 115.89 
10 , 8 , 2010 , 116.86 , 115.61 , 116.05 , 116.54 
10 , 11 , 2010 , 116.97 , 116.25 , 116.72 , 116.65 
10 , 12 , 2010 , 117.35 , 115.65 , 116.27 , 117.01 
10 , 13 , 2010 , 118.55 , 117.38 , 117.66 , 117.92 
10 , 14 , 2010 , 118.01 , 116.72 , 117.81 , 117.46 
10 , 15 , 2010 , 118.35 , 116.76 , 118.28 , 117.70 
10 , 18 , 2010 , 118.67 , 117.26 , 117.73 , 118.54 
10 , 19 , 2010 , 117.85 , 116.02 , 117.19 , 116.73 
10 , 20 , 2010 , 118.44 , 116.87 , 116.94 , 117.87 
10 , 21 , 2010 , 119.09 , 117.21 , 118.40 , 118.13 
10 , 22 , 2010 , 118.53 , 118.00 , 118.31 , 118.35 
10 , 25 , 2010 , 119.76 , 118.61 , 119.14 , 118.70 
10 , 26 , 2010 , 118.84 , 117.87 , 118.10 , 118.72 
10 , 27 , 2010 , 118.51 , 117.26 , 117.89 , 118.38 
10 , 28 , 2010 , 119.11 , 117.83 , 119.06 , 118.40 
10 , 29 , 2010 , 118.72 , 118.07 , 118.28 , 118.49 
11 , 1 , 2010 , 119.75 , 117.85 , 119.07 , 118.53 
11 , 2 , 2010 , 119.75 , 119.10 , 119.42 , 119.48 
11 , 3 , 2010 , 120.02 , 118.45 , 119.68 , 119.95 
11 , 4 , 2010 , 122.32 , 120.94 , 121.28 , 122.26 
11 , 5 , 2010 , 122.92 , 122.18 , 122.34 , 122.73 
11 , 8 , 2010 , 122.69 , 121.94 , 122.34 , 122.49 
11 , 9 , 2010 , 122.95 , 121.12 , 122.82 , 121.61 
11 , 10 , 2010 , 122.16 , 120.66 , 121.58 , 122.10 
11 , 11 , 2010 , 121.82 , 120.68 , 121.05 , 121.64 
11 , 12 , 2010 , 121.35 , 119.65 , 120.82 , 120.20 
11 , 15 , 2010 , 121.05 , 119.98 , 120.58 , 120.03 
11 , 16 , 2010 , 119.49 , 117.59 , 119.29 , 118.16 
11 , 17 , 2010 , 118.71 , 117.86 , 118.21 , 118.22 
11 , 18 , 2010 , 120.39 , 119.35 , 119.36 , 119.96 
11 , 19 , 2010 , 120.34 , 119.25 , 119.90 , 120.29 
11 , 22 , 2010 , 120.24 , 118.77 , 119.69 , 120.19 
11 , 23 , 2010 , 119.02 , 117.99 , 118.77 , 118.45 
11 , 24 , 2010 , 120.23 , 119.18 , 119.20 , 120.20 
11 , 26 , 2010 , 119.81 , 118.80 , 119.16 , 118.80 
11 , 29 , 2010 , 119.48 , 117.74 , 118.50 , 119.16 
11 , 30 , 2010 , 119.17 , 117.81 , 117.98 , 118.49 
12 , 1 , 2010 , 121.24 , 120.19 , 120.20 , 121.01 
12 , 2 , 2010 , 122.65 , 121.13 , 121.20 , 122.56 
12 , 3 , 2010 , 123.03 , 122.11 , 122.14 , 122.89 
12 , 6 , 2010 , 123.04 , 122.50 , 122.63 , 122.76 
12 , 7 , 2010 , 124.01 , 122.76 , 123.94 , 122.83 
12 , 8 , 2010 , 123.38 , 122.41 , 122.98 , 123.28 
12 , 9 , 2010 , 124.02 , 123.15 , 123.97 , 123.76 
12 , 10 , 2010 , 124.60 , 123.73 , 124.14 , 124.48 
12 , 13 , 2010 , 125.20 , 124.52 , 125.05 , 124.56 
12 , 14 , 2010 , 125.23 , 124.29 , 124.75 , 124.67 
12 , 15 , 2010 , 124.93 , 123.89 , 124.44 , 124.10 
12 , 16 , 2010 , 124.91 , 123.75 , 124.18 , 124.82 
12 , 17 , 2010 , 124.46 , 123.82 , 124.08 , 124.30 
12 , 20 , 2010 , 124.90 , 123.98 , 124.64 , 124.60 
12 , 21 , 2010 , 125.47 , 124.87 , 124.99 , 125.39 
12 , 22 , 2010 , 125.82 , 125.41 , 125.48 , 125.78 
12 , 23 , 2010 , 125.78 , 125.29 , 125.64 , 125.60 
12 , 27 , 2010 , 125.77 , 125.04 , 125.13 , 125.65 
12 , 28 , 2010 , 125.95 , 125.50 , 125.90 , 125.83 
12 , 29 , 2010 , 126.20 , 125.90 , 125.98 , 125.92 
12 , 30 , 2010 , 126.13 , 125.53 , 125.80 , 125.72 
12 , 31 , 2010 , 125.87 , 125.33 , 125.53 , 125.75 
1 , 3 , 2011 , 127.60 , 126.66 , 126.71 , 127.05 
1 , 4 , 2011 , 127.37 , 126.19 , 127.33 , 126.98 
1 , 5 , 2011 , 127.73 , 126.46 , 126.58 , 127.64 
1 , 6 , 2011 , 127.83 , 127.01 , 127.69 , 127.39 
1 , 7 , 2011 , 127.77 , 126.15 , 127.56 , 127.14 
1 , 10 , 2011 , 127.16 , 126.20 , 126.58 , 126.98 
1 , 11 , 2011 , 127.74 , 126.95 , 127.44 , 127.43 
1 , 12 , 2011 , 128.72 , 127.99 , 128.21 , 128.58 
1 , 13 , 2011 , 128.69 , 127.99 , 128.63 , 128.37 
1 , 14 , 2011 , 129.33 , 128.10 , 128.19 , 129.30 
1 , 18 , 2011 , 129.64 , 129.03 , 129.18 , 129.52 
1 , 19 , 2011 , 129.50 , 127.91 , 129.41 , 128.25 
1 , 20 , 2011 , 128.40 , 127.13 , 127.96 , 128.08 
1 , 21 , 2011 , 129.17 , 128.23 , 128.88 , 128.37 
1 , 24 , 2011 , 129.25 , 128.26 , 128.29 , 129.10 
1 , 25 , 2011 , 129.28 , 128.11 , 128.76 , 129.17 
1 , 26 , 2011 , 130.05 , 129.23 , 129.49 , 129.67 
1 , 27 , 2011 , 130.21 , 129.47 , 129.70 , 129.99 
1 , 28 , 2011 , 130.35 , 127.51 , 130.14 , 127.72 
1 , 31 , 2011 , 128.78 , 127.75 , 128.07 , 128.68 
2 , 1 , 2011 , 130.97 , 129.38 , 129.46 , 130.74 
2 , 2 , 2011 , 130.84 , 130.33 , 130.40 , 130.49 
2 , 3 , 2011 , 130.98 , 129.57 , 130.26 , 130.78 
2 , 4 , 2011 , 131.20 , 130.23 , 130.83 , 131.15 
2 , 7 , 2011 , 132.40 , 131.43 , 131.44 , 131.97 
2 , 8 , 2011 , 132.64 , 131.73 , 132.09 , 132.57 
2 , 9 , 2011 , 132.63 , 131.61 , 132.21 , 132.27 
2 , 10 , 2011 , 132.47 , 131.30 , 131.60 , 132.32 
2 , 11 , 2011 , 133.28 , 131.77 , 131.80 , 133.11 
2 , 14 , 2011 , 133.54 , 132.88 , 133.03 , 133.43 
2 , 15 , 2011 , 133.22 , 132.32 , 133.02 , 133.01 
2 , 16 , 2011 , 134.01 , 133.19 , 133.46 , 133.85 
2 , 17 , 2011 , 134.43 , 133.34 , 133.46 , 134.25 
2 , 18 , 2011 , 134.69 , 134.06 , 134.37 , 134.53 
2 , 22 , 2011 , 133.86 , 131.47 , 133.12 , 131.83 
2 , 23 , 2011 , 132.07 , 130.21 , 131.75 , 131.02 
2 , 24 , 2011 , 131.44 , 129.70 , 130.88 , 130.93 
2 , 25 , 2011 , 132.41 , 131.40 , 131.48 , 132.33 
2 , 28 , 2011 , 133.32 , 132.38 , 132.82 , 133.15 
3 , 1 , 2011 , 133.69 , 130.89 , 133.57 , 130.93 
3 , 2 , 2011 , 131.82 , 130.35 , 130.75 , 131.21 
3 , 3 , 2011 , 133.62 , 132.39 , 132.40 , 133.47 
3 , 4 , 2011 , 133.63 , 131.60 , 133.37 , 132.47 
3 , 7 , 2011 , 133.16 , 130.74 , 132.86 , 131.43 
3 , 8 , 2011 , 133.00 , 131.07 , 131.64 , 132.58 
3 , 9 , 2011 , 132.80 , 131.60 , 132.32 , 132.39 
3 , 10 , 2011 , 131.18 , 129.81 , 131.00 , 129.94 
3 , 11 , 2011 , 131.31 , 129.49 , 129.52 , 130.84 
3 , 14 , 2011 , 130.48 , 129.06 , 129.99 , 130.05 
3 , 15 , 2011 , 129.33 , 126.50 , 126.59 , 128.56 
3 , 16 , 2011 , 128.57 , 125.28 , 128.15 , 126.18 
3 , 17 , 2011 , 128.39 , 127.10 , 128.00 , 127.85 
3 , 18 , 2011 , 128.88 , 127.51 , 128.84 , 127.76 
3 , 21 , 2011 , 130.01 , 129.20 , 129.35 , 129.74 
3 , 22 , 2011 , 129.89 , 129.17 , 129.72 , 129.29 
3 , 23 , 2011 , 130.00 , 128.32 , 128.93 , 129.66 
3 , 24 , 2011 , 131.09 , 129.67 , 130.40 , 130.90 
3 , 25 , 2011 , 131.87 , 130.89 , 131.24 , 131.30 
3 , 28 , 2011 , 131.92 , 130.94 , 131.58 , 130.98 
3 , 29 , 2011 , 131.90 , 130.44 , 130.87 , 131.86 
3 , 30 , 2011 , 133.16 , 132.36 , 132.55 , 132.77 
3 , 31 , 2011 , 132.96 , 132.45 , 132.60 , 132.59 
4 , 1 , 2011 , 133.77 , 132.83 , 133.41 , 133.15 
4 , 4 , 2011 , 133.67 , 132.88 , 133.43 , 133.26 
4 , 5 , 2011 , 133.83 , 132.94 , 133.00 , 133.24 
4 , 6 , 2011 , 134.00 , 133.12 , 133.88 , 133.66 
4 , 7 , 2011 , 133.98 , 132.66 , 133.42 , 133.32 
4 , 8 , 2011 , 133.99 , 132.31 , 133.91 , 132.86 
4 , 11 , 2011 , 133.45 , 132.14 , 133.00 , 132.46 
4 , 12 , 2011 , 131.98 , 130.99 , 131.72 , 131.47 
4 , 13 , 2011 , 132.18 , 130.96 , 132.08 , 131.46 
4 , 14 , 2011 , 131.76 , 130.27 , 130.70 , 131.56 
4 , 15 , 2011 , 132.37 , 131.41 , 131.80 , 132.04 
4 , 18 , 2011 , 130.81 , 129.51 , 130.59 , 130.56 
4 , 19 , 2011 , 131.35 , 130.44 , 130.76 , 131.31 
4 , 20 , 2011 , 133.39 , 132.79 , 132.88 , 133.10 
4 , 21 , 2011 , 133.84 , 133.35 , 133.79 , 133.78 
4 , 25 , 2011 , 133.86 , 133.20 , 133.68 , 133.64 
4 , 26 , 2011 , 135.06 , 133.91 , 134.05 , 134.79 
4 , 27 , 2011 , 135.87 , 134.50 , 135.05 , 135.67 
4 , 28 , 2011 , 136.29 , 135.41 , 135.43 , 136.11 
4 , 29 , 2011 , 136.57 , 135.98 , 136.17 , 136.43 
5 , 2 , 2011 , 137.18 , 135.95 , 137.07 , 136.22 
5 , 3 , 2011 , 136.19 , 135.05 , 135.96 , 135.73 
5 , 4 , 2011 , 135.73 , 134.23 , 135.67 , 134.83 
5 , 5 , 2011 , 134.95 , 133.02 , 134.08 , 133.61 
5 , 6 , 2011 , 135.63 , 133.68 , 134.94 , 134.20 
5 , 9 , 2011 , 135.11 , 133.98 , 134.19 , 134.72 
5 , 10 , 2011 , 136.11 , 135.00 , 135.16 , 135.87 
5 , 11 , 2011 , 135.69 , 133.82 , 135.66 , 134.44 
5 , 12 , 2011 , 135.36 , 133.39 , 134.09 , 135.08 
5 , 13 , 2011 , 135.34 , 133.56 , 135.15 , 134.04 
5 , 16 , 2011 , 134.61 , 132.97 , 133.56 , 133.19 
5 , 17 , 2011 , 133.35 , 132.12 , 132.69 , 133.17 
5 , 18 , 2011 , 134.50 , 132.95 , 133.24 , 134.36 
5 , 19 , 2011 , 135.03 , 133.94 , 134.80 , 134.68 
5 , 20 , 2011 , 134.68 , 133.36 , 134.33 , 133.61 
5 , 23 , 2011 , 132.46 , 131.59 , 131.98 , 132.06 
5 , 24 , 2011 , 132.73 , 131.70 , 132.44 , 131.95 
5 , 25 , 2011 , 132.94 , 131.38 , 131.42 , 132.39 
5 , 26 , 2011 , 133.24 , 131.78 , 132.03 , 133.00 
5 , 27 , 2011 , 133.87 , 132.96 , 133.37 , 133.51 
5 , 31 , 2011 , 134.92 , 133.84 , 134.76 , 134.90 
6 , 1 , 2011 , 134.60 , 131.76 , 134.51 , 131.87 
6 , 2 , 2011 , 132.24 , 130.96 , 131.96 , 131.73 
6 , 3 , 2011 , 131.42 , 130.08 , 130.15 , 130.42 
6 , 6 , 2011 , 130.36 , 128.87 , 130.09 , 129.05 
6 , 7 , 2011 , 130.07 , 128.85 , 129.70 , 128.96 
6 , 8 , 2011 , 129.19 , 128.18 , 128.76 , 128.42 
